,专用设备制造业国有控股工业企业主营业务收入,交通运输设备制造业国有控股工业企业主营业务收入,仪器仪表及文化、办公用机械制造业国有控股工业企业主营业务收入,其他采矿业国有控股工业企业主营业务收入,农副食品加工业国有控股工业企业主营业务收入,化学原料及化学制品制造业国有控股工业企业主营业务收入,化学纤维制造业国有控股工业企业主营业务收入,医药制造业国有控股工业企业主营业务收入,印刷业和记录媒介的复制国有控股工业企业主营业务收入,国有控股工业企业主营业务收入,塑料制品业国有控股工业企业主营业务收入,家具制造业国有控股工业企业主营业务收入,工艺品及其他制造业国有控股工业企业主营业务收入,废弃资源和废旧材料回收加工业国有控股工业企业主营业务收入,文教体育用品制造业国有控股工业企业主营业务收入,有色金属冶炼及压延加工业国有控股工业企业主营业务收入,有色金属矿采选业国有控股工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业国有控股工业企业主营业务收入,橡胶制品业国有控股工业企业主营业务收入,水的生产和供应业国有控股工业企业主营业务收入,烟草制品业国有控股工业企业主营业务收入,煤炭开采和洗选业国有控股工业企业主营业务收入,燃气生产和供应业国有控股工业企业主营业务收入,电力、热力的生产和供应业国有控股工业企业主营业务收入,电气机械及器材制造业国有控股工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业主营业务收入,石油加工、炼焦及核燃料加工业国有控股工业企业主营业务收入,石油和天然气开采业国有控股工业企业主营业务收入,纺织业国有控股工业企业主营业务收入,纺织服装、鞋、帽制造业国有控股工业企业主营业务收入,通信设备、计算机及其他电子设备制造国有控股工业企业主营业务收入,通用设备制造业国有控股工业企业主营业务收入,造纸及纸制品业国有控股工业企业主营业务收入,金属制品业国有控股工业企业主营业务收入,非金属矿物制品业国有控股工业企业主营业务收入,非金属矿采选业国有控股工业企业主营业务收入,食品制造业国有控股工业企业主营业务收入,饮料制造业国有控股工业企业主营业务收入,黑色金属冶炼及压延加工业国有控股工业企业主营业务收入,黑色金属矿采选业国有控股工业企业主营业务收入
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1443.48355,6987.84102,188.23748,11.84556,1061.86227,3628.39415,389.38012,1117.26229,262.98504,58027.15,225.58194,26.00749,65.36398,0.82071,35.9028,1502.63887,229.09809,113.6796,309.76457,338.91083,2190.77083,1930.92173,289.31614,10038.0592,958.76909,37.39858,5436.49887,3225.37014,1246.21761,110.30876,3296.18831,1700.93781,509.36003,362.7551,1038.91299,144.25333,388.58357,836.18221,6227.60184,119.68574
2004年,1506.12544,7590.07803,262.76888,0.22928,1030.93115,4388.65767,495.62143,912.70042,293.73279,71430.99,327.56965,58.47517,137.84029,8.56505,41.62045,2191.52786,324.56288,129.48469,311.47296,394.02049,2537.99876,3123.84346,356.17102,13778.27934,1200.05971,27.80451,6996.25788,4264.99582,935.47852,101.45634,3374.38373,1998.20754,490.15056,430.425,1141.97387,159.84833,333.44174,611.53064,8935.64565,227.05723
2005年,1801.5718,8071.35351,287.55407,2.48419,1173.72594,5108.07619,580.36545,1113.1336,283.10205,85574.18,292.68213,54.95353,121.38901,10.00438,32.50301,2791.73676,459.30758,170.35844,403.84954,415.91979,2823.09509,4101.54744,402.4524,16670.86136,1488.48379,23.00403,9654.34199,5780.29698,923.71867,104.36105,3569.31169,2357.00716,573.56014,486.84737,1193.41307,150.29503,488.9801,843.61645,10537.21329,227.70147
2006年,2065.83,10340.67,325.67,0.07,1179.29,6151.41,668.75,1034.58,293.86,101404.62,297.45,69.44,168.64,31.38,36.55,4426.24,700.12,179.48,414.44,476.6,3153.11,5041.28,519.48,20170.9,1867.5,26.72,11382.16,7709.91,932.87,98.83,2584.59,2843.07,578.98,620.32,1351.68,208.41,590.7,923.67,11664.42,275.59
2007年,2662.42261,13427.34691,371.17294,0.04772,1416.43546,7214.47095,744.5148,1218.60679,336.50186,122617.13,294.63359,69.82393,231.26438,60.82309,35.3087,6027.2184,769.45846,133.18771,514.85729,515.25689,3718.19891,6252.50311,589.13843,23953.2632,2127.70574,24.39973,13603.15846,8304.69673,877.97904,130.16924,2681.8344,3490.88041,482.41774,838.70676,1641.16998,202.43962,581.46327,1106.12796,15591.50936,376.01227
2008年,3553.14421,15070.67198,491.11908,0.0413,1320.3886,8017.01602,493.08588,1274.03403,367.65358,147507.9,395.1554,65.56121,260.83163,153.75159,43.92846,6507.37778,811.10564,145.07591,597.38157,607.39559,4231.22714,9279.05975,799.65687,27780.23414,2507.40247,46.71548,16452.70699,10731.36845,688.6997,125.6971,3809.9364,3960.71733,658.25595,997.04833,2308.28981,261.19229,687.27042,1251.27477,20054.03362,702.38857
2009年,4117.26085,19285.08352,516.52286,0.05525,1553.32185,7590.58096,424.71007,1300.75495,384.92688,151700.55,348.32153,81.66083,302.1642,239.57243,31.73759,6359.93955,808.1604,142.96852,621.70058,642.23693,4838.77135,10765.82628,862.16388,31014.83239,2777.79838,26.86838,15116.83473,7547.59766,615.54735,143.75215,3943.02456,4200.08463,625.2206,972.32417,2321.34428,266.0223,664.5703,1447.63511,18271.83864,526.80919
2010年,4874.4304,26134.6416,660.61055,0.60527,2082.61607,9526.72216,521.07945,1752.30138,442.79923,194339.68,364.05526,124.33061,444.49445,162.91294,35.55495,9267.35012,1160.13506,162.66454,830.1738,781.35556,5592.5436,13960.09659,1115.97404,37419.85126,3726.9803,30.16232,20930.49569,10131.46599,736.61819,186.94255,4615.19462,4587.2391,847.83358,1164.16092,3139.00815,338.38321,842.51379,1625.63916,22837.64439,1182.0956
2011年,5387.49474,28533.70063,780.86074,0.0,2504.34886,11669.55902,587.43587,2022.85612,452.36723,228900.13,441.82206,88.91745,659.26307,155.79344,37.20305,11736.06009,1430.30854,188.1872,976.60153,795.50283,6623.50911,18110.59768,1442.86356,43867.8209,4406.15717,35.7276,25499.8952,11752.61943,875.3979,204.41941,5427.35341,5101.63112,810.93584,1368.83007,4100.86248,461.68483,860.40553,2201.61905,25576.14356,1723.37292
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
