,专用设备制造业国有控股工业企业累计折旧,交通运输设备制造业国有控股工业企业累计折旧,仪器仪表及文化、办公用机械制造业国有控股工业企业累计折旧,其他采矿业国有控股工业企业累计折旧,农副食品加工业国有控股工业企业累计折旧,化学原料及化学制品制造业国有控股工业企业累计折旧,化学纤维制造业国有控股工业企业累计折旧,医药制造业国有控股工业企业累计折旧,印刷业和记录媒介的复制国有控股工业企业累计折旧,国有控股工业企业累计折旧,塑料制品业国有控股工业企业累计折旧,家具制造业国有控股工业企业累计折旧,工艺品及其他制造业国有控股工业企业累计折旧,废弃资源和废旧材料回收加工业国有控股工业企业累计折旧,文教体育用品制造业国有控股工业企业累计折旧,有色金属冶炼及压延加工业国有控股工业企业累计折旧,有色金属矿采选业国有控股工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业国有控股工业企业累计折旧,橡胶制品业国有控股工业企业累计折旧,水的生产和供应业国有控股工业企业累计折旧,烟草制品业国有控股工业企业累计折旧,煤炭开采和洗选业国有控股工业企业累计折旧,燃气生产和供应业国有控股工业企业累计折旧,电力、热力的生产和供应业国有控股工业企业累计折旧,电气机械及器材制造业国有控股工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业累计折旧,石油加工、炼焦及核燃料加工业国有控股工业企业累计折旧,石油和天然气开采业国有控股工业企业累计折旧,纺织业国有控股工业企业累计折旧,纺织服装、鞋、帽制造业国有控股工业企业累计折旧,通信设备、计算机及其他电子设备制造国有控股工业企业累计折旧,通用设备制造业国有控股工业企业累计折旧,造纸及纸制品业国有控股工业企业累计折旧,金属制品业国有控股工业企业累计折旧,非金属矿物制品业国有控股工业企业累计折旧,非金属矿采选业国有控股工业企业累计折旧,食品制造业国有控股工业企业累计折旧,饮料制造业国有控股工业企业累计折旧,黑色金属冶炼及压延加工业国有控股工业企业累计折旧,黑色金属矿采选业国有控股工业企业累计折旧
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,494.47812,1338.59429,72.48769,7.22095,187.28731,1935.50422,218.04131,247.50254,146.79046,26033.85778,89.19253,7.38082,13.25658,0.19566,11.44173,609.32335,103.60519,54.12614,93.7356,493.03449,460.69181,1328.59753,155.07102,6821.70581,278.19134,9.929,1511.53599,3560.46615,448.92597,23.65589,514.38288,537.36566,186.92701,99.31018,575.0967,89.73404,102.83803,239.58128,2899.59118,67.06133
2004年,427.29239,1388.97033,76.9958,0.03145,147.84242,1949.04444,274.01486,236.23593,163.98808,28952.03069,92.4218,7.75704,51.96607,0.97485,12.06904,653.86449,98.0528,56.70664,93.63343,600.54371,525.6557,1500.41214,182.63639,8326.27299,252.8268,9.98296,1625.44133,4271.01998,375.31067,20.95572,497.27256,512.02992,201.40298,109.82878,592.15846,84.08067,91.92307,196.95796,3147.64719,95.80885
2005年,432.53154,1613.33128,72.70747,1.55245,140.36541,2020.93483,289.51449,276.7859,171.63813,32213.0976,82.72441,7.25719,37.00909,1.28719,11.11861,723.4664,101.02047,62.45553,93.87676,655.71034,602.05235,1737.33354,203.10541,9708.90654,239.39255,7.27093,1994.14338,4545.41574,345.21972,24.70608,549.44664,510.04446,211.54948,98.39067,596.55869,64.17781,101.61799,241.81075,3551.69861,84.96877
2006年,430.34,1757.43,77.23,0.05,134.29,2248.93,320.52,288.43,182.79,36561.91,80.07,8.39,30.33,1.88,8.34,806.82,115.46,64.09,88.26,752.65,663.0,2147.87,220.38,11820.18,246.31,6.42,2132.48,5295.39,334.73,24.66,471.27,543.22,221.21,105.88,600.81,78.08,115.51,243.1,3808.84,86.23
2007年,445.13238,2165.38227,82.66691,0.01823,137.3245,2446.10943,282.07083,388.37401,195.87773,42015.50067,83.70756,6.81347,38.6798,4.45655,9.07721,934.03867,113.3544,62.33608,86.87207,831.6428,715.85414,2442.28711,201.46078,14038.65956,245.27912,5.43358,2301.7807,6475.56642,310.6726,21.89306,510.82966,535.28501,195.94908,113.17804,619.53144,69.10648,114.269,250.50691,4421.33022,112.69286
2008年,610.66739,2405.67962,88.47065,0.0184,150.45258,2841.3323,224.5392,342.01959,213.41889,49054.99877,109.79194,5.67197,52.25774,8.33458,9.67572,1075.99917,126.79039,52.02596,116.49028,993.21327,791.02769,2725.38223,233.43811,17628.95193,265.82212,5.50837,2979.92151,6365.03386,258.58918,24.63964,694.47698,693.41397,285.23058,141.44936,686.74134,76.7362,135.70888,271.09449,5188.1954,176.78729
2009年,634.56469,2844.03436,111.70575,0.01855,168.06192,3044.51945,178.40204,316.56769,210.54378,54397.06998,104.42466,5.67588,46.26374,20.94221,8.1021,1354.65892,147.58193,41.32731,127.39298,1083.03413,872.20312,3570.87793,280.63781,19348.1028,289.62498,3.73567,3326.61284,6731.48072,211.81086,19.4947,684.58958,685.79904,280.36499,179.40566,704.58887,83.12105,133.39224,298.12503,6097.9326,147.3474
2010年,769.23705,3685.97354,151.41865,0.0,201.47932,3384.69905,193.70527,400.37501,241.60911,63521.57612,117.78197,8.55183,74.07045,5.39175,8.57252,1520.41577,179.48179,53.33129,138.53414,1241.26034,935.19278,4391.52954,377.64486,23121.14447,361.57755,4.12001,3643.36051,7359.52679,202.4769,22.2309,723.28785,684.93751,302.25224,155.06577,837.69863,100.06553,188.37094,323.61561,7204.54879,207.04009
2011年,873.10002,4103.23699,187.82617,0.0,233.59126,3736.64588,210.27643,436.4039,245.65629,74012.68022,116.49498,9.50214,98.86822,4.90185,8.31714,1769.52154,209.05851,72.46469,148.69821,1351.10149,996.28805,5219.33863,339.70787,27349.20887,557.6771,3.32256,4011.52861,9424.75883,222.35074,33.75241,857.04992,745.94385,300.69162,185.7919,1067.13389,101.64047,207.1699,392.85216,7853.04715,327.75998
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
