,专用设备制造业国有控股工业企业利息支出,交通运输设备制造业国有控股工业企业利息支出,仪器仪表及文化、办公用机械制造业国有控股工业企业利息支出,其他采矿业国有控股工业企业利息支出,农副食品加工业国有控股工业企业利息支出,化学原料及化学制品制造业国有控股工业企业利息支出,化学纤维制造业国有控股工业企业利息支出,医药制造业国有控股工业企业利息支出,印刷业和记录媒介的复制国有控股工业企业利息支出,国有控股工业企业利息支出,塑料制品业国有控股工业企业利息支出,家具制造业国有控股工业企业利息支出,工艺品及其他制造业国有控股工业企业利息支出,废弃资源和废旧材料回收加工业国有控股工业企业利息支出,文教体育用品制造业国有控股工业企业利息支出,有色金属冶炼及压延加工业国有控股工业企业利息支出,有色金属矿采选业国有控股工业企业利息支出,木材加工及木、竹、藤、棕、草制品业国有控股工业企业利息支出,橡胶制品业国有控股工业企业利息支出,水的生产和供应业国有控股工业企业利息支出,烟草制品业国有控股工业企业利息支出,煤炭开采和洗选业国有控股工业企业利息支出,燃气生产和供应业国有控股工业企业利息支出,电力、热力的生产和供应业国有控股工业企业利息支出,电气机械及器材制造业国有控股工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业利息支出,石油加工、炼焦及核燃料加工业国有控股工业企业利息支出,石油和天然气开采业国有控股工业企业利息支出,纺织业国有控股工业企业利息支出,纺织服装、鞋、帽制造业国有控股工业企业利息支出,通信设备、计算机及其他电子设备制造国有控股工业企业利息支出,通用设备制造业国有控股工业企业利息支出,造纸及纸制品业国有控股工业企业利息支出,金属制品业国有控股工业企业利息支出,非金属矿物制品业国有控股工业企业利息支出,非金属矿采选业国有控股工业企业利息支出,食品制造业国有控股工业企业利息支出,饮料制造业国有控股工业企业利息支出,黑色金属冶炼及压延加工业国有控股工业企业利息支出,黑色金属矿采选业国有控股工业企业利息支出
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,33.77833,51.04201,4.85382,0.26187,16.14565,81.2287,10.63068,23.25327,4.01565,1082.73921,5.66053,0.43373,1.0794,-0.00074,0.90798,39.27237,5.48426,2.77318,7.1114,13.31656,22.74213,47.47988,4.73999,354.47906,22.59269,0.52316,30.07424,22.52363,28.03201,1.26573,33.14813,31.84715,19.44546,6.2449,32.31645,4.20124,7.7164,13.45634,96.46426,2.19771
2004年,24.50013,50.9025,4.16769,0.00025,13.49126,79.7501,8.97009,19.19569,3.79387,1180.46842,6.02503,0.28788,2.17422,0.01922,0.72356,42.44551,4.46429,2.70559,6.80833,16.4397,19.52621,62.66974,4.68804,463.78877,21.37239,0.52605,27.85167,31.82105,20.82197,0.74599,35.56235,24.1282,18.61348,5.65441,30.4231,3.78852,7.50902,9.46273,102.03379,2.61603
2005年,22.34533,57.71518,3.57265,-0.00109,13.46532,78.56266,9.91479,21.50135,3.42483,1224.97263,5.05377,0.32913,0.9974,0.02172,0.625,47.4026,5.52926,3.63734,6.34247,16.64392,16.06915,57.80801,3.31982,495.44284,15.37908,0.23489,41.52028,27.17985,17.51242,0.67689,37.19762,21.57862,14.11059,5.65404,31.35866,2.35084,7.43598,9.20549,121.50122,2.35271
2006年,21.01,52.66,2.3,0.0,11.38,105.74,11.13,21.44,3.73,1427.07,6.8,0.34,1.29,0.21,0.41,62.06,5.29,4.31,5.82,20.67,10.98,70.13,5.15,599.8,17.33,0.05,49.71,25.41,18.33,0.58,28.75,19.45,16.09,6.11,36.88,3.08,9.98,9.67,160.31,2.68
2007年,25.52909,53.59084,2.90911,0.0,14.78886,112.49548,11.00264,23.05682,2.18771,1829.08242,4.90119,0.36442,1.38716,0.32785,0.40611,77.38196,7.8173,2.94608,6.69515,24.92911,5.52151,105.06182,8.76593,824.15879,17.82444,0.05487,61.98856,44.71011,14.78489,0.40403,33.72387,17.65783,14.43946,7.68752,41.16947,2.86325,11.04876,10.23694,227.95942,6.30407
2008年,39.81399,78.69946,3.14908,0.0,16.75779,136.92055,11.28516,21.69247,2.22308,2500.76227,9.06393,0.19317,1.40237,0.91763,0.50345,106.93673,8.64625,2.71808,12.66489,41.70148,-2.33023,161.57883,9.75593,1127.42001,25.44485,-0.06964,116.03853,44.49756,13.08342,0.45659,32.37026,19.69206,24.41082,10.72756,54.71971,4.52666,11.34831,10.07335,332.08196,9.64617
2009年,34.70612,77.45431,2.86092,1e-05,14.85376,139.57074,8.4753,17.44575,1.77027,2363.66286,5.96764,0.18263,1.23468,1.29267,0.17843,96.78464,8.72605,1.94196,9.27493,33.37424,2.5524,187.42923,8.10864,1111.3057,23.59334,0.04239,77.428,35.60452,9.39544,0.50997,32.68025,21.16194,19.50082,15.4416,45.79886,4.49307,6.95261,6.82735,291.52755,7.21413
2010年,36.89416,65.4547,3.2197,0.00578,21.89742,152.44618,8.72883,17.72148,1.49246,2645.56431,4.08276,0.16482,1.56588,0.54733,0.15201,126.43092,12.5466,2.47605,10.03046,38.19936,-2.16186,227.55185,11.30046,1211.59603,34.57386,-0.00123,89.33229,36.60346,10.06414,0.44272,30.96182,21.26881,26.96663,8.42632,58.1876,4.04977,8.93871,8.63617,340.36717,14.40269
2011年,59.11472,187.02837,5.34251,0.0,33.45196,203.66952,12.30777,22.05872,2.05108,3844.00675,7.81932,0.09042,5.31882,1.14672,0.24472,195.26192,15.63731,3.22571,14.46409,47.84207,9.53794,330.33895,14.66173,1544.02259,57.08139,-0.05953,131.11429,129.22134,12.37622,0.88024,62.64266,44.22644,29.86612,12.22947,97.56618,7.09828,9.01735,17.81459,488.80382,29.49093
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
