,专用设备制造业国有控股工业企业应付帐款,交通运输设备制造业国有控股工业企业应付帐款,仪器仪表及文化、办公用机械制造业国有控股工业企业应付帐款,其他采矿业国有控股工业企业应付帐款,农副食品加工业国有控股工业企业应付帐款,化学原料及化学制品制造业国有控股工业企业应付帐款,化学纤维制造业国有控股工业企业应付帐款,医药制造业国有控股工业企业应付帐款,印刷业和记录媒介的复制国有控股工业企业应付帐款,国有控股工业企业应付帐款,塑料制品业国有控股工业企业应付帐款,家具制造业国有控股工业企业应付帐款,工艺品及其他制造业国有控股工业企业应付帐款,废弃资源和废旧材料回收加工业国有控股工业企业应付帐款,文教体育用品制造业国有控股工业企业应付帐款,有色金属冶炼及压延加工业国有控股工业企业应付帐款,有色金属矿采选业国有控股工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业国有控股工业企业应付帐款,橡胶制品业国有控股工业企业应付帐款,水的生产和供应业国有控股工业企业应付帐款,烟草制品业国有控股工业企业应付帐款,煤炭开采和洗选业国有控股工业企业应付帐款,燃气生产和供应业国有控股工业企业应付帐款,电力、热力的生产和供应业国有控股工业企业应付帐款,电气机械及器材制造业国有控股工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业应付帐款,石油加工、炼焦及核燃料加工业国有控股工业企业应付帐款,石油和天然气开采业国有控股工业企业应付帐款,纺织业国有控股工业企业应付帐款,纺织服装、鞋、帽制造业国有控股工业企业应付帐款,通信设备、计算机及其他电子设备制造国有控股工业企业应付帐款,通用设备制造业国有控股工业企业应付帐款,造纸及纸制品业国有控股工业企业应付帐款,金属制品业国有控股工业企业应付帐款,非金属矿物制品业国有控股工业企业应付帐款,非金属矿采选业国有控股工业企业应付帐款,食品制造业国有控股工业企业应付帐款,饮料制造业国有控股工业企业应付帐款,黑色金属冶炼及压延加工业国有控股工业企业应付帐款,黑色金属矿采选业国有控股工业企业应付帐款
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,308.07204,1207.98198,43.00056,2.03938,82.213,378.7429,36.83802,167.38722,36.34916,7212.2965,29.89431,3.65448,6.26458,0.05245,7.83469,160.58048,17.08901,15.70751,41.99934,51.15077,215.17528,291.99932,32.85065,980.90993,200.28647,6.5804,244.72578,370.47733,145.47534,16.76137,522.14503,340.50019,86.1764,57.51841,207.74774,20.27913,50.22241,99.73293,710.85975,15.02076
2004年,312.08198,1311.1462,57.97271,0.06566,74.94168,408.18615,38.77386,126.58932,40.35028,8583.27564,33.85763,8.57407,35.18933,1.25053,7.47513,216.65941,16.87242,15.23578,46.9289,61.49157,219.69573,396.73329,34.33721,1470.16596,264.3746,7.86655,310.39704,522.15457,116.30468,14.38896,530.6831,374.26929,74.04633,85.77562,238.20422,16.47761,49.08454,67.43553,950.5446,26.6936
2005年,366.27921,1604.6292,54.99279,0.10397,78.19246,509.61567,48.57142,150.12533,38.3426,9995.03109,35.03029,8.93499,21.24095,3.69906,6.05654,262.76734,20.80476,18.08278,52.16439,66.948,208.78264,534.38341,33.26282,1591.05576,292.11261,5.59519,402.59775,638.58892,98.2446,15.39062,650.44886,416.24822,78.66044,73.0047,249.41711,17.722,70.14709,72.68456,1176.27235,23.82969
2006年,401.59,1882.27,68.12,0.04,76.73,582.2,65.82,134.22,33.77,11376.68,28.86,9.38,30.01,2.6,6.53,364.18,42.11,20.12,49.68,62.68,223.01,648.41,33.99,2139.55,349.39,4.08,364.48,848.01,88.09,15.76,413.07,507.4,77.87,82.57,252.99,21.29,74.81,74.4,1268.26,28.34
2007年,526.0347,2423.3906,81.83539,-0.00348,80.10663,668.71362,79.81022,145.04909,41.53076,14097.12869,23.70437,12.79419,53.95732,2.75419,5.33079,367.02427,43.82514,11.11557,51.24576,70.30578,228.45817,871.62462,36.24697,2681.03151,421.70406,5.0271,492.97923,1141.35659,86.72554,21.15689,482.11416,593.35824,67.17739,119.66446,290.81332,14.31925,79.44698,96.02337,1651.43589,27.94004
2008年,853.11574,2556.14534,92.99536,0.00284,104.14435,755.85492,45.45904,160.65201,39.3299,17605.95319,33.49068,9.09925,53.61472,6.89842,7.3717,358.11462,50.12977,10.50619,71.70059,97.37885,318.20557,1166.78817,66.47836,3176.41845,463.57778,5.66507,616.89034,1594.77815,78.61661,21.04244,776.62778,908.01503,101.98088,98.1942,379.17367,23.84461,91.35,93.26807,2268.77334,50.26038
2009年,978.38097,3979.34722,115.86861,0.00518,124.9061,849.93265,42.93603,146.99585,45.5061,20934.70013,36.5613,17.07717,71.14265,9.28216,4.41621,489.9914,51.41218,8.89571,70.32248,102.3035,361.96054,1522.40871,70.94924,3877.39179,578.0413,3.31173,813.11732,1508.91037,59.73647,21.39559,750.49034,855.68272,221.76511,122.36668,386.71075,17.30279,109.44943,122.61337,2318.71962,67.09279
2010年,1167.85922,5028.27008,147.0383,0.0,148.28122,1008.6146,54.53847,221.70084,48.95732,25543.68534,33.51333,23.22671,74.43433,18.05909,4.47373,633.31061,64.29791,8.02334,93.38109,131.915,429.90804,1720.67599,82.12164,5010.75481,763.69249,2.69702,1295.32232,1750.92115,57.37625,20.74895,864.86512,970.13254,115.08535,181.23386,485.03865,20.86138,125.52233,121.38613,2486.2825,129.16363
2011年,1252.69499,5284.39982,180.26717,0.0,184.01404,1075.79419,70.13761,248.3347,49.64013,30136.26203,38.57091,21.14013,159.60072,18.38426,4.43578,797.855,82.99236,10.59593,108.12949,126.90983,552.57818,2222.66419,101.77229,6008.02142,1105.80234,2.56597,1598.85334,1847.58178,68.36114,18.08556,1207.43882,1139.18022,111.27082,191.37791,632.21524,30.533,100.03013,157.22686,3141.25429,185.55147
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
