,中草药及中成药类零售市场成交额,中西药品类零售市场成交额,书报杂志类零售市场成交额,五金、电料类零售市场成交额,亿元以上商品交易零售市场成交额,体育、娱乐用品类零售市场成交额,儿童玩具类零售市场成交额,其他类零售市场成交额,农机类零售市场成交额,化妆品类零售市场成交额,化工材料及制品类零售市场成交额,化肥类零售市场成交额,家具类零售市场成交额,家用电器和音像器材类零售市场成交额,干鲜果品类零售市场成交额,建筑及装潢材料类零售市场成交额,文化办公用品类零售市场成交额,日用品类零售市场成交额,服装类零售市场成交额,服装鞋帽、针、纺织品类零售市场成交额,木材及制品类零售市场成交额,机电产品及设备类零售市场成交额,棉麻类零售市场成交额,水产品类零售市场成交额,汽车类零售市场成交额,洗涤用品类零售市场成交额,烟酒类零售市场成交额,煤炭及制品类零售市场成交额,电子出版物及音像制品类零售市场成交额,石油及制品类零售市场成交额,种子饲料类零售市场成交额,粮油类零售市场成交额,肉禽蛋类零售市场成交额,蔬菜类零售市场成交额,西药类零售市场成交额,通讯器材类零售市场成交额,金属材料类零售市场成交额,金银珠宝类零售市场成交额,针、纺织品类零售市场成交额,鞋帽类零售市场成交额,食品、饮料、烟酒类零售市场成交额,食品类零售市场成交额,饮料类零售市场成交额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,4710.861884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,5156.5172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,4389.1629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,4681.9097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,4985.7897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,5476.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,7457.5383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,8213.6389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,32.37,41.5062,20.8778,173.5931,9337.9178,18.5029,24.9026,381.7531,9.9577,49.8197,38.2472,6.005,474.4993,148.3881,169.657,1108.5301,437.2773,290.3033,807.1763,1209.3896,148.9962,76.3501,39.5794,537.2135,2070.3024,69.0481,119.4886,1.5695,27.0157,0.4573,5.3621,186.3652,638.5625,445.3432,6.6169,91.5375,208.5643,35.5633,198.4724,203.7409,2322.4483,2119.3249,83.6348
2009年,46.7467,56.2153,16.7581,193.8563,9655.5419,33.7981,40.2163,281.3068,2.6672,56.0418,20.0356,7.1192,546.7171,171.8678,173.8677,1166.5124,475.3078,345.0768,814.5777,1236.2383,52.9452,62.3106,5.1797,515.4416,2436.454,65.2034,104.2049,1.9862,34.4201,1.611,4.1336,202.3849,593.0515,427.9532,6.5947,88.3265,49.133,38.3015,222.6605,199.0001,2277.6411,2073.2409,100.1953
2010年,12.9074,23.2151,14.9953,236.2956,11748.5963,37.2509,42.3267,291.9892,3.0623,63.2463,20.9087,6.5607,712.6115,195.7274,224.3677,1397.8968,594.8928,435.9706,936.89,1411.5587,46.486,123.5729,5.6089,586.1561,3295.476,69.8025,131.901,2.2842,35.5956,1.8117,5.4639,224.6336,709.6494,492.7017,6.9345,116.1315,41.0404,48.5961,237.9459,236.7228,2589.9702,2371.3454,86.7238
2011年,29.7582,42.408,16.6949,272.0943,12626.4574,34.0239,45.7603,402.1274,15.7604,64.8481,23.5095,8.3509,730.9931,222.7226,240.3101,1367.1447,681.6502,530.9902,985.0899,1563.3547,50.9014,168.9669,5.9631,621.0204,3304.6268,56.3238,137.0149,5.3913,41.0511,2.0249,6.1659,244.2839,821.7126,551.6461,8.6675,125.7239,44.4911,76.3074,295.9296,282.3352,2842.282,2608.1096,97.1575
2012年,24.8386,37.6661,16.552,262.9419,12882.0043,30.4424,45.1332,405.4745,6.7364,70.7414,22.3374,13.1112,788.723,209.8035,256.9626,992.1742,738.2245,429.6048,1109.3893,1659.1585,31.1539,53.3855,8.5209,660.5071,3768.6777,59.5848,155.4349,2.4336,51.1404,1.4703,5.1939,250.7265,875.451,578.3413,8.8884,121.6628,21.0931,80.2004,260.9225,288.8467,3073.2276,2788.4523,129.3404
2013年,23.1009,34.2591,17.7284,272.7543,13736.8264,28.1359,65.2535,424.6995,8.9618,65.5977,22.2919,14.4717,878.679,203.3921,285.9817,1034.2362,577.8046,422.5463,1374.7977,1942.5634,32.1684,42.5114,10.1617,710.7265,4167.9631,69.8334,144.1928,2.5422,34.801,2.8945,5.8614,284.061,883.753,643.3182,7.2899,156.7291,28.0779,89.051,266.7766,300.9891,3239.3763,2968.4835,126.7
2014年,27.3153,37.8941,17.3487,270.6553,13986.2331,31.2103,74.8172,462.2947,10.1308,67.5607,9.3906,4.3833,990.8632,161.1423,286.7955,1095.1578,468.8561,470.207,1410.4638,1949.2169,27.4558,43.2717,11.7688,749.5224,4236.0218,0.0,146.2224,2.3068,26.5409,1.3434,5.0384,348.2162,883.5644,651.1659,7.767,121.8014,31.5164,105.5732,235.9162,302.8369,3069.6007,0.0,125.9737
