,中外合作经营餐饮业企业主营业务成本,中外合资经营餐饮业企业主营业务成本,其他外商投资餐饮业企业主营业务成本,其他有限责任公司餐饮业企业主营业务成本,其他港澳台商投资餐饮业企业主营业务成本,其他联营餐饮业企业主营业务成本,其他餐饮业企业主营业务成本,其他餐饮服务业主营业务成本,内资餐饮业企业主营业务成本,国有与集体联营餐饮业企业主营业务成本,国有独资公司餐饮业企业主营业务成本,国有联营餐饮业企业主营业务成本,国有餐饮业企业主营业务成本,外商投资股份有限公司餐饮业企业主营业务成本,外商投资餐饮业企业主营业务成本,外资餐饮业企业主营业务成本,快餐服务业主营业务成本,有限责任公司餐饮业企业主营业务成本,正餐服务业主营业务成本,港、澳、台商合作经营餐饮业企业主营业务成本,港、澳、台商合资经营餐饮业企业主营业务成本,港、澳、台商投资股份有限公司餐饮业企业主营业务成本,港、澳、台商投资餐饮业企业主营业务成本,港、澳、台商独资经营餐饮业企业主营业务成本,私营合伙餐饮业企业主营业务成本,私营有限责任公司餐饮业企业主营业务成本,私营独资餐饮业企业主营业务成本,私营股份有限公司餐饮业企业主营业务成本,私营餐饮业企业主营业务成本,联营餐饮业企业主营业务成本,股份合作餐饮业企业主营业务成本,股份有限公司餐饮业企业主营业务成本,集体联营餐饮业企业主营业务成本,集体餐饮业企业主营业务成本,餐饮业企业主营业务成本,饮料及冷饮服务业主营业务成本
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,4.2948,14.7449,0.0,7.7809,0.0,0.6464,0.1161,0.0,100.1659,0.4021,1.1458,0.9823,46.4809,0.1736,26.008,6.7947,0.0,8.9267,0.0,5.1226,9.177,0.4227,19.2536,4.5313,0.7288,4.7203,5.4853,0.6464,11.5807,2.453,4.8908,6.152,0.4222,19.5658,145.4276,0.0
1999年,4.9816,15.4239,0.0,13.0599,0.0,0.3203,0.3054,3.5413,116.4298,0.4891,1.2941,0.7464,41.2914,0.0435,29.9286,9.4796,27.2309,14.3539,135.9278,4.5904,12.871,0.2772,20.3416,2.6031,1.0567,10.421,7.838,1.8059,21.1216,1.8684,7.2215,8.0432,0.3126,22.2245,166.7,0.0
2000年,5.65,19.344,0.0,19.531,0.0,0.3584,0.0652,2.9605,132.72,0.4036,1.8669,0.4694,40.4229,0.1826,38.2839,13.1073,37.6871,21.3978,153.9185,4.6954,14.0172,0.2405,23.5623,4.6091,1.4718,17.7157,11.1917,1.9954,32.3746,1.4641,8.4622,7.9705,0.2328,20.5626,194.5662,0.0
2001年,7.3817,19.2411,0.0,27.6544,0.0,0.5914,0.2456,3.1,167.0265,0.3057,1.9493,0.2661,33.078,0.194,41.7694,14.9527,47.4722,29.6037,186.5751,6.464,15.4409,0.4539,28.3646,6.0058,2.8464,40.425,15.9652,3.8956,63.1321,1.497,11.9364,8.7279,0.3338,18.8059,237.1605,47.4722
2002年,9.5688,21.8335,0.0,37.7319,0.0,0.7797,1.0492,6.7,218.7736,0.3383,0.9959,0.4609,33.5701,0.417,50.086,18.2667,56.8752,38.7278,235.8058,6.5321,15.5583,0.3194,30.4782,8.0684,6.0084,64.9668,24.2072,5.2548,100.4371,2.0056,14.0413,10.7291,0.4267,18.2135,299.33781,56.8752
2003年,10.41591,23.42658,0.0,52.08092,0.0,0.64985,2.18254,6.8,271.76635,0.30497,0.23871,0.4015,31.47756,0.27894,54.38341,20.26198,58.63601,52.31963,295.62517,7.143,13.47868,0.24483,35.56545,14.69894,11.60529,91.39022,33.50881,6.3557,142.86002,1.44304,11.79893,11.23385,0.08672,18.45078,361.71521,0.68535
2004年,18.79162,35.21061,0.0,82.32947,0.0,0.95107,3.689,15.44525,454.06067,0.40006,0.75034,0.48986,26.49764,0.22159,87.57304,33.34922,81.00848,83.07981,482.37345,6.59653,19.79058,0.01381,40.459,14.05808,14.83382,204.76566,56.18526,16.01085,291.79559,2.10502,14.26635,16.52503,0.26403,16.10223,582.09271,3.26553
2005年,14.78101,32.49073,0.0,83.29604,0.0,1.10993,7.01849,16.09673,467.61547,0.0526,0.46964,0.33945,23.93601,0.51416,90.49076,42.70486,84.29273,83.76568,496.7823,6.0356,19.05884,0.18684,41.6935,16.41222,14.46857,210.96749,59.74615,17.48248,302.66469,1.91713,13.71235,19.36546,0.41515,15.16682,1199.28825,2.62797
2006年,14.747,39.4763,0.0,102.1034,0.0,1.0476,10.3518,20.3353,573.9947,0.0,0.8924,0.3075,26.5067,0.5398,113.9136,59.1505,101.9992,102.9958,604.889,4.8556,14.0236,0.1567,43.3347,24.2989,15.9661,264.5515,83.6607,16.9053,381.0836,1.7222,14.9733,21.6757,0.3297,14.6856,731.243,4.0195
2007年,17.47914,45.04001,0.0,131.73143,0.0,1.41097,13.1352,18.68789,704.90096,0.0,0.65821,0.49444,27.28409,0.45971,139.40637,76.42751,128.36818,132.38964,744.43547,3.40777,16.26767,0.74445,51.63448,31.21459,22.25457,319.58467,117.49396,19.43626,478.76946,2.49364,12.89378,21.95932,0.55399,15.97583,895.94181,4.45027
2008年,9.1481,40.8814,0.0,173.7722,0.0,1.2875,32.6953,40.5375,1047.4501,0.0,1.2455,0.1997,34.1237,4.0382,171.6156,117.5479,172.6439,175.0177,1079.843,5.1588,18.9523,8.8067,80.109,47.1913,35.8878,427.1276,244.0562,32.7094,739.7811,1.7266,13.6754,34.0111,0.2212,16.4193,1299.1748,6.1504
2009年,8.89547,40.31318,0.0,211.78956,0.0,0.83059,28.74849,52.45166,1095.33614,0.0,0.98749,0.0,36.33899,4.79327,164.50817,110.50625,188.1059,212.77705,1096.52621,5.84213,19.39628,9.19592,86.18096,51.74663,36.25777,441.75186,220.41461,46.01305,744.43729,1.0083,13.98812,39.5435,0.15426,18.4944,1346.02527,8.9415
2010年,8.3,44.5,0.0,236.6,0.0,1.0,34.9,55.3,1280.7,0.1,3.3,0.1,41.8,5.6,193.0,134.6,218.4,240.0,1293.6,5.9,30.3,2.9,103.7,64.5,40.9,535.2,246.2,56.5,878.7,1.4,16.0,48.5,0.2,19.5,1577.38957,10.2
2011年,7.0112,80.89,0.4988,330.3044,0.0728,0.8673,71.9268,68.4947,1481.9419,0.0813,4.0065,0.1917,51.2906,2.4046,306.8166,216.012,345.358,334.3108,1489.2807,7.1669,39.805,3.2266,126.633,76.3618,39.5694,616.9427,221.9501,51.0122,929.4744,3.7846,15.4861,55.7505,2.6443,19.9182,1915.3916,12.2582
2012年,8.00536,90.38806,0.44799,411.31631,0.1588,0.7366,79.45116,60.06034,1687.65008,0.0,5.25108,0.06796,54.4605,2.36249,344.96195,243.75805,376.23165,416.56739,1696.6881,8.42632,24.56452,1.08953,122.64366,88.40449,36.33612,695.93547,254.54945,46.32,1033.14104,4.56868,13.91849,64.92364,3.76412,20.61918,2155.25569,22.2756
2013年,7.28232,86.0575,1.02515,459.19633,0.15761,0.0,33.43436,80.23765,1781.43229,0.0,15.69176,0.0,37.47147,1.83807,386.13034,289.9273,420.59849,474.88809,1783.17615,8.27847,33.93234,0.84233,144.10944,100.89869,26.65057,838.03307,227.54371,49.44735,1141.6747,3.5254,8.96117,66.2341,3.5254,15.243,2311.67207,27.65978
2014年,6.81929,86.9,1.16866,466.97906,0.23292,0.0,31.4311,91.2,1782.0,0.0,22.57749,0.0,33.92171,1.90233,379.64148,282.79124,421.19802,489.55655,1765.2,7.51267,35.57581,0.88986,155.1,110.9,24.31494,852.0,214.2155,45.95452,1136.5,4.76584,8.20079,62.9718,4.76584,14.64406,2316.7,39.13889
