,中外合作经营餐饮业企业主营业务收入,中外合资经营餐饮业企业主营业务收入,其他外商投资餐饮业企业主营业务收入,其他有限责任公司餐饮业企业主营业务收入,其他港澳台商投资餐饮业企业主营业务收入,其他联营餐饮业企业主营业务收入,其他餐饮业企业主营业务收入,其他餐饮服务业主营业务收入,内资餐饮业企业主营业务收入,国有与集体联营餐饮业企业主营业务收入,国有独资公司餐饮业企业主营业务收入,国有联营餐饮业企业主营业务收入,国有餐饮业企业主营业务收入,外商投资股份有限公司餐饮业企业主营业务收入,外商投资餐饮业企业主营业务收入,外资餐饮业企业主营业务收入,快餐服务业主营业务收入,有限责任公司餐饮业企业主营业务收入,正餐服务业主营业务收入,港、澳、台商合作经营餐饮业企业主营业务收入,港、澳、台商合资经营餐饮业企业主营业务收入,港、澳、台商投资股份有限公司餐饮业企业主营业务收入,港、澳、台商投资餐饮业企业主营业务收入,港、澳、台商独资经营餐饮业企业主营业务收入,私营合伙餐饮业企业主营业务收入,私营有限责任公司餐饮业企业主营业务收入,私营独资餐饮业企业主营业务收入,私营股份有限公司餐饮业企业主营业务收入,私营餐饮业企业主营业务收入,联营餐饮业企业主营业务收入,股份合作餐饮业企业主营业务收入,股份有限公司餐饮业企业主营业务收入,集体联营餐饮业企业主营业务收入,集体餐饮业企业主营业务收入,餐饮业企业主营业务收入,饮料及冷饮服务业主营业务收入
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,11.2305,35.9783,0.0,15.7917,0.0,0.9379,0.2481,0.0,196.8859,0.8548,2.0341,2.0662,91.1686,0.3814,62.9444,15.3542,0.0,17.8258,0.0,11.4409,21.2315,1.1045,43.1115,9.3346,1.395,8.8999,9.4577,1.1945,20.9471,4.4705,8.9045,14.868,0.6116,38.4531,302.9417,0.0
1999年,12.7078,37.2742,0.0,26.5274,0.0,0.6109,0.5023,6.6329,232.02,1.227,2.9044,1.8625,84.5746,0.0956,70.9602,20.8826,61.1146,29.4319,284.2083,10.3207,32.5506,0.5636,48.9757,5.5409,1.8543,19.5905,13.4601,3.1189,38.0238,4.3459,14.0476,18.61,0.6456,42.484,351.9559,0.0
2000年,13.572,43.5709,0.0,39.4028,0.0,0.7437,0.0956,5.7177,262.0603,1.0837,3.8342,1.2677,83.7616,0.4495,86.9752,29.3828,84.8384,43.237,314.6884,10.9944,34.6696,0.4246,56.209,10.1204,2.6617,32.1351,19.379,3.6325,57.8082,3.4744,15.317,17.5634,0.3793,40.803,405.2445,0.0
2001年,17.0997,45.8774,0.0,56.8643,0.0,1.0613,0.4464,6.0,326.6106,0.8905,3.9201,0.7064,70.2645,0.46,97.5094,34.0723,106.2886,60.7843,377.6176,14.5168,36.8823,0.7918,65.7743,13.5834,4.8331,74.5367,27.6682,6.6449,113.6829,3.2079,21.6823,18.3535,0.5496,38.1888,489.8943,106.2886
2002年,23.9014,54.5507,0.0,75.0666,0.0,1.309,1.683,15.0,429.0602,0.9879,1.9307,1.385,73.323,0.9379,123.7175,44.3276,133.4119,76.9973,475.8035,14.6463,37.7712,0.7144,71.4693,18.3375,11.0997,122.3824,41.1588,9.5586,184.1995,4.5156,26.6557,24.3778,0.8336,37.3083,624.24706,133.4119
2003年,24.27968,59.26418,0.0,105.17904,0.0,1.23433,3.38711,14.7,526.02779,0.80795,0.67482,0.97868,69.63438,1.05427,138.38439,53.78626,145.13776,105.85386,585.34023,16.52711,31.3263,0.60565,82.57574,34.11668,20.32407,170.64469,57.7462,11.68733,260.40229,3.25761,21.94599,24.5332,0.23665,37.01335,746.98792,1.76879
2004年,48.81241,82.11838,0.0,161.52541,0.0,1.88688,6.55516,28.45833,841.42903,0.48343,1.43061,1.18356,55.13409,0.38433,219.10006,87.78494,204.38047,162.95602,912.69468,15.71393,47.68247,0.06778,92.74014,29.27596,26.13355,375.37441,94.56977,29.04504,525.12277,4.06697,25.46857,32.88895,0.5131,29.2365,1153.26923,7.73575
2005年,38.69276,80.54525,0.0,163.38005,0.0,2.20335,12.15079,30.35385,868.99513,0.1222,1.0234,0.89569,49.06613,1.18339,233.60929,113.18789,212.93458,164.40345,948.52242,14.59815,46.19626,0.32532,96.68383,35.5641,25.40747,392.26845,99.60531,30.12914,547.41037,3.93002,24.51208,39.71732,0.70878,27.72865,1207.80462,7.4774
2006年,38.5635,106.1525,0.0,202.0201,0.0,2.0189,17.7206,36.2052,1062.379,0.1272,1.6642,0.8232,53.0722,0.9997,302.1825,156.4668,272.0002,203.6843,1143.9921,11.7638,30.9783,0.2927,100.5746,57.5398,28.0868,489.8604,139.6181,31.0833,688.6485,3.6678,27.0095,42.4247,0.6984,26.1514,1465.1361,12.9387
2007年,44.48171,121.26424,0.0,261.26534,0.0,2.61852,22.83854,35.75645,1324.96646,0.08162,1.47254,1.39371,53.90587,0.93662,371.50503,204.82246,339.26786,262.73788,1427.82204,8.82416,37.41917,2.34005,119.43774,70.85436,38.58027,608.95727,196.8179,36.23225,880.58769,4.98458,23.15166,48.24208,0.89073,28.51816,1815.90923,13.06288
2008年,21.6183,105.6062,0.0,342.083,0.0,2.1439,57.4381,72.7726,1946.4109,0.0,2.3136,0.3848,65.1466,10.6234,445.6549,307.8071,443.1259,344.3966,2048.7203,12.5888,43.3386,23.8894,189.7591,109.9423,62.5213,806.3063,420.4681,59.4471,1348.7427,2.9158,24.9555,72.3411,0.3571,30.4746,2581.8249,17.2062
2009年,23.05572,109.45802,0.0,400.03323,0.0,1.54303,50.0109,91.51098,2002.0486,0.10377,1.71344,0.0,67.23454,13.08394,459.58281,313.98513,498.73797,401.74667,2052.12184,13.96089,45.1117,26.00569,206.4061,121.32782,61.93761,840.73266,362.79234,77.01136,1342.47397,1.89235,25.77018,80.16132,0.24555,32.75867,2668.03751,25.66672
2010年,17.5,123.1,0.0,478.6,0.0,1.6,61.5,109.8,2386.4,0.2,8.9,0.2,78.5,15.4,544.9,388.8,571.1,487.5,2464.5,15.0,74.3,9.0,246.7,148.4,70.0,1006.5,411.3,105.1,1592.9,2.4,29.6,100.5,0.4,33.4,3177.98211,32.7
2011年,13.6346,177.7466,1.7946,663.0131,0.1396,1.3054,124.8207,124.3214,2750.2212,0.2163,10.6669,0.2745,94.906,4.8433,682.425,484.4059,742.9134,673.68,2829.5834,17.292,83.2846,10.6296,303.0675,191.7218,65.6278,1158.2744,361.3176,87.6754,1672.8952,4.8734,29.1672,116.6946,3.0773,33.1842,3735.7138,38.8955
2012年,15.33799,193.65964,1.12644,831.29138,0.36402,1.04811,141.06467,111.20554,3194.54115,0.0,14.59152,0.10962,105.18782,5.04312,751.41041,536.24322,809.26652,845.8829,3264.33089,21.86926,51.84425,2.49691,304.86623,228.29179,60.42681,1337.98068,417.22109,86.69318,1902.32176,5.78307,26.29038,133.24731,4.62534,34.76324,4250.81779,66.01484
2013年,12.63707,184.14988,1.8545,900.83433,0.27624,0.0,54.82782,151.59599,3300.60242,0.0,31.82591,0.0,68.95767,4.3264,823.6512,620.68335,887.60749,932.66024,3358.97298,21.29535,69.83109,1.98525,360.0317,266.64377,44.68577,1551.81168,377.98815,89.8383,2064.3239,5.3876,16.99406,131.18888,5.3876,26.26225,4484.28532,86.10886
2014年,11.85421,190.6,2.36578,930.76217,0.5759,0.0,51.2761,163.6,3309.5,0.0,41.086,0.0,65.51077,4.63277,826.1,616.59234,912.79897,971.84817,3347.8,19.88896,73.73252,2.38295,407.99701,311.41668,40.64401,1585.5,340.50623,83.89079,2050.6,5.75523,15.90967,124.04887,5.75523,24.58614,4543.6,119.37963
