,事务所资质营业收入,公路工程营业收入,农林工程营业收入,冶炼工程营业收入,化工、石油工程营业收入,市政公用工程营业收入,建设工程监理营业收入,房屋建筑工程营业收入,机电安装工程营业收入,水利水电工程营业收入,港口与航道工程营业收入,电力工程营业收入,矿山工程营业收入,综合资质营业收入,航天航空工程营业收入,通信工程营业收入,铁路工程营业收入
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,58228.37,12601.38,52684.86,109755.98,156151.82,2796703.84724,1792560.29724,2673.47,141171.29,20847.19,342843.63,14372.96,0.0,4441.05,21017.54,67354.01
2006年,0.0,64707.29,13480.65,62665.98,364851.61,180166.8,3765438.55,2214146.48,3613.46,211115.01,24186.02,459886.79,21899.34,0.0,4135.32,34198.95,106384.85
2007年,0.0,56411.33,12646.88,81140.8,516314.22,213029.83,5267286.88,2934301.56,4284.66,709663.12,29479.42,521534.59,27980.84,0.0,5525.28,34931.59,120042.76
2008年,45.0,54380.0,16185.0,419236.0,701387.0,262407.0,6574397.0,3459553.0,48473.0,347690.0,36035.0,785918.0,47868.0,147635.0,5513.0,67446.0,174625.0
2009年,4088.81,61917.77,8705.55,525201.98,994671.83,307588.95,8545491.69,3814007.69,75432.67,358627.47,29177.04,1580873.58,76089.16,392000.28,10836.14,52698.59,253574.18
2010年,4907.0,85528.0,9139.0,567335.0,1763828.0,525752.0,11961387.0,4752079.0,100485.0,244770.0,27834.0,2738802.0,107257.0,577473.0,8176.0,68559.0,379463.0
2011年,20019.04,103563.3,7741.22,710330.33,2009484.43,583132.48,14925360.04,5975768.32,154335.74,571048.74,27767.95,3118157.38,170954.03,949447.47,15099.93,106865.67,401644.01
2012年,273.3,31035.38,381617.12,221749.16,701525.65,186797.82,17173111.05,478653.94,1165184.59,3586209.06,17210.6,8555.84,2221345.31,7178019.22,149977.56,724239.03,120717.47
2013年,0.0,0.0,0.0,0.0,0.0,0.0,20460377.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,16256.33,154974.48,8224.98,379094.81,3260664.91,1166078.73,22210825.52,9120581.5,73579.88,971368.04,45520.05,4317665.32,216232.25,1797495.85,23035.92,220620.88,439431.59
