,中药材及中成药类城市商品零售价格指数(上年=100),中西药品及医疗保健用品类城市商品零售价格指数(上年=100),主食类城市商品零售价格指数(上年=100),书报杂志及电子出版物类城市商品零售价格指数(上年=100),五金电料类城市商品零售价格指数(上年=100),交通、通信用品类城市商品零售价格指数(上年=100),体育娱乐用品类城市商品零售价格指数(上年=100),其它食品类城市商品零售价格指数(上年=100),化妆品类城市商品零售价格指数(上年=100),医疗器具及用品类城市商品零售价格指数(上年=100),在外用膳食品类城市商品零售价格指数(上年=100),地方小吃类城市商品零售价格指数(上年=100),城市商品零售价格指数(上年=100),家具类城市商品零售价格指数(上年=100),家用电器及音像器材类城市商品零售价格指数(上年=100),干鲜瓜果类城市商品零售价格指数(上年=100),床上用品类城市商品零售价格指数(上年=100),建筑材料及五金电料类城市商品零售价格指数(上年=100),建筑装璜材料类城市商品零售价格指数(上年=100),文化办公用品类城市商品零售价格指数(上年=100),日用品类城市商品零售价格指数(上年=100),日用杂品类城市商品零售价格指数(上年=100),日用百货类城市商品零售价格指数(上年=100),服装、鞋帽类城市商品零售价格指数(上年=100),服装类城市商品零售价格指数(上年=100),水产品类城市商品零售价格指数(上年=100),油脂类城市商品零售价格指数(上年=100),液体乳及乳制品类城市商品零售价格指数(上年=100),炒菜类城市商品零售价格指数(上年=100),烟草类城市商品零售价格指数(上年=100),燃料类城市商品零售价格指数(上年=100),粮食类城市商品零售价格指数(上年=100),糕点饼干面包类城市商品零售价格指数(上年=100),糖类城市商品零售价格指数(上年=100),纺织品类城市商品零售价格指数(上年=100),肉禽及其制品类城市商品零售价格指数(上年=100),茶及饮料类城市商品零售价格指数(上年=100),菜类城市商品零售价格指数(上年=100),蛋类城市商品零售价格指数(上年=100),衣着材料类城市商品零售价格指数(上年=100),西药类城市商品零售价格指数(上年=100),调味品类城市商品零售价格指数(上年=100),酒类城市商品零售价格指数(上年=100),金银珠宝类城市商品零售价格指数(上年=100),鞋袜帽类城市商品零售价格指数(上年=100),食品类城市商品零售价格指数(上年=100),饮料、烟酒类城市商品零售价格指数(上年=100)
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,120.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,113.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,105.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,100.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
