,中药材及中成药类城市商品零售价格指数(上年=100),中西药品及医疗保健用品类城市商品零售价格指数(上年=100),主食类城市商品零售价格指数(上年=100),书报杂志及电子出版物类城市商品零售价格指数(上年=100),五金电料类城市商品零售价格指数(上年=100),交通、通信用品类城市商品零售价格指数(上年=100),体育娱乐用品类城市商品零售价格指数(上年=100),其它食品类城市商品零售价格指数(上年=100),化妆品类城市商品零售价格指数(上年=100),医疗器具及用品类城市商品零售价格指数(上年=100),在外用膳食品类城市商品零售价格指数(上年=100),地方小吃类城市商品零售价格指数(上年=100),城市商品零售价格指数(上年=100),家具类城市商品零售价格指数(上年=100),家用电器及音像器材类城市商品零售价格指数(上年=100),干鲜瓜果类城市商品零售价格指数(上年=100),床上用品类城市商品零售价格指数(上年=100),建筑材料及五金电料类城市商品零售价格指数(上年=100),建筑装璜材料类城市商品零售价格指数(上年=100),文化办公用品类城市商品零售价格指数(上年=100),日用品类城市商品零售价格指数(上年=100),日用杂品类城市商品零售价格指数(上年=100),日用百货类城市商品零售价格指数(上年=100),服装、鞋帽类城市商品零售价格指数(上年=100),服装类城市商品零售价格指数(上年=100),水产品类城市商品零售价格指数(上年=100),油脂类城市商品零售价格指数(上年=100),液体乳及乳制品类城市商品零售价格指数(上年=100),炒菜类城市商品零售价格指数(上年=100),烟草类城市商品零售价格指数(上年=100),燃料类城市商品零售价格指数(上年=100),粮食类城市商品零售价格指数(上年=100),糕点饼干面包类城市商品零售价格指数(上年=100),糖类城市商品零售价格指数(上年=100),纺织品类城市商品零售价格指数(上年=100),肉禽及其制品类城市商品零售价格指数(上年=100),茶及饮料类城市商品零售价格指数(上年=100),菜类城市商品零售价格指数(上年=100),蛋类城市商品零售价格指数(上年=100),衣着材料类城市商品零售价格指数(上年=100),西药类城市商品零售价格指数(上年=100),调味品类城市商品零售价格指数(上年=100),酒类城市商品零售价格指数(上年=100),金银珠宝类城市商品零售价格指数(上年=100),鞋袜帽类城市商品零售价格指数(上年=100),食品类城市商品零售价格指数(上年=100),饮料、烟酒类城市商品零售价格指数(上年=100)
1998年,108.7,102.8,101.8,105.7,,,100.6,99.7,100.8,100.8,101.1,102.4,97.4,97.5,93.9,,,,97.5,97.6,98.9,99.7,99.6,99.0,98.2,94.5,102.1,100.4,100.5,,97.0,96.6,,,99.0,,,,,,98.7,99.0,,90.4,,96.9,98.6
1999年,106.3,101.3,100.3,105.5,,,99.2,98.6,99.9,100.0,99.3,101.1,97.0,97.5,94.0,,,,98.7,99.8,97.8,98.4,97.8,97.3,96.1,94.2,94.7,99.5,98.4,,101.0,96.2,,,98.3,,,,,,97.9,99.1,,94.6,,95.7,96.9
2000年,104.7,100.1,99.0,105.1,,,,100.4,98.5,99.7,99.8,101.7,98.5,97.8,93.4,,,98.8,98.6,,98.3,100.0,98.1,99.4,98.8,103.4,84.7,100.2,99.5,,118.9,91.2,,,99.0,,,,,,97.0,100.6,,97.1,,97.6,97.7
2001年,101.7,97.8,100.0,107.1,,,99.2,101.1,98.5,98.0,100.7,101.6,98.9,97.3,93.3,,,,100.4,98.2,98.2,99.7,98.4,98.6,98.0,95.9,88.9,100.0,100.7,,102.0,101.4,,,98.9,,,,,,95.0,100.5,,90.5,,100.7,99.6
2002年,,,100.2,101.3,,,,99.6,,,99.9,101.2,98.5,98.5,,,,,100.3,,98.9,98.9,99.0,97.4,97.1,96.3,100.4,99.5,99.5,,101.4,98.5,,,99.6,,,99.5,,,,100.8,,,,99.7,99.9
2003年,103.9546,98.1724,100.7448,100.3801,99.5321,90.7678,97.5781,99.3034,98.7506,100.4513,99.9815,100.0971,99.5636,97.5573,93.7015,102.4,,99.4183,99.3779,95.2909,98.2416,99.9877,97.6666,96.9717,96.9423,100.8084,111.6477,99.395,99.6822,99.5933,109.2349,101.9877,,,98.8846,102.5121,99.4986,116.4,98.5993,,94.2006,100.0012,100.3401,108.8776,96.7834,103.2084,99.8061
2004年,98.7243,96.7475,107.08,100.8743,101.6794,91.1302,97.7821,100.7422,98.8808,101.988,103.7699,105.6998,102.0687,98.7157,94.0836,103.6514,,103.0042,103.4646,96.372,99.4382,100.1064,99.2564,97.9316,97.9372,111.1404,114.9594,100.0945,102.1717,100.3536,111.4525,125.1589,,,99.5316,116.7667,99.8531,94.4349,120.3645,,94.3077,102.1962,102.6982,111.3597,97.798,108.7987,100.9731
2005年,96.5935,97.7462,102.7,100.3846,101.5885,90.8016,98.1294,101.5228,99.1966,98.5863,103.1502,102.4,100.5,98.6569,95.8737,101.8916,,101.9278,102.0417,96.0488,100.1885,100.6087,99.9039,97.3828,97.3633,106.2525,94.5715,100.7326,103.5,100.2591,114.3435,101.5803,,,99.3373,102.7849,100.1798,108.6345,104.3138,,97.8309,101.4734,100.8108,104.5846,97.3727,103.3065,100.4161
2006年,100.14189417,99.16907608,101.57816874,100.32338804,103.91047826,91.45310733,98.302449,101.45644993,99.54355396,98.87733542,101.98936484,101.65055495,100.86280957,99.88455588,96.70670051,116.02611517,,103.00701986,102.69458419,97.21683861,100.90152203,101.30072262,100.47572152,99.83602425,99.44363198,101.94948213,98.95585423,101.08862774,102.21220319,100.2248778,112.4902631,102.66042011,,,99.84812233,97.34810406,100.96308292,107.87001266,96.20013121,,98.31550549,102.18112306,101.66524758,119.15163364,101.01664273,102.62671687,100.8570574
2007年,107.56807487,101.68316689,108.59921996,99.83061378,103.74546151,91.94329885,96.81716128,104.82588796,100.06895447,98.63829035,107.06505868,110.66487269,103.32619,101.08288749,96.85218249,102.6271508,99.45349412,105.17688675,105.68426021,96.3282772,101.11135196,101.26405795,100.85252371,99.22594147,99.6346319,104.68241412,125.18674395,103.0545261,105.77219133,100.70787906,104.07275489,106.10217067,103.66054347,101.93299356,100.09061534,130.76055119,101.59980522,107.48819838,122.14690411,101.40505149,98.77701922,104.25342553,103.73746974,107.73462214,98.21715386,111.73036765,101.82764062
2008年,106.43556588,103.02038982,111.50334578,101.95487542,102.30513845,92.61813433,96.67778394,108.85549632,100.63161501,99.94132559,111.53607047,116.09388879,105.54357,102.49434675,96.35996475,111.27755374,99.73289458,107.36288359,109.13360594,95.85928047,103.614257,101.56093528,102.88536228,98.04358851,98.24937381,113.96400041,124.74115136,118.51873618,110.58487783,100.41670497,114.2947664,106.87687293,109.75093378,104.75925524,100.37529276,122.69475482,104.20646545,110.11447181,104.28864705,101.69975701,101.51036703,106.34975361,108.5663878,116.39739162,97.45510267,114.54188727,103.76371723
2009年,102.78339336,101.52206772,102.13715263,105.66690624,100.0509027,93.08256185,96.79955637,101.4753488,100.7081182,101.86583035,102.46960906,103.21403112,98.71104,99.91599308,93.6741005,106.89833016,98.61950932,98.60197564,98.12492396,95.30840849,102.0401264,102.07989989,101.44962577,97.79611969,97.97772745,102.7736251,82.01317161,101.30834312,102.43712685,100.43592523,92.80673419,105.91002214,102.72448607,102.7552947,99.39362606,91.94494257,102.06722532,112.99509025,101.30445611,100.99016776,100.90111548,103.73324254,103.71001049,95.25596751,97.15352393,101.14678868,101.84236982
2010年,110.8,104.1,102.9,101.1,101.9,95.3,97.7,102.2,100.4,103.4,103.8,105.3,102.84324,100.2,95.5,113.8,100.2,103.4,103.8,97.2,100.2,100.3,100.6,98.8,99.1,108.9,103.4,103.2,103.8,100.5,112.3,111.7,102.6,106.7,101.0,102.7,101.7,118.4,108.4,102.6,101.0,104.5,104.1,114.3,97.9,107.5,101.8
2011年,111.73178228,103.77329001,109.18940472,100.79712599,103.26056156,95.84691508,101.01007482,106.56290495,101.41684327,102.60007688,108.38627282,112.85791841,104.73466585,102.64765283,96.5091339,116.04745777,104.47584267,104.74394481,105.23571634,97.0991222,102.44590227,102.08324714,102.67508542,102.05273006,102.63843712,112.41254809,113.44895307,105.44394413,107.38878407,100.50914985,110.86907406,112.15743872,108.66253051,110.41852027,105.90331461,122.35206526,104.27904551,100.47391375,114.8883,109.84832838,99.45184047,106.12928646,107.1734067,113.60926116,100.58607463,111.77828509,103.54821754
2012年,104.80796805,102.0397772,106.58995496,101.41237269,101.73874242,95.59385798,100.98366538,105.01910394,102.29324835,102.31639992,106.6949074,108.39096692,101.90171657,101.41395772,97.42280867,99.72070406,100.33310955,100.19697038,99.69544039,97.86720894,102.22169888,101.6606076,101.73413284,102.75917022,103.1006884,107.92760762,105.63317034,103.25501142,106.32551506,100.28982415,102.79516327,103.94776074,104.0822916,104.57175717,101.37061101,102.96101563,104.31091005,113.48831947,97.17983693,104.0974345,100.19720348,104.49297117,106.84474388,100.57226927,101.95764637,105.08299439,103.43284834
2013年,103.11182585,101.4509225,106.39418007,101.19228575,100.88243488,97.06661265,100.65758853,101.18628011,101.49209014,100.77539313,104.28407969,106.56362787,101.28984008,101.35637502,98.02869134,105.53862298,100.64420352,100.48797533,100.35702994,98.32706796,100.73130078,100.8334169,100.34325519,102.11937707,102.36271532,103.8500925,100.29803413,106.20754278,103.30794987,100.04238518,99.95843514,104.77003928,102.51812555,100.96957139,100.9246828,104.66079885,102.14002481,107.43719984,104.78789059,101.63519791,100.1996873,103.48305514,99.91594704,91.86640076,101.60612843,104.624649,100.49369981
2014年,103.14696686,101.75817846,104.02368657,101.19197054,100.56227668,98.53368444,100.67898112,101.43429106,100.74377056,100.77303038,103.14694568,105.24538441,100.99310795,101.61606045,98.23178352,114.05007854,99.94230106,100.38211905,100.32200052,98.6753507,100.41478453,100.98846897,100.35434239,102.46193564,102.60810377,104.28292607,94.94528456,109.12130947,102.35592918,100.16228501,99.26842705,103.17059191,101.84933095,100.37260605,100.60015506,100.45355331,101.7950513,98.79042967,110.93344129,102.2503935,100.32391021,103.00488606,98.23875651,91.79020088,102.18043664,103.18157527,99.89046386
