,农村居民中等偏下收入户人均交通通信总支出,农村居民中等偏下收入户人均交通通信现金支出,农村居民中等偏下收入户人均其他总支出,农村居民中等偏下收入户人均其他现金支出,农村居民中等偏下收入户人均医疗保健总支出,农村居民中等偏下收入户人均医疗保健现金支出,农村居民中等偏下收入户人均家庭设备及用品总支出,农村居民中等偏下收入户人均家庭设备及用品现金支出,农村居民中等偏下收入户人均居住总支出,农村居民中等偏下收入户人均居住现金支出,农村居民中等偏下收入户人均文教娱乐总支出,农村居民中等偏下收入户人均文教娱乐现金支出,农村居民中等偏下收入户人均消费总支出,农村居民中等偏下收入户人均消费现金支出,农村居民中等偏下收入户人均衣着总支出,农村居民中等偏下收入户人均衣着现金支出,农村居民中等偏下收入户人均食品总支出,农村居民中等偏下收入户人均食品现金支出
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,67.65,67.65,33.74,33.74,74.88,74.88,52.83,52.74,174.75,145.86,145.5,145.5,1310.33,941.79,74.23,73.74,686.76,347.68
2003年,84.09,84.09,26.21,25.78,81.7,81.7,51.55,51.45,180.85,149.98,161.37,161.37,1377.56,1004.16,77.69,77.07,714.11,372.72
2004年,109.3,109.3,29.86,29.71,91.65,91.65,57.05,56.66,199.93,172.67,167.73,167.73,1580.99,1150.04,84.35,83.92,841.12,438.4
2005年,153.74,153.74,36.57,36.23,128.52,128.52,76.22,75.68,249.8,221.4,209.39,209.39,1913.07,1486.85,108.71,108.04,950.12,553.85
2006年,178.42,178.42,41.17,40.98,137.24,137.24,85.84,85.39,296.43,266.48,202.08,202.08,2039.13,1618.85,118.17,117.5,979.77,590.75
2007年,207.53,207.53,49.45,49.21,162.69,162.69,99.27,98.83,374.11,342.49,197.16,197.16,2357.9,1895.21,139.25,138.23,1128.45,699.08
2008年,224.25,224.25,52.74,52.73,187.27,187.27,122.55,122.2,428.34,396.51,194.58,194.58,2652.77,2151.88,149.34,148.24,1293.7,826.1
2009年,240.36,240.36,52.43,52.43,209.89,209.89,141.88,141.59,534.42,507.49,210.47,210.47,2870.95,2376.88,164.29,163.72,1317.21,850.93
2010年,281.12,281.12,65.05,65.05,246.69,246.69,174.04,173.27,562.21,531.35,235.15,235.15,3219.47,2685.76,190.64,189.81,1464.57,963.32
2011年,354.673755223,354.673755223,84.6735339356,84.6735339356,372.697244546,372.697244546,225.289531588,224.926614095,677.508528953,648.323553128,267.195177501,267.195177501,3962.29277895,3462.63832963,250.365258828,250.128306121,1729.88974838,1260.02014508
2012年,412.692686249,412.692686249,102.714968352,102.699857096,439.120517804,439.120517804,250.081934231,249.836701706,775.185491413,744.226764117,294.222672166,294.222672166,4464.3412652,3946.11680137,287.593394412,287.329976315,1902.72960057,1415.98762592
2013年,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,
