,农村居民低收入户人均交通通信总支出,农村居民低收入户人均交通通信现金支出,农村居民低收入户人均其他总支出,农村居民低收入户人均其他现金支出,农村居民低收入户人均医疗保健总支出,农村居民低收入户人均医疗保健现金支出,农村居民低收入户人均家庭设备及用品总支出,农村居民低收入户人均家庭设备及用品现金支出,农村居民低收入户人均居住总支出,农村居民低收入户人均居住现金支出,农村居民低收入户人均文教娱乐总支出,农村居民低收入户人均文教娱乐现金支出,农村居民低收入户人均消费总支出,农村居民低收入户人均消费现金支出,农村居民低收入户人均衣着总支出,农村居民低收入户人均衣着现金支出,农村居民低收入户人均食品总支出,农村居民低收入户人均食品现金支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,41.76,41.76,24.07,24.07,57.54,57.54,38.95,38.89,127.56,103.18,97.36,97.36,1006.35,676.6,56.75,56.45,562.37,257.36
2003年,56.91,56.91,18.03,17.52,63.83,63.83,39.35,39.25,141.56,113.8,109.94,109.94,1064.76,737.49,59.47,58.78,575.66,277.45
2004年,74.0,74.0,21.7,21.54,71.21,71.21,43.35,43.22,154.12,130.45,123.12,123.12,1248.29,855.56,66.42,65.53,694.37,326.5
2005年,111.19,111.19,25.45,25.17,106.45,106.45,59.6,58.98,205.88,183.7,155.49,155.49,1548.3,1163.18,87.98,87.2,796.26,435.0
2006年,129.13,129.13,30.8,30.59,117.55,117.55,63.88,63.38,237.17,212.4,146.44,146.44,1624.73,1238.96,94.44,93.66,805.33,445.81
2007年,143.7,143.7,33.98,33.67,124.76,124.76,74.47,73.81,285.61,259.1,144.92,144.92,1850.59,1426.33,110.99,110.43,932.16,535.93
2008年,168.35,168.35,36.96,36.96,145.93,145.93,88.24,87.91,348.24,321.49,147.0,147.0,2144.78,1674.0,121.64,121.22,1088.41,645.14
2009年,190.31,190.31,41.44,41.44,176.5,176.5,117.96,117.65,430.48,408.16,156.03,156.03,2354.92,1898.5,135.43,134.7,1106.77,673.71
2010年,208.64,208.64,45.43,45.43,190.25,190.25,120.4,120.04,417.71,385.9,164.96,164.96,2535.35,2022.51,151.23,150.84,1236.73,756.45
2011年,292.010254606,292.010254606,66.8433002115,66.8429154234,312.580228633,312.580228633,172.559377748,172.378208433,572.280003625,544.409959309,202.322402941,202.322402941,3312.58759156,2829.54917448,208.547027226,208.26217437,1485.44499657,1030.74303076
2012年,360.259630041,360.259630041,79.4105345979,79.3610936102,370.883713976,370.883713976,197.377654839,197.120465952,637.658581202,605.152904021,230.244290824,230.244290824,3742.25319308,3262.10264813,246.101535093,245.866485562,1620.31725251,1173.21406414
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
