,中等职业学校(机构)交通运输类毕业生数,中等职业学校(机构)休闲保健类毕业生数,中等职业学校(机构)体育与健身毕业生数,中等职业学校(机构)信息技术类毕业生数,中等职业学校(机构)公共管理与服务类毕业生数,中等职业学校(机构)农林牧渔类毕业生数,中等职业学校(机构)加工制造类毕业生数,中等职业学校(机构)医药卫生类毕业生数,中等职业学校(机构)司法服务类毕业生数,中等职业学校(机构)土木水利工程类毕业生数,中等职业学校(机构)教育类毕业生数,中等职业学校(机构)文化艺术类毕业生数,中等职业学校(机构)旅游服务类毕业生数,中等职业学校(机构)毕业生数,中等职业学校(机构)石油化工类毕业生数,中等职业学校(机构)能源与新能源类毕业生数,中等职业学校(机构)财经商贸类毕业生数,中等职业学校(机构)资源与环境类毕业生数,中等职业学校(机构)轻纺食品类毕业生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,7.2169,0.0,0.0,76.6995,0.0,17.1887,33.8482,34.0554,0.0,7.3515,0.0,0.0,0.0,305.6939,0.0,1.9753,0.0,1.6621,0.0
2005年,9.0465,0.0,0.0,90.8377,0.0,17.3862,47.0164,33.1183,0.0,7.8605,0.0,0.0,0.0,349.1921,0.0,2.3436,0.0,1.6693,0.0
2006年,10.6175,0.0,0.0,101.849,0.0,18.324,67.1277,35.07,0.0,9.3492,0.0,0.0,0.0,392.6271,0.0,2.804,0.0,2.7014,0.0
2007年,12.415,0.0,0.0,110.866,0.0,17.5404,89.9915,36.0584,0.0,10.134,0.0,0.0,0.0,431.2433,0.0,3.4845,0.0,3.4642,0.0
2008年,14.4098,0.0,0.0,118.9084,0.0,18.2755,107.8345,40.9167,0.0,11.9482,0.0,0.0,0.0,471.0924,0.0,4.1568,0.0,4.1845,0.0
2009年,17.2925,0.0,0.0,127.344,0.0,20.0041,128.6268,42.0776,0.0,13.0617,0.0,0.0,0.0,509.6654,0.0,4.1784,0.0,4.8155,0.0
2010年,22.3541,1.0902,3.4786,128.8833,8.4782,25.4803,130.8244,43.587,3.4545,14.6612,21.8216,28.0384,18.7585,543.6524,5.4447,3.7684,60.6217,6.0199,10.3456
2011年,25.4702,1.3293,3.7201,123.9731,7.6038,35.1875,116.0033,50.4644,2.7142,15.1897,24.3766,25.2848,21.2307,541.1252,5.4485,3.9229,60.8103,5.5738,6.5187
2012年,31.7352,2.1041,3.6496,116.1673,7.5172,57.9046,96.4112,53.4092,2.7393,16.2198,30.7139,24.7666,23.5796,554.384,4.5499,3.099,60.6019,3.9019,7.7067
2013年,32.7376,2.5532,3.792,103.0628,6.9921,75.7877,90.3618,50.0063,2.3814,18.118,36.5377,24.7456,22.7547,557.5587,4.003,2.9177,63.429,4.6648,6.7322
2014年,33.0196,2.4171,3.8738,90.7595,6.4684,64.3914,80.2368,45.2132,2.4692,21.0472,44.9815,23.3776,20.9832,516.1519,3.8705,2.3992,56.8646,3.6805,5.7266
