,中等职业学校(机构)交通运输类在校学生数,中等职业学校(机构)休闲保健类在校学生数,中等职业学校(机构)体育与健身在校学生数,中等职业学校(机构)信息技术类在校学生数,中等职业学校(机构)公共管理与服务类在校学生数,中等职业学校(机构)农林牧渔类在校学生数,中等职业学校(机构)加工制造类在校学生数,中等职业学校(机构)医药卫生类在校学生数,中等职业学校(机构)司法服务类在校学生数,中等职业学校(机构)土木水利工程类在校学生数,中等职业学校(机构)在校学生数,中等职业学校(机构)教育类在校学生数,中等职业学校(机构)文化艺术类在校学生数,中等职业学校(机构)旅游服务类在校学生数,中等职业学校(机构)石油化工类在校学生数,中等职业学校(机构)能源与新能源类在校学生数,中等职业学校(机构)财经商贸类在校学生数,中等职业学校(机构)资源与环境类在校学生数,中等职业学校(机构)轻纺食品类在校学生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,32.4914,0.0,0.0,296.1554,0.0,53.2252,183.0489,110.8831,0.0,28.8588,1174.7467,0.0,0.0,0.0,0.0,8.6655,0.0,5.8078,0.0
2005年,39.3742,0.0,0.0,327.7913,0.0,53.0306,250.4163,122.6777,0.0,32.2231,1324.7421,0.0,0.0,0.0,0.0,10.4139,0.0,8.4139,0.0
2006年,47.2265,0.0,0.0,359.2222,0.0,57.2913,324.8791,132.8663,0.0,36.9855,1489.0719,0.0,0.0,0.0,0.0,11.6894,0.0,11.3472,0.0
2007年,52.1174,0.0,0.0,393.1972,0.0,58.9056,393.3142,137.1676,0.0,40.0464,1619.859,0.0,0.0,0.0,0.0,11.9921,0.0,12.5508,0.0
2008年,62.5538,0.0,0.0,411.8728,0.0,64.8931,425.2334,144.2658,0.0,41.5704,1688.2421,0.0,0.0,0.0,0.0,12.4034,0.0,13.1851,0.0
2009年,74.3517,0.0,0.0,414.1793,0.0,118.0724,406.9468,159.7102,0.0,46.7433,1779.8473,0.0,0.0,0.0,0.0,12.4682,0.0,13.0934,0.0
2010年,92.2995,7.1353,12.0897,375.7587,26.4664,194.5251,341.0804,168.3865,8.2666,51.6368,1816.4447,85.9991,94.1092,75.8065,15.068,9.9929,193.7373,11.7013,32.0846
2011年,101.1086,8.9743,12.3992,342.0989,22.4445,225.9595,298.9952,165.0724,7.9001,58.9347,1774.9068,111.7272,84.1541,73.1429,12.8352,9.0926,186.818,10.8134,21.1447
2012年,108.3744,8.4024,12.8165,297.7614,19.6907,218.8579,265.85,153.9531,7.0268,61.1926,1689.882,131.9091,79.4437,72.9556,11.9058,8.0738,184.1117,10.8265,18.7715
2013年,113.5676,8.1875,12.1871,259.0293,18.0621,172.2323,230.6826,147.0917,6.2428,62.401,1536.3842,139.6498,74.8355,68.9918,10.7439,6.8184,167.3386,9.0803,15.2038
2014年,123.0956,8.189,11.8798,229.1937,14.6339,132.3974,204.1623,146.5838,5.3771,61.3386,1416.3127,136.7044,69.6562,67.3944,9.0018,5.7011,157.0698,6.8286,12.6192
