,人民检察院二审刑事案件撤回抗诉案件数,人民检察院二审撤回抗诉案件数,人民检察院二审渎职侵权案件撤回抗诉案件数,人民检察院二审贪污贿赂案件撤回抗诉案件数,人民检察院再审刑事案件撤回抗诉案件数,人民检察院再审撤回抗诉案件数,人民检察院再审渎职侵权案件撤回抗诉案件数,人民检察院再审贪污贿赂案件撤回抗诉案件数,人民检察院撤回抗诉案件数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0
2007年,404,496,5,87,19,30,1,10,526
2008年,313,385,12,60,18,27,3,6,412
2009年,356,435,1,78,14,22,2,6,457
2010年,400,480,8,72,24,25,0,1,505
2011年,446,510,8,56,21,24,1,2,534
2012年,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0
