,丝麻织品产品质量监督检验企业数,乳制品产品质量监督检验企业数,产品质量监督检验企业数,低压电器元件产品质量监督检验企业数,其他产品产品质量监督检验企业数,其它农用产品质量监督检验企业数,其它冶金产品及金属制品产品质量监督检验企业数,其它加工食品和饮料产品质量监督检验企业数,其它化工产品质量监督检验企业数,其它家用电器产品质量监督检验企业数,其它建材产品质量监督检验企业数,其它机械、电器产品质量监督检验企业数,其它纺织、鞋类产品质量监督检验企业数,其它轻工产品质量监督检验企业数,农用产品质量监督检验企业数,农用化肥产品质量监督检验企业数,农用薄膜产品质量监督检验企业数,冰箱、冷藏冷冻箱产品质量监督检验企业数,冶金产品及金属制品产品质量监督检验企业数,冷冻饮料产品质量监督检验企业数,加工食品和饮料产品质量监督检验企业数,化学农药产品质量监督检验企业数,化学试剂产品质量监督检验企业数,化工产品质量监督检验企业数,厨房电器具产品质量监督检验企业数,啤酒产品质量监督检验企业数,型材产品质量监督检验企业数,家具产品质量监督检验企业数,家用电器产品质量监督检验企业数,布(印染、色织、坯布)产品质量监督检验企业数,平板玻璃产品质量监督检验企业数,建材产品质量监督检验企业数,抽油烟机产品质量监督检验企业数,拖拉机产品质量监督检验企业数,收录机、音响设备产品质量监督检验企业数,机械、电器产品质量监督检验企业数,毛织品产品质量监督检验企业数,水暖管件产品质量监督检验企业数,水泥产品质量监督检验企业数,水泥预制构件产品质量监督检验企业数,油毡油纸产品质量监督检验企业数,洗衣机产品质量监督检验企业数,涂料、油漆产品质量监督检验企业数,消防器材产品质量监督检验企业数,灯泡灯管产品质量监督检验企业数,玩具产品质量监督检验企业数,电动工具产品质量监督检验企业数,电动机柴油机产品质量监督检验企业数,电热、燃气热水器产品质量监督检验企业数,电热器具产品质量监督检验企业数,电线产品质量监督检验企业数,电视机、录像机产品质量监督检验企业数,电话机产品质量监督检验企业数,电风扇产品质量监督检验企业数,白酒产品质量监督检验企业数,眼镜(架、片)产品质量监督检验企业数,砖瓦产品质量监督检验企业数,种子产品质量监督检验企业数,糕点糖果产品质量监督检验企业数,纸产品质量监督检验企业数,纸制品产品质量监督检验企业数,纺织、鞋类产品质量监督检验企业数,线材产品质量监督检验企业数,罐头产品质量监督检验企业数,轴承产品质量监督检验企业数,轻工产品质量监督检验企业数,针织品产品质量监督检验企业数,铝制品压力锅产品质量监督检验企业数,镇流器产品质量监督检验企业数,阀门、泵产品质量监督检验企业数,鞋产品质量监督检验企业数,食用植物油产品质量监督检验企业数,饲料产品质量监督检验企业数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
