,丝麻织品产品质量监督检验企业数,乳制品产品质量监督检验企业数,产品质量监督检验企业数,低压电器元件产品质量监督检验企业数,其他产品产品质量监督检验企业数,其它农用产品质量监督检验企业数,其它冶金产品及金属制品产品质量监督检验企业数,其它加工食品和饮料产品质量监督检验企业数,其它化工产品质量监督检验企业数,其它家用电器产品质量监督检验企业数,其它建材产品质量监督检验企业数,其它机械、电器产品质量监督检验企业数,其它纺织、鞋类产品质量监督检验企业数,其它轻工产品质量监督检验企业数,农用产品质量监督检验企业数,农用化肥产品质量监督检验企业数,农用薄膜产品质量监督检验企业数,冰箱、冷藏冷冻箱产品质量监督检验企业数,冶金产品及金属制品产品质量监督检验企业数,冷冻饮料产品质量监督检验企业数,加工食品和饮料产品质量监督检验企业数,化学农药产品质量监督检验企业数,化学试剂产品质量监督检验企业数,化工产品质量监督检验企业数,厨房电器具产品质量监督检验企业数,啤酒产品质量监督检验企业数,型材产品质量监督检验企业数,家具产品质量监督检验企业数,家用电器产品质量监督检验企业数,布(印染、色织、坯布)产品质量监督检验企业数,平板玻璃产品质量监督检验企业数,建材产品质量监督检验企业数,抽油烟机产品质量监督检验企业数,拖拉机产品质量监督检验企业数,收录机、音响设备产品质量监督检验企业数,机械、电器产品质量监督检验企业数,毛织品产品质量监督检验企业数,水暖管件产品质量监督检验企业数,水泥产品质量监督检验企业数,水泥预制构件产品质量监督检验企业数,油毡油纸产品质量监督检验企业数,洗衣机产品质量监督检验企业数,涂料、油漆产品质量监督检验企业数,消防器材产品质量监督检验企业数,灯泡灯管产品质量监督检验企业数,玩具产品质量监督检验企业数,电动工具产品质量监督检验企业数,电动机柴油机产品质量监督检验企业数,电热、燃气热水器产品质量监督检验企业数,电热器具产品质量监督检验企业数,电线产品质量监督检验企业数,电视机、录像机产品质量监督检验企业数,电话机产品质量监督检验企业数,电风扇产品质量监督检验企业数,白酒产品质量监督检验企业数,眼镜(架、片)产品质量监督检验企业数,砖瓦产品质量监督检验企业数,种子产品质量监督检验企业数,糕点糖果产品质量监督检验企业数,纸产品质量监督检验企业数,纸制品产品质量监督检验企业数,纺织、鞋类产品质量监督检验企业数,线材产品质量监督检验企业数,罐头产品质量监督检验企业数,轴承产品质量监督检验企业数,轻工产品质量监督检验企业数,针织品产品质量监督检验企业数,铝制品压力锅产品质量监督检验企业数,镇流器产品质量监督检验企业数,阀门、泵产品质量监督检验企业数,鞋产品质量监督检验企业数,食用植物油产品质量监督检验企业数,饲料产品质量监督检验企业数
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,776.0,2323.0,401089.0,2104.0,5989.0,,,,,,,,,,21133.0,7682.0,812.0,59.0,7255.0,10212.0,169834.0,992.0,609.0,9696.0,576.0,1383.0,1422.0,6505.0,4221.0,2244.0,63.0,89859.0,94.0,150.0,322.0,19491.0,677.0,1849.0,14512.0,19838.0,774.0,39.0,3883.0,298.0,661.0,548.0,353.0,626.0,302.0,734.0,3326.0,59.0,87.0,296.0,24761.0,2760.0,38637.0,929.0,34015.0,1662.0,8244.0,19940.0,2118.0,1376.0,943.0,37679.0,1303.0,137.0,119.0,2145.0,5953.0,16749.0,7520.0
2000年,494.0,2369.0,389675.0,1980.0,5654.0,,,,,,,,,,20232.0,7649.0,754.0,56.0,7077.0,7729.0,170044.0,819.0,593.0,9873.0,413.0,1425.0,1584.0,5682.0,3983.0,1949.0,128.0,84992.0,84.0,270.0,233.0,17692.0,870.0,1642.0,12023.0,20783.0,771.0,47.0,3784.0,338.0,551.0,531.0,382.0,538.0,290.0,877.0,3017.0,55.0,189.0,287.0,26722.0,2785.0,35659.0,518.0,36929.0,1971.0,7307.0,20315.0,2342.0,1655.0,475.0,34601.0,1484.0,186.0,177.0,1716.0,5826.0,16585.0,7700.0
2001年,250.0,2469.0,355119.0,1375.0,4451.0,,,,,,,,,,17844.0,6284.0,532.0,49.0,6862.0,6340.0,173029.0,485.0,736.0,8660.0,400.0,1055.0,1415.0,5691.0,3773.0,1436.0,186.0,67684.0,140.0,246.0,228.0,14844.0,388.0,1006.0,8515.0,17041.0,710.0,77.0,3644.0,216.0,390.0,572.0,251.0,448.0,320.0,770.0,2926.0,28.0,77.0,348.0,25366.0,3239.0,28950.0,429.0,33421.0,1727.0,5762.0,13543.0,1585.0,1356.0,397.0,30711.0,1000.0,129.0,97.0,1111.0,3578.0,20744.0,6314.0
2002年,165.0,2381.0,351682.0,1558.0,4151.0,,,,,,,,,,17509.0,6854.0,546.0,36.0,6729.0,5170.0,158563.0,644.0,637.0,9665.0,508.0,950.0,1270.0,4949.0,4273.0,1458.0,102.0,73814.0,183.0,67.0,363.0,16342.0,359.0,1362.0,10443.0,18645.0,633.0,14.0,4064.0,338.0,512.0,595.0,245.0,539.0,248.0,930.0,3394.0,135.0,77.0,294.0,22020.0,3713.0,29307.0,253.0,33810.0,1715.0,6343.0,14465.0,1876.0,1196.0,308.0,32732.0,1314.0,135.0,127.0,1599.0,3613.0,16744.0,5546.0
2003年,616.0,2099.0,319492.0,1134.0,119479.0,,,,,,,,,,14559.0,7729.0,635.0,10.0,3213.0,3687.0,77813.0,1123.0,776.0,4424.0,318.0,1150.0,963.0,7177.0,2503.0,991.0,40.0,66515.0,101.0,357.0,103.0,5700.0,214.0,2215.0,9108.0,21554.0,751.0,112.0,3648.0,291.0,537.0,459.0,332.0,245.0,212.0,1219.0,2044.0,24.0,131.0,485.0,31543.0,3147.0,32847.0,335.0,28711.0,2243.0,5154.0,10430.0,2250.0,1081.0,214.0,19280.0,1112.0,306.0,45.0,1440.0,7497.0,9542.0,4380.0
2004年,267.0,2222.0,181820.0,1055.0,6957.0,,,,,,,,,,11627.0,6456.0,395.0,55.0,2683.0,3204.0,67778.0,722.0,829.0,5270.0,440.0,800.0,1331.0,6002.0,2367.0,819.0,174.0,51509.0,151.0,216.0,497.0,8209.0,292.0,1733.0,9410.0,14220.0,317.0,60.0,4441.0,268.0,863.0,206.0,391.0,789.0,104.0,793.0,3401.0,85.0,117.0,169.0,19685.0,4366.0,25655.0,158.0,29249.0,2056.0,4866.0,6621.0,1352.0,1319.0,558.0,18799.0,749.0,218.0,118.0,1747.0,4494.0,11299.0,3680.0
2005年,560.0,2939.0,218612.0,3451.0,6543.0,,,,,,,,,,15795.0,8365.0,563.0,89.0,5019.0,2022.0,79801.0,1836.0,1202.0,6296.0,1162.0,907.0,2605.0,8566.0,3309.0,1500.0,229.0,50309.0,212.0,567.0,570.0,14043.0,631.0,1410.0,10008.0,12821.0,211.0,101.0,5094.0,611.0,950.0,379.0,508.0,1394.0,202.0,679.0,4504.0,124.0,167.0,205.0,22423.0,7496.0,25630.0,198.0,35544.0,1483.0,7157.0,10827.0,2414.0,1768.0,763.0,26670.0,1750.0,278.0,159.0,2812.0,6386.0,14198.0,4266.0
2006年,424.0,1599.0,188093.0,2503.0,89363.0,,,,,,,,,,10113.0,6174.0,344.0,57.0,2943.0,4013.0,28905.0,1597.0,764.0,3976.0,556.0,652.0,1276.0,3439.0,3113.0,549.0,116.0,19850.0,315.0,141.0,101.0,9172.0,326.0,1296.0,4971.0,3523.0,187.0,134.0,3212.0,637.0,740.0,968.0,541.0,582.0,242.0,1358.0,2722.0,126.0,97.0,369.0,7334.0,4572.0,9757.0,101.0,11186.0,911.0,2917.0,6518.0,1667.0,1370.0,411.0,14140.0,1686.0,161.0,190.0,1776.0,3533.0,2751.0,1756.0
2007年,389.0,2351.0,337613.0,3372.0,116691.0,852.0,584.0,45696.0,1867.0,2962.0,6734.0,2179.0,2689.0,7750.0,13616.0,7666.0,579.0,138.0,4172.0,2655.0,90751.0,1569.0,908.0,7041.0,1635.0,761.0,2019.0,7297.0,7553.0,750.0,357.0,37810.0,278.0,378.0,551.0,15042.0,547.0,1951.0,6856.0,6398.0,291.0,122.0,4266.0,856.0,998.0,1846.0,665.0,1176.0,713.0,852.0,4725.0,168.0,348.0,499.0,11128.0,7521.0,15223.0,16.0,18335.0,1000.0,5212.0,12024.0,1569.0,1483.0,516.0,32913.0,3758.0,217.0,359.0,1553.0,3891.0,8342.0,2556.0
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
