,丝麻织品产品质量监督检查批次合格率,乳制品产品质量监督检查批次合格率,产品质量监督检查批次合格率,低压电器元件产品质量监督检查批次合格率,其他产品产品质量监督检查批次合格率,其它农用产品质量监督检查批次合格率,其它冶金产品及金属制品产品质量监督检查批次合格率,其它加工食品和饮料产品质量监督检查批次合格率,其它化工产品质量监督检查批次合格率,其它家用电器产品质量监督检查批次合格率,其它建材产品质量监督检查批次合格率,其它机械、电器产品质量监督检查批次合格率,其它纺织、鞋类产品质量监督检查批次合格率,其它轻工产品质量监督检查批次合格率,农用产品质量监督检查批次合格率,农用化肥产品质量监督检查批次合格率,农用薄膜产品质量监督检查批次合格率,冰箱、冷藏冷冻箱产品质量监督检查批次合格率,冶金产品及金属制品产品质量监督检查批次合格率,冷冻饮料产品质量监督检查批次合格率,加工食品和饮料产品质量监督检查批次合格率,化学农药产品质量监督检查批次合格率,化学试剂产品质量监督检查批次合格率,化工产品质量监督检查批次合格率,厨房电器具产品质量监督检查批次合格率,啤酒产品质量监督检查批次合格率,型材产品质量监督检查批次合格率,家具产品质量监督检查批次合格率,家用电器产品质量监督检查批次合格率,布(印染、色织、坯布)产品质量监督检查批次合格率,平板玻璃产品质量监督检查批次合格率,建材产品质量监督检查批次合格率,抽油烟机产品质量监督检查批次合格率,拖拉机产品质量监督检查批次合格率,收录机、音响设备产品质量监督检查批次合格率,机械、电器产品质量监督检查批次合格率,毛织品产品质量监督检查批次合格率,水暖管件产品质量监督检查批次合格率,水泥产品质量监督检查批次合格率,水泥预制构件产品质量监督检查批次合格率,油毡油纸产品质量监督检查批次合格率,洗衣机产品质量监督检查批次合格率,涂料、油漆产品质量监督检查批次合格率,消防器材产品质量监督检查批次合格率,灯泡灯管产品质量监督检查批次合格率,玩具产品质量监督检查批次合格率,电动工具产品质量监督检查批次合格率,电动机柴油机产品质量监督检查批次合格率,电热、燃气热水器产品质量监督检查批次合格率,电热器具产品质量监督检查批次合格率,电线产品质量监督检查批次合格率,电视机、录像机产品质量监督检查批次合格率,电话机产品质量监督检查批次合格率,电风扇产品质量监督检查批次合格率,白酒产品质量监督检查批次合格率,眼镜(架、片)产品质量监督检查批次合格率,砖瓦产品质量监督检查批次合格率,种子产品质量监督检查批次合格率,糕点糖果产品质量监督检查批次合格率,纸产品质量监督检查批次合格率,纸制品产品质量监督检查批次合格率,纺织、鞋类产品质量监督检查批次合格率,线材产品质量监督检查批次合格率,罐头产品质量监督检查批次合格率,轴承产品质量监督检查批次合格率,轻工产品质量监督检查批次合格率,针织品产品质量监督检查批次合格率,铝制品压力锅产品质量监督检查批次合格率,镇流器产品质量监督检查批次合格率,阀门、泵产品质量监督检查批次合格率,鞋产品质量监督检查批次合格率,食用植物油产品质量监督检查批次合格率,饲料产品质量监督检查批次合格率
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
