,丝麻织品产品质量监督检查批次合格率,乳制品产品质量监督检查批次合格率,产品质量监督检查批次合格率,低压电器元件产品质量监督检查批次合格率,其他产品产品质量监督检查批次合格率,其它农用产品质量监督检查批次合格率,其它冶金产品及金属制品产品质量监督检查批次合格率,其它加工食品和饮料产品质量监督检查批次合格率,其它化工产品质量监督检查批次合格率,其它家用电器产品质量监督检查批次合格率,其它建材产品质量监督检查批次合格率,其它机械、电器产品质量监督检查批次合格率,其它纺织、鞋类产品质量监督检查批次合格率,其它轻工产品质量监督检查批次合格率,农用产品质量监督检查批次合格率,农用化肥产品质量监督检查批次合格率,农用薄膜产品质量监督检查批次合格率,冰箱、冷藏冷冻箱产品质量监督检查批次合格率,冶金产品及金属制品产品质量监督检查批次合格率,冷冻饮料产品质量监督检查批次合格率,加工食品和饮料产品质量监督检查批次合格率,化学农药产品质量监督检查批次合格率,化学试剂产品质量监督检查批次合格率,化工产品质量监督检查批次合格率,厨房电器具产品质量监督检查批次合格率,啤酒产品质量监督检查批次合格率,型材产品质量监督检查批次合格率,家具产品质量监督检查批次合格率,家用电器产品质量监督检查批次合格率,布(印染、色织、坯布)产品质量监督检查批次合格率,平板玻璃产品质量监督检查批次合格率,建材产品质量监督检查批次合格率,抽油烟机产品质量监督检查批次合格率,拖拉机产品质量监督检查批次合格率,收录机、音响设备产品质量监督检查批次合格率,机械、电器产品质量监督检查批次合格率,毛织品产品质量监督检查批次合格率,水暖管件产品质量监督检查批次合格率,水泥产品质量监督检查批次合格率,水泥预制构件产品质量监督检查批次合格率,油毡油纸产品质量监督检查批次合格率,洗衣机产品质量监督检查批次合格率,涂料、油漆产品质量监督检查批次合格率,消防器材产品质量监督检查批次合格率,灯泡灯管产品质量监督检查批次合格率,玩具产品质量监督检查批次合格率,电动工具产品质量监督检查批次合格率,电动机柴油机产品质量监督检查批次合格率,电热、燃气热水器产品质量监督检查批次合格率,电热器具产品质量监督检查批次合格率,电线产品质量监督检查批次合格率,电视机、录像机产品质量监督检查批次合格率,电话机产品质量监督检查批次合格率,电风扇产品质量监督检查批次合格率,白酒产品质量监督检查批次合格率,眼镜(架、片)产品质量监督检查批次合格率,砖瓦产品质量监督检查批次合格率,种子产品质量监督检查批次合格率,糕点糖果产品质量监督检查批次合格率,纸产品质量监督检查批次合格率,纸制品产品质量监督检查批次合格率,纺织、鞋类产品质量监督检查批次合格率,线材产品质量监督检查批次合格率,罐头产品质量监督检查批次合格率,轴承产品质量监督检查批次合格率,轻工产品质量监督检查批次合格率,针织品产品质量监督检查批次合格率,铝制品压力锅产品质量监督检查批次合格率,镇流器产品质量监督检查批次合格率,阀门、泵产品质量监督检查批次合格率,鞋产品质量监督检查批次合格率,食用植物油产品质量监督检查批次合格率,饲料产品质量监督检查批次合格率
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,91.38,79.68,79.92,88.86,76.62,,,,,,,,,,81.28,79.9,75.76,97.44,79.77,64.35,75.25,90.05,92.31,84.66,44.89,93.48,77.29,74.83,74.85,92.58,83.33,85.25,58.97,68.66,84.3,86.14,86.38,65.18,91.6,90.32,47.07,100.0,78.02,90.41,86.89,82.51,92.26,77.57,97.42,75.53,77.88,97.7,88.97,69.78,76.6,78.78,83.73,74.34,77.66,78.33,81.95,85.73,73.88,74.1,78.02,81.29,84.38,92.97,85.71,83.85,76.7,87.77,83.13
2000年,94.77,83.54,80.87,88.08,75.22,,,,,,,,,,82.38,79.9,72.3,95.45,77.43,67.4,77.18,89.87,89.96,86.13,85.52,92.47,77.7,76.82,82.85,93.91,67.93,85.56,79.35,83.67,84.13,87.29,90.52,71.28,94.3,89.88,49.86,86.27,81.81,84.92,81.97,82.63,88.01,91.5,93.29,79.8,82.57,81.33,76.04,79.2,78.83,78.03,83.49,85.38,77.63,77.46,81.48,84.92,71.09,75.99,87.86,81.69,81.24,74.45,82.38,86.38,77.07,88.04,84.07
2001年,90.88,81.35,81.07,90.45,81.43,,,,,,,,,,82.15,80.72,81.61,89.09,80.41,68.72,77.45,88.99,93.01,86.71,83.96,94.3,80.47,77.44,82.28,94.1,74.66,85.86,68.28,84.83,78.17,88.99,94.19,90.92,93.26,89.31,67.35,64.63,83.63,95.59,80.83,71.57,64.38,93.55,88.12,83.76,84.11,66.67,89.52,63.99,78.45,81.38,82.76,88.86,77.27,81.25,82.25,85.09,76.31,73.77,79.77,83.28,88.19,91.84,88.33,88.87,77.28,87.8,81.5
2002年,92.13,82.03,83.59,90.77,82.24,,,,,,,,,,83.79,80.09,80.99,95.92,84.92,73.13,80.4,91.94,91.02,86.03,85.99,94.84,84.58,79.67,82.62,96.52,95.35,87.37,68.06,89.19,80.2,90.13,93.14,89.33,94.98,90.7,73.82,94.12,86.24,90.28,85.57,73.97,87.2,93.5,85.48,83.63,84.46,73.57,61.88,78.67,78.89,83.74,84.7,86.51,81.65,82.85,85.8,86.71,78.5,77.2,92.69,85.83,90.26,88.37,85.51,92.29,76.43,87.53,85.8
2003年,93.1,81.97,86.07,94.66,84.53,,,,,,,,,,84.44,84.14,76.24,100.0,78.92,74.39,82.59,87.53,86.8,89.34,92.18,93.96,79.73,78.53,82.8,93.47,84.61,92.97,78.12,87.32,93.55,66.98,94.44,83.45,94.25,92.87,50.0,89.19,89.9,83.08,89.1,81.38,85.33,96.63,97.26,82.24,87.61,96.14,86.0,71.63,84.25,90.34,94.93,82.6,80.91,72.41,81.91,88.27,78.62,77.61,90.0,82.23,84.42,92.25,94.74,92.43,87.48,85.34,84.56
2004年,94.76,84.51,83.62,90.92,78.82,,,,,,,,,,82.29,79.79,84.21,92.54,82.92,67.47,81.12,88.73,87.71,88.79,91.37,92.69,81.79,78.23,85.15,86.7,86.77,88.04,72.22,90.85,81.03,88.89,94.2,86.53,92.78,91.76,88.52,84.62,88.98,82.68,84.97,84.8,85.38,88.69,91.38,85.7,88.14,83.33,86.88,88.44,79.63,82.71,84.19,84.35,81.01,78.16,80.59,84.4,83.92,83.98,81.29,80.48,90.42,83.74,91.61,94.05,81.59,85.72,83.73
2005年,91.52,86.73,84.59,94.07,77.45,,,,,,,,,,81.76,79.09,88.09,88.89,87.0,74.38,81.82,87.29,91.42,88.33,85.51,94.0,85.61,88.6,83.9,89.59,95.84,88.72,75.86,84.97,80.92,90.37,86.61,81.5,93.64,91.98,79.31,88.79,87.66,93.39,84.85,39.39,89.45,91.16,94.09,83.0,86.52,78.62,90.42,86.09,79.88,85.7,85.39,91.92,81.75,75.55,81.38,88.81,88.26,79.25,90.74,83.41,85.98,90.44,91.16,92.33,89.52,84.25,81.58
2006年,85.9764172336,87.9084044527,81.7400832906,84.2296302755,81.666209551,,,,,,,,,,83.4432521111,81.1108106695,83.6845769231,92.2711864407,76.2446202692,73.5252163509,80.8132870497,86.7561732283,91.0742971429,86.5327595386,79.9485434174,90.3851671733,73.9945604048,73.9777540626,76.3787786049,75.4722188906,68.8404958678,82.6192390546,65.1588922156,82.0981538462,65.8558095238,84.640004914,80.4272371134,77.7994234465,90.8027766959,84.4654780733,81.3374770642,90.8705369128,85.4389402697,67.6400216685,74.6459464286,70.951460177,83.4967100977,85.741686747,90.9718045113,77.8134802632,88.6474389966,62.0014925373,72.0389830508,75.2948178138,79.6384734785,89.3212684416,78.0702131439,94.9366906475,80.3013328725,75.296758794,76.6146413736,83.8195003775,77.7545288625,87.237612978,80.1398430493,79.9839690954,82.0844251405,80.3737423313,82.8952192982,87.550248927,86.0163216561,86.4935557587,87.4286764706
2007年,77.2839506173,86.5049928673,86.2281095288,89.1102558297,88.0476116748,84.11,91.32,85.92,92.41,72.51,82.04,90.97,73.44,90.99,84.078606731,80.8706841089,83.1202046036,93.5064935065,80.4874163746,78.9836143434,83.0554053462,87.526652452,95.358955765,90.7970333229,80.4358844399,92.7813163482,76.0191846523,77.6244343891,75.5309734513,90.1869158879,86.4406779661,85.4918748536,71.1267605634,88.9434889435,67.9331306991,88.0846088435,79.8459563543,74.4335185977,94.3170849421,88.639587363,82.2085889571,95.6204379562,88.8503649635,86.7075664622,76.4514024788,65.0178253119,87.5647668394,88.4704073789,81.2570145903,81.1007268951,85.5091173148,60.1990049751,62.8235294118,84.7635726795,82.0416442933,89.9922334406,83.4404875049,88.4615384615,81.0234159286,78.7589498807,83.5322195704,81.2,80.2836879433,85.8249419055,82.0469798658,84.9991743044,77.0503427086,88.9880952381,84.0517241379,92.706013363,90.7171231445,87.8481432361,90.3796745647
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
