,中国对不丹承包工程年末在外劳务人员,中国对东帝汶承包工程年末在外劳务人员,中国对中国台湾承包工程年末在外劳务人员,中国对中国澳门承包工程年末在外劳务人员,中国对中国香港承包工程年末在外劳务人员,中国对乌兹别克斯坦承包工程年末在外劳务人员,中国对也门共和国承包工程年末在外劳务人员,中国对亚洲其他国家承包工程年末在外劳务人员,中国对亚洲承包工程年末在外劳务人员,中国对以色列承包工程年末在外劳务人员,中国对伊拉克承包工程年末在外劳务人员,中国对伊朗承包工程年末在外劳务人员,中国对卡塔尔承包工程年末在外劳务人员,中国对印度尼西亚承包工程年末在外劳务人员,中国对印度承包工程年末在外劳务人员,中国对叙利亚承包工程年末在外劳务人员,中国对吉尔吉斯斯坦承包工程年末在外劳务人员,中国对哈萨克斯坦承包工程年末在外劳务人员,中国对土库曼斯坦承包工程年末在外劳务人员,中国对土耳其承包工程年末在外劳务人员,中国对塔吉克斯坦承包工程年末在外劳务人员,中国对塞浦路斯承包工程年末在外劳务人员,中国对孟加拉国承包工程年末在外劳务人员,中国对尼泊尔承包工程年末在外劳务人员,中国对巴基斯坦承包工程年末在外劳务人员,中国对巴林承包工程年末在外劳务人员,中国对文莱承包工程年末在外劳务人员,中国对斯里兰卡承包工程年末在外劳务人员,中国对新加坡承包工程年末在外劳务人员,中国对日本承包工程年末在外劳务人员,中国对朝鲜承包工程年末在外劳务人员,中国对柬埔寨承包工程年末在外劳务人员,中国对沙特阿拉伯承包工程年末在外劳务人员,中国对泰国承包工程年末在外劳务人员,中国对科威特承包工程年末在外劳务人员,中国对约旦承包工程年末在外劳务人员,中国对缅甸承包工程年末在外劳务人员,中国对老挝承包工程年末在外劳务人员,中国对菲律宾承包工程年末在外劳务人员,中国对蒙古承包工程年末在外劳务人员,中国对越南承包工程年末在外劳务人员,中国对阿富汗承包工程年末在外劳务人员,中国对阿曼承包工程年末在外劳务人员,中国对阿联酋承包工程年末在外劳务人员,中国对韩国承包工程年末在外劳务人员,中国对马尔代夫承包工程年末在外劳务人员,中国对马来西亚承包工程年末在外劳务人员,中国对黎巴嫩承包工程年末在外劳务人员
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
