,中国对丹麦承包工程年末在外劳务人员,中国对乌克兰承包工程年末在外劳务人员,中国对亚美尼亚承包工程年末在外劳务人员,中国对俄罗斯承包工程年末在外劳务人员,中国对保加利亚承包工程年末在外劳务人员,中国对冰岛承包工程年末在外劳务人员,中国对匈牙利承包工程年末在外劳务人员,中国对塞尔维亚承包工程年末在外劳务人员,中国对奥地利承包工程年末在外劳务人员,中国对希腊承包工程年末在外劳务人员,中国对德国承包工程年末在外劳务人员,中国对意大利承包工程年末在外劳务人员,中国对挪威承包工程年末在外劳务人员,中国对捷克承包工程年末在外劳务人员,中国对摩尔多瓦承包工程年末在外劳务人员,中国对摩纳哥承包工程年末在外劳务人员,中国对斯洛伐克承包工程年末在外劳务人员,中国对斯洛文尼亚承包工程年末在外劳务人员,中国对格鲁吉亚承包工程年末在外劳务人员,中国对欧洲承包工程年末在外劳务人员,中国对比利时承包工程年末在外劳务人员,中国对法国承包工程年末在外劳务人员,中国对波兰承包工程年末在外劳务人员,中国对波斯尼亚-黑塞哥维那承包工程年末在外劳务人员,中国对爱尔兰承包工程年末在外劳务人员,中国对爱沙尼亚承包工程年末在外劳务人员,中国对瑞典承包工程年末在外劳务人员,中国对瑞士承包工程年末在外劳务人员,中国对白俄罗斯承包工程年末在外劳务人员,中国对立陶宛承包工程年末在外劳务人员,中国对罗马尼亚承包工程年末在外劳务人员,中国对芬兰承包工程年末在外劳务人员,中国对英国承包工程年末在外劳务人员,中国对荷兰承包工程年末在外劳务人员,中国对葡萄牙承包工程年末在外劳务人员,中国对西班牙承包工程年末在外劳务人员,中国对阿塞拜缰承包工程年末在外劳务人员,中国对阿尔巴尼亚承包工程年末在外劳务人员,中国对马其顿共和国承包工程年末在外劳务人员,中国对马耳他承包工程年末在外劳务人员
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
