,中国对大洋洲及太平洋岛屿承包工程年末在外劳务人员,中国对密克罗尼西亚承包工程年末在外劳务人员,中国对巴布亚新几内亚承包工程年末在外劳务人员,中国对库克群岛承包工程年末在外劳务人员,中国对斐济承包工程年末在外劳务人员,中国对新喀里多尼亚承包工程年末在外劳务人员,中国对新西兰承包工程年末在外劳务人员,中国对汤加承包工程年末在外劳务人员,中国对澳大利亚承包工程年末在外劳务人员,中国对瓦努阿图承包工程年末在外劳务人员,中国对萨摩亚承包工程年末在外劳务人员,中国对马绍尔群岛承包工程年末在外劳务人员
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,,,,,,,,,,,,
2005年,,,,,,,,,,,,
2006年,,,,,,,,,,,,
2007年,,,,,,,,,,,,
2008年,,,,,,,,,,,,
2009年,,,,,,,,,,,,
2010年,,,,,,,,,,,,
2011年,4491.0,8.0,1013.0,,726.0,1392.0,204.0,301.0,684.0,58.0,105.0,
2012年,4715.0,,780.0,,898.0,1675.0,54.0,240.0,730.0,57.0,2.0,
2013年,3933.0,,1410.0,,275.0,1171.0,13.0,185.0,629.0,79.0,2.0,
2014年,3885.0,,1101.0,40.0,521.0,1171.0,26.0,209.0,485.0,160.0,62.0,
