,少儿图书馆举办培训班数,少儿图书馆举办展览数,少儿图书馆书刊文献外借人次,少儿图书馆书刊文献外借册次,少儿图书馆从业人数,少儿图书馆图书流通人次,少儿图书馆当年购买的报刊种类数,少儿图书馆总藏量,少儿图书馆机构数,少儿图书馆电子阅览室终端数,少儿图书馆累计发放有效借书证数,少儿图书馆组织各类讲座次数,少儿图书馆计算机台数,少儿图书馆阅览室座席数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,1730.0,,,,88.0,,,,,
2009年,,,,,1774.0,,,,91.0,,,,,
2010年,,,783.9,1703.8,2121.0,1839.1,,2159.2,97.0,2967.0,115.6989,,5124.0,
2011年,2778.0,502.0,934.087,1738.918,1764.0,1880.929,3.3772,2321.074,94.0,2714.0,102.3031,1878.0,4987.0,2.2066
2012年,2990.0,398.0,943.07,2087.166,2124.0,1937.635,3.6744,3217.377,99.0,2671.0,116.4104,2383.0,5684.0,2.6508
2013年,1719.0,488.0,977.0,2285.0,2170.0,2132.0,3.42,3165.0,105.0,3286.0,144.0,2622.0,6648.0,2.66
2014年,2788.0,589.0,982.212,2324.431,2201.0,2136.905,3.4717,3392.289,108.0,4145.0,185.308,3217.0,7326.0,3.0417
