,县图书馆举办培训班数,县图书馆举办展览数,县图书馆书刊外借册数,县图书馆书刊文献外借人次,县图书馆从业人员数,县图书馆当年购买的报刊种类数,县图书馆总藏量,县图书馆机构数,县图书馆流通人次,县图书馆电子阅览室终端数,县图书馆累计发放有效借书证数,县图书馆组织各类讲座次数,县图书馆计算机台数,县图书馆阅览室座席
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,,5224.3,3336.6,15200.0,,10819.4,1532.0,6287.0,34374.0,294.3793,,46760.0,
2011年,5503.0,3375.0,5627.816,3739.409,15324.0,21.048,11823.34,1539.0,6980.696,39574.0,299.7817,10556.0,53866.0,20.7266
2012年,7662.0,4119.0,6560.537,4375.584,15519.0,21.7425,13637.331,1628.0,8025.599,42200.0,340.3731,12218.0,58008.0,22.5443
2013年,9007.0,5795.0,7153.0,4734.0,15559.0,27.4,13735.0,1632.0,8933.0,46032.0,360.0,14264.0,68487.0,25.01
2014年,9492.0,6316.0,7718.176,4962.318,15397.0,26.2833,14527.236,1630.0,9618.988,48350.0,466.1129,15219.0,67741.0,26.6672
