,中央公共图书馆举办培训班数,中央公共图书馆举办展览数,中央公共图书馆书刊文献外借人次,中央公共图书馆书刊文献外借册次,中央公共图书馆从业人数,中央公共图书馆图书流通人次,中央公共图书馆当年购买的报刊种类数,中央公共图书馆总藏量,中央公共图书馆机构数,中央公共图书馆电子阅览室终端数,中央公共图书馆累计发放有效借书证数,中央公共图书馆组织各类讲座次数,中央公共图书馆计算机台数,中央公共图书馆阅览室座席数
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,,81.2,143.4,1430.0,533.0,,2897.9,1.0,224.0,113.5622,,3079.0,
2011年,37.0,60.0,31.117,49.013,1573.0,447.665,1.849,3137.014,1.0,236.0,132.6672,158.0,3180.0,0.4392
2012年,60.0,69.0,,,1426.0,378.353,1.8585,3473.312,1.0,368.0,153.0228,215.0,3336.0,0.4392
2013年,32.0,53.0,,,1727.0,419.0,1.85,3244.0,1.0,368.0,176.0,237.0,3180.0,0.44
2014年,482.0,19.0,12.32,107.849,1722.0,398.17,1.7587,3377.853,1.0,398.0,199.9144,288.0,2705.0,0.5155
