,人民法院审理买卖合同一审案件结案中驳回件数,人民法院审理供用动力合同一审案件结案中驳回件数,人民法院审理借款合同一审案件结案中驳回件数,人民法院审理其他合同纠纷一审案件结案中驳回件数,人民法院审理农村承包合同一审案件结案中驳回件数,人民法院审理劳动争议一审案件结案中驳回件数,人民法院审理合同纠纷一审案件结案中驳回件数,人民法院审理建设工程合同一审案件结案中驳回件数,人民法院审理房地产合同一审案件结案中驳回件数,人民法院审理承揽合同一审案件结案中驳回件数,人民法院审理电信合同一审案件结案中驳回件数,人民法院审理租赁合同一审案件结案中驳回件数
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,8487.0,500.0,7103.0,4886.0,549.0,3958.0,32811.0,1463.0,1699.0,961.0,1463.0,1742.0
2003年,8293.0,845.0,6925.0,4886.0,746.0,5025.0,36265.0,1569.0,2010.0,1249.0,2994.0,1723.0
2004年,8896.0,1466.0,7206.0,6702.0,833.0,6405.0,39503.0,1724.0,2279.0,1219.0,815.0,1958.0
2005年,6740.0,1228.0,6986.0,6140.0,859.0,7115.0,35701.0,1730.0,1883.0,1088.0,234.0,1698.0
2006年,6177.0,874.0,6103.0,6162.0,1032.0,5662.0,32209.0,1519.0,1742.0,1129.0,175.0,1634.0
2007年,5656.0,981.0,17175.0,6515.0,1071.0,6291.0,43995.0,1450.0,1959.0,922.0,253.0,1722.0
2008年,6723.0,952.0,8388.0,8312.0,1130.0,10688.0,43039.0,1611.0,2473.0,923.0,188.0,1651.0
2009年,6112.0,773.0,10138.0,10051.0,1075.0,11743.0,46648.0,1821.0,1794.0,1094.0,113.0,1934.0
2010年,6530.0,918.0,12158.0,10270.0,853.0,8563.0,46110.0,1733.0,2036.0,818.0,427.0,1804.0
2011年,5106.0,412.0,12383.0,12329.0,544.0,7194.0,43684.0,1430.0,1667.0,647.0,274.0,1698.0
2012年,4574.0,399.0,14234.0,12627.0,410.0,6149.0,43715.0,1399.0,1618.0,567.0,257.0,1481.0
2013年,5687.0,492.0,13709.0,15932.0,411.0,7255.0,49352.0,1745.0,1575.0,685.0,98.0,1763.0
2014年,8189.0,760.0,23811.0,41337.0,423.0,8567.0,90683.0,2285.0,1939.0,852.0,151.0,2369.0
