,人民法院审理买卖合同一审案件收案数,人民法院审理供用动力合同一审案件收案数,人民法院审理借款合同一审案件收案数,人民法院审理其他合同纠纷一审案件收案数,人民法院审理农村承包合同一审案件收案数,人民法院审理劳动争议一审案件收案数,人民法院审理合同纠纷一审案件收案数,人民法院审理建设工程合同一审案件收案数,人民法院审理房地产合同一审案件收案数,人民法院审理承揽合同一审案件收案数,人民法院审理电信合同一审案件收案数,人民法院审理租赁合同一审案件收案数
1978年,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0
2002年,537651,62542,858724,274575,56316,84693,2266695,60275,82118,54135,99445,96221
2003年,523777,71569,812269,278086,59146,98112,2266476,62405,93769,55753,110864,100726
2004年,520892,75302,736087,310253,53108,109338,2247841,68050,94535,59873,119727,100676
2005年,514251,77171,705018,336109,56565,122480,2265362,71829,93750,64345,119498,104346
2006年,500363,75063,686895,351820,57116,126047,2240759,69148,98443,64018,105744,106102
2007年,523761,76452,793301,406191,49806,150992,2463775,72989,100432,66973,107015,115863
2008年,592651,72041,905695,494684,48818,295531,2933514,83352,118873,78952,113981,128936
2009年,591425,79236,978013,603906,38837,318643,3151716,87201,127972,75773,115663,135047
2010年,551395,79208,1021838,664777,38229,321681,3222555,81547,126879,68059,131396,137546
2011年,533401,68711,1065056,772464,34781,308622,3333595,78808,130860,64469,139120,137303
2012年,567008,75682,1278712,898476,27554,349770,3776137,86209,139456,63819,149713,139738
2013年,620185,61226,1486786,952756,23117,366668,4121224,99955,163960,70191,122138,154242
2014年,696358,55183,1753767,1069454,19174,386576,4589375,118649,173024,76515,68259,172416
