,专用设备制造业中型工业企业新产品产值,交通运输设备制造业中型工业企业新产品产值,仪器仪表及文化、办公用机械制造业中型工业企业新产品产值,农副食品加工业中型工业企业新产品产值,化学原料及化学制品制造业中型工业企业新产品产值,化学纤维制造业中型工业企业新产品产值,医药制造业中型工业企业新产品产值,印刷业和记录媒介的复制中型工业企业新产品产值,塑料制品业中型工业企业新产品产值,大中型工业企业新产品产值,家具制造业中型工业企业新产品产值,工艺品及其他制造业中型工业企业新产品产值,文教体育用品制造业中型工业企业新产品产值,有色金属冶炼及压延加工业中型工业企业新产品产值,有色金属矿采选业中型工业企业新产品产值,木材加工及木、竹、藤、棕、草制品业中型工业企业新产品产值,橡胶制品业中型工业企业新产品产值,水的生产和供应业中型工业企业新产品产值,烟草制品业中型工业企业新产品产值,煤炭开采和洗选业中型工业企业新产品产值,燃气生产和供应业中型工业企业新产品产值,电力、热力的生产和供应业中型工业企业新产品产值,电气机械及器材制造业中型工业企业新产品产值,皮革、毛皮、羽毛(绒)及其制品业中型工业企业新产品产值,石油加工、炼焦及核燃料加工业中型工业企业新产品产值,石油和天然气开采业中型工业企业新产品产值,纺织业中型工业企业新产品产值,纺织服装、鞋、帽制造业中型工业企业新产品产值,通信设备、计算机及其他电子设备制造业中型工业企业新产品产值,通用设备制造业中型工业企业新产品产值,造纸及纸制品业中型工业企业新产品产值,金属制品业中型工业企业新产品产值,非金属矿物制品业中型工业企业新产品产值,非金属矿采选业中型工业企业新产品产值,食品制造业中型工业企业新产品产值,饮料制造业中型工业企业新产品产值,黑色金属冶炼及压延加工业中型工业企业新产品产值,黑色金属矿采选业中型工业企业新产品产值
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,35683684.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,41392056.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,48483068.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,59876549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,79973698.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,205625718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,253823290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,322619625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
