,中外合作经营大中型工业企业新产品产值,中外合资经营大中型工业企业新产品产值,其他大中型工业企业新产品产值,内资大中型工业企业新产品产值,合作经营大中型工业企业新产品产值,合资经营大中型工业企业新产品产值,国有及国有控股大中型工业企业新产品产值,国有大中型工业企业新产品产值,国有独资公司大中型工业企业新产品产值,国有联营大中型工业企业新产品产值,外商投资大中型工业企业新产品产值,外商投资股份有限公司大中型工业企业新产品产值,外资大中型工业企业新产品产值,大中型工业企业新产品产值,投资股份有限公司大中型工业企业新产品产值,有限责任公司大中型工业企业新产品产值,港、澳、台商投资大中型工业企业新产品产值,独资经营大中型工业企业新产品产值,私营大中型工业企业新产品产值,联营大中型工业企业新产品产值,股份合作大中型工业企业新产品产值,股份有限公司大中型工业企业新产品产值,集体大中型工业企业新产品产值
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35683684.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41392056.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48483068.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59876549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79973698.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205625718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253823290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322619625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427637650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,672846.4,104378834.2,1166325.6,306988007.5,230944.6,19244149.7,224162481.0,36692881.6,32183991.8,2275313.9,156881456.8,7630331.6,44199444.6,523942671.7,3049379.9,125701179.7,60073207.4,37548733.2,45144590.5,2343076.1,1349518.5,87681235.1,6909200.4
2009年,806697.9,109175054.2,1256280.3,370990059.2,410069.5,27137175.7,252978363.8,66382427.8,37967906.1,1288907.8,155125856.6,9633949.5,35510155.0,587144048.6,5284714.9,140966287.5,61028132.8,28196172.7,58637200.6,1332957.2,1242670.9,92780093.0,8392141.9
2010年,1068001.8,128338047.6,846514.5,461384217.5,795693.4,32086287.4,290667158.0,61870783.1,45344677.8,1191570.2,206427615.1,9956095.8,67065469.9,736062822.4,6038764.4,182413084.4,68250989.8,29330244.6,85120865.7,1400838.7,2819353.2,116622572.6,10290205.3
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885826552.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
