,中外合作经营大中型工业企业开发新产品经费,中外合资经营大中型工业企业开发新产品经费,其他大中型工业企业开发新产品经费,内资大中型工业企业开发新产品经费,合作经营大中型工业企业开发新产品经费,合资经营大中型工业企业开发新产品经费,国有及国有控股大中型工业企业开发新产品经费,国有大中型工业企业开发新产品经费,国有独资公司大中型工业企业开发新产品经费,国有联营大中型工业企业开发新产品经费,外商投资大中型工业企业开发新产品经费,外商投资股份有限公司大中型工业企业开发新产品经费,外资大中型工业企业开发新产品经费,大中型工业企业开发新产品经费,投资股份有限公司大中型工业企业开发新产品经费,有限责任公司大中型工业企业开发新产品经费,港、澳、台商投资大中型工业企业开发新产品经费,独资经营大中型工业企业开发新产品经费,私营大中型工业企业开发新产品经费,联营大中型工业企业开发新产品经费,股份合作大中型工业企业开发新产品经费,股份有限公司大中型工业企业开发新产品经费,集体大中型工业企业开发新产品经费
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2073308.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2239933.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2451566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3045519.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888539.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4220419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5092038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6389593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8209592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14571954.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18629418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24533447.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,40888.9,3777553.6,82372.6,21425968.0,20687.6,1260546.2,12762782.0,2778631.4,2470491.8,56317.3,6559792.5,412925.2,2328424.8,30955692.2,232163.9,9326823.0,2972431.7,1459034.0,3197317.4,60931.9,114446.7,5548073.5,317371.5
2009年,77225.1,3726029.4,102042.9,26067196.6,41752.2,1559167.6,16112297.9,3531958.1,3288438.4,56586.9,6775393.5,493837.4,2478301.6,36546131.0,309671.8,11627343.4,3703540.6,1792949.0,3717470.6,65690.5,113994.7,6562517.6,346178.8
2010年,81626.9,4376969.1,62305.5,31116014.6,66326.5,1831254.0,18949775.0,3620425.0,3861292.8,61594.7,8493204.3,674861.0,3359747.3,44206917.4,473526.4,12921264.5,4597698.5,2226591.6,5133794.3,74189.0,188318.5,8770748.3,344969.5
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56971680.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65718382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74406399.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79532787.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
