,烟草类城市居民消费价格指数(上年=100),烟酒及用品类城市居民消费价格指数(上年=100),酒类城市居民消费价格指数(上年=100)
1978年,0.0,0.0,0.0
1979年,0.0,0.0,0.0
1980年,0.0,0.0,0.0
1981年,0.0,0.0,0.0
1982年,0.0,0.0,0.0
1983年,0.0,0.0,0.0
1984年,0.0,0.0,0.0
1985年,0.0,0.0,0.0
1986年,0.0,0.0,0.0
1987年,0.0,0.0,0.0
1988年,0.0,0.0,0.0
1989年,0.0,0.0,0.0
1990年,0.0,0.0,0.0
1991年,0.0,0.0,0.0
1992年,0.0,0.0,0.0
1993年,0.0,0.0,0.0
1994年,0.0,0.0,0.0
1995年,0.0,0.0,0.0
1996年,0.0,0.0,0.0
1997年,0.0,0.0,0.0
1998年,0.0,0.0,0.0
1999年,95.7,0.0,0.0
2000年,96.5,0.0,0.0
2001年,99.4,99.7,100.4
2002年,99.6,99.9,100.5
2003年,99.6708,99.7822,100.1614
2004年,100.6422,101.1785,102.7837
2005年,100.4228,100.3126,100.3635
2006年,100.21851165,100.8265291,101.85903336
2007年,100.63330047,101.79676907,104.28209241
2008年,100.27511141,103.13029689,108.55545969
2009年,100.40163974,101.67824705,103.82537023
2010年,100.5,101.7,104.1
2011年,100.40386641,103.04696338,107.2733132
2012年,100.28264643,102.93859957,106.9134851
2013年,100.15318571,100.13577677,100.1113385
2014年,100.11630929,99.27322784,98.08923645
