,室内装饰品类城市居民消费价格指数(上年=100),家具类城市居民消费价格指数(上年=100),家庭日用杂品类城市居民消费价格指数(上年=100),家庭服务及加工维修服务费类城市居民消费价格指数(上年=100),家庭设备用品及维修服务类城市居民消费价格指数(上年=100),家庭设备类城市居民消费价格指数(上年=100),床上用品类城市居民消费价格指数(上年=100),耐用消费品类城市居民消费价格指数(上年=100)
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,,,,
1994年,,,,,,,,
1995年,,,,,,,,
1996年,,,,,,,,
1997年,,,,,,,,
1998年,99.3,98.0,99.9,,98.0,96.5,100.6,96.9
1999年,97.8,97.3,97.7,,97.6,96.8,98.8,97.0
2000年,98.9,97.3,98.3,99.3,97.7,95.9,99.7,96.4
2001年,98.4,97.9,98.4,101.7,97.5,94.8,99.6,95.7
2002年,98.6,97.5,97.8,101.4,97.3,94.9,99.0,95.7
2003年,98.5868,97.5318,98.0333,101.0941,97.0165,94.3233,97.8875,95.3284
2004年,99.0739,98.5657,99.5111,101.3299,98.1447,95.7294,98.6089,96.6321
2005年,99.0439,98.841,100.2977,104.127,99.71,98.4399,99.0825,98.56
2006年,99.96382286,100.19987494,101.05179449,105.99726367,101.29620609,101.34925931,99.35874952,100.94341245
2007年,100.20808216,101.43571346,101.59103593,107.30969396,101.85597077,101.51417304,99.10639917,101.48931249
2008年,99.95354811,102.35915412,105.26538336,109.78566929,103.0196596,100.68441151,99.54986822,101.28540317
2009年,99.66960564,99.93865559,102.70617482,105.48182216,100.26673387,97.20311976,98.62526787,98.15744472
2010年,99.9,100.4,100.2,107.2,99.9,97.1,99.8,98.3
2011年,100.66283744,102.80808737,102.62740718,112.72244204,102.69621563,99.31588218,104.90908769,100.46778933
2012年,100.73635615,101.48089858,102.70032831,110.19792443,102.08386939,99.8213097,100.27961497,100.38150674
2013年,100.2807624,101.39065173,101.17696889,109.0244316,101.53376945,99.63672303,100.47240502,100.2352488
2014年,99.72425573,101.60561313,100.73237036,107.60009318,101.20315119,99.4670556,99.78535881,100.20524752
