,城市传染病(不含呼吸道结核)粗死亡率位次,"城市先天畸形,变形和染色体异常粗死亡率位次",城市其他疾病粗死亡率位次,"城市内分泌,营养和代谢疾病粗死亡率位次",城市呼吸系统疾病粗死亡率位次,城市呼吸道结核粗死亡率位次,城市围生期疾病粗死亡率位次,城市女性传染病(不含呼吸道结核)粗死亡率位次,"城市女性先天畸形,变形和染色体异常粗死亡率位次",城市女性其他疾病粗死亡率位次,"城市女性内分泌,营养和代谢疾病粗死亡率位次",城市女性呼吸系统疾病粗死亡率位次,城市女性呼吸道结核粗死亡率位次,城市女性围生期疾病粗死亡率位次,"城市女性妊娠,分娩产褥期并发症粗死亡率位次",城市女性寄生虫病粗死亡率位次,城市女性心脏病粗死亡率位次,城市女性恶性肿瘤粗死亡率位次,城市女性损伤和中毒外部原因粗死亡率位次,城市女性泌尿生殖系统疾病粗死亡率位次,城市女性消化系统疾病粗死亡率位次,城市女性神经系统疾病粗死亡率位次,城市女性精神障碍粗死亡率位次,城市女性肌肉骨骼和结缔组织疾病粗死亡率位次,城市女性脑血管病粗死亡率位次,"城市女性血液,造血器官及免疫疾病粗死亡率位次",城市女性诊断不明粗死亡率位次,"城市妊娠,分娩产褥期并发症粗死亡率位次",城市寄生虫病粗死亡率位次,城市心脏病粗死亡率位次,城市恶性肿瘤粗死亡率位次,城市损伤和中毒外部原因粗死亡率位次,城市泌尿生殖系统疾病粗死亡率位次,城市消化系统疾病粗死亡率位次,城市男性传染病(不含呼吸道结核)粗死亡率位次,"城市男性先天畸形,变形和染色体异常粗死亡率位次",城市男性其他疾病粗死亡率位次,"城市男性内分泌,营养和代谢疾病粗死亡率位次",城市男性呼吸系统疾病粗死亡率位次,城市男性呼吸道结核粗死亡率位次,城市男性围生期疾病粗死亡率位次,城市男性寄生虫病粗死亡率位次,城市男性心脏病粗死亡率位次,城市男性恶性肿瘤粗死亡率位次,城市男性损伤和中毒外部原因粗死亡率位次,城市男性泌尿生殖系统疾病粗死亡率位次,城市男性消化系统疾病粗死亡率位次,城市男性神经系统疾病粗死亡率位次,城市男性精神障碍粗死亡率位次,城市男性肌肉骨骼和结缔组织疾病粗死亡率位次,城市男性脑血管病粗死亡率位次,"城市男性血液,造血器官及免疫疾病粗死亡率位次",城市男性诊断不明粗死亡率位次,城市神经系统疾病粗死亡率位次,城市精神障碍粗死亡率位次,城市肌肉骨骼和结缔组织疾病粗死亡率位次,城市脑血管病粗死亡率位次,"城市血液,造血器官及免疫疾病粗死亡率位次",城市诊断不明粗死亡率位次
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,11.0,14.0,8.0,6.0,4.0,15.0,18.0,12.0,15.0,8.0,6.0,4.0,18.0,17.0,20.0,19.0,2.0,1.0,5.0,9.0,7.0,10.0,11.0,14.0,3.0,16.0,13.0,20.0,19.0,2.0,1.0,5.0,9.0,7.0,11.0,15.0,9.0,7.0,4.0,14.0,16.0,19.0,3.0,1.0,5.0,8.0,6.0,10.0,13.0,18.0,2.0,17.0,12.0,10.0,13.0,16.0,3.0,17.0,12.0
2010年,11.0,15.0,8.0,6.0,4.0,14.0,15.0,12.0,15.0,8.0,6.0,4.0,18.0,16.0,19.0,20.0,1.0,2.0,5.0,9.0,7.0,10.0,13.0,14.0,3.0,17.0,11.0,18.0,18.0,2.0,1.0,5.0,9.0,7.0,11.0,16.0,9.0,7.0,4.0,13.0,15.0,19.0,3.0,1.0,5.0,8.0,6.0,10.0,14.0,18.0,2.0,17.0,12.0,10.0,13.0,16.0,3.0,17.0,12.0
2011年,11.0,16.0,8.0,6.0,4.0,14.0,15.0,13.0,15.0,8.0,6.0,4.0,18.0,16.0,20.0,19.0,2.0,1.0,5.0,10.0,7.0,9.0,11.0,14.0,3.0,17.0,12.0,20.0,19.0,2.0,1.0,5.0,10.0,7.0,11.0,16.0,9.0,7.0,4.0,13.0,15.0,19.0,2.0,1.0,5.0,10.0,6.0,8.0,14.0,18.0,3.0,17.0,12.0,9.0,13.0,17.0,3.0,18.0,12.0
2012年,11.0,16.0,6.0,7.0,4.0,14.0,15.0,11.0,15.0,5.0,7.0,4.0,18.0,16.0,19.0,20.0,1.0,2.0,6.0,10.0,8.0,9.0,12.0,13.0,3.0,17.0,14.0,20.0,19.0,2.0,1.0,5.0,10.0,8.0,11.0,15.0,6.0,8.0,4.0,13.0,14.0,19.0,2.0,1.0,5.0,10.0,7.0,9.0,16.0,18.0,3.0,17.0,12.0,9.0,13.0,17.0,3.0,18.0,12.0
2013年,8.0,13.0,,6.0,4.0,,12.0,10.0,13.0,,6.0,4.0,,14.0,16.0,17.0,1.0,2.0,5.0,9.0,7.0,8.0,11.0,12.0,3.0,15.0,,16.0,17.0,2.0,1.0,5.0,10.0,7.0,8.0,13.0,,7.0,4.0,,12.0,16.0,3.0,1.0,5.0,10.0,6.0,9.0,11.0,15.0,2.0,14.0,,9.0,11.0,14.0,3.0,15.0,
2014年,10.0,13.0,,6.0,4.0,,12.0,10.0,14.0,,6.0,4.0,,13.0,16.0,17.0,1.0,2.0,5.0,9.0,7.0,8.0,11.0,12.0,3.0,15.0,,16.0,17.0,2.0,1.0,5.0,9.0,4.0,8.0,13.0,,7.0,4.0,,12.0,16.0,2.0,1.0,5.0,9.0,6.0,10.0,11.0,15.0,3.0,14.0,,8.0,11.0,14.0,3.0,15.0,
