,城市传染病(不含呼吸道结核)粗死亡率,"城市先天畸形,变形和染色体异常粗死亡率",城市其他疾病粗死亡率,"城市内分泌,营养和代谢疾病粗死亡率",城市呼吸系统疾病粗死亡率,城市呼吸道结核粗死亡率,城市围生期疾病粗死亡率,城市女性传染病(不含呼吸道结核)粗死亡率,"城市女性先天畸形,变形和染色体异常粗死亡率",城市女性其他疾病粗死亡率,"城市女性内分泌,营养和代谢疾病粗死亡率",城市女性呼吸系统疾病粗死亡率,城市女性呼吸道结核粗死亡率,城市女性围生期疾病粗死亡率,"城市女性妊娠,分娩产褥期并发症粗死亡率",城市女性寄生虫病粗死亡率,城市女性心脏病粗死亡率,城市女性恶性肿瘤粗死亡率,城市女性损伤和中毒外部原因粗死亡率,城市女性泌尿生殖系统疾病粗死亡率,城市女性消化系统疾病粗死亡率,城市女性神经系统疾病粗死亡率,城市女性精神障碍粗死亡率,城市女性肌肉骨骼和结缔组织疾病粗死亡率,城市女性脑血管病粗死亡率,"城市女性血液,造血器官及免疫疾病粗死亡率",城市女性诊断不明粗死亡率,"城市妊娠,分娩产褥期并发症粗死亡率",城市寄生虫病粗死亡率,城市心脏病粗死亡率,城市恶性肿瘤粗死亡率,城市损伤和中毒外部原因粗死亡率,城市泌尿生殖系统疾病粗死亡率,城市消化系统疾病粗死亡率,城市男性传染病(不含呼吸道结核)粗死亡率,"城市男性先天畸形,变形和染色体异常粗死亡率",城市男性其他疾病粗死亡率,"城市男性内分泌,营养和代谢疾病粗死亡率",城市男性呼吸系统疾病粗死亡率,城市男性呼吸道结核粗死亡率,城市男性围生期疾病粗死亡率,城市男性寄生虫病粗死亡率,城市男性心脏病粗死亡率,城市男性恶性肿瘤粗死亡率,城市男性损伤和中毒外部原因粗死亡率,城市男性泌尿生殖系统疾病粗死亡率,城市男性消化系统疾病粗死亡率,城市男性神经系统疾病粗死亡率,城市男性精神障碍粗死亡率,城市男性肌肉骨骼和结缔组织疾病粗死亡率,城市男性脑血管病粗死亡率,"城市男性血液,造血器官及免疫疾病粗死亡率",城市男性诊断不明粗死亡率,城市神经系统疾病粗死亡率,城市精神障碍粗死亡率,城市肌肉骨骼和结缔组织疾病粗死亡率,城市脑血管病粗死亡率,"城市血液,造血器官及免疫疾病粗死亡率",城市诊断不明粗死亡率
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,4.41513313754,2.33485200285,10.730547806,20.3322409543,65.3977131745,1.8758530133,1.53513947764,2.95488212335,1.99246453036,13.746964808,22.4685491035,55.8644395803,0.871378090954,1.22513158459,0.197685775858,0.525427983202,124.365162044,129.36453127,25.4962628284,6.79674910944,13.7807794802,6.1984895246,3.84706924334,2.40084172522,116.933737549,1.61530087905,2.92106745117,,0.489856064474,128.823144976,167.573202528,34.6563522779,7.33626956401,16.5779635048,5.84240768824,2.66950742935,7.78224975357,18.2441764886,74.7156993656,2.85764414342,1.83814654421,0.455087457004,133.180454456,204.919017441,43.6095818435,7.86360617047,19.3119794604,7.57123154725,3.35086742085,1.28390595412,135.405043981,1.52289042875,5.17375963689,6.89269911193,3.59613494051,1.83599595819,126.274864872,1.56856797548,4.06027677588
2010年,4.43809134844,2.0208895847,9.58107382449,18.1290132281,68.3169589847,2.32190532374,2.02845279423,3.04237586152,1.91534188853,11.6275417541,19.6861425938,58.2208506212,1.13011330079,1.70286827067,0.224790929039,0.0985384894419,123.016066085,122.350931281,27.3783034259,6.39576383034,13.0286359009,5.33955439663,2.98078930562,2.01695970576,112.561748221,1.52118793076,3.20558023466,0.110422859044,0.127061919996,129.187181872,162.867666523,38.0913484446,7.20320075027,16.9642789614,5.78566059995,2.12279633523,7.60520031586,16.6255981885,78.0647946418,3.47258560161,2.34280603944,0.15460141377,135.145420468,201.986747091,48.4348390718,7.98278453796,20.764159111,6.32973865226,2.82147580131,1.21302647728,137.300920949,1.48357895137,4.99481490643,5.84333567793,2.89973453135,1.60793834472,125.148427987,1.50205341139,4.11589862274
2011年,3.14647641473,1.78902645698,9.92625948207,18.6414167466,65.4667202399,2.14145570893,1.88758717998,2.05730091423,1.64223143154,11.9828755004,20.1459086601,56.1877754075,0.830138965391,1.57906868417,0.135348744357,0.216557990972,127.293990193,128.861027878,24.3146499863,6.21401124094,12.9212934613,7.25168494768,2.63478889016,1.91894442,114.850928962,1.41665019094,2.06030866411,0.0672004929582,0.22698833177,132.038515253,172.327450798,33.9347555996,6.60058175278,16.3506266089,4.22050442057,1.93377995939,7.89824544763,17.1578482593,74.6166199668,3.43453557205,2.19181501532,0.237273614649,136.717056761,215.189372966,43.4210714808,6.98177611105,19.7322669783,8.00798449441,2.31045182265,1.10035638794,135.73533718,1.45626680991,3.55317237937,7.63248265576,2.47148479657,1.50678438655,125.366252974,1.43659720502,2.81196729423
2012年,4.16771765677,1.80902111197,23.8156696906,17.3167392606,75.5921507732,1.90128805962,1.85908083889,2.65041000205,1.54706293842,23.7823785386,18.6935120997,63.4137334796,0.822062893014,1.48169408187,0.160450829721,0.136680336429,126.803696466,120.124187851,23.7189905565,5.57814242585,11.6495225875,6.42991843548,1.97097006879,1.79071049466,109.79788939,1.26974051668,1.68176240041,0.085396004743,0.139381984753,131.635487403,164.511967666,34.7866023918,6.30261777534,15.2476038813,5.65942378004,2.06632687458,23.8483695873,15.9644180847,87.5542778054,2.96,2.22976515845,0.142035651454,136.38146511,208.111414789,45.6576520141,7.01422634922,18.7817827875,7.27884071357,2.03519577289,1.03316343729,130.67863642,1.34447445418,3.44971520587,6.85818258781,2.00337064,1.40854329662,120.331804752,1.30744227951,2.57365890156
2013年,6.930293002,1.977238767,8.711230366,17.12089626,76.61444604,,2.017068037,4.256778444,1.781102964,10.38976729,18.34708976,64.47131604,,1.553421518,0.213271229,0.040348611,128.5045615,116.2731683,25.83463912,5.766969307,11.90572224,6.536474957,2.876279545,2.22205564,111.6474883,1.256571023,2.003020324,0.105263071,0.038406796,133.8391499,157.7722738,39.00708019,6.442384443,15.77665839,9.535858719,2.16838967,7.075354378,15.92586714,88.44895171,,2.468930726,0.036514334,139.0381568,198.2166568,51.84473645,7.100633532,19.54921257,7.15680943,2.850926834,1.202164221,139.1168031,1.286428069,3.643006998,6.850634462,2.863440027,1.705546246,125.5589291,1.271691696,2.833568075
2014年,6.6400334136,1.8329258902,7.0846785083,17.6412941307,74.1692720399,,2.1132993249,4.0538658427,1.577897039,8.5718190499,18.751638103,62.7722060536,,1.685765994,0.1756006244,0.0326115445,131.845965942,117.883207724,25.098346384,5.8299407293,11.1330795854,6.6878752084,2.6390265263,2.0796131087,111.528973702,1.1589641209,1.8137035918,0.0864587684,0.0395240084,136.205908622,161.27895146,37.7688954156,6.6474441652,14.5324838438,9.1483597283,2.0802786084,5.6422995239,16.5643704868,85.2232968625,,2.5279642973,0.0462284135,140.434621053,203.368523375,50.0580726197,7.4403415024,17.8295691726,7.1264749054,2.6763818354,1.2554663882,139.600076535,1.3284586201,3.0316106972,6.9105258462,2.6579895659,1.6612434787,125.778981152,1.245006265,2.4319616427
