,规模以上工业专用设备制造业企业研究与试验发展项目数,规模以上工业交通运输设备制造业企业研究与试验发展项目数,规模以上工业仪器仪表及文化、办公用机械制造业企业研究与试验发展项目数,规模以上工业企业研究与试验发展项目数,规模以上工业农副食品加工业企业研究与试验发展项目数,规模以上工业化学原料及化学制品制造业企业研究与试验发展项目数,规模以上工业化学纤维制造业企业研究与试验发展项目数,规模以上工业医药制造业企业研究与试验发展项目数,规模以上工业印刷业和记录媒介的复制企业研究与试验发展项目数,规模以上工业塑料制品业企业研究与试验发展项目数,规模以上工业家具制造业企业研究与试验发展项目数,规模以上工业工艺品及其他制造业企业研究与试验发展项目数,规模以上工业文教体育用品制造业企业研究与试验发展项目数,规模以上工业有色金属冶炼及压延加工业企业研究与试验发展项目数,规模以上工业有色金属矿采选业企业研究与试验发展项目数,规模以上工业木材加工及木、竹、藤、棕、草制品业企业研究与试验发展项目数,规模以上工业橡胶制品业企业研究与试验发展项目数,规模以上工业水的生产和供应业企业研究与试验发展项目数,规模以上工业烟草制品业企业研究与试验发展项目数,规模以上工业煤炭开采和洗选业企业研究与试验发展项目数,规模以上工业燃气生产和供应业企业研究与试验发展项目数,规模以上工业电力、热力的生产和供应业企业研究与试验发展项目数,规模以上工业电气机械及器材制造业企业研究与试验发展项目数,规模以上工业皮革、毛皮、羽毛(绒)及其制品业企业研究与试验发展项目数,规模以上工业石油加工、炼焦及核燃料加工业企业研究与试验发展项目数,规模以上工业石油和天然气开采业企业研究与试验发展项目数,规模以上工业纺织业企业研究与试验发展项目数,规模以上工业纺织服装、鞋、帽制造业企业研究与试验发展项目数,规模以上工业通信设备、计算机及其他电子设备制造业企业研究与试验发展项目数,规模以上工业通用设备制造业企业研究与试验发展项目数,规模以上工业造纸及纸制品业企业研究与试验发展项目数,规模以上工业金属制品业企业研究与试验发展项目数,规模以上工业非金属矿物制品业企业研究与试验发展项目数,规模以上工业非金属矿采选业企业研究与试验发展项目数,规模以上工业食品制造业企业研究与试验发展项目数,规模以上工业饮料制造业企业研究与试验发展项目数,规模以上工业黑色金属冶炼及压延加工业企业研究与试验发展项目数,规模以上工业黑色金属矿采选业企业研究与试验发展项目数
2004年,,,,53641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,143448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,194400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,18396.0,24994.0,7990.0,232158.0,3545.0,18038.0,1202.0,15022.0,1047.0,3956.0,808.0,1877.0,1239.0,4360.0,373.0,758.0,2812.0,141.0,884.0,4057.0,65.0,2344.0,27792.0,585.0,1827.0,3610.0,6767.0,1141.0,26552.0,22938.0,1602.0,5617.0,6004.0,350.0,2917.0,2742.0,7514.0,191.0
2012年,21767.0,,,287524.0,5269.0,21532.0,1386.0,18372.0,1457.0,,987.0,,,6183.0,451.0,1121.0,,227.0,1161.0,4585.0,85.0,2957.0,33505.0,,1854.0,3046.0,6648.0,,32124.0,28306.0,1748.0,9697.0,8164.0,377.0,3798.0,,10101.0,237.0
2013年,26763.0,,,322567.0,5987.0,24585.0,1652.0,25419.0,1745.0,,1413.0,,,6966.0,464.0,1162.0,,256.0,1285.0,4483.0,105.0,3079.0,37415.0,,1913.0,3284.0,7441.0,,36382.0,28306.0,2087.0,11229.0,9690.0,372.0,4530.0,,9767.0,300.0
2014年,29754.0,,,342507.0,6791.0,26366.0,1698.0,23791.0,2070.0,,1654.0,,,7656.0,442.0,1338.0,,286.0,1157.0,4143.0,157.0,3208.0,40031.0,,2154.0,3057.0,7693.0,,35761.0,31539.0,2562.0,12107.0,10599.0,460.0,4874.0,,9871.0,438.0
