,规模以上工业专用设备制造业企业研究与试验发展人员全时当量,规模以上工业交通运输设备制造业企业研究与试验发展人员全时当量,规模以上工业仪器仪表及文化、办公用机械制造业企业研究与试验发展人员全时当量,规模以上工业企业研究与试验发展人员全时当量,规模以上工业农副食品加工业企业研究与试验发展人员全时当量,规模以上工业化学原料及化学制品制造业企业研究与试验发展人员全时当量,规模以上工业化学纤维制造业企业研究与试验发展人员全时当量,规模以上工业医药制造业企业研究与试验发展人员全时当量,规模以上工业印刷业和记录媒介的复制企业研究与试验发展人员全时当量,规模以上工业塑料制品业企业研究与试验发展人员全时当量,规模以上工业家具制造业企业研究与试验发展人员全时当量,规模以上工业工艺品及其他制造业企业研究与试验发展人员全时当量,规模以上工业文教体育用品制造业企业研究与试验发展人员全时当量,规模以上工业有色金属冶炼及压延加工业企业研究与试验发展人员全时当量,规模以上工业有色金属矿采选业企业研究与试验发展人员全时当量,规模以上工业木材加工及木、竹、藤、棕、草制品业企业研究与试验发展人员全时当量,规模以上工业橡胶制品业企业研究与试验发展人员全时当量,规模以上工业水的生产和供应业企业研究与试验发展人员全时当量,规模以上工业烟草制品业企业研究与试验发展人员全时当量,规模以上工业煤炭开采和洗选业企业研究与试验发展人员全时当量,规模以上工业燃气生产和供应业企业研究与试验发展人员全时当量,规模以上工业电力、热力的生产和供应业企业研究与试验发展人员全时当量,规模以上工业电气机械及器材制造业企业研究与试验发展人员全时当量,规模以上工业皮革、毛皮、羽毛(绒)及其制品业企业研究与试验发展人员全时当量,规模以上工业石油加工、炼焦及核燃料加工业企业研究与试验发展人员全时当量,规模以上工业石油和天然气开采业企业研究与试验发展人员全时当量,规模以上工业纺织业企业研究与试验发展人员全时当量,规模以上工业纺织服装、鞋、帽制造业企业研究与试验发展人员全时当量,规模以上工业通信设备、计算机及其他电子设备制造业企业研究与试验发展人员全时当量,规模以上工业通用设备制造业企业研究与试验发展人员全时当量,规模以上工业造纸及纸制品业企业研究与试验发展人员全时当量,规模以上工业金属制品业企业研究与试验发展人员全时当量,规模以上工业非金属矿物制品业企业研究与试验发展人员全时当量,规模以上工业非金属矿采选业企业研究与试验发展人员全时当量,规模以上工业食品制造业企业研究与试验发展人员全时当量,规模以上工业饮料制造业企业研究与试验发展人员全时当量,规模以上工业黑色金属冶炼及压延加工业企业研究与试验发展人员全时当量,规模以上工业黑色金属矿采选业企业研究与试验发展人员全时当量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,541787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
