,人寿保险公司人身意外伤害险保费,人寿保险公司保费,人寿保险公司健康险保费,人寿保险公司寿险保费,企业财产保险保费,保险公司保费,家庭财产保险保费,机动车辆保险保费,财产保险公司保证保险保费,财产保险公司保费,财产保险公司信用保险保费,财产保险公司健康险保费,财产保险公司其他险保费,财产保险公司农业保险保费,财产保险公司工程保险保费,财产保险公司意外伤害保险保费,财产保险公司特殊风险保险保费,财产保险公司船舶保险保费,财产保险公司责任保险保费,财产保险公司货物运输保险保费
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,376.4154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,453.3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,538.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,37.6173,390.4787,13.6314,249.4431,0.0,772.7094,0.0,209.2294,0.0,382.2307,0.0,0.0,0.0,5.7589,0.0,0.0,0.0,10.7116,0.0,34.4838
1998年,53.5061,750.2284,28.1121,668.6102,112.6352,1255.9687,12.1674,280.9844,0.0,505.7403,2.9803,0.0,15.8746,7.1472,0.0,0.0,0.0,11.9899,1.1071,38.5966
1999年,67.3459,878.9531,41.4665,770.1407,112.9757,1406.1712,12.2571,306.424,1.4126,527.2181,2.3906,0.0,15.0795,6.3228,0.0,0.0,0.0,11.06,16.8197,35.2787
2000年,80.0,990.0,28.0,882.0,118.0,1598.0,13.0,373.0,2.0,608.0,3.0,0.0,18.0,4.0,0.0,0.0,0.0,11.0,21.0,36.0
2001年,75.0,1424.0,61.0,1288.0,121.0,2109.0,19.0,422.0,4.0,685.0,3.0,0.0,21.0,3.0,0.0,0.0,0.0,12.0,28.0,41.0
2002年,79.0,2274.0,121.0,2074.0,123.0,3054.0,24.0,472.0,9.0,780.0,7.0,0.0,34.0,5.0,0.0,0.0,0.0,13.0,37.0,42.0
2003年,99.58,3011.0,241.92,2669.49,124.95157866,3880.0,19.418667073,540.144528385,2.02604649912,869.0,8.3079311679,0.0,66.37,4.641154,0.0,0.0,0.0,14.8559431756,34.820490663,40.8220356548
2004年,86.0,3194.0,257.0,2851.0,134.0,4318.0,15.0,745.0,1.0,1125.0,16.0,0.0,91.0,4.0,0.0,0.0,0.0,20.0,33.0,46.0
2005年,95.0,3646.227,307.0,3247.0,149.0,4927.335,12.0,858.0,18.0,1281.107,23.0,5.0,2.0,7.0,23.0,46.0,19.0,25.0,45.0,51.0
2006年,100.439348,4061.09,368.013202,3592.750085,157.440774,5641.44,11.251142,1107.873597,8.387339,1580.35,28.666067,8.836019,1.589801,8.476337,24.581179,61.866531,20.558616,27.834979,56.203941,55.570322
2007年,115.85,4948.968,369.74,4463.4,186.83,7035.759809,17.01,1484.28,4.24,2086.48,34.78,14.44,0.3,53.33,31.48,74.31,24.48,31.28,66.6,63.11
2008年,130.86,7337.99,548.73,6658.4,209.63,9784.239159,12.68,1702.52,6.39,2446.25,36.73,36.83,0.49,110.68,39.23,72.71,26.95,38.69,81.75,70.9
2009年,156.1,8144.400017,530.8,7457.4,221.4,11137.298922,15.1,2155.6,8.0,2992.898905,70.2,43.1,0.9,133.9,51.6,73.9,23.7,41.8,92.2,61.3
2010年,189.8,10501.078095,631.7,9679.5,271.6,14527.971355,19.3,3004.2,22.9,4026.89326,96.0,45.7,2.8,135.9,70.9,85.5,26.8,50.8,115.9,78.7
2011年,635.61,9560.19,229.0,8695.59,329.81,14339.25,23.32,3504.56,56.51,4779.06,115.46,56.12,3.23,174.03,73.76,105.12,35.43,55.87,148.01,97.83
2012年,259.64,9958.05,790.35,8908.06,360.36,15487.93,28.47,4005.17,93.46,5529.88,160.57,72.41,1.99,240.6,62.26,126.54,36.87,55.68,183.77,101.71
2013年,310.41,10741.08,1005.52,9425.14,378.8,17222.24,37.87,4720.79,120.37,6481.16,155.17,117.97,1.98,306.59,78.61,150.93,38.98,53.53,216.63,102.94
2014年,370.63,12690.41,1418.09,10901.69,387.4,20234.8,33.7,5515.9,199.88,7544.4,200.67,169.09,12.8,325.78,81.67,171.93,41.76,55.12,253.3,95.44
