,人寿保险公司人身意外伤害险赔款及给付,人寿保险公司健康险赔款及给付,人寿保险公司寿险赔款及给付,人寿保险公司赔款及给付,企业财产保险赔款及给付,保险公司赔款及给付,家庭财产保险赔款及给付,机动车辆保险赔款及给付,财产保险公司保证保险赔款及给付,财产保险公司信用保险赔款及给付,财产保险公司健康险赔款及给付,财产保险公司其他险赔款及给付,财产保险公司农业保险赔款及给付,财产保险公司工程保险赔款及给付,财产保险公司意外伤害保险赔款及给付,财产保险公司特殊风险保险赔款及给付,财产保险公司船舶保险赔款及给付,财产保险公司责任保险赔款及给付,财产保险公司货物运输保险赔款及给付,财产保险公司赔款及给付
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,15.2102,8.7306,7.5591,32.4628,,247.1528,,117.8824,,,,,4.1871,,,,8.8325,,14.8588,214.69
1998年,23.176,13.5445,205.4477,242.1682,63.4801,531.6788,7.3625,168.1343,,0.9341,,1.3729,5.6304,,,,10.0576,5.6304,16.5091,289.5106
1999年,26.8303,10.9971,190.4917,228.3191,50.7834,508.0178,4.5105,170.9542,0.9709,1.8109,,9.542,4.8556,,,,10.0037,8.617,13.7002,279.6987
2000年,32.0,12.0,174.0,218.0,51.0,526.0,4.0,203.0,1.0,1.0,,5.0,3.0,,,,9.0,11.0,16.0,308.0
2001年,50.0,13.0,201.0,264.0,56.0,597.0,4.0,218.0,1.0,2.0,,9.0,3.0,,,,9.0,12.0,16.0,333.0
2002年,26.0,49.0,229.0,304.0,56.0,707.0,4.0,271.0,2.0,8.0,,11.0,4.0,,,,9.0,16.0,16.0,403.0
2003年,30.65,69.9,264.15,365.0,63.7661653162,841.0,3.6415906049,328.471351769,0.633543675396,8.4092366404,,14.57,3.452042,,,,10.7924411435,20.0229712673,17.4611377532,476.0
2004年,30.0,88.0,308.0,422.29,69.0,1004.0,3.0,416.0,2.0,10.0,,26.0,3.0,,,,9.0,18.0,16.0,582.15
2005年,28.0,107.0,311.0,438.579,92.0,1129.669,3.0,483.0,15.0,10.0,3.0,1.0,6.0,13.0,16.0,1.0,10.0,18.0,20.0,691.094343
2006年,27.907738,120.462002,465.406464,613.776225,92.258386,1438.463875,3.159225,599.152268,14.913445,13.126218,4.631799,0.930238,5.90874,9.256946,23.75977,2.384242,11.787629,22.287739,20.959097,824.68765
2007年,30.14,106.87,1064.45,1201.46,100.78,2264.96,3.46,790.32,8.19,2.42,10.0,0.19,29.75,9.77,33.29,12.48,13.72,26.25,23.14,1063.76
2008年,34.09,146.62,1314.98,1495.69,176.15,2971.165983,7.36,1046.53,5.13,17.02,28.66,0.74,64.14,13.83,28.48,13.11,13.41,33.08,27.83,1475.47
2009年,35.7,182.9,1268.7,1487.293479,127.6,3125.482689,5.8,1200.7,4.6,31.1,34.2,0.2,95.2,17.2,28.2,9.0,19.2,38.9,26.2,1638.18921
2010年,43.3,232.9,1109.0,1385.21841,117.2,3200.429163,6.4,1375.8,2.5,31.2,31.1,0.2,96.0,18.6,28.1,11.5,23.8,44.0,28.9,1815.210753
2011年,52.52,326.75,1300.93,1680.2,129.44,3929.37,6.06,1750.92,3.83,56.83,32.91,0.69,81.78,27.21,29.32,11.02,27.31,57.07,34.79,2249.17
2012年,61.08,253.3,1505.02,1819.4,165.03,4716.32,10.64,2247.57,9.3,67.56,44.87,0.95,131.34,26.34,35.72,11.51,30.51,75.14,40.46,2896.92
2013年,65.41,338.16,2253.13,2656.7,213.65,6212.9,17.2,2719.83,16.52,69.64,72.97,1.1,194.94,29.7,44.09,15.85,28.74,89.21,42.78,3556.2
2014年,73.21,446.31,2728.43,3247.94,215.22,7216.21,11.46,3026.74,29.05,57.7,124.84,9.36,205.8,35.01,55.21,12.91,33.58,107.72,43.68,3968.27
