,专业技术服务业港澳台商投资企业固定资产投资(不含农户),专用设备制造业港澳台商投资企业固定资产投资(不含农户),中国共产党机关港澳台商投资企业固定资产投资(不含农户),交通运输、仓储和邮政业港澳台商投资企业固定资产投资(不含农户),交通运输设备制造业港澳台商投资企业固定资产投资(不含农户),人民政协和民主党派港澳台商投资企业固定资产投资(不含农户),仓储业港澳台商投资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业港澳台商投资企业固定资产投资(不含农户),住宿业港澳台商投资企业固定资产投资(不含农户),住宿和餐饮业港澳台商投资企业固定资产投资(不含农户),体育港澳台商投资企业固定资产投资(不含农户),保险业港澳台商投资企业固定资产投资(不含农户),信息传输、计算机服务和软件业港澳台商投资企业固定资产投资(不含农户),公共管理和社会组织港澳台商投资企业固定资产投资(不含农户),公共设施管理业港澳台商投资企业固定资产投资(不含农户),其他建筑业港澳台商投资企业固定资产投资(不含农户),其他服务业港澳台商投资企业固定资产投资(不含农户),其他采矿业港澳台商投资企业固定资产投资(不含农户),其他金融活动港澳台商投资企业固定资产投资(不含农户),农、林、牧、渔业港澳台商投资企业固定资产投资(不含农户),农、林、牧、渔服务业港澳台商投资企业固定资产投资(不含农户),农业港澳台商投资企业固定资产投资(不含农户),农副食品加工业港澳台商投资企业固定资产投资(不含农户),制造业港澳台商投资企业固定资产投资(不含农户),化学原料及化学制品制造业港澳台商投资企业固定资产投资(不含农户),化学纤维制造业港澳台商投资企业固定资产投资(不含农户),医药制造业港澳台商投资企业固定资产投资(不含农户),卫生、社会保障和社会福利业港澳台商投资企业固定资产投资(不含农户),卫生港澳台商投资企业固定资产投资(不含农户),印刷业和记录媒介的复制港澳台商投资企业固定资产投资(不含农户),商务服务业港澳台商投资企业固定资产投资(不含农户),国家机构港澳台商投资企业固定资产投资(不含农户),国际组织港澳台商投资企业固定资产投资(不含农户),地质勘查业港澳台商投资企业固定资产投资(不含农户),城市公共交通业港澳台商投资企业固定资产投资(不含农户),基层群众自治组织港澳台商投资企业固定资产投资(不含农户),塑料制品业港澳台商投资企业固定资产投资(不含农户),娱乐业港澳台商投资企业固定资产投资(不含农户),家具制造业港澳台商投资企业固定资产投资(不含农户),居民服务业港澳台商投资企业固定资产投资(不含农户),居民服务和其他服务业港澳台商投资企业固定资产投资(不含农户),工艺品及其他制造业港澳台商投资企业固定资产投资(不含农户),广播、电视、电影和音像业港澳台商投资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业港澳台商投资企业固定资产投资(不含农户),建筑业港澳台商投资企业固定资产投资(不含农户),建筑安装业港澳台商投资企业固定资产投资(不含农户),建筑装饰业港澳台商投资企业固定资产投资(不含农户),房地产业港澳台商投资企业固定资产投资(不含农户),房屋和土木工程建筑业港澳台商投资企业固定资产投资(不含农户),批发业港澳台商投资企业固定资产投资(不含农户),批发和零售业港澳台商投资企业固定资产投资(不含农户),教育港澳台商投资企业固定资产投资(不含农户),文化、体育和娱乐业港澳台商投资企业固定资产投资(不含农户),文化艺术业港澳台商投资企业固定资产投资(不含农户),文教体育用品制造业港澳台商投资企业固定资产投资(不含农户),新闻出版业港澳台商投资企业固定资产投资(不含农户),有色金属冶炼及压延加工业港澳台商投资企业固定资产投资(不含农户),有色金属矿采选业港澳台商投资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业港澳台商投资企业固定资产投资(不含农户),林业港澳台商投资企业固定资产投资(不含农户),橡胶制品业港澳台商投资企业固定资产投资(不含农户),水上运输业港澳台商投资企业固定资产投资(不含农户),水利、环境和公共设施管理业港澳台商投资企业固定资产投资(不含农户),水利管理业港澳台商投资企业固定资产投资(不含农户),水的生产和供应业港澳台商投资企业固定资产投资(不含农户),渔业港澳台商投资企业固定资产投资(不含农户),港澳台商投资企业固定资产投资(不含农户),烟草制品业港澳台商投资企业固定资产投资(不含农户),煤炭开采和洗选业港澳台商投资企业固定资产投资(不含农户),燃气生产和供应业港澳台商投资企业固定资产投资(不含农户),环境管理业港澳台商投资企业固定资产投资(不含农户),电信和其他信息传输服务业港澳台商投资企业固定资产投资(不含农户),电力、热力的生产和供应业港澳台商投资企业固定资产投资(不含农户),电力燃气水的生产供应业港澳台商投资企业固定资产投资(不含农户),电气机械及器材制造业港澳台商投资企业固定资产投资(不含农户),畜牧业港澳台商投资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业港澳台商投资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业港澳台商投资企业固定资产投资(不含农户),石油和天然气开采业港澳台商投资企业固定资产投资(不含农户),研究与试验发展港澳台商投资企业固定资产投资(不含农户),社会保障业港澳台商投资企业固定资产投资(不含农户),社会福利业港澳台商投资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业港澳台商投资企业固定资产投资(不含农户),科技交流和推广服务业港澳台商投资企业固定资产投资(不含农户),租赁业港澳台商投资企业固定资产投资(不含农户),租赁和商务服务业港澳台商投资企业固定资产投资(不含农户),管道运输业港澳台商投资企业固定资产投资(不含农户),纺织业港澳台商投资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业港澳台商投资企业固定资产投资(不含农户),群众团体、社会团体和宗教港澳台商投资企业固定资产投资(不含农户),航空运输业港澳台商投资企业固定资产投资(不含农户),装卸搬运和其他运输服务业港澳台商投资企业固定资产投资(不含农户),计算机服务业港澳台商投资企业固定资产投资(不含农户),证券业港澳台商投资企业固定资产投资(不含农户),软件业港澳台商投资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业港澳台商投资企业固定资产投资(不含农户),通用设备制造业港澳台商投资企业固定资产投资(不含农户),造纸及纸制品业港澳台商投资企业固定资产投资(不含农户),道路运输业港澳台商投资企业固定资产投资(不含农户),邮政业港澳台商投资企业固定资产投资(不含农户),采矿业港澳台商投资企业固定资产投资(不含农户),金属制品业港澳台商投资企业固定资产投资(不含农户),金融业港澳台商投资企业固定资产投资(不含农户),铁路运输业港澳台商投资企业固定资产投资(不含农户),银行业港澳台商投资企业固定资产投资(不含农户),零售业港澳台商投资企业固定资产投资(不含农户),非金属矿物制品业港澳台商投资企业固定资产投资(不含农户),非金属矿采选业港澳台商投资企业固定资产投资(不含农户),食品制造业港澳台商投资企业固定资产投资(不含农户),餐饮业港澳台商投资企业固定资产投资(不含农户),饮料制造业港澳台商投资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业港澳台商投资企业固定资产投资(不含农户),黑色金属矿采选业港澳台商投资企业固定资产投资(不含农户)
2003年,9.588,20.4182,0.0,60.0517,43.2424,0.0,6.0919,16.4276,26.7188,30.121,0.7994,0.0,220.6414,1.3313,14.0931,0.09,0.1018,0.0,0.0,6.3334,0.6693,2.5217,31.0249,929.3283,56.5198,9.1919,30.3246,1.9596,1.9506,17.4609,7.3216,0.905,0.0,0.0,1.4085,0.1363,43.4933,21.5491,13.3832,0.6017,0.7035,12.1935,0.35,0.3872,5.6852,0.0111,0.1966,867.8418,5.3875,10.7045,34.7663,4.0163,23.3761,0.6776,10.6377,0.0,21.3389,1.5559,12.1213,0.278,8.9969,38.1565,16.9263,0.2131,7.8338,1.5113,2375.0758,0.4011,0.333,4.452,2.6201,219.3025,122.9558,135.2416,45.3385,1.3531,19.5282,7.8038,14.928,0.2997,0.0,0.009,9.9679,0.0802,0.0,7.3216,1.7034,66.903,41.6074,0.29,1.0943,0.5199,0.16,0.0,1.1789,159.0688,16.7465,28.6841,11.0772,0.0,18.8036,32.3647,0.6589,0.0,0.6589,24.0618,55.0497,0.75,19.3797,3.4022,15.9449,73.3456,1.2367
2004年,2.6349,28.1039,,68.8568,45.8339,,6.9415,21.5812,34.272,42.5723,1.0441,0.0469,247.7552,6.4275,13.7593,0.6242,0.0555,,0.0382,8.5434,1.13,3.6842,34.2462,1238.2252,75.6984,18.3407,42.4268,4.9554,4.9154,22.6283,7.2527,6.0264,,,2.1941,0.2811,44.3631,27.9773,20.5067,0.7823,0.8378,13.2378,0.07,0.6175,5.906,0.035,0.2756,1110.6239,4.9712,18.2629,35.2599,5.5204,30.0209,0.9295,10.6231,,59.8199,2.271,20.483,0.574,8.7499,27.2468,15.5104,1.028,10.3138,1.2632,3113.4956,0.425,1.3853,13.9706,0.7231,245.9761,237.5477,261.8321,55.6634,1.892,18.9785,28.0037,8.7804,1.1725,,0.04,5.1518,1.3444,0.035,7.2877,3.2762,79.313,49.677,0.12,1.7033,0.5792,0.44,,1.3391,221.9101,29.597,35.4853,26.9157,,15.5778,46.1596,2.6311,,2.546,16.997,90.206,1.7182,24.2753,8.3003,18.4216,72.8493,1.4229
2005年,0.037,31.3559,,104.6579,60.0327,,16.5644,21.3944,34.6535,43.8997,9.0879,0.0578,219.9277,8.0583,27.8399,0.0803,0.3571,,0.08,6.4291,0.595,3.1881,39.677,1694.9175,173.0757,21.4126,55.3723,2.8024,2.8024,22.4944,15.3761,7.9591,,,4.9394,0.0842,51.2346,9.466,27.2788,0.6192,0.9763,25.0446,0.464,0.2557,3.5,0.878,0.5322,1213.9201,2.0095,6.5901,27.563,5.6367,19.7809,0.763,18.1577,,66.174,2.1616,21.111,0.3589,15.3274,29.48,34.1952,0.561,10.3692,0.3161,3767.3227,0.035,6.1261,14.0443,5.7943,216.4306,313.1933,337.6068,81.3948,1.971,29.4477,16.8407,9.9363,0.5378,,,4.0626,3.4878,,15.3761,1.0351,101.9106,69.0083,0.015,0.4003,2.0015,1.4236,,2.0735,295.1973,38.7875,50.1757,49.8061,0.4311,22.6212,58.0275,1.3912,,1.2534,20.9729,113.3059,1.8896,34.9108,9.2462,26.5447,129.9322,2.5076
2006年,0.0096,47.1739,,174.7004,102.2601,,39.8251,30.4184,35.2617,45.1081,14.8622,0.6611,194.6383,4.1729,26.0568,,0.5192,0.04,1.563,7.8853,0.322,3.2533,45.928,1896.1507,169.3338,26.0767,38.286,6.0846,6.0846,22.6465,6.4486,4.0439,,0.02,6.4355,,56.8336,8.8936,33.9182,6.7199,7.2391,27.3978,,0.2088,7.797,,0.5565,1525.2058,7.2405,11.019,45.6987,5.9484,25.5192,1.7634,23.114,,54.3089,2.3135,15.3602,0.9362,22.8575,58.3229,30.8552,0.06,9.2129,0.492,4336.1262,0.6904,2.5502,20.2176,4.7384,188.6329,274.0804,303.5109,100.1942,2.8818,45.3907,12.184,25.9726,4.4706,,,7.933,3.4328,,6.4486,0.4107,124.7803,95.6476,0.129,14.128,1.6814,1.3123,,4.6931,351.5324,45.1653,59.3142,53.4331,0.1587,36.2613,73.9485,4.9687,0.305,2.7446,34.6797,91.3179,1.7749,37.7355,9.8464,35.1575,106.9698,3.6101
2007年,3.4149,69.167,,208.7364,115.0627,,50.038,19.5147,58.6513,68.5925,21.9528,0.101,281.6389,3.8792,44.3454,0.1571,2.2332,0.365,0.1502,11.4109,0.3664,5.0247,57.9839,2349.3636,170.8382,51.0419,49.7477,7.6487,7.5887,25.2176,19.6687,3.8432,,0.088,4.5296,,55.3632,17.3973,34.065,1.6162,3.8494,30.7699,,4.3771,3.5077,0.4555,0.2226,2029.13,2.6725,18.7639,56.711,6.0319,42.0414,2.6913,31.007,,62.5416,3.0209,21.0823,2.4597,20.8318,84.3449,52.088,0.276,15.5391,2.2837,5457.04,0.2147,1.8316,17.7801,7.4666,274.0266,212.0487,245.3679,113.3106,1.2764,53.094,24.0752,42.6331,4.2224,,0.06,9.0794,1.3541,0.2155,19.8842,0.07,114.3848,99.4884,0.036,1.7912,3.225,1.0716,,6.5407,557.6727,80.5512,113.6775,64.7107,0.027,53.6143,78.722,4.4646,,4.2134,37.9471,136.5742,3.7086,35.9619,9.9412,42.6441,80.3807,2.0551
2008年,2.4461,112.3004,,257.329,159.9979,,61.297,36.6612,80.043,88.7087,10.1619,0.17,332.686,1.0927,54.1765,,0.3175,,0.159,15.0306,1.8282,7.174,58.3196,2632.5698,170.1992,52.7014,53.7192,11.9691,11.9271,21.7311,32.0529,0.64,,,19.0109,,64.2751,22.722,28.4284,3.3901,3.7076,28.8118,0.2947,6.9118,5.9801,0.7011,0.5394,2380.9834,4.7396,19.084,91.6933,7.0287,36.1174,2.9388,23.0437,,82.7023,1.3048,21.0637,3.3727,20.2714,87.1671,61.3854,0.7678,15.3556,0.1656,6369.5737,0.1006,6.1533,20.7042,6.4411,321.2874,289.8406,325.9004,172.6378,2.4901,51.8398,39.8051,52.5143,6.9079,0.042,,12.8767,3.5227,0.1118,32.1647,25.2528,121.5163,101.0727,0.4527,0.9855,4.1472,2.6077,,8.7909,538.4602,88.6954,94.3232,52.5212,,67.8421,104.887,4.508,6.9473,4.179,72.6093,212.8018,3.7782,60.1949,8.6657,52.0082,53.0886,4.0915
2009年,1.5854,107.0986,,230.6506,142.9344,,88.7276,24.0363,69.2571,86.3526,12.6254,0.148,251.1977,1.1967,79.6241,2.884,0.3384,0.066,0.035,19.3139,4.2809,8.5987,59.5945,2603.2653,154.017,29.6475,72.032,5.5713,4.3125,23.8993,51.0321,0.5807,,0.29,18.7126,0.416,58.3345,35.1177,14.6338,3.8352,4.1736,33.0719,1.3202,19.01,18.0561,0.1576,2.6956,2508.7863,12.3189,23.4629,85.9913,8.1787,54.433,5.3697,16.5958,,86.6391,2.7177,20.0773,0.7492,29.9529,81.0697,82.9594,,12.0071,0.78,6443.9,0.1256,12.9997,33.9659,3.3353,236.8775,293.0668,339.0398,208.7341,4.9051,72.5523,95.5429,58.8483,7.3452,,1.2588,11.5272,2.3066,,51.0321,9.4115,96.4526,83.3544,0.2,0.0485,3.9605,2.8736,0.2625,11.4466,446.5033,128.9005,77.3578,21.7189,,79.9871,95.7985,2.2065,7.0013,1.761,62.5284,233.3212,2.919,68.6261,17.0955,44.1638,60.2573,2.4364
2010年,7.3,130.6,,226.9,181.4,,78.9,40.8,119.1,132.5,16.3,0.0348,245.4,1.4,84.7,2.5,4.1,,1.2,23.7,1.6,10.9,61.1,3048.3,207.9,19.6,80.3,11.3,9.8,22.7,73.4,0.4,,,16.2,0.4,66.9,41.6,18.7,4.4,8.5,31.4,1.1,11.3,15.8,,0.9,3204.8,12.4,30.2,89.4,8.0,64.8,5.7,25.4,,116.2,4.3,14.8,0.0,50.6,72.1,90.6,0.9,15.2,1.4,7808.7,0.7,18.6,32.7,5.0,226.4,246.8,294.7,259.3,9.8,58.0,89.9,14.7,14.1,,1.5,39.2,17.8,1.0,74.4,0.5,104.9,82.7,0.6,,8.9,4.6,0.4,14.4,610.0,105.0,98.7,17.2,,55.1,93.3,1.8,33.1,0.2,59.2,282.6,5.1,78.5,13.4,53.7,51.6,12.5
2011年,1.2671,140.0733,,271.4064,246.8843,,86.3309,49.7644,162.3088,175.1664,4.112,,283.4921,1.0588,111.3133,,2.0461,0.21,0.15,53.8858,4.1778,21.8713,97.5836,3790.6815,283.9484,49.6913,85.3892,8.7537,5.8252,32.0788,102.534,,,,12.0287,0.067,106.9306,54.3624,26.7453,3.0305,5.0766,37.8003,9.0826,10.74,5.791,0.095,1.0429,3984.2747,4.6531,54.8231,142.1437,17.3666,77.2448,9.6755,31.1688,,108.4725,8.5157,21.2787,1.411,73.3545,82.7657,113.691,1.0021,26.3113,2.3874,9431.0,2.4785,40.4324,41.3249,1.3756,234.8525,216.0074,283.6436,299.9424,24.0383,65.8164,63.4639,27.208,6.2731,,2.9285,18.0947,10.5545,1.5357,104.0697,12.5839,144.1418,119.7578,0.9488,15.0122,4.8759,11.2607,0.435,37.3789,796.7305,140.6994,129.3536,36.1059,,92.8824,128.3839,2.2656,21.7032,1.6806,87.3206,279.7327,14.5345,90.1276,12.8576,72.3579,55.7911,1.9818
2012年,3.4386,142.6765,,220.0405,,,63.5219,84.8357,195.9388,209.714,25.7559,,166.6045,9.4827,101.1575,,5.9925,0.45,0.02,49.0867,7.2883,18.2939,121.2362,3975.0267,312.7433,95.0266,120.6323,9.5389,7.6437,30.809,137.2684,4.8505,,,6.9357,1.437,75.5495,20.9554,34.1862,0.896,7.6726,,0.7433,18.3397,28.4244,7.0027,2.1015,4645.3983,,35.7724,140.6659,18.3324,56.5351,8.9306,69.1661,0.1499,119.4958,4.8862,21.5696,4.3402,49.1835,67.9082,107.829,2.7101,35.0032,1.9147,10275.8755,,57.2495,50.5263,3.9614,85.5257,239.1722,324.7017,290.4027,17.2496,84.9263,40.1507,39.2832,6.6675,,1.8952,19.387,9.2809,1.6467,138.9151,5.7675,136.4509,107.8198,3.1952,9.1199,19.2681,,,,734.092,187.0263,129.9772,43.8876,,143.4979,159.4938,5.0221,10.5673,,104.8935,229.3067,14.9384,112.8367,13.7752,100.7614,84.7144,4.304
2013年,3.2372,159.1592,,448.574,,,89.4915,,173.3795,179.6907,10.7009,,156.6966,9.6347,91.4439,,5.0176,1.44,11.4723,39.8306,2.9694,19.9582,97.4526,3766.3638,301.0641,78.4841,119.6511,7.6822,6.3252,22.1277,110.8442,0.046,,,,6.8494,,21.6246,41.9353,3.2385,9.1478,,0.8556,15.6497,13.8006,5.02,,5358.8327,,59.3172,198.0789,15.7467,42.4957,9.3146,,,112.8459,6.7119,29.3065,0.982,,79.3259,96.1422,1.6072,28.1414,3.9671,11027.6534,0.2101,34.8668,51.0967,3.0911,63.4146,322.1873,401.4254,258.3544,11.9539,,47.6515,52.2319,14.073,,,19.9481,2.6379,4.9977,115.8419,30.7572,135.3634,,2.7393,163.2229,23.9333,,,,687.1372,168.1134,135.6,33.3129,0.3304,126.3347,186.3986,21.3861,28.1999,,138.7617,222.6917,17.2853,72.6964,6.3112,,84.1775,3.967
2014年,6.6639,208.112,,372.9419,,,83.7839,,124.1053,146.1417,9.5886,,206.7358,7.2912,93.1103,,2.8535,,5.3837,63.3706,16.0565,23.8952,108.8877,3614.8476,293.3823,73.3114,120.7214,14.8655,12.7816,25.7528,134.3638,3.3816,,,,1.9156,,31.7064,43.0008,5.7495,9.2742,,3.0684,10.6781,7.4585,0.8191,,6223.4487,,49.4178,229.1338,35.0919,56.6646,12.3012,,,108.963,5.6224,30.4502,4.2881,,69.7908,111.5307,7.6465,26.1638,1.9735,11934.5258,3.1787,30.895,98.2952,10.7739,84.7611,393.1362,517.5952,243.8183,17.1573,,82.5518,47.5383,13.4399,0.3,,27.6285,7.5247,2.0692,136.433,5.0812,136.0146,,1.694,123.1647,7.7319,,,,634.5483,144.8387,85.6216,60.7854,0.15,120.3797,168.9218,33.6927,22.454,,179.716,189.7284,7.0188,66.8815,22.0364,,100.7983,2.9881
