,专业技术服务业固定资产投资(不含农户)项目建成投产率,专用设备制造业固定资产投资(不含农户)项目建成投产率,中国共产党机关固定资产投资(不含农户)项目建成投产率,交通运输、仓储和邮政业固定资产投资(不含农户)项目建成投产率,交通运输设备制造业固定资产投资(不含农户)项目建成投产率,人民政协和民主党派固定资产投资(不含农户)项目建成投产率,仓储业固定资产投资(不含农户)项目建成投产率,仪器仪表文化办公用机械制造业固定资产投资(不含农户)项目建成投产率,住宿业固定资产投资(不含农户)项目建成投产率,住宿和餐饮业固定资产投资(不含农户)项目建成投产率,体育固定资产投资(不含农户)项目建成投产率,保险业固定资产投资(不含农户)项目建成投产率,信息传输、计算机服务和软件业固定资产投资(不含农户)项目建成投产率,公共管理和社会组织固定资产投资(不含农户)项目建成投产率,公共设施管理业固定资产投资(不含农户)项目建成投产率,其他建筑业固定资产投资(不含农户)项目建成投产率,其他服务业固定资产投资(不含农户)项目建成投产率,其他采矿业固定资产投资(不含农户)项目建成投产率,其他金融活动固定资产投资(不含农户)项目建成投产率,农、林、牧、渔业固定资产投资(不含农户)项目建成投产率,农、林、牧、渔服务业固定资产投资(不含农户)项目建成投产率,农业固定资产投资(不含农户)项目建成投产率,农副食品加工业固定资产投资(不含农户)项目建成投产率,制造业固定资产投资(不含农户)项目建成投产率,化学原料及化学制品制造业固定资产投资(不含农户)项目建成投产率,化学纤维制造业固定资产投资(不含农户)项目建成投产率,医药制造业固定资产投资(不含农户)项目建成投产率,卫生、社会保障和社会福利业固定资产投资(不含农户)项目建成投产率,卫生固定资产投资(不含农户)项目建成投产率,印刷业和记录媒介的复制固定资产投资(不含农户)项目建成投产率,商务服务业固定资产投资(不含农户)项目建成投产率,固定资产投资(不含农户)项目建成投产率,国家机构固定资产投资(不含农户)项目建成投产率,国际组织固定资产投资(不含农户)项目建成投产率,地质勘查业固定资产投资(不含农户)项目建成投产率,城市公共交通业固定资产投资(不含农户)项目建成投产率,基层群众自治组织固定资产投资(不含农户)项目建成投产率,塑料制品业固定资产投资(不含农户)项目建成投产率,娱乐业固定资产投资(不含农户)项目建成投产率,家具制造业固定资产投资(不含农户)项目建成投产率,居民服务业固定资产投资(不含农户)项目建成投产率,居民服务和其他服务业固定资产投资(不含农户)项目建成投产率,工艺品及其他制造业固定资产投资(不含农户)项目建成投产率,广播、电视、电影和音像业固定资产投资(不含农户)项目建成投产率,废弃资源和废旧材料回收加工业固定资产投资(不含农户)项目建成投产率,建筑业固定资产投资(不含农户)项目建成投产率,建筑安装业固定资产投资(不含农户)项目建成投产率,建筑装饰业固定资产投资(不含农户)项目建成投产率,房地产业固定资产投资(不含农户)项目建成投产率,房屋和土木工程建筑业固定资产投资(不含农户)项目建成投产率,批发业固定资产投资(不含农户)项目建成投产率,批发和零售业固定资产投资(不含农户)项目建成投产率,教育固定资产投资(不含农户)项目建成投产率,文化、体育和娱乐业固定资产投资(不含农户)项目建成投产率,文化艺术业固定资产投资(不含农户)项目建成投产率,文教体育用品制造业固定资产投资(不含农户)项目建成投产率,新闻出版业固定资产投资(不含农户)项目建成投产率,有色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,有色金属矿采选业固定资产投资(不含农户)项目建成投产率,木材加工及木竹藤棕草制品业固定资产投资(不含农户)项目建成投产率,林业固定资产投资(不含农户)项目建成投产率,橡胶制品业固定资产投资(不含农户)项目建成投产率,水上运输业固定资产投资(不含农户)项目建成投产率,水利、环境和公共设施管理业固定资产投资(不含农户)项目建成投产率,水利管理业固定资产投资(不含农户)项目建成投产率,水的生产和供应业固定资产投资(不含农户)项目建成投产率,渔业固定资产投资(不含农户)项目建成投产率,烟草制品业固定资产投资(不含农户)项目建成投产率,煤炭开采和洗选业固定资产投资(不含农户)项目建成投产率,燃气生产和供应业固定资产投资(不含农户)项目建成投产率,环境管理业固定资产投资(不含农户)项目建成投产率,电信和其他信息传输服务业固定资产投资(不含农户)项目建成投产率,电力、热力的生产和供应业固定资产投资(不含农户)项目建成投产率,电力、燃气及水的生产和供应业固定资产投资(不含农户)项目建成投产率,电气机械及器材制造业固定资产投资(不含农户)项目建成投产率,畜牧业固定资产投资(不含农户)项目建成投产率,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)项目建成投产率,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)项目建成投产率,石油和天然气开采业固定资产投资(不含农户)项目建成投产率,研究与试验发展固定资产投资(不含农户)项目建成投产率,社会保障业固定资产投资(不含农户)项目建成投产率,社会福利业固定资产投资(不含农户)项目建成投产率,科学研究、技术服务和地质勘查业固定资产投资(不含农户)项目建成投产率,科技交流和推广服务业固定资产投资(不含农户)项目建成投产率,租赁业固定资产投资(不含农户)项目建成投产率,租赁和商务服务业固定资产投资(不含农户)项目建成投产率,管道运输业固定资产投资(不含农户)项目建成投产率,纺织业固定资产投资(不含农户)项目建成投产率,纺织服装、鞋、帽制造业固定资产投资(不含农户)项目建成投产率,群众团体、社会团体和宗教组织固定资产投资(不含农户)项目建成投产率,航空运输业固定资产投资(不含农户)项目建成投产率,装卸搬运和其他运输服务业固定资产投资(不含农户)项目建成投产率,计算机服务业固定资产投资(不含农户)项目建成投产率,证券业固定资产投资(不含农户)项目建成投产率,软件业固定资产投资(不含农户)项目建成投产率,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)项目建成投产率,通用设备制造业固定资产投资(不含农户)项目建成投产率,造纸及纸制品业固定资产投资(不含农户)项目建成投产率,道路运输业固定资产投资(不含农户)项目建成投产率,邮政业固定资产投资(不含农户)项目建成投产率,采矿业固定资产投资(不含农户)项目建成投产率,金属制品业固定资产投资(不含农户)项目建成投产率,金融业固定资产投资(不含农户)项目建成投产率,铁路运输业固定资产投资(不含农户)项目建成投产率,银行业固定资产投资(不含农户)项目建成投产率,零售业固定资产投资(不含农户)项目建成投产率,非金属矿物制品业固定资产投资(不含农户)项目建成投产率,非金属矿采选业固定资产投资(不含农户)项目建成投产率,食品制造业固定资产投资(不含农户)项目建成投产率,餐饮业固定资产投资(不含农户)项目建成投产率,饮料制造业固定资产投资(不含农户)项目建成投产率,黑色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,黑色金属矿采选业固定资产投资(不含农户)项目建成投产率
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3648551988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.339362106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9186242948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.631070106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3983612263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8748459778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9491233113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3915296946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
