,专业技术服务业固定资产投资(不含农户)地方项目,专用设备制造业固定资产投资(不含农户)地方项目,中国共产党机关固定资产投资(不含农户)地方项目,交通运输、仓储和邮政业固定资产投资(不含农户)地方项目,交通运输设备制造业固定资产投资(不含农户)地方项目,人民政协和民主党派固定资产投资(不含农户)地方项目,仓储业固定资产投资(不含农户)地方项目,仪器仪表及文化、办公用机械制造业固定资产投资(不含农户)地方项目,住宿业固定资产投资(不含农户)地方项目,住宿和餐饮业固定资产投资(不含农户)地方项目,体育固定资产投资(不含农户)地方项目,保险业固定资产投资(不含农户)地方项目,信息传输、计算机服务和软件业固定资产投资(不含农户)地方项目,公共管理和社会组织固定资产投资(不含农户)地方项目,公共设施管理业固定资产投资(不含农户)地方项目,其他建筑业固定资产投资(不含农户)地方项目,其他服务业固定资产投资(不含农户)地方项目,其他采矿业固定资产投资(不含农户)地方项目,其他金融活动固定资产投资(不含农户)地方项目,农、林、牧、渔业固定资产投资(不含农户)地方项目,农、林、牧、渔服务业固定资产投资(不含农户)地方项目,农业固定资产投资(不含农户)地方项目,农副食品加工业固定资产投资(不含农户)地方项目,制造业固定资产投资(不含农户)地方项目,化学原料及化学制品制造业固定资产投资(不含农户)地方项目,化学纤维制造业固定资产投资(不含农户)地方项目,医药制造业固定资产投资(不含农户)地方项目,卫生、社会保障和社会福利业固定资产投资(不含农户)地方项目,卫生固定资产投资(不含农户)地方项目,印刷业和记录媒介的复制固定资产投资(不含农户)地方项目,商务服务业固定资产投资(不含农户)地方项目,固定资产投资(不含农户)地方项目,国家机构固定资产投资(不含农户)地方项目,国际组织固定资产投资(不含农户)地方项目,地质勘查业固定资产投资(不含农户)地方项目,城市公共交通业固定资产投资(不含农户)地方项目,基层群众自治组织固定资产投资(不含农户)地方项目,塑料制品业固定资产投资(不含农户)地方项目,娱乐业固定资产投资(不含农户)地方项目,家具制造业固定资产投资(不含农户)地方项目,居民服务业固定资产投资(不含农户)地方项目,居民服务和其他服务业固定资产投资(不含农户)地方项目,工艺品及其他制造业固定资产投资(不含农户)地方项目,广播、电视、电影和音像业固定资产投资(不含农户)地方项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)地方项目,建筑业固定资产投资(不含农户)地方项目,建筑安装业固定资产投资(不含农户)地方项目,建筑装饰业固定资产投资(不含农户)地方项目,房地产业固定资产投资(不含农户)地方项目,房屋和土木工程建筑业固定资产投资(不含农户)地方项目,批发业固定资产投资(不含农户)地方项目,批发和零售业固定资产投资(不含农户)地方项目,教育固定资产投资(不含农户)地方项目,文化、体育和娱乐业固定资产投资(不含农户)地方项目,文化艺术业固定资产投资(不含农户)地方项目,文教体育用品制造业固定资产投资(不含农户)地方项目,新闻出版业固定资产投资(不含农户)地方项目,有色金属冶炼及压延加工业固定资产投资(不含农户)地方项目,有色金属矿采选业固定资产投资(不含农户)地方项目,木材加工及木、竹、藤、棕、草制品业固定资产投资(不含农户)地方项目,林业固定资产投资(不含农户)地方项目,橡胶制品业固定资产投资(不含农户)地方项目,水上运输业固定资产投资(不含农户)地方项目,水利、环境和公共设施管理业固定资产投资(不含农户)地方项目,水利管理业固定资产投资(不含农户)地方项目,水的生产和供应业固定资产投资(不含农户)地方项目,渔业固定资产投资(不含农户)地方项目,烟草制品业固定资产投资(不含农户)地方项目,煤炭开采和洗选业固定资产投资(不含农户)地方项目,燃气生产和供应业固定资产投资(不含农户)地方项目,环境管理业固定资产投资(不含农户)地方项目,电信和其他信息传输服务业固定资产投资(不含农户)地方项目,电力、热力的生产和供应业固定资产投资(不含农户)地方项目,电力燃气水的生产供应业固定资产投资(不含农户)地方项目,电气机械及器材制造业固定资产投资(不含农户)地方项目,畜牧业固定资产投资(不含农户)地方项目,皮革、毛皮、羽毛(绒)及其制品业固定资产投资(不含农户)地方项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)地方项目,石油和天然气开采业固定资产投资(不含农户)地方项目,研究与试验发展固定资产投资(不含农户)地方项目,社会保障业固定资产投资(不含农户)地方项目,社会福利业固定资产投资(不含农户)地方项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)地方项目,科技交流和推广服务业固定资产投资(不含农户)地方项目,租赁业固定资产投资(不含农户)地方项目,租赁和商务服务业固定资产投资(不含农户)地方项目,管道运输业固定资产投资(不含农户)地方项目,纺织业固定资产投资(不含农户)地方项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)地方项目,群众团体、社会团体和宗教固定资产投资(不含农户)地方项目,航空运输业固定资产投资(不含农户)地方项目,装卸搬运和其他运输服务业固定资产投资(不含农户)地方项目,计算机服务业固定资产投资(不含农户)地方项目,证券业固定资产投资(不含农户)地方项目,软件业固定资产投资(不含农户)地方项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)地方项目,通用设备制造业固定资产投资(不含农户)地方项目,造纸及纸制品业固定资产投资(不含农户)地方项目,道路运输业固定资产投资(不含农户)地方项目,邮政业固定资产投资(不含农户)地方项目,采矿业固定资产投资(不含农户)地方项目,金属制品业固定资产投资(不含农户)地方项目,金融业固定资产投资(不含农户)地方项目,铁路运输业固定资产投资(不含农户)地方项目,银行业固定资产投资(不含农户)地方项目,零售业固定资产投资(不含农户)地方项目,非金属矿物制品业固定资产投资(不含农户)地方项目,非金属矿采选业固定资产投资(不含农户)地方项目,食品制造业固定资产投资(不含农户)地方项目,餐饮业固定资产投资(不含农户)地方项目,饮料制造业固定资产投资(不含农户)地方项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)地方项目,黑色金属矿采选业固定资产投资(不含农户)地方项目
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23414.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28962.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,70.7887,296.6606,22.1368,4478.8306,539.5156,6.1909,97.8552,96.1929,204.7156,304.3586,102.3551,2.6205,787.1957,1760.6267,3220.7321,18.2737,13.5834,1.7711,3.8129,491.1131,117.0982,121.5398,397.4531,9682.9945,808.8359,108.0655,496.6857,338.055,314.271,116.4453,299.4266,39698.13,1582.5592,0.288,10.4799,437.2641,122.2602,255.3606,140.9806,73.7439,51.3324,64.9158,200.5781,70.5077,5.9702,491.8778,14.7584,10.5498,10956.221,448.2959,300.7987,770.2762,1288.1042,452.2118,118.0781,43.266,20.2903,397.468,68.7956,115.0651,139.6772,141.1821,274.0977,4112.9529,630.4617,345.7358,19.7868,32.9022,396.1158,141.6852,261.7591,750.3175,1902.7444,2390.1654,309.3733,93.0111,93.6246,201.48,96.5272,81.6219,6.4268,17.3572,191.4974,28.6069,2.6859,302.1125,9.1224,609.8561,199.3102,27.4796,85.9253,46.3177,9.5803,1.3032,27.2979,752.2786,346.4522,312.6491,3463.7737,7.8959,655.3997,277.5246,32.6443,56.5786,24.9077,469.4775,766.8522,46.5917,283.9175,99.643,196.3819,1207.9034,45.5983
2004年,58.4,416.75,22.82,5720.01,778.55,2.71,149.64,125.3,289.46,432.39,117.12,1.59,861.79,1862.2,3868.36,37.95,39.11,2.64,7.91,602.14,147.48,153.02,537.74,13225.25,1120.9,146.5,591.45,421.67,394.46,155.94,351.98,51503.6286,1612.27,0.31,11.0,391.13,195.49,327.91,155.38,105.31,66.88,105.99,199.54,70.84,12.93,488.77,15.17,8.03,14537.85,427.62,423.83,1086.62,1589.72,505.25,144.97,54.37,16.94,480.42,115.15,178.14,140.11,178.2,428.05,4780.85,657.21,459.01,30.34,22.49,623.44,177.78,255.28,819.45,3155.32,3792.11,519.25,131.18,115.97,455.18,132.14,95.84,4.39,22.82,209.11,43.87,6.19,358.18,18.86,761.09,258.98,28.9,105.8,58.52,10.06,1.18,32.27,1006.8,541.54,421.19,4464.84,9.6,1064.76,425.14,43.57,93.57,32.89,662.79,1090.45,72.04,363.19,142.94,252.54,1581.51,119.35
2005年,91.95,714.5054,17.8154,7081.777,1317.8397,5.1056,220.3275,157.9816,445.2082,664.7428,143.7776,3.4428,807.727,2116.4911,4914.9017,37.4813,37.5596,4.0759,8.9609,795.4012,207.9645,196.8335,887.7932,18797.094,1818.7214,156.7377,691.1723,553.2209,514.3416,220.3323,461.276,65984.1215,1771.0478,,27.3313,524.6384,285.2384,471.0675,199.5517,189.0752,97.3317,134.8913,302.7731,79.528,18.452,618.9873,21.2106,10.9065,16890.3248,549.3889,636.3171,1486.6353,1742.4884,644.625,206.6833,88.6008,15.0844,681.1393,176.9545,280.8522,172.639,200.364,679.307,5983.9809,754.2399,505.0893,45.639,29.4086,1082.1234,235.4687,314.8393,740.0145,4308.9327,5049.4907,765.0549,172.3252,202.5384,443.7374,152.5751,99.5697,8.784,30.0953,287.5946,68.7436,14.2273,475.5033,16.9543,1052.2272,383.6346,37.2839,149.6223,41.0735,15.5521,8.0334,52.1604,1195.3354,981.7843,548.3612,5297.0356,6.9417,1790.4509,731.9934,62.695,145.8767,42.2579,850.3182,1383.4908,133.3609,539.3435,219.5346,347.0954,1995.6812,241.3611
2006年,78.618,1015.9589,18.872,8885.2291,1659.8986,6.0677,313.0493,219.5841,616.43,913.7225,187.1351,9.3802,917.7315,2364.5873,6128.9099,67.4329,60.313,6.4737,7.7551,1070.837,299.9366,257.9381,1192.6349,24655.8291,2350.2726,168.9304,755.8307,663.9503,609.2125,294.7812,621.0211,82512.2109,1960.5234,0.135,34.0424,798.0867,336.307,701.1946,271.0429,271.8989,117.8294,178.1424,439.5079,102.9599,38.0981,733.8397,30.7663,15.9719,21306.6923,619.6686,805.4785,1868.2254,1881.9423,797.2682,212.1607,120.8818,23.9696,882.5822,296.8611,399.071,239.5218,360.171,852.2588,7322.4643,780.1612,642.3746,47.1098,48.8818,1315.2885,280.7956,413.3932,819.93,4612.4302,5535.6004,1097.9921,226.3307,292.332,471.2078,243.043,122.6613,17.0579,37.6799,312.3519,77.0302,23.3533,644.3744,50.8316,1261.0295,552.8446,42.8172,289.3035,52.1104,27.3302,9.6759,70.4713,1671.4098,1523.3093,647.3452,6317.6524,10.8649,2384.2353,1087.6694,75.0525,201.0715,48.2413,1062.7469,1840.9872,195.6654,764.2602,297.2925,544.891,1980.3723,326.9036
2007年,116.3612,1572.2538,17.5478,9902.8805,2291.6491,10.8045,547.1337,266.4488,889.026,1293.3774,218.5971,6.5391,952.4106,2488.6093,7522.3878,81.8659,73.176,11.2567,15.0713,1408.8423,423.2671,315.1892,1628.8135,33144.0446,3288.9386,256.2869,837.4832,768.9455,693.8662,358.5139,781.2915,104299.165,1966.4664,,51.0546,1065.6122,428.9045,858.092,331.742,386.9969,150.5941,223.7701,560.9417,118.7368,85.2715,899.2939,42.9013,24.7049,28194.8592,749.8218,1116.4564,2419.3031,1995.3483,1042.3897,339.4699,171.4829,33.8439,1187.5998,482.7374,633.7843,288.3964,432.5731,933.8844,9096.3854,988.7063,827.1651,67.964,62.2387,1607.7428,303.6292,585.2913,839.8093,4855.455,5986.2493,1590.7194,314.0256,347.1485,790.0746,406.5493,128.232,11.6006,63.4787,386.5716,90.9238,33.2975,814.589,52.4857,1508.5747,753.1006,64.8861,355.7868,71.2291,30.1401,12.1544,82.4612,2045.2964,2271.9814,815.2181,6615.6332,7.8872,3181.132,1557.824,100.1632,253.2282,66.3984,1302.8467,2785.6451,280.6391,960.4721,404.3514,710.5629,2128.0581,392.2067
2008年,192.3321,2150.7386,22.2335,11156.4904,3218.044,7.7616,810.9147,404.1516,1152.737,1703.4496,256.0924,10.0763,1144.8798,3031.3633,10048.8767,96.4913,107.2508,12.1155,20.2807,2221.5727,619.1586,453.3502,2038.1527,43213.3421,4468.667,271.5574,1066.776,1004.2222,876.0033,440.752,1144.5255,131565.7704,2240.8945,,65.3059,1254.1849,677.9846,1089.659,483.6548,511.7897,201.9044,309.1552,664.789,114.2201,136.2061,1062.1603,48.0934,35.9863,35204.4821,881.5893,1481.5563,3143.897,2176.9139,1359.7627,441.1069,196.3396,64.6885,1700.1355,607.8368,797.0744,383.4714,488.5451,1039.5991,12083.6048,1317.4384,1038.3463,102.0888,77.75,2148.7782,377.3279,717.2897,947.5257,5113.7302,6529.4044,2314.1504,663.5037,425.6871,1183.4856,438.4566,186.4462,20.5291,107.6898,571.4308,127.3466,44.4935,1189.019,91.5395,1535.6141,897.9396,82.4891,357.1862,110.6392,51.0444,31.8626,146.3097,2424.4364,3129.2074,1019.7195,7100.1747,13.859,4277.9638,2159.9568,182.6563,378.3931,120.4367,1662.3407,4103.2819,412.0278,1141.0089,550.7126,868.3863,2289.3404,658.7489
2009年,269.3565,2954.6017,22.0589,16468.2774,4285.5583,7.8956,1338.0038,512.7155,1450.8435,2288.4003,416.0292,11.9781,1232.1967,3928.742,14288.0942,134.3297,199.6132,21.1929,37.4686,3319.426,918.1854,733.1081,2814.9002,55601.3956,5625.1727,261.7996,1445.9801,1630.0905,1385.0955,557.6857,1733.9303,173222.9998,3039.8852,,115.2203,2004.1892,747.9074,1403.2968,752.5089,645.161,314.1009,513.7141,813.9815,148.0374,243.1589,1436.5548,68.1665,57.3442,42331.4979,1176.7144,2068.5177,4429.3089,3064.3628,2062.4668,693.6361,217.2265,52.2552,2028.4577,806.6626,1015.3906,576.8255,650.7723,1364.144,17458.9604,1992.4098,1736.7223,129.4728,109.9436,2767.3714,596.4089,1178.4564,970.4087,6622.2332,8955.3644,3516.1196,961.8342,516.9153,1277.5457,510.5899,230.752,81.9526,163.0424,845.0432,229.7144,112.3832,1846.3135,52.5616,1760.322,1048.4504,110.9949,498.045,219.2353,61.0612,26.8954,200.7268,2561.2293,4313.7997,1241.902,10368.4114,21.9966,5543.6021,2775.9337,267.2824,601.6905,190.9403,2360.7912,5791.9594,617.7971,1499.5369,837.5568,1073.4626,2638.4163,819.9882
2010年,343.3,4028.8,30.5,19981.4,5741.8,6.8,1683.0,675.3,2043.5,2942.0,496.4,25.3,1291.9,4520.2,17906.0,232.0,383.5,31.6,75.2,3885.5,1019.3,951.4,3613.3,71090.4,6488.8,363.2,1923.1,1880.6,1608.8,677.5,2303.6,218640.2437,3618.3,,128.0,2203.1,711.1,1790.2,901.1,838.8,361.0,744.4,1080.8,216.7,331.6,2093.9,74.9,63.7,56468.3,1723.2,2292.2,5181.1,3528.9,2543.7,879.9,269.5,49.5,2774.6,972.7,1302.7,660.9,806.3,1714.0,21713.7,2298.1,1691.5,202.9,116.3,3477.7,818.7,1509.6,931.4,7437.2,9947.4,4898.9,1051.0,641.4,1472.9,540.8,325.6,91.9,179.9,1062.9,266.1,147.9,2451.5,72.5,2228.2,1408.7,153.6,545.0,329.2,104.1,52.3,256.4,3633.0,5323.5,1343.5,12411.1,24.6,6928.0,3576.7,384.5,999.0,231.8,2888.9,7399.5,870.0,1941.0,898.5,1349.7,3051.0,1035.3
2011年,463.2429,5711.8274,52.2168,21484.9771,7593.2037,7.4563,2333.3551,1018.5956,2860.6968,3869.654,456.1789,45.7483,1323.5341,5332.7508,19303.9361,309.5479,527.984,50.0392,164.4637,6752.9626,1447.5009,2316.7293,5204.6013,99196.8085,8444.9017,720.7673,2614.0418,2234.302,1821.8692,857.1431,3103.8958,280598.811,4150.5567,,125.7936,2183.1799,903.3985,2625.7774,1182.8865,1196.4038,678.5599,1206.5439,1510.4691,179.8077,456.3056,3092.572,103.493,102.5234,73966.8933,2577.0077,3479.034,7293.2414,3697.9722,3094.5399,1199.2082,426.4274,76.4586,3658.4235,1182.4308,1899.042,874.0606,1151.4912,1653.3101,23736.0695,2873.1858,1788.709,371.0825,184.1745,4521.9391,1104.007,1558.9476,850.2168,7291.7451,10184.4611,7744.044,1743.5893,930.6904,1598.4645,592.273,483.6323,177.8319,234.6009,1436.1928,363.524,230.2615,3334.1573,114.1224,3646.8115,2265.0644,219.1225,543.5785,359.221,142.2646,48.1743,331.0527,4975.6126,7552.3484,1920.5332,13376.7135,51.7506,8822.1897,5017.0733,538.9888,869.746,280.6025,3814.2074,10255.7809,1281.7291,2401.2269,1008.9572,1906.7591,3708.8029,1193.7785
