,专业技术服务业固定资产投资(不含农户)全部建成投产项目,专用设备制造业固定资产投资(不含农户)全部建成投产项目,中国共产党机关固定资产投资(不含农户)全部建成投产项目,交通运输、仓储和邮政业固定资产投资(不含农户)全部建成投产项目,交通运输设备制造业固定资产投资(不含农户)全部建成投产项目,人民政协和民主党派固定资产投资(不含农户)全部建成投产项目,仓储业固定资产投资(不含农户)全部建成投产项目,仪器仪表文化办公用机械制造业固定资产投资(不含农户)全部建成投产项目,住宿业固定资产投资(不含农户)全部建成投产项目,住宿和餐饮业固定资产投资(不含农户)全部建成投产项目,体育固定资产投资(不含农户)全部建成投产项目,保险业固定资产投资(不含农户)全部建成投产项目,信息传输、计算机服务和软件业固定资产投资(不含农户)全部建成投产项目,公共管理和社会组织固定资产投资(不含农户)全部建成投产项目,公共设施管理业固定资产投资(不含农户)全部建成投产项目,其他建筑业固定资产投资(不含农户)全部建成投产项目,其他服务业固定资产投资(不含农户)全部建成投产项目,其他采矿业固定资产投资(不含农户)全部建成投产项目,其他金融活动固定资产投资(不含农户)全部建成投产项目,农、林、牧、渔业固定资产投资(不含农户)全部建成投产项目,农、林、牧、渔服务业固定资产投资(不含农户)全部建成投产项目,农业固定资产投资(不含农户)全部建成投产项目,农副食品加工业固定资产投资(不含农户)全部建成投产项目,制造业固定资产投资(不含农户)全部建成投产项目,化学原料及化学制品制造业固定资产投资(不含农户)全部建成投产项目,化学纤维制造业固定资产投资(不含农户)全部建成投产项目,医药制造业固定资产投资(不含农户)全部建成投产项目,卫生、社会保障和社会福利业固定资产投资(不含农户)全部建成投产项目,卫生固定资产投资(不含农户)全部建成投产项目,印刷业和记录媒介的复制固定资产投资(不含农户)全部建成投产项目,商务服务业固定资产投资(不含农户)全部建成投产项目,固定资产投资(不含农户)全部建成投产项目,国家机构固定资产投资(不含农户)全部建成投产项目,国际组织固定资产投资(不含农户)全部建成投产项目,地质勘查业固定资产投资(不含农户)全部建成投产项目,城市公共交通业固定资产投资(不含农户)全部建成投产项目,基层群众自治组织固定资产投资(不含农户)全部建成投产项目,塑料制品业固定资产投资(不含农户)全部建成投产项目,娱乐业固定资产投资(不含农户)全部建成投产项目,家具制造业固定资产投资(不含农户)全部建成投产项目,居民服务业固定资产投资(不含农户)全部建成投产项目,居民服务和其他服务业固定资产投资(不含农户)全部建成投产项目,工艺品及其他制造业固定资产投资(不含农户)全部建成投产项目,广播、电视、电影和音像业固定资产投资(不含农户)全部建成投产项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)全部建成投产项目,建筑业固定资产投资(不含农户)全部建成投产项目,建筑安装业固定资产投资(不含农户)全部建成投产项目,建筑装饰业固定资产投资(不含农户)全部建成投产项目,房地产业固定资产投资(不含农户)全部建成投产项目,房屋和土木工程建筑业固定资产投资(不含农户)全部建成投产项目,批发业固定资产投资(不含农户)全部建成投产项目,批发和零售业固定资产投资(不含农户)全部建成投产项目,教育固定资产投资(不含农户)全部建成投产项目,文化、体育和娱乐业固定资产投资(不含农户)全部建成投产项目,文化艺术业固定资产投资(不含农户)全部建成投产项目,文教体育用品制造业固定资产投资(不含农户)全部建成投产项目,新闻出版业固定资产投资(不含农户)全部建成投产项目,有色金属冶炼及压延加工业固定资产投资(不含农户)全部建成投产项目,有色金属矿采选业固定资产投资(不含农户)全部建成投产项目,木材加工及木竹藤棕草制品业固定资产投资(不含农户)全部建成投产项目,林业固定资产投资(不含农户)全部建成投产项目,橡胶制品业固定资产投资(不含农户)全部建成投产项目,水上运输业固定资产投资(不含农户)全部建成投产项目,水利、环境和公共设施管理业固定资产投资(不含农户)全部建成投产项目,水利管理业固定资产投资(不含农户)全部建成投产项目,水的生产和供应业固定资产投资(不含农户)全部建成投产项目,渔业固定资产投资(不含农户)全部建成投产项目,烟草制品业固定资产投资(不含农户)全部建成投产项目,煤炭开采和洗选业固定资产投资(不含农户)全部建成投产项目,燃气生产和供应业固定资产投资(不含农户)全部建成投产项目,环境管理业固定资产投资(不含农户)全部建成投产项目,电信和其他信息传输服务业固定资产投资(不含农户)全部建成投产项目,电力、热力的生产和供应业固定资产投资(不含农户)全部建成投产项目,电力、燃气及水的生产和供应业固定资产投资(不含农户)全部建成投产项目,电气机械及器材制造业固定资产投资(不含农户)全部建成投产项目,畜牧业固定资产投资(不含农户)全部建成投产项目,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)全部建成投产项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)全部建成投产项目,石油和天然气开采业固定资产投资(不含农户)全部建成投产项目,研究与试验发展固定资产投资(不含农户)全部建成投产项目,社会保障业固定资产投资(不含农户)全部建成投产项目,社会福利业固定资产投资(不含农户)全部建成投产项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)全部建成投产项目,科技交流和推广服务业固定资产投资(不含农户)全部建成投产项目,租赁业固定资产投资(不含农户)全部建成投产项目,租赁和商务服务业固定资产投资(不含农户)全部建成投产项目,管道运输业固定资产投资(不含农户)全部建成投产项目,纺织业固定资产投资(不含农户)全部建成投产项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)全部建成投产项目,群众团体、社会团体和宗教组织固定资产投资(不含农户)全部建成投产项目,航空运输业固定资产投资(不含农户)全部建成投产项目,装卸搬运和其他运输服务业固定资产投资(不含农户)全部建成投产项目,计算机服务业固定资产投资(不含农户)全部建成投产项目,证券业固定资产投资(不含农户)全部建成投产项目,软件业固定资产投资(不含农户)全部建成投产项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)全部建成投产项目,通用设备制造业固定资产投资(不含农户)全部建成投产项目,造纸及纸制品业固定资产投资(不含农户)全部建成投产项目,道路运输业固定资产投资(不含农户)全部建成投产项目,邮政业固定资产投资(不含农户)全部建成投产项目,采矿业固定资产投资(不含农户)全部建成投产项目,金属制品业固定资产投资(不含农户)全部建成投产项目,金融业固定资产投资(不含农户)全部建成投产项目,铁路运输业固定资产投资(不含农户)全部建成投产项目,银行业固定资产投资(不含农户)全部建成投产项目,零售业固定资产投资(不含农户)全部建成投产项目,非金属矿物制品业固定资产投资(不含农户)全部建成投产项目,非金属矿采选业固定资产投资(不含农户)全部建成投产项目,食品制造业固定资产投资(不含农户)全部建成投产项目,餐饮业固定资产投资(不含农户)全部建成投产项目,饮料制造业固定资产投资(不含农户)全部建成投产项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)全部建成投产项目,黑色金属矿采选业固定资产投资(不含农户)全部建成投产项目
2003年,260.0,1361.0,172.0,8684.0,1397.0,53.0,523.0,265.0,889.0,1780.0,177.0,76.0,7135.0,10812.0,5675.0,58.0,105.0,9.0,19.0,4990.0,1459.0,1292.0,2165.0,33701.0,3549.0,155.0,1217.0,2364.0,2029.0,565.0,617.0,109155.0,9545.0,1.0,88.0,364.0,820.0,1242.0,324.0,402.0,366.0,471.0,514.0,413.0,23.0,2371.0,79.0,66.0,1095.0,2168.0,2101.0,4757.0,8954.0,1441.0,472.0,250.0,55.0,891.0,416.0,949.0,1228.0,319.0,346.0,8918.0,2669.0,1129.0,173.0,227.0,1715.0,235.0,574.0,7046.0,5113.0,6477.0,1113.0,838.0,349.0,819.0,142.0,315.0,69.0,266.0,754.0,91.0,24.0,641.0,7.0,2445.0,996.0,222.0,62.0,135.0,30.0,6.0,59.0,836.0,1727.0,950.0,6053.0,281.0,3104.0,1406.0,705.0,913.0,604.0,2656.0,3423.0,568.0,1225.0,891.0,885.0,2036.0,254.0
2004年,270.0,1520.0,161.0,10208.0,1648.0,34.0,519.0,249.0,889.0,1973.0,176.0,36.0,7196.0,9331.0,6137.0,81.0,172.0,19.0,24.0,5405.0,1596.0,1429.0,2545.0,36043.0,3431.0,139.0,1386.0,2760.0,2466.0,594.0,556.0,113145.0,8265.0,1.0,75.0,249.0,672.0,1233.0,383.0,455.0,383.0,555.0,741.0,293.0,54.0,1998.0,88.0,72.0,1875.0,1757.0,2049.0,5013.0,8066.0,1388.0,488.0,198.0,48.0,1048.0,489.0,1086.0,1268.0,335.0,496.0,9264.0,2448.0,1183.0,169.0,204.0,1551.0,353.0,679.0,7118.0,5268.0,6804.0,1361.0,943.0,386.0,741.0,147.0,285.0,40.0,254.0,746.0,116.0,35.0,591.0,15.0,2068.0,1121.0,199.0,83.0,105.0,39.0,,39.0,787.0,2146.0,903.0,7836.0,175.0,3418.0,1696.0,532.0,730.0,472.0,2964.0,3456.0,613.0,1317.0,1084.0,844.0,2351.0,599.0
2005年,376.0,2268.0,149.0,13366.0,2377.0,31.0,600.0,400.0,1258.0,2947.0,190.0,47.0,4959.0,11581.0,8395.0,104.0,233.0,19.0,31.0,9735.0,4778.0,1837.0,3534.0,49335.0,4089.0,210.0,1457.0,3640.0,3218.0,858.0,764.0,148753.0,10118.0,,128.0,248.0,1019.0,1944.0,638.0,730.0,611.0,844.0,939.0,386.0,92.0,2657.0,122.0,90.0,2555.0,2341.0,3468.0,7385.0,10271.0,1881.0,623.0,361.0,44.0,1051.0,710.0,1582.0,1431.0,514.0,282.0,12327.0,2964.0,1496.0,199.0,165.0,2497.0,373.0,968.0,4839.0,5592.0,7461.0,2156.0,1490.0,626.0,686.0,239.0,298.0,67.0,355.0,977.0,175.0,79.0,843.0,30.0,2918.0,1594.0,264.0,78.0,75.0,60.0,7.0,60.0,1204.0,3803.0,1249.0,10688.0,123.0,5462.0,2691.0,527.0,1242.0,442.0,3917.0,4932.0,1038.0,1662.0,1689.0,1194.0,2049.0,959.0
2006年,379.0,2913.0,129.0,12795.0,2654.0,33.0,754.0,407.0,1598.0,3618.0,279.0,45.0,4198.0,11660.0,9298.0,208.0,348.0,25.0,43.0,7171.0,2570.0,1701.0,4268.0,58914.0,4911.0,189.0,1460.0,3175.0,2705.0,1007.0,1023.0,162383.0,9720.0,,126.0,300.0,1523.0,2535.0,745.0,960.0,806.0,1154.0,1071.0,365.0,135.0,2749.0,115.0,115.0,8263.0,2311.0,3047.0,7381.0,9366.0,2197.0,760.0,391.0,48.0,1212.0,939.0,2297.0,1482.0,594.0,267.0,13123.0,2937.0,1536.0,193.0,102.0,2442.0,475.0,888.0,4012.0,5945.0,7956.0,2438.0,1225.0,736.0,720.0,337.0,306.0,68.0,402.0,1013.0,202.0,82.0,1105.0,27.0,3403.0,1800.0,255.0,126.0,94.0,107.0,9.0,79.0,1235.0,4590.0,1441.0,10516.0,135.0,6111.0,3242.0,434.0,576.0,337.0,4334.0,6881.0,1282.0,1978.0,2020.0,1373.0,1971.0,1086.0
2007年,400.0,3459.0,123.0,14649.0,2960.0,33.0,1053.0,490.0,2030.0,4425.0,293.0,50.0,8323.0,11321.0,10702.0,176.0,460.0,32.0,49.0,8514.0,3203.0,1697.0,5188.0,69040.0,5336.0,212.0,1454.0,3373.0,2739.0,1066.0,933.0,187525.0,9585.0,,156.0,233.0,1314.0,2874.0,893.0,1174.0,836.0,1296.0,1162.0,324.0,227.0,2515.0,133.0,146.0,11437.0,2060.0,3387.0,8051.0,8585.0,2339.0,769.0,479.0,60.0,1421.0,1316.0,2823.0,1637.0,730.0,304.0,15452.0,3501.0,1896.0,224.0,147.0,2913.0,686.0,1249.0,8115.0,5946.0,8528.0,2943.0,1753.0,970.0,782.0,152.0,320.0,69.0,565.0,1082.0,206.0,69.0,1002.0,37.0,3781.0,2270.0,266.0,104.0,120.0,146.0,10.0,62.0,1290.0,6008.0,1678.0,12326.0,89.0,7061.0,4036.0,532.0,383.0,423.0,4664.0,8291.0,1528.0,2364.0,2395.0,1643.0,1782.0,1120.0
2008年,519.0,4398.0,132.0,17749.0,4139.0,25.0,1290.0,635.0,2334.0,5228.0,369.0,50.0,4323.0,12550.0,14211.0,268.0,532.0,37.0,64.0,11577.0,3642.0,2113.0,6272.0,84324.0,6153.0,288.0,1664.0,3923.0,3104.0,1232.0,1443.0,220418.0,10352.0,,152.0,370.0,1746.0,3479.0,1098.0,1571.0,1116.0,1648.0,1381.0,384.0,313.0,3441.0,148.0,193.0,13179.0,2832.0,4021.0,9451.0,8617.0,2917.0,1014.0,568.0,52.0,1695.0,1203.0,3333.0,1925.0,885.0,534.0,20456.0,4590.0,2436.0,371.0,149.0,3228.0,717.0,1655.0,4067.0,6562.0,9715.0,3872.0,3526.0,1210.0,681.0,201.0,337.0,90.0,729.0,1263.0,255.0,105.0,1548.0,35.0,3923.0,2510.0,295.0,98.0,189.0,169.0,13.0,87.0,1836.0,7570.0,1927.0,14637.0,87.0,7902.0,5188.0,607.0,509.0,480.0,5430.0,10941.0,1806.0,2876.0,2894.0,1760.0,1875.0,1427.0
2009年,693.0,5427.0,120.0,21285.0,5198.0,21.0,1919.0,871.0,3011.0,6945.0,434.0,61.0,4903.0,14748.0,19457.0,311.0,693.0,67.0,130.0,16166.0,5339.0,3240.0,7784.0,103329.0,7724.0,295.0,2195.0,7461.0,6209.0,1516.0,2105.0,288033.0,11749.0,,244.0,366.0,2405.0,3953.0,1563.0,2112.0,1603.0,2296.0,1642.0,476.0,424.0,4971.0,265.0,1074.0,17833.0,3321.0,5590.0,13393.0,13352.0,4349.0,1837.0,696.0,39.0,2013.0,1664.0,3816.0,2819.0,999.0,671.0,28692.0,6575.0,4103.0,417.0,234.0,3850.0,1161.0,2660.0,4444.0,8047.0,13311.0,5059.0,4351.0,1337.0,959.0,196.0,465.0,283.0,969.0,1899.0,497.0,125.0,2230.0,70.0,4543.0,3141.0,453.0,143.0,336.0,302.0,30.0,157.0,2159.0,8920.0,2455.0,17295.0,132.0,9894.0,6293.0,976.0,353.0,755.0,7803.0,13413.0,2486.0,3596.0,3934.0,2364.0,2191.0,1631.0
2010年,849.0,5947.0,144.0,20699.0,5837.0,35.0,2061.0,890.0,2934.0,6293.0,464.0,47.0,6876.0,14401.0,20702.0,465.0,703.0,102.0,138.0,15662.0,5341.0,3012.0,8436.0,107801.0,8024.0,286.0,2487.0,5936.0,4585.0,1578.0,1983.0,289585.0,11193.0,,179.0,424.0,2642.0,3981.0,1469.0,2149.0,1261.0,1964.0,1805.0,443.0,457.0,4963.0,171.0,219.0,17037.0,4108.0,4671.0,12609.0,13633.0,4277.0,1850.0,681.0,51.0,2011.0,1754.0,4587.0,2514.0,944.0,763.0,30237.0,6760.0,3898.0,571.0,175.0,3719.0,1126.0,2775.0,6385.0,6820.0,11844.0,5530.0,4224.0,1376.0,888.0,329.0,331.0,256.0,1095.0,1811.0,452.0,136.0,2119.0,57.0,4550.0,3473.0,387.0,111.0,366.0,306.0,49.0,185.0,2217.0,9042.0,2227.0,16387.0,130.0,10547.0,6191.0,876.0,400.0,642.0,7938.0,13707.0,2943.0,3563.0,3359.0,2563.0,2199.0,1700.0
2011年,912.0,7529.0,101.0,16213.0,7225.0,15.0,2382.0,1234.0,3033.0,5704.0,376.0,48.0,2231.0,11160.0,22059.0,535.0,697.0,155.0,158.0,19507.0,4820.0,5872.0,9619.0,135566.0,8920.0,562.0,2694.0,3927.0,2959.0,1680.0,2525.0,298499.0,8441.0,,236.0,339.0,2132.0,4995.0,1319.0,2564.0,1283.0,1980.0,2227.0,313.0,661.0,5024.0,198.0,215.0,14705.0,4076.0,5002.0,11594.0,8015.0,3690.0,1638.0,959.0,44.0,2504.0,1720.0,5009.0,2373.0,1265.0,447.0,30906.0,6130.0,3481.0,1086.0,117.0,4195.0,1185.0,2717.0,1816.0,6365.0,11031.0,7811.0,5356.0,1946.0,874.0,330.0,497.0,287.0,681.0,2070.0,425.0,150.0,2675.0,92.0,7351.0,5177.0,471.0,105.0,457.0,189.0,49.0,226.0,3473.0,11946.0,2541.0,12086.0,78.0,11772.0,8378.0,729.0,227.0,474.0,6592.0,17115.0,3440.0,3951.0,2671.0,2861.0,2378.0,1932.0
2012年,1046.0,8697.0,50.0,15480.0,,17.0,2386.0,1167.0,3201.0,5665.0,669.0,69.0,2293.0,9039.0,22997.0,,347.0,64.0,50.0,18512.0,4119.0,6505.0,9468.0,127527.0,8684.0,492.0,2789.0,3337.0,2604.0,1507.0,2778.0,286605.0,6169.0,,172.0,621.0,1574.0,4387.0,988.0,2324.0,1369.0,2378.0,,280.0,766.0,4306.0,188.0,204.0,16587.0,,4952.0,11430.0,7809.0,3875.0,1895.0,1868.0,43.0,2460.0,1525.0,4581.0,1979.0,1016.0,492.0,30490.0,6140.0,3213.0,933.0,118.0,4109.0,1254.0,1353.0,1548.0,6533.0,11000.0,7105.0,4976.0,2040.0,851.0,246.0,548.0,298.0,733.0,2210.0,616.0,167.0,2945.0,110.0,5572.0,,931.0,95.0,579.0,,14.0,,3726.0,9788.0,2344.0,11488.0,113.0,10928.0,7082.0,794.0,217.0,,6478.0,16023.0,3027.0,3723.0,2464.0,2959.0,3224.0,1767.0
2013年,1275.0,9266.0,69.0,19128.0,,15.0,2682.0,,3506.0,6094.0,806.0,56.0,2619.0,9305.0,29327.0,,459.0,96.0,75.0,22836.0,5353.0,7454.0,10712.0,142785.0,9324.0,612.0,3335.0,3986.0,2948.0,1790.0,3623.0,331781.0,6356.0,,,,1666.0,,1128.0,2465.0,1526.0,2735.0,,286.0,820.0,4097.0,206.0,,19838.0,,6519.0,14120.0,9050.0,4574.0,2297.0,,57.0,2702.0,1575.0,5256.0,2559.0,,539.0,38850.0,7803.0,4017.0,1206.0,160.0,3770.0,1629.0,1720.0,1610.0,7399.0,13045.0,7999.0,6264.0,,907.0,367.0,674.0,288.0,,2965.0,1016.0,283.0,3906.0,179.0,6730.0,,911.0,99.0,633.0,,,,4279.0,11298.0,2602.0,14651.0,121.0,10885.0,8378.0,963.0,224.0,,7601.0,16867.0,2985.0,4189.0,2588.0,,3224.0,1778.0
2014年,1768.0,10359.0,64.0,24366.0,,20.0,3556.0,,4058.0,6942.0,1107.0,66.0,4175.0,10947.0,40471.0,,511.0,119.0,97.0,28709.0,6534.0,9709.0,12405.0,162735.0,10172.0,633.0,3802.0,5001.0,3592.0,2179.0,5015.0,399808.0,7627.0,,,,1940.0,,1336.0,3062.0,1725.0,3077.0,,405.0,1065.0,5820.0,311.0,,22610.0,,8842.0,18172.0,11611.0,5663.0,2743.0,,72.0,2863.0,1765.0,6037.0,3177.0,,672.0,52598.0,9702.0,4887.0,1405.0,155.0,3042.0,1851.0,2425.0,2527.0,9338.0,16076.0,9554.0,7884.0,,1034.0,387.0,873.0,356.0,,4107.0,1466.0,305.0,5320.0,190.0,7103.0,,940.0,136.0,763.0,,,,4930.0,12978.0,2776.0,18611.0,160.0,10783.0,9786.0,1096.0,278.0,,9330.0,18740.0,3370.0,4781.0,2884.0,,3394.0,1740.0
