,专业技术服务业固定资产投资(不含农户)自筹资金,专用设备制造业固定资产投资(不含农户)自筹资金,中国共产党机关固定资产投资(不含农户)自筹资金,交通运输、仓储和邮政业固定资产投资(不含农户)自筹资金,交通运输设备制造业固定资产投资(不含农户)自筹资金,人民政协和民主党派固定资产投资(不含农户)自筹资金,仓储业固定资产投资(不含农户)自筹资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)自筹资金,住宿业固定资产投资(不含农户)自筹资金,住宿和餐饮业固定资产投资(不含农户)自筹资金,体育固定资产投资(不含农户)自筹资金,保险业固定资产投资(不含农户)自筹资金,信息传输、计算机服务和软件业固定资产投资(不含农户)自筹资金,公共管理和社会组织固定资产投资(不含农户)自筹资金,公共设施管理业固定资产投资(不含农户)自筹资金,其他建筑业固定资产投资(不含农户)自筹资金,其他服务业固定资产投资(不含农户)自筹资金,其他采矿业固定资产投资(不含农户)自筹资金,其他金融活动固定资产投资(不含农户)自筹资金,农、林、牧、渔业固定资产投资(不含农户)自筹资金,农、林、牧、渔服务业固定资产投资(不含农户)自筹资金,农业固定资产投资(不含农户)自筹资金,农副食品加工业固定资产投资(不含农户)自筹资金,制造业固定资产投资(不含农户)自筹资金,化学原料及化学制品制造业固定资产投资(不含农户)自筹资金,化学纤维制造业固定资产投资(不含农户)自筹资金,医药制造业固定资产投资(不含农户)自筹资金,卫生、社会保障和社会福利业固定资产投资(不含农户)自筹资金,卫生固定资产投资(不含农户)自筹资金,印刷业和记录媒介的复制固定资产投资(不含农户)自筹资金,商务服务业固定资产投资(不含农户)自筹资金,固定资产投资(不含农户)自筹资金,国家机构固定资产投资(不含农户)自筹资金,国际组织固定资产投资(不含农户)自筹资金,地质勘查业固定资产投资(不含农户)自筹资金,城市公共交通业固定资产投资(不含农户)自筹资金,基层群众自治组织固定资产投资(不含农户)自筹资金,塑料制品业固定资产投资(不含农户)自筹资金,娱乐业固定资产投资(不含农户)自筹资金,家具制造业固定资产投资(不含农户)自筹资金,居民服务业固定资产投资(不含农户)自筹资金,居民服务和其他服务业固定资产投资(不含农户)自筹资金,工艺品及其他制造业固定资产投资(不含农户)自筹资金,广播、电视、电影和音像业固定资产投资(不含农户)自筹资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)自筹资金,建筑业固定资产投资(不含农户)自筹资金,建筑安装业固定资产投资(不含农户)自筹资金,建筑装饰业固定资产投资(不含农户)自筹资金,房地产业固定资产投资(不含农户)自筹资金,房屋和土木工程建筑业固定资产投资(不含农户)自筹资金,批发业固定资产投资(不含农户)自筹资金,批发和零售业固定资产投资(不含农户)自筹资金,教育固定资产投资(不含农户)自筹资金,文化、体育和娱乐业固定资产投资(不含农户)自筹资金,文化艺术业固定资产投资(不含农户)自筹资金,文教体育用品制造业固定资产投资(不含农户)自筹资金,新闻出版业固定资产投资(不含农户)自筹资金,有色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,有色金属矿采选业固定资产投资(不含农户)自筹资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)自筹资金,林业固定资产投资(不含农户)自筹资金,橡胶制品业固定资产投资(不含农户)自筹资金,水上运输业固定资产投资(不含农户)自筹资金,水利、环境和公共设施管理业固定资产投资(不含农户)自筹资金,水利管理业固定资产投资(不含农户)自筹资金,水的生产和供应业固定资产投资(不含农户)自筹资金,渔业固定资产投资(不含农户)自筹资金,烟草制品业固定资产投资(不含农户)自筹资金,煤炭开采和洗选业固定资产投资(不含农户)自筹资金,燃气生产和供应业固定资产投资(不含农户)自筹资金,环境管理业固定资产投资(不含农户)自筹资金,电信和其他信息传输服务业固定资产投资(不含农户)自筹资金,电力、热力的生产和供应业固定资产投资(不含农户)自筹资金,电力燃气水的生产供应业固定资产投资(不含农户)自筹资金,电气机械及器材制造业固定资产投资(不含农户)自筹资金,畜牧业固定资产投资(不含农户)自筹资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)自筹资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)自筹资金,石油和天然气开采业固定资产投资(不含农户)自筹资金,研究与试验发展固定资产投资(不含农户)自筹资金,社会保障业固定资产投资(不含农户)自筹资金,社会福利业固定资产投资(不含农户)自筹资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)自筹资金,科技交流和推广服务业固定资产投资(不含农户)自筹资金,租赁业固定资产投资(不含农户)自筹资金,租赁和商务服务业固定资产投资(不含农户)自筹资金,管道运输业固定资产投资(不含农户)自筹资金,纺织业固定资产投资(不含农户)自筹资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)自筹资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)自筹资金,航空运输业固定资产投资(不含农户)自筹资金,装卸搬运和其他运输服务业固定资产投资(不含农户)自筹资金,计算机服务业固定资产投资(不含农户)自筹资金,证券业固定资产投资(不含农户)自筹资金,软件业固定资产投资(不含农户)自筹资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)自筹资金,通用设备制造业固定资产投资(不含农户)自筹资金,造纸及纸制品业固定资产投资(不含农户)自筹资金,道路运输业固定资产投资(不含农户)自筹资金,邮政业固定资产投资(不含农户)自筹资金,采矿业固定资产投资(不含农户)自筹资金,金属制品业固定资产投资(不含农户)自筹资金,金融业固定资产投资(不含农户)自筹资金,铁路运输业固定资产投资(不含农户)自筹资金,银行业固定资产投资(不含农户)自筹资金,零售业固定资产投资(不含农户)自筹资金,非金属矿物制品业固定资产投资(不含农户)自筹资金,非金属矿采选业固定资产投资(不含农户)自筹资金,食品制造业固定资产投资(不含农户)自筹资金,餐饮业固定资产投资(不含农户)自筹资金,饮料制造业固定资产投资(不含农户)自筹资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,黑色金属矿采选业固定资产投资(不含农户)自筹资金
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7940.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7748.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8722.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9885.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10042.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11227.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13708.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16567.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,49.4517,228.39,11.4744,2280.6868,517.7647,1.4412,65.4219,58.0421,141.5793,221.6827,61.1934,4.7489,1390.3976,1022.8187,1633.4787,13.5255,10.9215,0.75,6.2487,247.7504,58.1289,70.3578,278.8575,7120.8995,655.8522,64.5364,384.6589,217.8233,203.6139,93.8183,197.2518,23617.35,913.9892,0.26,21.6029,218.4534,80.2399,152.9461,105.0922,52.0388,31.5444,42.4659,128.0181,58.5416,3.0979,312.8657,9.9217,9.029,4030.5484,280.3895,238.2954,579.5317,864.966,314.481,73.7265,29.9212,15.9273,319.563,50.8584,79.8565,47.2012,73.5446,209.0109,2003.3969,251.1688,141.4865,13.8202,70.4899,339.7085,77.634,118.7494,1363.6755,1126.4935,1345.614,201.5983,58.2423,54.071,239.2107,718.4379,68.3938,1.9462,12.2632,163.4048,23.9564,1.7655,199.0173,53.9064,396.3685,120.5933,15.674,95.9227,23.9897,7.8021,1.6521,18.92,311.7288,273.9206,200.8965,1358.3138,23.2272,1185.3771,194.3348,73.3605,232.4408,60.7108,341.2363,526.8337,35.4342,201.0487,80.1034,152.6559,1056.2425,40.1881
2004年,47.31,350.37,9.85,2959.01,787.34,0.88,127.34,93.56,200.97,322.82,65.2,4.37,1468.58,1179.23,2132.47,31.84,36.24,1.56,6.1,333.64,76.42,96.01,392.88,10178.84,972.74,87.99,450.65,303.26,286.22,128.96,237.51,32196.07,1019.52,0.1,19.15,219.62,129.41,211.91,130.44,78.47,44.03,80.27,110.29,58.62,10.02,358.95,16.61,6.52,1085.78,303.98,354.8,874.78,1056.6,357.77,89.95,33.48,13.55,394.21,88.67,129.77,56.34,109.92,304.27,2504.43,251.31,215.7,20.54,88.66,532.43,128.3,120.65,1438.24,2067.11,2411.11,356.9,84.33,77.05,509.95,837.65,99.26,2.07,14.96,198.24,32.52,5.17,5450.24,54.11,528.31,175.78,19.58,110.67,36.21,8.98,1.19,21.36,423.91,448.32,217.64,1830.63,23.59,1627.13,314.0,75.65,252.57,63.99,519.98,789.83,56.76,283.45,121.85,195.23,1427.28,110.07
2005年,65.0395,592.0046,11.6307,3872.1859,1191.0675,4.9618,182.3694,112.5187,346.0113,531.188,85.3122,7.1719,1379.0469,1393.5074,2782.4257,28.2224,33.9551,3.2276,7.5337,456.9842,114.0499,120.2628,701.4542,14987.6225,1345.9755,110.8809,559.2602,406.2855,381.1195,190.3523,377.501,44154.5146,1136.3803,0.0,39.2905,262.2938,217.8529,359.7855,149.0522,149.2869,72.0704,106.0255,232.2555,69.1358,13.1715,449.4106,21.6593,10.2499,7821.1119,389.279,578.3488,1275.7797,1253.4301,455.5401,135.4736,53.8157,16.5663,565.6436,156.8754,223.2157,62.6372,145.6531,441.067,3298.6047,347.3478,286.4293,40.1368,87.6732,954.1153,175.7013,168.8312,1319.1591,2697.3823,3159.5129,588.6269,119.8975,146.1774,619.7424,1099.5563,105.4803,6.2882,18.8778,255.3832,45.5729,13.7674,391.2684,38.1089,804.2825,288.1291,22.6817,152.8483,32.6494,17.5878,10.1098,42.3,545.1944,848.4968,339.542,2359.249,15.2363,2570.5329,585.1911,91.0942,388.3638,66.2788,697.4309,1090.602,118.0281,415.6972,185.1767,282.1942,1799.7319,238.7302
2006年,69.9898,907.6626,9.4989,4885.4522,1545.4566,5.0222,265.8368,170.8837,480.8755,743.6002,98.3683,8.1276,1594.9339,1581.7161,3408.0498,51.2647,51.6375,5.7364,7.2283,631.8324,171.3829,165.7416,980.1455,20289.4184,1792.5145,129.5974,651.7647,489.9423,458.8489,250.0845,522.791,56547.5065,1291.5901,0.135,47.1787,359.926,251.5169,588.4852,203.9681,223.1032,100.0965,151.734,332.0211,89.7675,31.2564,594.6718,34.7241,15.1292,10057.4214,493.5538,727.9834,1618.9633,1348.3541,548.7771,132.0799,82.6083,24.5933,763.1505,245.5667,336.9265,103.6331,243.2251,575.0617,4061.4753,381.4104,391.0615,35.5322,108.4514,1245.2381,218.3486,272.0151,1506.2705,3045.8229,3655.233,882.5094,155.5426,222.8904,752.2373,1388.8038,121.4431,6.5921,24.5013,292.1677,53.5561,24.0406,546.8316,37.8708,1016.6208,430.3962,24.088,130.6444,45.0772,31.0778,9.6564,57.5856,779.5485,1335.8634,481.3597,2744.2544,16.268,3352.83,883.6255,102.0167,710.5129,77.0044,890.9799,1521.1644,174.8532,614.6047,262.7247,472.6716,1758.5893,292.6318
2007年,109.0714,1474.4585,7.4946,5515.5649,2271.6105,7.4062,452.9052,236.873,730.4489,1073.1699,181.5907,9.7316,1694.2237,1667.2599,4417.7372,52.1566,77.3999,8.7975,11.6385,909.178,255.5728,206.6278,1388.4808,28629.9135,2658.2686,198.2698,740.185,577.794,529.1203,321.8318,626.2855,74520.8817,1259.3493,0.0,70.1098,383.1334,343.381,728.0924,270.9583,331.7466,125.5449,202.9448,430.1643,118.4733,80.8012,703.1583,43.2783,23.0836,14230.544,584.6398,1013.0643,2149.9907,1479.9975,813.2767,209.8613,122.5003,32.3931,1074.4499,413.7733,566.703,140.8236,308.7666,646.9139,5231.5059,458.159,492.4334,56.4257,124.0557,1547.0561,271.7473,355.6097,1607.8939,3451.7313,4215.912,1372.818,249.7281,279.5933,1134.3421,1686.6755,134.5676,5.261,43.4127,378.2351,64.4863,30.3729,656.6584,43.3852,1250.3869,598.8772,49.6288,288.2709,88.0722,26.1677,12.0021,60.1621,985.0624,2046.9463,525.336,2796.9144,13.9083,4254.5479,1353.9578,137.0065,802.0614,103.6343,1136.9264,2394.1693,243.9902,805.1879,342.721,609.1539,2216.8244,354.2553
2008年,163.6925,1936.895,10.8737,6949.8047,3216.5994,5.3947,700.9287,362.1233,988.1482,1483.7921,158.7611,13.7546,1935.8174,1954.7259,5788.2428,81.0224,99.499,10.5499,18.4939,1470.0777,363.3307,308.9115,1795.588,38172.6736,3583.5217,209.3351,950.9214,810.7085,711.7007,399.2802,901.1153,97846.4513,1329.2845,0.0,75.0637,531.9073,548.4884,972.9652,411.0324,448.5579,172.5813,272.0803,518.0104,119.8763,122.1013,933.2996,45.7168,33.3223,18838.8981,773.2381,1366.3883,2827.1346,1595.7732,1076.2383,327.2015,159.5784,59.367,1515.0537,557.3222,714.7116,192.0869,391.7581,762.873,6853.3917,638.6915,624.4962,82.9058,138.721,2076.4263,324.8147,426.4574,1763.3755,4352.7091,5302.02,2045.7591,522.8428,356.9778,1457.7766,2041.3203,203.9456,9.8938,89.114,537.586,94.8842,39.9391,941.0544,79.5513,1289.9368,779.6963,60.6846,260.9412,95.1038,46.9515,19.6363,125.4904,1369.7739,2886.222,739.2752,3332.4031,18.241,5666.0789,1871.495,225.2963,1167.8553,173.4115,1460.7463,3544.7041,376.4739,987.88,495.6439,764.4717,2642.9834,603.9863
2009年,244.2337,2684.5129,9.8103,9402.8649,4335.8375,2.6362,1087.3849,471.833,1267.6651,2041.7138,206.9487,17.6175,2294.3892,2512.301,8107.1067,108.5423,174.6015,18.0938,33.3329,2228.507,514.5426,531.1957,2453.1306,49856.0621,4748.543,245.59,1311.1191,1134.1412,987.329,518.2461,1318.5123,127557.6668,1794.9648,0.0,168.3497,685.0042,624.2273,1248.2355,671.6208,586.3531,260.5708,435.1723,669.0226,132.6381,206.2039,1134.3348,60.5093,50.315,23024.8715,914.9682,1860.6793,3954.0802,1958.2754,1499.0639,439.8075,179.5132,48.0488,1822.6736,739.2911,916.5156,278.7994,542.9571,1020.3198,9749.6881,950.2577,1047.0045,100.9596,212.2815,2616.4902,472.4925,692.3237,2055.187,5259.2949,6778.7919,2962.5605,803.0097,410.1163,1456.1027,2244.4425,274.505,35.9076,110.9046,877.0659,189.9775,107.5002,1426.0125,75.6145,1557.7255,927.0042,80.6624,266.3472,196.3068,54.3528,38.4493,184.8494,1874.8982,3974.0563,986.2267,4414.5007,29.8772,6913.1499,2528.0887,337.1812,1627.5096,247.7815,2093.4009,5153.9204,551.3758,1256.252,774.0487,966.4819,2650.0604,743.4565
