,1-5亿元房地产开发投资额,1000-3000万元房地产开发投资额,10亿元以上房地产开发投资额,3000-5000万元房地产开发投资额,5-10亿元房地产开发投资额,500-1000万元房地产开发投资额,5000万-1亿元房地产开发投资额,500万元以下房地产开发投资额
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,,,,
1994年,,,,,,,,
1995年,,,,,,,,
1996年,,,,,,,,
1997年,,,,,,,,
1998年,,,,,,,,
1999年,,,,,,,,
2000年,,,,,,,,
2001年,,,,,,,,
2002年,,,,,,,,
2003年,4063.8179,664.6676,1818.564,662.473,1421.6639,120.6793,1363.4361,38.4991
2004年,,,,,,,,
2005年,6290.9689,686.9027,3543.544,765.4936,2640.9515,111.9916,1801.0481,68.3467
2006年,8734.3568,1815.3477,1114.324,1867.8204,1787.3411,319.3363,3657.0741,127.317
2007年,11687.8977,1891.4248,1974.7188,2101.574,2668.1613,293.3845,4559.7251,111.9511
2008年,14393.4639,2089.823,2705.8347,2430.3412,3929.9896,319.2723,5211.0443,123.4252
2009年,17501.0761,2407.994,2528.9227,2851.1753,4033.6556,381.145,6380.3507,157.4886
2010年,16395.7325,613.1542,17814.0904,920.3657,9244.3326,72.7429,3181.7496,17.2351
2011年,19155.5027,523.4813,25706.5729,868.3763,12327.0766,54.7509,3150.8089,10.3162
2012年,19743.9093,418.0822,33210.7617,763.0562,14711.402,45.2615,2903.7823,7.5317
2013年,22144.3942,378.1633,41574.138,698.0399,18419.6454,32.5938,2761.3338,5.0742
2014年,21690.7331,266.1907,49820.2606,550.5103,20404.8022,18.5819,2282.0775,2.4581
