,专业技术服务业内资企业固定资产投资(不含农户),专用设备制造业内资企业固定资产投资(不含农户),中国共产党机关内资企业固定资产投资(不含农户),交通运输、仓储和邮政业内资企业固定资产投资(不含农户),交通运输设备制造业内资企业固定资产投资(不含农户),人民政协和民主党派内资企业固定资产投资(不含农户),仓储业内资企业固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业内资企业固定资产投资(不含农户),住宿业内资企业固定资产投资(不含农户),住宿和餐饮业内资企业固定资产投资(不含农户),体育内资企业固定资产投资(不含农户),保险业内资企业固定资产投资(不含农户),信息传输、计算机服务和软件业内资企业固定资产投资(不含农户),公共管理和社会组织内资企业固定资产投资(不含农户),公共设施管理业内资企业固定资产投资(不含农户),其他建筑业内资企业固定资产投资(不含农户),其他服务业内资企业固定资产投资(不含农户),其他采矿业内资企业固定资产投资(不含农户),其他金融活动内资企业固定资产投资(不含农户),内资企业固定资产投资(不含农户),农、林、牧、渔业内资企业固定资产投资(不含农户),农、林、牧、渔服务业内资企业固定资产投资(不含农户),农业内资企业固定资产投资(不含农户),农副食品加工业内资企业固定资产投资(不含农户),制造业内资企业固定资产投资(不含农户),化学原料及化学制品制造业内资企业固定资产投资(不含农户),化学纤维制造业内资企业固定资产投资(不含农户),医药制造业内资企业固定资产投资(不含农户),卫生、社会保障和社会福利业内资企业固定资产投资(不含农户),卫生内资企业固定资产投资(不含农户),印刷业和记录媒介的复制内资企业固定资产投资(不含农户),商务服务业内资企业固定资产投资(不含农户),国家机构内资企业固定资产投资(不含农户),国际组织内资企业固定资产投资(不含农户),地质勘查业内资企业固定资产投资(不含农户),城市公共交通业内资企业固定资产投资(不含农户),基层群众自治组织内资企业固定资产投资(不含农户),塑料制品业内资企业固定资产投资(不含农户),娱乐业内资企业固定资产投资(不含农户),家具制造业内资企业固定资产投资(不含农户),居民服务业内资企业固定资产投资(不含农户),居民服务和其他服务业内资企业固定资产投资(不含农户),工艺品及其他制造业内资企业固定资产投资(不含农户),广播、电视、电影和音像业内资企业固定资产投资(不含农户),废弃资源和废旧材料回收加工业内资企业固定资产投资(不含农户),建筑业内资企业固定资产投资(不含农户),建筑安装业内资企业固定资产投资(不含农户),建筑装饰业内资企业固定资产投资(不含农户),房地产业内资企业固定资产投资(不含农户),房屋和土木工程建筑业内资企业固定资产投资(不含农户),批发业内资企业固定资产投资(不含农户),批发和零售业内资企业固定资产投资(不含农户),教育内资企业固定资产投资(不含农户),文化、体育和娱乐业内资企业固定资产投资(不含农户),文化艺术业内资企业固定资产投资(不含农户),文教体育用品制造业内资企业固定资产投资(不含农户),新闻出版业内资企业固定资产投资(不含农户),有色金属冶炼及压延加工业内资企业固定资产投资(不含农户),有色金属矿采选业内资企业固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业内资企业固定资产投资(不含农户),林业内资企业固定资产投资(不含农户),橡胶制品业内资企业固定资产投资(不含农户),水上运输业内资企业固定资产投资(不含农户),水利、环境和公共设施管理业内资企业固定资产投资(不含农户),水利管理业内资企业固定资产投资(不含农户),水的生产和供应业内资企业固定资产投资(不含农户),渔业内资企业固定资产投资(不含农户),烟草制品业内资企业固定资产投资(不含农户),煤炭开采和洗选业内资企业固定资产投资(不含农户),燃气生产和供应业内资企业固定资产投资(不含农户),环境管理业内资企业固定资产投资(不含农户),电信和其他信息传输服务业内资企业固定资产投资(不含农户),电力、热力的生产和供应业内资企业固定资产投资(不含农户),电力燃气水的生产供应业内资企业固定资产投资(不含农户),电气机械及器材制造业内资企业固定资产投资(不含农户),畜牧业内资企业固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业内资企业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业内资企业固定资产投资(不含农户),石油和天然气开采业内资企业固定资产投资(不含农户),研究与试验发展内资企业固定资产投资(不含农户),社会保障业内资企业固定资产投资(不含农户),社会福利业内资企业固定资产投资(不含农户),科学研究、技术服务和地质勘查业内资企业固定资产投资(不含农户),科技交流和推广服务业内资企业固定资产投资(不含农户),租赁业内资企业固定资产投资(不含农户),租赁和商务服务业内资企业固定资产投资(不含农户),管道运输业内资企业固定资产投资(不含农户),纺织业内资企业固定资产投资(不含农户),纺织服装、鞋、帽制造业内资企业固定资产投资(不含农户),群众团体、社会团体和宗教内资企业固定资产投资(不含农户),航空运输业内资企业固定资产投资(不含农户),装卸搬运和其他运输服务业内资企业固定资产投资(不含农户),计算机服务业内资企业固定资产投资(不含农户),证券业内资企业固定资产投资(不含农户),软件业内资企业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业内资企业固定资产投资(不含农户),通用设备制造业内资企业固定资产投资(不含农户),造纸及纸制品业内资企业固定资产投资(不含农户),道路运输业内资企业固定资产投资(不含农户),邮政业内资企业固定资产投资(不含农户),采矿业内资企业固定资产投资(不含农户),金属制品业内资企业固定资产投资(不含农户),金融业内资企业固定资产投资(不含农户),铁路运输业内资企业固定资产投资(不含农户),银行业内资企业固定资产投资(不含农户),零售业内资企业固定资产投资(不含农户),非金属矿物制品业内资企业固定资产投资(不含农户),非金属矿采选业内资企业固定资产投资(不含农户),食品制造业内资企业固定资产投资(不含农户),餐饮业内资企业固定资产投资(不含农户),饮料制造业内资企业固定资产投资(不含农户),黑色金属冶炼及压延加工业内资企业固定资产投资(不含农户),黑色金属矿采选业内资企业固定资产投资(不含农户)
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,79.6906,269.7924,30.2993,5582.9734,480.0123,6.39,99.2204,51.6281,180.6702,272.1768,104.762,5.4839,1290.4609,1839.0256,3207.5329,18.314,13.1943,1.7711,3.9353,40902.9078,519.6313,125.4143,134.9582,321.0476,8049.9775,733.1171,76.8461,441.5747,355.0348,330.2384,96.6277,297.3379,1651.4212,0.26,26.1699,435.9097,122.514,165.6547,111.6181,46.4525,50.707,63.9013,177.4765,80.954,4.5437,517.7667,18.6456,10.0016,9823.1137,470.8055,301.6339,740.5933,1462.9732,442.0327,122.772,24.2932,21.9266,407.2295,68.6565,93.0496,149.2262,85.0779,320.3546,4186.9128,719.9019,338.6063,17.7016,85.6695,435.8577,137.9292,259.478,1251.7078,3094.908,3571.4435,213.7827,92.331,54.4792,309.3287,931.0299,131.1435,6.4268,18.3696,269.4086,32.4046,2.5391,299.877,140.7443,491.1291,125.3104,28.4011,218.757,45.0685,10.4226,1.463,28.3305,251.9818,299.2021,206.7022,3589.6703,27.2518,1530.5356,203.8522,84.8091,705.9968,73.9269,438.9594,666.4953,44.5626,239.9947,91.5066,175.6357,1251.9903,48.6578
2004年,68.9046,377.1197,30.0055,6958.2172,654.343,2.7134,146.9973,78.5369,237.4944,367.0266,118.7572,4.9292,1221.749,2157.6924,3844.2856,36.8561,38.7695,2.6421,7.9208,52060.6843,619.4513,160.5746,160.04,450.7097,10796.6405,990.3941,105.4115,512.5447,440.4399,412.8846,136.2419,342.3473,1900.121,0.261,25.2629,387.0226,195.2768,210.0775,120.272,65.5024,65.7291,104.4986,168.1125,74.1578,9.5406,516.3313,18.0247,7.6941,12784.5936,453.7564,420.7926,1048.1069,1792.4483,485.1344,153.2678,30.1463,18.6796,493.6976,110.9824,146.9757,142.9509,111.3798,492.2787,4843.6902,745.4771,445.6316,25.972,86.1864,688.6243,170.6966,253.9275,1177.2275,4462.8759,5079.2041,372.8992,129.9138,74.4845,593.2115,1100.304,163.5034,4.4668,23.0885,301.3142,43.6433,6.1142,348.4615,101.729,614.5038,162.3732,29.5757,270.7158,57.9456,10.7635,1.2036,33.758,278.8287,462.2778,252.1196,4626.4705,28.7622,2100.563,320.3445,94.8603,846.2955,80.8067,627.3143,936.1332,68.4313,308.8113,129.5322,211.1549,1582.578,129.5789
2005年,112.6031,655.1393,25.3748,8643.9824,988.0221,6.0634,203.9744,104.0328,385.8671,586.7049,140.0171,7.8717,1152.8097,2428.5415,4904.4505,37.6406,36.5847,4.0099,8.3477,66670.7199,823.1852,221.9582,210.4777,766.1386,15551.5135,1530.9611,110.7782,590.9664,579.697,538.1905,187.9232,448.1311,2071.2797,,61.4358,522.9758,285.2492,347.5905,175.2121,137.407,95.5925,132.1772,244.1322,90.3943,13.967,656.412,25.1222,9.8686,15126.8076,583.7806,660.6171,1464.0635,1952.2074,637.6618,215.1557,49.0237,16.8826,661.7444,173.7382,237.5425,179.03,138.2858,706.2162,6037.1815,830.0135,491.1954,42.6839,95.3067,1156.4522,215.271,302.7175,1093.6697,6016.3349,6722.8013,545.1212,169.0354,132.0619,771.8369,1453.6128,172.8587,11.189,30.3175,411.5408,64.6432,12.4715,460.6026,78.3411,864.4493,256.5036,40.5744,301.7562,41.2019,16.9708,11.3234,42.1692,374.448,861.628,366.167,5505.7939,16.4774,3199.4961,586.4355,103.3339,1267.2455,75.7911,803.4464,1182.9655,139.3443,430.8363,200.8378,287.3673,2032.7315,272.3387
2006年,111.219,931.3848,25.3461,10932.1743,1302.5049,7.0494,305.494,150.2849,556.7621,837.5754,183.004,9.9542,1250.1433,2649.7241,6129.5548,67.5206,63.9652,6.4337,6.8563,83443.3897,1099.0093,328.0137,261.3518,1059.8726,20820.0205,2014.2997,137.2447,659.3896,695.6769,640.3384,264.2518,617.9788,2239.2243,0.135,59.5732,790.6623,335.5966,591.2897,248.2617,209.538,110.3181,174.2833,381.2682,121.1712,34.5803,780.3455,32.5945,15.2806,19024.0066,664.9498,805.5584,1799.2011,2115.7449,799.4524,220.3529,77.5917,26.6626,865.7718,290.7509,364.8641,244.5571,246.1394,882.3521,7451.9391,912.2547,638.0549,46.2876,114.3965,1451.9005,265.4484,410.1296,1156.4142,6821.9762,7725.4795,853.8518,218.7991,207.1864,887.8867,1791.5033,200.3917,17.1237,38.2148,445.7107,74.5268,23.1088,641.0876,70.4485,1052.66,384.4124,42.5077,437.6688,50.6886,31.4434,9.7388,62.2857,577.235,1372.7475,478.1787,6408.4526,20.8468,4088.2435,893.1217,113.4367,1965.5606,86.8874,993.6427,1650.8357,198.5526,636.1262,280.8133,447.1838,1973.9219,349.1025
2007年,132.4083,1460.4201,24.2522,12630.784,2007.7329,11.2395,514.46,211.8792,798.7743,1181.0038,208.7428,10.1905,1175.4525,2762.8804,7508.2031,82.0773,81.2222,10.8767,15.3879,105271.7,1434.2266,448.898,317.5645,1476.9852,29019.273,2952.9409,171.2082,726.9801,794.7688,719.3243,327.3311,772.247,2232.2153,,78.2505,1065.322,429.2426,735.5914,307.718,321.315,148.5501,229.7723,480.7209,148.8444,76.189,985.3752,46.4041,23.9952,25032.3519,832.8986,1098.8531,2318.4968,2207.0423,1059.0501,357.3855,114.9676,36.3594,1152.7285,473.6655,592.7577,291.8204,337.8456,965.6607,9185.8082,1102.1209,799.2498,66.1083,117.1596,1796.7156,289.0944,575.4842,1080.0953,7553.5802,8641.9244,1260.8233,309.8354,257.4776,1368.0321,2167.8207,204.9341,12.5084,62.9361,501.0342,85.4413,33.5279,805.7749,68.5598,1290.622,575.3269,65.9308,578.6403,86.1871,28.2031,12.2675,67.1541,741.7804,2054.0106,562.3244,6846.4208,14.1321,5160.4354,1342.0689,146.281,2491.4012,108.4351,1219.6437,2514.5198,287.5716,811.8967,382.2295,554.1278,2421.5095,423.7853
2008年,214.5249,1972.2581,27.3535,15272.6935,2946.973,7.8181,752.7426,327.7403,1012.7009,1537.5957,254.2739,11.192,1375.2847,3235.7107,10056.8136,96.4491,108.314,11.6155,20.28,134559.1331,2217.4268,632.0033,443.494,1880.6574,38940.3885,4049.2598,196.4547,937.2377,1034.9977,905.3838,410.1249,1128.7591,2441.9173,,84.8107,1253.1979,677.8615,954.5095,447.4801,448.84,197.983,306.297,587.2213,150.8666,124.1215,1184.0453,49.0813,34.3535,31753.8746,1004.1614,1479.2081,3025.6456,2340.5686,1364.8462,454.6559,152.5845,57.5697,1731.3563,640.9021,753.5503,384.8923,400.3084,1053.5636,12184.6081,1416.3045,1004.4507,102.1897,143.9378,2390.0893,362.4246,711.49,1208.6982,8582.2345,9949.1098,1848.935,654.8475,332.3794,1738.8228,2596.157,265.3509,20.6971,108.9168,690.2591,125.5726,43.594,1172.3531,113.1785,1285.348,713.7055,80.7603,576.5896,106.0662,49.402,32.0626,117.1845,985.9339,2903.264,735.414,7339.2493,19.3976,6727.5081,1915.9892,245.92,4058.7082,182.3854,1546.4375,3728.4619,417.9569,978.2192,524.8948,702.5757,3054.2044,670.7873
2009年,300.8047,2759.169,26.4933,22877.9464,4076.8213,7.9773,1263.6502,438.6554,1345.5229,2152.9842,405.173,17.717,1925.4854,4029.7509,14349.3269,133.2789,198.2245,20.6107,37.7496,179786.8,3317.3375,926.6761,727.859,2645.7269,51350.2751,5324.0108,226.0839,1275.7188,1683.078,1434.0185,530.6079,1668.1208,3137.0902,,174.2051,2014.4327,746.7731,1280.0791,710.2255,598.8017,310.6931,508.9176,751.1972,161.5596,214.2925,1547.7768,69.3949,54.3383,38962.8113,1290.7647,2051.181,4298.4816,3226.4372,2042.1325,712.1878,182.9012,52.9866,1982.5802,812.8921,978.8974,579.7873,548.9127,1533.0918,17746.7576,2216.6823,1705.711,127.9306,216.4821,3039.6651,575.4867,1180.7484,1699.2011,10623.7434,12904.9411,2976.7189,955.0845,414.133,1708.6009,2708.5293,351.8569,83.2992,165.7603,1055.9715,229.1048,113.2339,1781.3547,63.415,1562.0717,890.2507,111.417,596.2326,210.9007,57.8774,24.5605,168.4069,1411.6748,4046.0244,1003.509,10519.6717,34.8822,8032.9811,2581.5272,341.3532,6641.6695,261.3261,2247.3006,5447.9222,613.1754,1300.3661,807.4613,924.894,3051.6441,838.1085
2010年,376.2,3795.1,33.4,27533.9,5609.1,6.9,1685.6,607.1,1878.6,2751.0,485.1,33.0,1808.8,4754.9,17909.4,229.6,384.2,32.6,74.5,227566.9,3881.4,1032.9,940.2,3422.2,66496.4,6115.1,324.8,1751.6,1941.9,1669.0,655.1,2204.1,3849.2,,147.3,2230.2,713.0,1652.9,838.9,793.2,358.5,742.7,1029.7,240.0,319.5,2218.8,78.3,62.2,52404.2,1848.7,2255.1,5022.5,3705.2,2508.2,893.4,226.6,50.9,2730.7,987.3,1272.0,669.7,679.7,1966.6,22193.8,2772.0,1681.8,199.5,207.7,3754.2,860.6,1512.4,1474.2,11475.3,14017.7,4332.6,1039.2,550.8,1865.5,2880.6,430.1,92.2,180.7,1207.4,253.9,148.2,2352.3,92.0,2020.4,1249.4,152.5,890.0,317.0,119.3,51.9,215.2,2450.3,5130.0,1094.1,12731.8,33.5,9570.1,3386.2,470.5,7587.2,311.1,2767.4,7001.7,868.1,1736.1,872.3,1164.4,3322.9,1047.3
2011年,492.594,5436.2065,60.295,27311.4193,7154.0518,7.4563,2256.5199,912.9336,2657.0729,3623.609,456.17,53.0666,1657.6821,5645.8451,19334.6032,311.1308,530.073,48.5522,165.8425,283679.2,6708.9721,1467.44,2291.4448,4974.14,92931.0219,7879.3802,601.7954,2442.0334,2311.621,1893.9024,827.6977,2992.4131,4452.2544,,163.5338,2212.0948,904.1462,2423.6356,1107.0548,1137.6463,676.5657,1206.6387,1454.3873,185.3456,453.3075,3218.8891,106.5916,101.0502,69523.6513,2700.1165,3459.434,7123.9129,3861.3246,3031.3015,1201.1814,385.1305,81.5497,3507.286,1217.2338,1856.6884,883.0755,966.7363,1787.6673,24337.9063,3407.2713,1764.3557,364.9022,265.6828,4854.5672,1150.6363,1596.0318,1239.0773,11248.3985,14163.3905,7086.3834,1702.1096,813.2584,2125.8907,2941.5251,600.5235,179.2248,238.4938,1610.4985,353.8472,229.3193,3221.7324,134.8754,3388.8807,2073.5677,221.6932,815.9853,357.1527,146.2021,49.2974,272.4027,3541.8525,7236.4935,1626.0698,13800.2746,56.8989,11558.4305,4746.15,631.3481,5889.9504,363.1416,3664.4789,9814.6844,1267.8559,2177.6199,966.5361,1717.1325,3904.2991,1228.6963
