,专业技术服务业国有控股固定资产投资(不含农户),专用设备制造业国有控股固定资产投资(不含农户),中国共产党机关国有控股固定资产投资(不含农户),交通运输、仓储和邮政业国有控股固定资产投资(不含农户),交通运输设备制造业国有控股固定资产投资(不含农户),人民政协和民主党派国有控股固定资产投资(不含农户),仓储业国有控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业国有控股固定资产投资(不含农户),住宿业国有控股固定资产投资(不含农户),住宿和餐饮业国有控股固定资产投资(不含农户),体育国有控股固定资产投资(不含农户),保险业国有控股固定资产投资(不含农户),信息传输、计算机服务和软件业国有控股固定资产投资(不含农户),公共管理和社会组织国有控股固定资产投资(不含农户),公共设施管理业国有控股固定资产投资(不含农户),其他建筑业国有控股固定资产投资(不含农户),其他服务业国有控股固定资产投资(不含农户),其他采矿业国有控股固定资产投资(不含农户),其他金融活动国有控股固定资产投资(不含农户),农、林、牧、渔业国有控股固定资产投资(不含农户),农、林、牧、渔服务业国有控股固定资产投资(不含农户),农业国有控股固定资产投资(不含农户),农副食品加工业国有控股固定资产投资(不含农户),制造业国有控股固定资产投资(不含农户),化学原料及化学制品制造业国有控股固定资产投资(不含农户),化学纤维制造业国有控股固定资产投资(不含农户),医药制造业国有控股固定资产投资(不含农户),卫生、社会保障和社会福利业国有控股固定资产投资(不含农户),卫生国有控股固定资产投资(不含农户),印刷业和记录媒介的复制国有控股固定资产投资(不含农户),商务服务业国有控股固定资产投资(不含农户),国家机构国有控股固定资产投资(不含农户),国有控股固定资产投资(不含农户),国际组织国有控股固定资产投资(不含农户),地质勘查业国有控股固定资产投资(不含农户),城市公共交通业国有控股固定资产投资(不含农户),基层群众自治组织国有控股固定资产投资(不含农户),塑料制品业国有控股固定资产投资(不含农户),娱乐业国有控股固定资产投资(不含农户),家具制造业国有控股固定资产投资(不含农户),居民服务业国有控股固定资产投资(不含农户),居民服务和其他服务业国有控股固定资产投资(不含农户),工艺品及其他制造业国有控股固定资产投资(不含农户),广播、电视、电影和音像业国有控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业国有控股固定资产投资(不含农户),建筑业国有控股固定资产投资(不含农户),建筑安装业国有控股固定资产投资(不含农户),建筑装饰业国有控股固定资产投资(不含农户),房地产业国有控股固定资产投资(不含农户),房屋和土木工程建筑业国有控股固定资产投资(不含农户),批发业国有控股固定资产投资(不含农户),批发和零售业国有控股固定资产投资(不含农户),教育国有控股固定资产投资(不含农户),文化、体育和娱乐业国有控股固定资产投资(不含农户),文化艺术业国有控股固定资产投资(不含农户),文教体育用品制造业国有控股固定资产投资(不含农户),新闻出版业国有控股固定资产投资(不含农户),有色金属冶炼及压延加工业国有控股固定资产投资(不含农户),有色金属矿采选业国有控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业国有控股固定资产投资(不含农户),林业国有控股固定资产投资(不含农户),橡胶制品业国有控股固定资产投资(不含农户),水上运输业国有控股固定资产投资(不含农户),水利、环境和公共设施管理业国有控股固定资产投资(不含农户),水利管理业国有控股固定资产投资(不含农户),水的生产和供应业国有控股固定资产投资(不含农户),渔业国有控股固定资产投资(不含农户),烟草制品业国有控股固定资产投资(不含农户),煤炭开采和洗选业国有控股固定资产投资(不含农户),燃气生产和供应业国有控股固定资产投资(不含农户),环境管理业国有控股固定资产投资(不含农户),电信和其他信息传输服务业国有控股固定资产投资(不含农户),电力、热力的生产和供应业国有控股固定资产投资(不含农户),电力燃气水的生产供应业国有控股固定资产投资(不含农户),电气机械及器材制造业国有控股固定资产投资(不含农户),畜牧业国有控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业国有控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业国有控股固定资产投资(不含农户),石油和天然气开采业国有控股固定资产投资(不含农户),研究与试验发展国有控股固定资产投资(不含农户),社会保障业国有控股固定资产投资(不含农户),社会福利业国有控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业国有控股固定资产投资(不含农户),科技交流和推广服务业国有控股固定资产投资(不含农户),租赁业国有控股固定资产投资(不含农户),租赁和商务服务业国有控股固定资产投资(不含农户),管道运输业国有控股固定资产投资(不含农户),纺织业国有控股固定资产投资(不含农户),纺织服装、鞋、帽制造业国有控股固定资产投资(不含农户),群众团体、社会团体和宗教国有控股固定资产投资(不含农户),航空运输业国有控股固定资产投资(不含农户),装卸搬运和其他运输服务业国有控股固定资产投资(不含农户),计算机服务业国有控股固定资产投资(不含农户),证券业国有控股固定资产投资(不含农户),软件业国有控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业国有控股固定资产投资(不含农户),通用设备制造业国有控股固定资产投资(不含农户),造纸及纸制品业国有控股固定资产投资(不含农户),道路运输业国有控股固定资产投资(不含农户),邮政业国有控股固定资产投资(不含农户),采矿业国有控股固定资产投资(不含农户),金属制品业国有控股固定资产投资(不含农户),金融业国有控股固定资产投资(不含农户),铁路运输业国有控股固定资产投资(不含农户),银行业国有控股固定资产投资(不含农户),零售业国有控股固定资产投资(不含农户),非金属矿物制品业国有控股固定资产投资(不含农户),非金属矿采选业国有控股固定资产投资(不含农户),食品制造业国有控股固定资产投资(不含农户),餐饮业国有控股固定资产投资(不含农户),饮料制造业国有控股固定资产投资(不含农户),黑色金属冶炼及压延加工业国有控股固定资产投资(不含农户),黑色金属矿采选业国有控股固定资产投资(不含农户)
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
