,专业技术服务业国有控股固定资产投资(不含农户),专用设备制造业国有控股固定资产投资(不含农户),中国共产党机关国有控股固定资产投资(不含农户),交通运输、仓储和邮政业国有控股固定资产投资(不含农户),交通运输设备制造业国有控股固定资产投资(不含农户),人民政协和民主党派国有控股固定资产投资(不含农户),仓储业国有控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业国有控股固定资产投资(不含农户),住宿业国有控股固定资产投资(不含农户),住宿和餐饮业国有控股固定资产投资(不含农户),体育国有控股固定资产投资(不含农户),保险业国有控股固定资产投资(不含农户),信息传输、计算机服务和软件业国有控股固定资产投资(不含农户),公共管理和社会组织国有控股固定资产投资(不含农户),公共设施管理业国有控股固定资产投资(不含农户),其他建筑业国有控股固定资产投资(不含农户),其他服务业国有控股固定资产投资(不含农户),其他采矿业国有控股固定资产投资(不含农户),其他金融活动国有控股固定资产投资(不含农户),农、林、牧、渔业国有控股固定资产投资(不含农户),农、林、牧、渔服务业国有控股固定资产投资(不含农户),农业国有控股固定资产投资(不含农户),农副食品加工业国有控股固定资产投资(不含农户),制造业国有控股固定资产投资(不含农户),化学原料及化学制品制造业国有控股固定资产投资(不含农户),化学纤维制造业国有控股固定资产投资(不含农户),医药制造业国有控股固定资产投资(不含农户),卫生、社会保障和社会福利业国有控股固定资产投资(不含农户),卫生国有控股固定资产投资(不含农户),印刷业和记录媒介的复制国有控股固定资产投资(不含农户),商务服务业国有控股固定资产投资(不含农户),国家机构国有控股固定资产投资(不含农户),国有控股固定资产投资(不含农户),国际组织国有控股固定资产投资(不含农户),地质勘查业国有控股固定资产投资(不含农户),城市公共交通业国有控股固定资产投资(不含农户),基层群众自治组织国有控股固定资产投资(不含农户),塑料制品业国有控股固定资产投资(不含农户),娱乐业国有控股固定资产投资(不含农户),家具制造业国有控股固定资产投资(不含农户),居民服务业国有控股固定资产投资(不含农户),居民服务和其他服务业国有控股固定资产投资(不含农户),工艺品及其他制造业国有控股固定资产投资(不含农户),广播、电视、电影和音像业国有控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业国有控股固定资产投资(不含农户),建筑业国有控股固定资产投资(不含农户),建筑安装业国有控股固定资产投资(不含农户),建筑装饰业国有控股固定资产投资(不含农户),房地产业国有控股固定资产投资(不含农户),房屋和土木工程建筑业国有控股固定资产投资(不含农户),批发业国有控股固定资产投资(不含农户),批发和零售业国有控股固定资产投资(不含农户),教育国有控股固定资产投资(不含农户),文化、体育和娱乐业国有控股固定资产投资(不含农户),文化艺术业国有控股固定资产投资(不含农户),文教体育用品制造业国有控股固定资产投资(不含农户),新闻出版业国有控股固定资产投资(不含农户),有色金属冶炼及压延加工业国有控股固定资产投资(不含农户),有色金属矿采选业国有控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业国有控股固定资产投资(不含农户),林业国有控股固定资产投资(不含农户),橡胶制品业国有控股固定资产投资(不含农户),水上运输业国有控股固定资产投资(不含农户),水利、环境和公共设施管理业国有控股固定资产投资(不含农户),水利管理业国有控股固定资产投资(不含农户),水的生产和供应业国有控股固定资产投资(不含农户),渔业国有控股固定资产投资(不含农户),烟草制品业国有控股固定资产投资(不含农户),煤炭开采和洗选业国有控股固定资产投资(不含农户),燃气生产和供应业国有控股固定资产投资(不含农户),环境管理业国有控股固定资产投资(不含农户),电信和其他信息传输服务业国有控股固定资产投资(不含农户),电力、热力的生产和供应业国有控股固定资产投资(不含农户),电力燃气水的生产供应业国有控股固定资产投资(不含农户),电气机械及器材制造业国有控股固定资产投资(不含农户),畜牧业国有控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业国有控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业国有控股固定资产投资(不含农户),石油和天然气开采业国有控股固定资产投资(不含农户),研究与试验发展国有控股固定资产投资(不含农户),社会保障业国有控股固定资产投资(不含农户),社会福利业国有控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业国有控股固定资产投资(不含农户),科技交流和推广服务业国有控股固定资产投资(不含农户),租赁业国有控股固定资产投资(不含农户),租赁和商务服务业国有控股固定资产投资(不含农户),管道运输业国有控股固定资产投资(不含农户),纺织业国有控股固定资产投资(不含农户),纺织服装、鞋、帽制造业国有控股固定资产投资(不含农户),群众团体、社会团体和宗教国有控股固定资产投资(不含农户),航空运输业国有控股固定资产投资(不含农户),装卸搬运和其他运输服务业国有控股固定资产投资(不含农户),计算机服务业国有控股固定资产投资(不含农户),证券业国有控股固定资产投资(不含农户),软件业国有控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业国有控股固定资产投资(不含农户),通用设备制造业国有控股固定资产投资(不含农户),造纸及纸制品业国有控股固定资产投资(不含农户),道路运输业国有控股固定资产投资(不含农户),邮政业国有控股固定资产投资(不含农户),采矿业国有控股固定资产投资(不含农户),金属制品业国有控股固定资产投资(不含农户),金融业国有控股固定资产投资(不含农户),铁路运输业国有控股固定资产投资(不含农户),银行业国有控股固定资产投资(不含农户),零售业国有控股固定资产投资(不含农户),非金属矿物制品业国有控股固定资产投资(不含农户),非金属矿采选业国有控股固定资产投资(不含农户),食品制造业国有控股固定资产投资(不含农户),餐饮业国有控股固定资产投资(不含农户),饮料制造业国有控股固定资产投资(不含农户),黑色金属冶炼及压延加工业国有控股固定资产投资(不含农户),黑色金属矿采选业国有控股固定资产投资(不含农户)
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,152.8455,349.3491,26.7465,13795.4188,1153.9912,7.3155,292.2449,49.5575,238.6545,278.7311,241.5725,6.3341,1326.3667,2452.7398,8820.0295,35.1304,17.3744,0.992,7.6945,1111.2048,432.3986,219.4237,123.3314,9422.806,1192.2824,47.9752,126.2401,848.2138,757.801,39.6645,573.9187,2272.6745,63997.8433,,65.0317,1207.4996,104.1106,42.0329,135.1479,8.5042,47.1487,64.5231,171.7733,132.6614,20.5076,664.2655,9.7713,0.8323,6275.3141,618.5315,264.1177,467.4531,1933.1108,943.4755,380.9326,4.3713,53.1611,668.1648,196.0231,29.7834,291.9402,40.2102,864.374,10699.4101,1314.0377,790.1619,13.5258,136.4946,1339.4207,209.7323,565.3429,1286.483,7156.5608,8156.455,208.0868,153.9165,20.3939,1149.2306,2557.1601,179.934,17.7288,72.684,470.9417,73.1305,7.8932,581.8119,126.5661,85.7272,32.0693,41.8927,505.6666,27.6074,11.1457,26.5215,28.738,341.6369,367.8247,99.2012,6748.0912,13.3266,4324.0122,191.14,181.5893,4010.0424,141.0392,203.3354,439.1691,63.314,69.1567,40.0766,112.5263,2102.4096,167.1023
2009年,197.7053,452.1181,25.5828,20601.353,1488.9523,7.4992,526.8228,54.8182,286.2198,348.2314,355.5614,11.2696,1842.2423,3133.3088,12440.024,51.1742,37.3392,1.6509,16.8946,1696.8968,665.2013,347.6487,139.5817,10363.2732,1618.2271,41.3705,121.9175,1380.9753,1184.7884,54.368,903.6794,2922.3181,86583.2401,,141.8104,1969.0495,123.7738,73.6021,151.421,14.7971,104.4713,141.8105,208.8758,134.4687,36.9513,871.5267,14.3762,10.6643,8743.7678,795.312,336.0937,606.4757,2714.1791,1243.4442,558.2832,5.2627,43.7099,638.7921,200.1077,41.7017,460.8789,74.6705,1213.8874,15459.8257,2055.0484,1399.9582,18.5397,205.6042,1629.8951,368.7922,964.7533,1773.7684,8971.876,10740.6264,405.2011,204.6282,34.7391,969.0404,2644.5225,260.1727,70.079,126.1079,721.9238,122.2354,61.8684,965.5478,49.3533,77.4198,33.3464,54.1349,525.7346,45.2991,9.0267,19.2918,59.4472,447.3975,449.8943,94.3052,9704.6376,26.7366,4759.2096,171.9889,248.622,6539.8321,201.166,270.382,597.9327,63.7942,84.2023,62.0116,87.9543,1638.2403,219.2392
2010年,262.9,735.4,32.6,24312.6,2053.2,6.7,602.4,98.6,371.5,418.6,442.6,25.7,1661.1,3710.9,15368.4,83.7,146.2,3.7,37.0,1811.2,691.2,356.1,195.2,12169.1,1738.3,74.6,172.0,1610.9,1422.1,54.9,1151.7,3492.5,102191.8,,110.1,2133.4,127.8,81.3,213.9,25.8,113.5,259.8,351.5,162.3,67.5,1301.1,21.5,12.1,11709.2,1183.8,334.7,661.0,3123.0,1472.9,608.2,8.9,45.8,776.7,267.5,55.9,523.4,83.6,1496.8,19146.0,2570.5,1324.9,23.6,199.4,1946.3,568.3,1207.2,1536.3,9247.1,11140.3,449.8,216.9,17.8,905.1,2757.0,296.3,66.3,122.4,801.7,132.4,80.0,1231.7,59.3,111.0,42.9,51.3,816.8,68.2,46.2,38.7,78.6,846.4,550.0,72.0,11729.8,24.7,5309.9,178.0,341.0,7381.1,239.7,326.3,651.4,81.6,121.3,47.1,124.6,1325.7,253.8
2011年,274.1771,842.0694,59.081,23071.0813,1997.3831,7.1342,587.8116,105.2659,464.3648,522.8773,367.4603,25.827,1372.5916,4117.8467,15357.6725,98.3659,197.7127,5.2864,86.5134,2205.3465,805.6453,638.9285,238.8911,13329.4017,1778.6519,63.6158,218.6257,1807.6191,1563.7074,52.0172,1220.5886,3849.4049,107882.4424,,101.6291,2122.9227,133.7197,130.855,261.8993,28.762,188.3788,386.0915,360.9052,129.9696,80.6053,1830.0148,23.2143,12.8048,15430.0239,1695.6298,443.892,792.8554,3113.229,1534.2795,716.8488,14.1571,58.1015,748.7653,297.0734,53.1289,553.635,99.2027,1258.7789,19550.3421,3021.9131,1271.0726,28.4456,235.6406,2239.8044,610.1434,1170.7565,1262.0362,8636.6253,10517.8413,696.4472,178.6921,16.8392,1021.2213,2822.6431,336.8392,114.7161,129.1956,880.9765,168.3311,96.5409,1317.1295,106.8472,147.9867,78.8483,68.5069,748.6815,56.3851,36.5415,32.662,74.0139,1080.7571,603.9712,123.0582,12404.3242,25.35,5701.98,186.6976,400.9147,5759.9801,255.9123,348.9634,667.1843,97.115,107.3304,58.5125,137.3692,1413.1488,240.0577
2012年,494.8,734.3159,25.029,24704.4128,,4.0324,713.9636,,561.9007,693.322,504.6903,83.1779,1603.1202,4417.553,18649.121,,182.3864,2.0109,43.6546,2544.2272,931.7622,762.3164,264.743,13224.4176,1918.2765,55.3339,243.5915,1933.3663,1720.4199,59.3053,1600.7285,3779.8716,124558.1456,,,,132.9915,,265.1727,30.8477,332.4424,596.1996,,136.2153,101.665,2147.0915,41.3984,,21522.8622,,480.4576,1192.8605,3496.4638,2024.4965,1069.4382,,48.98,855.3824,334.3522,74.2314,583.922,,1350.0643,23290.4965,3910.1168,1497.1183,49.0214,192.1747,2424.1967,750.6274,731.2587,1228.0918,9437.4569,11685.2026,498.8003,217.2052,,821.2812,2862.2539,461.5364,140.8574,,1212.0384,255.702,22.251,1622.9795,145.2976,111.4004,,334.7711,1023.3441,85.4833,,,,949.9124,595.6924,108.3442,15385.7669,30.6012,6089.3339,257.6586,557.7015,5969.8918,,712.4029,589.7251,83.1499,111.9912,131.4213,,1203.3286,240.9432
2013年,481.645,821.6776,46.6406,27948.2607,,4.1947,897.1919,,629.1768,778.2378,610.3291,76.4317,1724.3264,4262.846,23882.8365,,147.5966,3.7968,49.0145,3242.8073,1191.8077,935.3061,301.0708,14402.3419,2229.8011,76.8424,305.5883,2258.1118,1972.688,66.5128,1694.2665,3587.9838,144133.5984,,,,166.1933,,302.9478,30.4029,352.1288,588.9874,,165.4545,130.883,2057.0615,38.3959,,26051.2462,,644.8229,1444.0153,4000.4111,2372.6562,1225.6321,,68.2927,911.457,432.173,71.3276,733.9226,,1247.4484,29260.072,4485.1174,1867.9579,51.244,231.7485,2251.5885,1056.8731,892.1181,1325.6509,10432.0396,13356.8706,535.229,330.5269,,1045.6483,3538.3238,451.6962,125.135,,1213.758,280.4168,39.6517,1733.9182,249.5399,141.1443,,332.6986,1109.154,113.1694,,,,1033.5645,547.0633,120.679,17814.113,38.0685,6816.6493,338.1778,621.0207,6479.5756,,799.1924,614.4725,85.4874,142.5303,149.061,,1066.1987,256.4988
2014年,602.1096,871.2245,24.0114,32465.9655,,6.0121,1013.5936,,645.0828,801.3274,589.3999,90.6646,2041.6771,5405.4539,28493.7889,,94.0954,3.8379,75.964,3699.8506,1368.9338,1046.8284,407.9186,13924.6844,1991.9465,47.465,339.0511,2644.8001,2293.0506,71.5381,2044.8282,4700.3407,161379.673,,,,244.0686,,405.29,36.262,454.5755,586.4771,,217.4024,117.9668,2165.38,56.0774,,27981.1192,,589.9855,1414.1715,4837.5892,2647.8483,1360.9966,,74.7594,688.9622,350.4075,86.4729,776.179,,1458.8315,34755.7989,5198.7563,2118.6927,48.8303,227.1173,2052.1223,991.3274,1063.2537,1539.8746,11981.3374,15091.3575,565.4842,459.0791,,1011.1332,3628.0144,561.9197,141.2367,,1485.7944,321.7651,119.7981,2164.6263,230.2547,147.3293,,289.7844,1235.1271,118.6239,,,,1168.6093,540.3966,95.5838,20943.727,38.6576,6585.1561,270.5294,680.5955,7427.1501,,824.186,593.6617,113.8114,142.1352,156.2446,,872.1877,180.748
