,专业技术服务业私人控股固定资产投资(不含农户),专用设备制造业私人控股固定资产投资(不含农户),中国共产党机关私人控股固定资产投资(不含农户),交通运输、仓储和邮政业私人控股固定资产投资(不含农户),交通运输设备制造业私人控股固定资产投资(不含农户),人民政协和民主党派私人控股固定资产投资(不含农户),仓储业私人控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业私人控股固定资产投资(不含农户),住宿业私人控股固定资产投资(不含农户),住宿和餐饮业私人控股固定资产投资(不含农户),体育私人控股固定资产投资(不含农户),保险业私人控股固定资产投资(不含农户),信息传输、计算机服务和软件业私人控股固定资产投资(不含农户),公共管理和社会组织私人控股固定资产投资(不含农户),公共设施管理业私人控股固定资产投资(不含农户),其他建筑业私人控股固定资产投资(不含农户),其他服务业私人控股固定资产投资(不含农户),其他采矿业私人控股固定资产投资(不含农户),其他金融活动私人控股固定资产投资(不含农户),农、林、牧、渔业私人控股固定资产投资(不含农户),农、林、牧、渔服务业私人控股固定资产投资(不含农户),农业私人控股固定资产投资(不含农户),农副食品加工业私人控股固定资产投资(不含农户),制造业私人控股固定资产投资(不含农户),化学原料及化学制品制造业私人控股固定资产投资(不含农户),化学纤维制造业私人控股固定资产投资(不含农户),医药制造业私人控股固定资产投资(不含农户),卫生、社会保障和社会福利业私人控股固定资产投资(不含农户),卫生私人控股固定资产投资(不含农户),印刷业和记录媒介的复制私人控股固定资产投资(不含农户),商务服务业私人控股固定资产投资(不含农户),国家机构私人控股固定资产投资(不含农户),国际组织私人控股固定资产投资(不含农户),地质勘查业私人控股固定资产投资(不含农户),城市公共交通业私人控股固定资产投资(不含农户),基层群众自治组织私人控股固定资产投资(不含农户),塑料制品业私人控股固定资产投资(不含农户),娱乐业私人控股固定资产投资(不含农户),家具制造业私人控股固定资产投资(不含农户),居民服务业私人控股固定资产投资(不含农户),居民服务和其他服务业私人控股固定资产投资(不含农户),工艺品及其他制造业私人控股固定资产投资(不含农户),广播、电视、电影和音像业私人控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业私人控股固定资产投资(不含农户),建筑业私人控股固定资产投资(不含农户),建筑安装业私人控股固定资产投资(不含农户),建筑装饰业私人控股固定资产投资(不含农户),房地产业私人控股固定资产投资(不含农户),房屋和土木工程建筑业私人控股固定资产投资(不含农户),批发业私人控股固定资产投资(不含农户),批发和零售业私人控股固定资产投资(不含农户),教育私人控股固定资产投资(不含农户),文化、体育和娱乐业私人控股固定资产投资(不含农户),文化艺术业私人控股固定资产投资(不含农户),文教体育用品制造业私人控股固定资产投资(不含农户),新闻出版业私人控股固定资产投资(不含农户),有色金属冶炼及压延加工业私人控股固定资产投资(不含农户),有色金属矿采选业私人控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业私人控股固定资产投资(不含农户),林业私人控股固定资产投资(不含农户),橡胶制品业私人控股固定资产投资(不含农户),水上运输业私人控股固定资产投资(不含农户),水利、环境和公共设施管理业私人控股固定资产投资(不含农户),水利管理业私人控股固定资产投资(不含农户),水的生产和供应业私人控股固定资产投资(不含农户),渔业私人控股固定资产投资(不含农户),烟草制品业私人控股固定资产投资(不含农户),煤炭开采和洗选业私人控股固定资产投资(不含农户),燃气生产和供应业私人控股固定资产投资(不含农户),环境管理业私人控股固定资产投资(不含农户),电信和其他信息传输服务业私人控股固定资产投资(不含农户),电力、热力的生产和供应业私人控股固定资产投资(不含农户),电力燃气水的生产供应业私人控股固定资产投资(不含农户),电气机械及器材制造业私人控股固定资产投资(不含农户),畜牧业私人控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业私人控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业私人控股固定资产投资(不含农户),石油和天然气开采业私人控股固定资产投资(不含农户),研究与试验发展私人控股固定资产投资(不含农户),社会保障业私人控股固定资产投资(不含农户),社会福利业私人控股固定资产投资(不含农户),私人控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业私人控股固定资产投资(不含农户),科技交流和推广服务业私人控股固定资产投资(不含农户),租赁业私人控股固定资产投资(不含农户),租赁和商务服务业私人控股固定资产投资(不含农户),管道运输业私人控股固定资产投资(不含农户),纺织业私人控股固定资产投资(不含农户),纺织服装、鞋、帽制造业私人控股固定资产投资(不含农户),群众团体、社会团体和宗教私人控股固定资产投资(不含农户),航空运输业私人控股固定资产投资(不含农户),装卸搬运和其他运输服务业私人控股固定资产投资(不含农户),计算机服务业私人控股固定资产投资(不含农户),证券业私人控股固定资产投资(不含农户),软件业私人控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业私人控股固定资产投资(不含农户),通用设备制造业私人控股固定资产投资(不含农户),造纸及纸制品业私人控股固定资产投资(不含农户),道路运输业私人控股固定资产投资(不含农户),邮政业私人控股固定资产投资(不含农户),采矿业私人控股固定资产投资(不含农户),金属制品业私人控股固定资产投资(不含农户),金融业私人控股固定资产投资(不含农户),铁路运输业私人控股固定资产投资(不含农户),银行业私人控股固定资产投资(不含农户),零售业私人控股固定资产投资(不含农户),非金属矿物制品业私人控股固定资产投资(不含农户),非金属矿采选业私人控股固定资产投资(不含农户),食品制造业私人控股固定资产投资(不含农户),餐饮业私人控股固定资产投资(不含农户),饮料制造业私人控股固定资产投资(不含农户),黑色金属冶炼及压延加工业私人控股固定资产投资(不含农户),黑色金属矿采选业私人控股固定资产投资(不含农户)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,46.9191,1507.6461,0.467,1171.2407,1794.423,0.4146,412.783,272.9449,707.5077,1154.8116,18.9461,2.407,167.1673,192.2388,678.444,47.6823,72.1314,8.632,11.2185,901.4431,141.3111,171.803,1665.3162,27984.4797,2634.2506,150.0441,765.8949,125.4588,102.4936,351.7452,425.6372,76.139,0.0,15.812,36.1217,93.231,903.2339,267.131,434.2063,120.4836,192.615,349.9314,11.6828,95.6477,382.751,35.0788,32.93,20225.0058,267.0599,1058.4808,2150.3271,288.7994,342.0324,35.9097,144.2939,8.3628,932.7953,376.1134,703.3345,67.3244,328.8642,176.7493,804.8124,28.2661,146.3593,59.1953,6.011,807.0236,138.065,98.1023,56.144,1139.9788,1424.4031,1587.5561,461.8093,311.3643,514.653,40.297,73.221,2.3589,20.6063,60193.2426,177.2216,41.2695,29.8828,455.52,4.9204,1138.4966,663.8365,21.9872,33.1946,71.642,37.5554,2.3723,73.4679,670.973,2407.7831,560.9098,389.9289,5.7894,2028.762,1635.999,24.1528,40.1114,8.155,1091.8463,3131.8625,332.8557,869.3756,447.3039,557.7591,893.3279,463.8403
2009年,79.8931,2195.7083,0.9105,1761.3757,2556.3836,0.027,669.1989,381.9657,982.3145,1671.0888,34.9346,4.9243,219.7998,235.0512,1003.4627,59.0148,136.1934,16.5787,19.6936,1351.6843,186.7146,292.7358,2399.3307,39357.2443,3450.9408,181.3712,1094.6955,194.0625,165.8494,456.271,571.6581,94.3884,0.0,19.4109,33.0454,100.8149,1196.4429,481.9963,576.9699,150.3462,286.5396,463.9393,19.7651,176.4147,497.3746,49.3396,41.2297,23649.1494,347.7905,1558.9212,3213.1095,356.7159,625.6285,80.7851,170.5075,8.1474,1243.4365,505.7782,900.8166,84.7909,442.2416,276.0512,1189.0124,47.0041,217.927,88.9435,9.3641,1145.3888,193.5997,138.5456,80.3587,1427.9458,1839.4725,2515.8011,698.4995,372.7195,690.5773,63.0463,86.2236,5.1834,23.0297,80206.2189,276.5542,91.0266,46.127,617.7851,11.8772,1444.368,829.9149,38.9104,11.6404,151.2595,48.2765,7.7528,91.1646,1014.6549,3460.9431,860.3326,545.0085,7.9191,2816.3104,2315.9724,48.2602,55.3755,15.8895,1654.1883,4599.1942,510.3325,1168.346,688.7743,815.1851,1372.4353,575.1859
2010年,87.8,2898.5,0.8,2402.8,3496.5,0.0,934.7,510.9,1358.5,2110.9,32.0,3.2,255.3,328.9,1420.0,93.3,193.7,23.9,32.9,1652.8,234.5,436.4,3039.0,51372.0,4159.6,253.0,1489.9,203.6,156.5,567.0,708.9,123.1,0.0,26.5,29.2,153.7,1538.8,541.8,755.2,170.1,363.8,609.4,65.0,227.8,661.1,52.3,46.5,32026.5,469.0,1730.9,3738.0,403.0,821.6,180.0,211.9,2.8,1755.0,601.1,1159.4,100.6,533.2,375.3,1696.9,76.3,237.5,143.0,6.1,1486.8,279.1,200.5,75.1,1731.2,2247.9,3626.3,738.2,515.0,862.3,129.1,122.3,11.2,35.9,105174.8,341.1,104.5,58.3,767.3,20.2,1863.8,1158.7,51.2,4.4,221.4,63.5,11.5,116.7,1456.2,4394.6,933.0,650.9,7.7,3717.3,3004.1,64.1,159.2,16.5,2007.1,5984.9,734.1,1543.8,752.4,977.8,1840.2,742.4
