,专业技术服务业固定资产投资(不含农户)利用外资,专用设备制造业固定资产投资(不含农户)利用外资,中国共产党机关固定资产投资(不含农户)利用外资,交通运输、仓储和邮政业固定资产投资(不含农户)利用外资,交通运输设备制造业固定资产投资(不含农户)利用外资,人民政协和民主党派固定资产投资(不含农户)利用外资,仓储业固定资产投资(不含农户)利用外资,仪器仪表文化办公用机械制造业固定资产投资(不含农户)利用外资,住宿业固定资产投资(不含农户)利用外资,住宿和餐饮业固定资产投资(不含农户)利用外资,体育固定资产投资(不含农户)利用外资,保险业固定资产投资(不含农户)利用外资,信息传输、计算机服务和软件业固定资产投资(不含农户)利用外资,公共管理和社会组织固定资产投资(不含农户)利用外资,公共设施管理业固定资产投资(不含农户)利用外资,其他建筑业固定资产投资(不含农户)利用外资,其他服务业固定资产投资(不含农户)利用外资,其他采矿业固定资产投资(不含农户)利用外资,其他金融活动固定资产投资(不含农户)利用外资,农、林、牧、渔业固定资产投资(不含农户)利用外资,农、林、牧、渔服务业固定资产投资(不含农户)利用外资,农业固定资产投资(不含农户)利用外资,农副食品加工业固定资产投资(不含农户)利用外资,制造业固定资产投资(不含农户)利用外资,化学原料及化学制品制造业固定资产投资(不含农户)利用外资,化学纤维制造业固定资产投资(不含农户)利用外资,医药制造业固定资产投资(不含农户)利用外资,卫生、社会保障和社会福利业固定资产投资(不含农户)利用外资,卫生固定资产投资(不含农户)利用外资,印刷业和记录媒介的复制固定资产投资(不含农户)利用外资,商务服务业固定资产投资(不含农户)利用外资,固定资产投资(不含农户)利用外资,国家机构固定资产投资(不含农户)利用外资,国际组织固定资产投资(不含农户)利用外资,地质勘查业固定资产投资(不含农户)利用外资,城市公共交通业固定资产投资(不含农户)利用外资,基层群众自治组织固定资产投资(不含农户)利用外资,塑料制品业固定资产投资(不含农户)利用外资,娱乐业固定资产投资(不含农户)利用外资,家具制造业固定资产投资(不含农户)利用外资,居民服务业固定资产投资(不含农户)利用外资,居民服务和其他服务业固定资产投资(不含农户)利用外资,工艺品及其他制造业固定资产投资(不含农户)利用外资,广播、电视、电影和音像业固定资产投资(不含农户)利用外资,废弃资源和废旧材料回收加工业固定资产投资(不含农户)利用外资,建筑业固定资产投资(不含农户)利用外资,建筑安装业固定资产投资(不含农户)利用外资,建筑装饰业固定资产投资(不含农户)利用外资,房地产业固定资产投资(不含农户)利用外资,房屋和土木工程建筑业固定资产投资(不含农户)利用外资,批发业固定资产投资(不含农户)利用外资,批发和零售业固定资产投资(不含农户)利用外资,教育固定资产投资(不含农户)利用外资,文化、体育和娱乐业固定资产投资(不含农户)利用外资,文化艺术业固定资产投资(不含农户)利用外资,文教体育用品制造业固定资产投资(不含农户)利用外资,新闻出版业固定资产投资(不含农户)利用外资,有色金属冶炼及压延加工业固定资产投资(不含农户)利用外资,有色金属矿采选业固定资产投资(不含农户)利用外资,木材加工及木竹藤棕草制品业固定资产投资(不含农户)利用外资,林业固定资产投资(不含农户)利用外资,橡胶制品业固定资产投资(不含农户)利用外资,水上运输业固定资产投资(不含农户)利用外资,水利、环境和公共设施管理业固定资产投资(不含农户)利用外资,水利管理业固定资产投资(不含农户)利用外资,水的生产和供应业固定资产投资(不含农户)利用外资,渔业固定资产投资(不含农户)利用外资,烟草制品业固定资产投资(不含农户)利用外资,煤炭开采和洗选业固定资产投资(不含农户)利用外资,燃气生产和供应业固定资产投资(不含农户)利用外资,环境管理业固定资产投资(不含农户)利用外资,电信和其他信息传输服务业固定资产投资(不含农户)利用外资,电力、热力的生产和供应业固定资产投资(不含农户)利用外资,电力燃气水的生产供应业固定资产投资(不含农户)利用外资,电气机械及器材制造业固定资产投资(不含农户)利用外资,畜牧业固定资产投资(不含农户)利用外资,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)利用外资,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)利用外资,石油和天然气开采业固定资产投资(不含农户)利用外资,研究与试验发展固定资产投资(不含农户)利用外资,社会保障业固定资产投资(不含农户)利用外资,社会福利业固定资产投资(不含农户)利用外资,科学研究、技术服务和地质勘查业固定资产投资(不含农户)利用外资,科技交流和推广服务业固定资产投资(不含农户)利用外资,租赁业固定资产投资(不含农户)利用外资,租赁和商务服务业固定资产投资(不含农户)利用外资,管道运输业固定资产投资(不含农户)利用外资,纺织业固定资产投资(不含农户)利用外资,纺织服装、鞋、帽制造业固定资产投资(不含农户)利用外资,群众团体、社会团体和宗教组织固定资产投资(不含农户)利用外资,航空运输业固定资产投资(不含农户)利用外资,装卸搬运和其他运输服务业固定资产投资(不含农户)利用外资,计算机服务业固定资产投资(不含农户)利用外资,证券业固定资产投资(不含农户)利用外资,软件业固定资产投资(不含农户)利用外资,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)利用外资,通用设备制造业固定资产投资(不含农户)利用外资,造纸及纸制品业固定资产投资(不含农户)利用外资,道路运输业固定资产投资(不含农户)利用外资,邮政业固定资产投资(不含农户)利用外资,采矿业固定资产投资(不含农户)利用外资,金属制品业固定资产投资(不含农户)利用外资,金融业固定资产投资(不含农户)利用外资,铁路运输业固定资产投资(不含农户)利用外资,银行业固定资产投资(不含农户)利用外资,零售业固定资产投资(不含农户)利用外资,非金属矿物制品业固定资产投资(不含农户)利用外资,非金属矿采选业固定资产投资(不含农户)利用外资,食品制造业固定资产投资(不含农户)利用外资,餐饮业固定资产投资(不含农户)利用外资,饮料制造业固定资产投资(不含农户)利用外资,黑色金属冶炼及压延加工业固定资产投资(不含农户)利用外资,黑色金属矿采选业固定资产投资(不含农户)利用外资
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,0.3988,39.0425,0.005,180.0543,64.323,,6.4018,34.545,23.5547,26.085,2.3095,,15.0507,11.0944,29.4079,0.3059,0.1115,,,18.0526,3.6724,5.5946,32.8154,1395.8677,172.0758,28.0729,21.0774,10.1704,9.9679,12.8205,7.7973,2211.7,10.3094,,,6.7509,0.3742,59.1357,10.6578,15.7875,0.5912,0.7027,19.095,0.5638,1.2924,7.4259,,0.1051,174.4256,7.0149,8.1621,22.0781,9.2814,14.7344,0.5133,13.454,0.69,20.3886,0.8645,10.5102,3.903,26.4077,16.3664,47.9436,9.8873,19.5121,1.0097,0.148,0.6614,17.4717,8.6484,13.7006,212.3782,249.362,60.9631,3.8729,26.6947,4.0045,12.6623,3.4175,,0.2025,4.2459,0.4296,0.105,7.9023,,70.6161,49.8059,0.4058,71.9582,0.668,0.32,,1.0301,333.9595,38.5949,67.9621,59.3589,,17.0707,45.8805,0.2,18.5501,0.2,13.916,52.198,1.4536,24.7311,2.5303,12.1322,37.3335,1.4289
2004年,0.29,45.14,0.0,180.0,103.96,,10.17,25.5,25.67,30.56,1.61,,11.03,11.59,21.64,0.27,0.65,0.3,,20.19,2.76,6.59,45.43,1841.0,191.15,34.35,34.5,7.1,6.97,14.89,4.81,2706.59,9.86,0.05,2.57,8.79,1.42,61.04,9.06,18.09,1.54,2.2,29.27,0.16,1.75,4.24,,0.27,14.18,3.71,6.06,26.57,9.4,11.23,0.4,18.32,,34.64,4.46,15.06,3.53,48.71,23.65,41.99,13.7,24.83,3.49,,1.52,19.58,6.65,9.35,180.06,224.46,92.88,3.82,28.26,15.18,16.31,6.73,0.0122,0.11,10.13,0.54,,233.01,,83.99,56.8,0.31,61.44,0.21,0.98,,0.7,453.89,62.58,79.3,71.04,,27.66,74.18,,4.7,,20.51,79.04,3.18,27.4,4.89,13.24,52.48,1.89
2005年,1.8189,67.9097,,212.1386,175.1679,,13.0111,37.5301,34.8336,47.9952,2.9573,,21.2451,13.3415,45.8618,0.1685,0.2111,,0.8077,18.4589,3.6262,7.1505,60.2262,2415.6418,280.8021,29.0641,26.5082,8.0313,7.0313,20.6403,7.9803,3386.4113,11.1123,,0.7076,12.5573,1.3863,68.3919,11.2351,20.4704,1.0163,1.2274,36.5456,0.6626,1.9967,4.6467,0.03,0.35,274.8999,4.0982,12.2778,30.8816,15.512,15.7127,0.8277,27.5685,0.03,49.1478,7.8907,23.1789,3.7125,35.6667,42.4012,67.9589,14.1218,21.9521,1.2081,,0.8034,14.2962,7.9753,18.3621,136.094,172.3423,126.9709,2.7616,43.9119,10.2141,34.4308,3.7561,1.0,,10.5149,4.2323,,7.9803,0.1802,114.1969,80.4603,0.8429,49.5582,0.2888,0.3323,,2.5507,480.7275,83.5227,115.0835,63.7943,,47.0745,96.3723,0.8077,30.3475,,18.6038,115.8559,2.094,62.7136,13.1616,26.7482,98.0489,1.8556
2006年,0.6095,86.0044,0.0,294.545,158.8262,0.0,24.3932,35.3263,35.8659,45.7291,2.4273,0.0,21.0543,10.0548,52.4588,4.5236,0.4426,0.0,0.17,15.4191,1.9697,4.5048,77.274,2618.4982,317.8551,30.5517,32.7872,5.3523,5.2829,21.7236,5.2034,3811.048,7.8206,0.0,0.358,11.6073,0.5535,60.141,11.4406,27.2219,2.8158,3.2584,35.4976,0.3632,1.886,10.5894,0.28,0.2448,419.4537,5.541,4.1648,38.6852,15.3751,18.2263,3.9952,29.9437,0.0,48.7209,15.665,16.4299,2.9615,62.6616,76.7586,71.6806,5.3039,26.3663,0.446,0.0,6.1678,12.7303,13.9179,18.2677,81.4441,120.5407,137.9081,5.5371,47.933,14.6495,60.0507,5.7586,0.0,0.0694,10.2488,3.5227,0.2445,5.4479,0.8556,111.1107,87.4678,1.6807,89.4699,1.2184,0.3691,0.0575,2.4175,645.5906,92.9478,52.0997,65.3369,0.0,86.6415,114.9492,0.2476,24.9051,0.0201,34.5204,111.8338,2.7842,68.6374,9.8632,27.8317,62.6878,1.9738
2007年,1.4431,116.3171,0.07,213.6823,179.5158,,33.03,31.6893,52.5099,63.6029,3.9906,0.0383,19.6559,7.3313,68.4155,,0.4214,0.503,0.055,25.3326,2.1668,8.5594,73.141,3098.0535,266.5603,37.0083,38.9812,4.6445,4.4985,16.1061,20.8782,4549.018,5.3591,,0.434,1.1233,,68.1609,16.572,30.1928,0.791,1.2124,45.0992,,2.9609,6.0245,0.02,0.5023,672.2049,5.5022,19.7465,54.604,12.4983,21.472,0.9094,37.8869,,69.725,20.3674,18.3182,5.3299,55.2625,52.5214,87.1278,7.3392,31.2044,2.4426,0.5,21.6254,15.9619,11.3731,15.5483,81.1495,128.3158,159.3725,6.8339,50.799,22.6351,47.9413,5.9648,,0.146,8.8385,0.9966,0.275,21.1532,0.0539,113.4833,98.7267,1.9022,46.6132,1.4294,,,4.1076,888.6984,126.376,124.9552,52.9413,,103.0023,120.6338,0.2613,25.9698,0.168,34.8575,134.1167,8.3889,67.1599,11.093,45.827,57.8444,4.1763
2008年,0.8703,135.2841,,221.4135,237.9934,,50.4613,44.4132,66.5823,82.3375,1.9117,0.3,21.6547,7.1543,56.4349,0.871,0.234,0.5,,36.1694,6.0996,7.7974,67.5037,3062.9813,316.8285,30.1019,49.8988,6.5826,6.2933,13.6771,38.1197,4695.7883,6.3361,,0.4,3.6941,0.215,57.8202,16.0968,29.799,3.2353,3.4693,43.6304,1.407,4.179,11.0834,,0.4,779.2177,9.8124,18.8744,75.6969,8.9933,21.4652,1.7647,20.469,0.285,54.646,8.01,18.7901,5.7749,48.5565,46.0323,78.9036,7.4843,25.3017,1.9536,,8.9387,14.833,14.9844,12.6756,71.0844,111.2191,207.7935,14.5439,41.1188,15.1296,85.3669,7.6068,,0.2893,9.0878,0.2107,2.7485,40.8682,1.2936,113.4936,79.9643,0.6032,15.0291,1.9984,0.138,,8.8411,716.7047,143.3816,122.1548,54.7692,,116.8496,118.83,0.6409,48.1355,0.3409,56.8225,150.1056,4.7478,57.2033,15.7552,60.676,62.8346,9.2862
2009年,0.2351,124.7087,0.126,203.7003,217.386,,31.9556,44.6405,47.0931,69.0724,3.4201,,19.4182,6.4342,59.1517,0.3152,1.0864,0.438,0.005,32.7957,5.5599,9.1034,74.7665,2715.2551,259.0546,15.1969,64.4419,18.638,12.035,20.1785,24.6668,3983.5455,4.9767,,0.598,13.6388,0.9145,45.9487,11.8182,16.4831,2.8629,3.9493,35.578,0.54,2.7308,7.9901,0.3146,0.2863,501.0872,7.074,24.1031,67.9572,8.4643,17.7874,2.0091,25.9236,,88.6973,6.2227,20.7248,3.5009,43.6168,55.597,79.741,6.1293,20.8652,2.8228,,6.7223,17.3634,14.46,11.4376,70.97,109.1986,246.0538,11.8087,58.8939,25.9696,58.4157,9.3226,6.48,0.123,12.467,2.3113,0.2927,24.9595,,75.9877,72.9544,0.417,3.6877,3.064,1.7998,,6.1808,544.7129,168.341,51.2554,37.4083,,84.0352,87.8194,0.5948,58.3489,0.5898,43.8541,121.0783,6.1231,71.1083,21.9793,34.2446,56.7591,6.1134
2010年,1.1,104.6,,156.1,204.0,,25.0,39.5,54.3,67.4,3.3,,29.9,7.1,71.3,1.7,5.6,,0.1,27.5,2.3,13.4,77.3,2657.6,278.6,26.1,55.5,7.8,7.6,12.2,25.2,4339.6371,5.6,,1.9,18.4,0.9,48.7,23.2,26.6,3.2,8.8,24.4,0.3,2.7,23.3,,0.6,833.1,21.0,26.4,102.9,14.0,31.7,5.0,22.5,,41.8,6.4,15.2,2.5,55.1,35.4,87.6,7.2,18.6,1.0,0.2,9.8,26.6,9.1,8.9,111.1,156.3,211.0,8.3,47.4,35.4,58.4,6.7,,0.3,12.8,3.1,1.3,26.5,,107.6,82.4,0.6,15.1,2.8,2.8,,18.2,523.2,134.9,84.4,30.6,,88.6,98.2,0.5,28.9,0.5,76.5,136.5,6.6,66.5,13.1,64.0,31.2,7.4
2011年,3.6168,151.1244,,201.5305,268.1585,,45.227,55.0738,66.9985,166.4302,2.1526,0.08,14.9215,14.5633,90.2481,2.14,8.6434,,0.6058,63.8158,4.2983,27.8019,91.2193,3155.9431,308.3736,38.5719,71.0321,12.9292,10.6797,14.4178,27.8387,5061.9946,13.5043,,,20.456,0.794,59.887,23.4804,31.8717,8.4053,17.0487,32.68,3.0306,8.8761,20.3341,0.8468,0.09,808.9999,17.2573,35.8296,115.8985,27.2025,36.2569,7.5933,26.0122,,35.3149,5.5341,24.9353,5.214,75.9227,33.1766,104.7403,7.4463,13.0802,2.4495,2.0375,19.6877,14.7501,7.0459,3.825,123.3219,151.1522,304.481,24.0521,65.2834,24.3935,48.8898,24.2926,,2.2495,29.1544,1.245,1.935,29.7737,0.5,109.2501,91.762,0.265,17.3372,10.3427,2.7505,,8.346,614.1995,146.6552,80.3161,61.9677,2.3163,90.2457,97.5062,1.0541,10.207,0.3683,80.0689,160.6905,8.3841,87.1345,99.4317,45.6439,33.1184,7.75
2012年,11.0124,160.0538,,146.7009,,,42.5493,82.7207,59.0823,74.6536,15.7016,,7.7481,17.7962,69.5096,,2.0245,,0.02,48.6034,5.609,22.6781,86.7346,3148.0807,247.8661,30.1314,53.5384,6.6895,5.2525,10.2388,45.4056,4468.7778,12.6326,,0.1631,3.6294,2.1842,64.1526,16.5503,19.2916,2.5742,5.8802,,,9.0742,13.1947,0.4,,446.8305,,18.6505,85.6047,47.3689,50.7562,18.5043,41.5723,,40.857,7.2934,26.6711,3.8691,68.4541,25.3791,79.4722,7.2727,14.3836,3.5356,1.9848,6.6459,11.5476,2.6899,3.1917,73.8895,99.8207,234.4047,12.9116,62.0381,47.8296,45.033,13.1639,,1.437,29.7642,5.5879,1.178,46.5836,2.2435,78.2339,,2.9794,14.3179,3.4219,,,,567.9617,201.7689,106.1041,45.7296,,108.2372,111.8523,4.9923,13.0596,,66.9542,145.9113,7.266,86.834,15.5713,63.3683,62.1122,8.61
2013年,3.9502,141.6464,,340.8879,,,40.6228,,70.1118,78.8793,9.7232,,20.2835,10.2374,84.5008,,1.67,0.1,1.6007,45.8149,3.8548,11.5955,73.6322,2664.8202,270.1247,14.5392,46.5612,5.2655,4.4079,6.7525,41.3341,4319.4445,8.7233,,,,0.8755,,49.5728,21.5083,11.366,13.3233,,0.746,10.5592,26.5496,,,565.2907,,23.9044,88.19,33.5294,71.5903,11.5483,,,32.959,12.656,16.4975,2.7011,,9.235,92.1958,5.0373,10.1758,1.7019,,4.1514,10.8358,2.6577,5.6599,47.7083,68.7199,146.7442,25.9616,,15.6751,79.991,16.0175,,,28.6646,8.6969,3.2136,44.5477,0.3425,60.1288,,0.6386,189.6922,9.9014,,,,474.5658,190.7387,101.0852,66.8055,0.2326,116.2758,77.0122,4.3787,24.0559,,64.2856,85.9218,2.9562,67.878,8.7675,,29.4991,5.87
