,专业技术服务业固定资产投资(不含农户)在建净规模,专用设备制造业固定资产投资(不含农户)在建净规模,中国共产党机关固定资产投资(不含农户)在建净规模,交通运输、仓储和邮政业固定资产投资(不含农户)在建净规模,交通运输设备制造业固定资产投资(不含农户)在建净规模,人民政协和民主党派固定资产投资(不含农户)在建净规模,仓储业固定资产投资(不含农户)在建净规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)在建净规模,住宿业固定资产投资(不含农户)在建净规模,住宿和餐饮业固定资产投资(不含农户)在建净规模,体育固定资产投资(不含农户)在建净规模,保险业固定资产投资(不含农户)在建净规模,信息传输、计算机服务和软件业固定资产投资(不含农户)在建净规模,公共管理和社会组织固定资产投资(不含农户)在建净规模,公共设施管理业固定资产投资(不含农户)在建净规模,其他建筑业固定资产投资(不含农户)在建净规模,其他服务业固定资产投资(不含农户)在建净规模,其他采矿业固定资产投资(不含农户)在建净规模,其他金融活动固定资产投资(不含农户)在建净规模,农、林、牧、渔业固定资产投资(不含农户)在建净规模,农、林、牧、渔服务业固定资产投资(不含农户)在建净规模,农业固定资产投资(不含农户)在建净规模,农副食品加工业固定资产投资(不含农户)在建净规模,制造业固定资产投资(不含农户)在建净规模,化学原料及化学制品制造业固定资产投资(不含农户)在建净规模,化学纤维制造业固定资产投资(不含农户)在建净规模,医药制造业固定资产投资(不含农户)在建净规模,卫生、社会保障和社会福利业固定资产投资(不含农户)在建净规模,卫生固定资产投资(不含农户)在建净规模,印刷业和记录媒介的复制固定资产投资(不含农户)在建净规模,商务服务业固定资产投资(不含农户)在建净规模,固定资产投资(不含农户)在建净规模,国家机构固定资产投资(不含农户)在建净规模,国际组织固定资产投资(不含农户)在建净规模,地质勘查业固定资产投资(不含农户)在建净规模,城市公共交通业固定资产投资(不含农户)在建净规模,基层群众自治组织固定资产投资(不含农户)在建净规模,塑料制品业固定资产投资(不含农户)在建净规模,娱乐业固定资产投资(不含农户)在建净规模,家具制造业固定资产投资(不含农户)在建净规模,居民服务业固定资产投资(不含农户)在建净规模,居民服务和其他服务业固定资产投资(不含农户)在建净规模,工艺品及其他制造业固定资产投资(不含农户)在建净规模,广播、电视、电影和音像业固定资产投资(不含农户)在建净规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)在建净规模,建筑业固定资产投资(不含农户)在建净规模,建筑安装工程业固定资产投资(不含农户)在建净规模,建筑装饰业固定资产投资(不含农户)在建净规模,房地产业固定资产投资(不含农户)在建净规模,房屋和土木工程建筑业固定资产投资(不含农户)在建净规模,批发业固定资产投资(不含农户)在建净规模,批发和零售业固定资产投资(不含农户)在建净规模,教育固定资产投资(不含农户)在建净规模,文化、体育和娱乐业固定资产投资(不含农户)在建净规模,文化艺术业固定资产投资(不含农户)在建净规模,文教体育用品制造业固定资产投资(不含农户)在建净规模,新闻出版业固定资产投资(不含农户)在建净规模,有色金属冶炼及压延加工业固定资产投资(不含农户)在建净规模,有色金属矿采选业固定资产投资(不含农户)在建净规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)在建净规模,林业固定资产投资(不含农户)在建净规模,橡胶制品业固定资产投资(不含农户)在建净规模,水上运输业固定资产投资(不含农户)在建净规模,水利、环境和公共设施管理业固定资产投资(不含农户)在建净规模,水利管理业固定资产投资(不含农户)在建净规模,水的生产和供应业固定资产投资(不含农户)在建净规模,渔业固定资产投资(不含农户)在建净规模,烟草制品业固定资产投资(不含农户)在建净规模,煤炭开采和洗选业固定资产投资(不含农户)在建净规模,燃气生产和供应业固定资产投资(不含农户)在建净规模,环境管理业固定资产投资(不含农户)在建净规模,电信和其他信息传输服务业固定资产投资(不含农户)在建净规模,电力、热力的生产和供应业固定资产投资(不含农户)在建净规模,电力燃气水的生产供应业固定资产投资(不含农户)在建净规模,电气机械及器材制造业固定资产投资(不含农户)在建净规模,畜牧业固定资产投资(不含农户)在建净规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)在建净规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)在建净规模,石油和天然气开采业固定资产投资(不含农户)在建净规模,研究与试验发展固定资产投资(不含农户)在建净规模,社会保障业固定资产投资(不含农户)在建净规模,社会福利业固定资产投资(不含农户)在建净规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)在建净规模,科技交流和推广服务业固定资产投资(不含农户)在建净规模,租赁业固定资产投资(不含农户)在建净规模,租赁和商务服务业固定资产投资(不含农户)在建净规模,管道运输业固定资产投资(不含农户)在建净规模,纺织业固定资产投资(不含农户)在建净规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)在建净规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)在建净规模,航空运输业固定资产投资(不含农户)在建净规模,装卸搬运和其他运输服务业固定资产投资(不含农户)在建净规模,计算机服务业固定资产投资(不含农户)在建净规模,证券业固定资产投资(不含农户)在建净规模,软件业固定资产投资(不含农户)在建净规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)在建净规模,通用设备制造业固定资产投资(不含农户)在建净规模,造纸及纸制品业固定资产投资(不含农户)在建净规模,道路运输业固定资产投资(不含农户)在建净规模,邮政业固定资产投资(不含农户)在建净规模,采矿业固定资产投资(不含农户)在建净规模,金属制品业固定资产投资(不含农户)在建净规模,金融业固定资产投资(不含农户)在建净规模,铁路运输业固定资产投资(不含农户)在建净规模,银行业固定资产投资(不含农户)在建净规模,零售业固定资产投资(不含农户)在建净规模,非金属矿物制品业固定资产投资(不含农户)在建净规模,非金属矿采选业固定资产投资(不含农户)在建净规模,食品制造业固定资产投资(不含农户)在建净规模,餐饮业固定资产投资(不含农户)在建净规模,饮料制造业固定资产投资(不含农户)在建净规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)在建净规模,黑色金属矿采选业固定资产投资(不含农户)在建净规模
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52618.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63186.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,78.76,421.23,20.35,13021.14,1350.65,1.7,369.04,139.02,361.91,432.96,209.14,4.46,434.49,1657.42,5343.79,33.28,17.56,1.31,5.19,676.77,165.4,173.05,465.71,15088.55,1662.93,156.12,512.12,353.08,337.69,97.7,528.57,84641.89,1497.87,0.21,11.95,2069.01,103.9,270.23,267.14,89.96,138.41,155.96,251.47,157.67,17.42,408.25,8.67,2.36,24717.12,363.94,372.58,890.46,1521.36,843.68,193.87,54.87,15.84,1075.32,87.21,119.47,216.55,185.09,828.09,7277.53,1529.52,843.98,33.87,81.18,846.48,447.09,404.22,328.07,13803.53,15094.6,444.94,87.9,115.13,1207.21,76.65,169.49,4.6,10.8,309.4,49.2,1.23,529.8,437.58,696.8,208.68,33.6,239.06,62.96,19.24,0.21,87.18,723.38,450.97,411.7,7217.57,7.93,1198.34,297.28,30.74,1789.9,20.9,517.87,850.01,37.36,314.71,71.07,192.54,2224.7,149.34
2005年,134.3774,520.712,12.6812,18116.0169,2049.6352,8.5985,477.9387,144.2721,499.6965,580.2311,270.6763,1.7516,411.9962,1942.2895,6298.4146,44.2266,23.5248,1.7305,5.3911,647.4112,130.777,155.9842,651.3825,18383.6189,2197.8912,228.1216,575.1239,477.3344,459.5045,134.9292,660.6987,106583.0424,1709.8791,,94.9729,2728.097,160.5341,373.4716,324.1356,139.0064,164.2079,186.9874,238.1744,77.001,15.4983,455.9394,10.4681,4.2211,30537.3575,398.5031,507.2599,1048.661,1866.5269,966.7153,271.546,85.4919,23.8844,972.5122,175.4479,165.8005,235.6111,250.3849,1421.0254,10365.7965,3615.9528,715.3238,26.6597,112.8023,1432.6486,476.9787,471.9035,333.6319,15763.0213,16942.2951,669.6155,102.1587,153.119,1798.7751,459.7568,223.7853,3.8995,14.2835,567.2071,114.0865,1.164,661.8187,33.1889,-382.7604,295.0801,54.2513,561.72,47.0278,15.6258,20.6161,63.1822,1074.4501,688.1431,565.8215,9068.2329,17.731,2364.9259,439.5715,59.9134,3777.4524,32.411,546.128,973.2141,129.7787,411.9288,92.3217,327.6459,2574.2262,172.1978
2006年,84.1344,909.2085,18.3736,18876.8692,2152.4829,4.4498,512.4324,171.9349,647.9167,749.0116,218.7811,4.1598,529.9259,1896.8385,7350.2132,68.1955,21.8466,6.8631,0.9516,694.6016,164.3858,136.8921,886.3077,23787.7623,3235.5609,443.6846,623.5725,572.8312,540.6409,161.2258,716.8198,118490.0078,1680.0919,,71.0386,3386.8167,137.6383,577.1387,333.8129,138.6787,108.1547,130.0013,325.1324,173.381,57.4943,521.9161,11.3093,4.235,35746.7659,438.1763,752.5097,1365.8854,1795.2208,1127.9081,376.3353,83.3111,25.5978,1121.2506,196.4987,201.5199,229.721,233.8456,1287.8938,10573.0795,2706.2471,882.3311,21.2503,113.2058,2080.6714,766.1679,516.6192,406.2421,14489.2586,16137.7576,829.6588,142.3524,196.5597,1889.2015,-2.5316,221.0954,6.078,26.1123,455.6471,79.3787,4.8321,721.6519,102.8172,874.5489,368.2118,56.2849,432.2304,66.5431,35.7937,67.0985,87.8901,1414.0002,1042.9183,578.5376,9687.0647,10.4843,2690.1469,605.0055,116.1869,3390.5866,43.977,613.3757,1184.2338,149.3279,523.8347,101.0949,362.1303,2483.3663,259.3174
2007年,123.1423,1241.4338,13.7168,23572.7411,2976.1422,3.2659,758.9595,217.6924,1081.5795,1172.3254,324.4459,1.1172,564.5134,1610.2961,8507.5816,57.1487,35.3965,12.1421,4.0924,691.2812,139.8355,197.8382,932.1243,32077.0992,4735.7066,491.6971,684.3796,678.29,635.0404,174.7,1194.981,144032.8243,1423.1584,,21.5569,4328.5634,130.0393,643.4863,428.6771,204.7035,124.9497,160.3462,464.7183,203.2064,99.6538,593.4088,6.7211,3.3777,45271.4136,526.1613,695.3583,1557.2892,1810.5187,1504.3413,471.0976,98.5102,76.9143,1585.769,309.8061,275.9522,183.6514,300.006,1447.6709,11907.9907,2729.5494,895.1925,16.5283,151.4172,1789.4995,432.5723,670.8597,407.6411,14949.6983,16277.4631,1307.2347,153.4278,256.1562,2306.2644,296.5327,247.7434,11.1664,32.0832,484.1547,91.7121,5.7473,1200.7283,22.5096,1048.5148,506.3853,40.1157,502.1391,79.2499,37.1009,9.583,119.7714,2115.2214,1530.9049,971.6054,9295.4091,9.7538,2847.2399,1095.8058,51.3834,7128.4858,36.5908,861.9309,1649.7469,117.8756,460.8301,90.7459,398.9759,3151.3609,321.3839
2008年,322.6244,1378.767,10.8426,31724.485,3871.1074,2.6145,925.5036,275.2591,1161.3541,1303.4613,378.343,1.6614,679.5962,1720.5584,9716.0687,49.5081,68.558,8.2336,8.8104,940.6855,256.7576,185.4293,1074.7679,35916.2019,5504.93,246.1479,715.0059,869.0453,779.9885,165.5376,1382.9224,177745.8081,1439.4925,,26.586,4667.9877,230.1692,659.5413,447.1693,172.2817,82.5717,151.1297,671.2843,188.7731,101.7295,518.0854,14.1742,6.5486,61140.393,447.8545,913.1637,1723.7867,1841.9894,1550.7375,468.5514,95.0098,67.9007,2273.2853,411.8537,233.0477,285.6631,360.2562,1298.0057,13209.7372,2896.2872,1093.2966,20.278,170.0147,2436.8571,730.3865,597.3813,435.1794,16458.2152,18281.8983,1547.0848,192.5575,231.2416,2337.9697,304.3604,326.1524,32.3705,56.6863,785.6555,110.2927,4.2567,1387.1791,77.1083,891.161,475.1204,37.4396,720.9491,100.7854,34.3742,174.2405,210.0426,2329.3516,1840.3015,945.8945,11402.0398,10.8939,3730.8771,1215.3873,270.3056,12521.2115,85.5933,810.623,2484.4654,189.1249,532.9937,142.1072,396.0253,2721.2318,380.4474
2009年,472.3805,2165.2428,19.9738,44965.7935,5062.541,0.7558,1368.6017,341.791,1671.6175,1897.0291,542.9654,61.9933,865.2514,1990.4854,14504.4176,40.9233,139.2813,21.4233,25.5787,1570.7392,332.4761,456.3583,1441.8292,46706.7413,6486.2808,221.537,1003.3242,1405.3699,1239.951,224.3357,2137.6494,236219.6533,1638.6025,,42.3913,6110.3375,273.3868,797.1542,763.6038,247.7934,220.4546,359.7359,720.7853,263.6516,322.8382,864.4733,19.4752,12.0616,75047.718,792.0132,1305.3606,2465.6096,2478.6947,2348.1176,720.2752,89.0558,57.6216,2749.992,713.6464,336.7737,329.5421,622.4879,1797.4413,20428.4882,4735.5558,1527.4036,31.3262,280.9512,4493.7824,1057.5,1188.5148,607.2054,19895.4581,22480.3617,2756.2825,421.0365,291.0462,2666.851,591.4318,377.6831,90.1387,75.2802,1094.0963,201.6414,3.791,2141.4404,58.009,1147.5625,469.0024,57.7665,1024.2556,161.4667,20.2729,155.7714,237.7731,2900.9498,2372.3509,1255.1351,16515.3992,11.9417,6708.9233,1522.3321,400.5845,17918.3408,157.2411,1160.249,3565.712,229.6182,729.4206,225.4116,698.5461,3216.8367,659.0212
2010年,611.8,3078.4,31.6,49049.9,6690.5,1.3,2266.4,448.3,2508.5,2793.6,344.4,121.8,1092.8,3261.2,20096.7,160.0,374.9,31.2,109.7,1919.0,404.9,654.9,1972.5,60437.8,7497.5,573.6,1488.1,1699.2,1518.2,240.2,2761.5,301424.1,2825.5,,83.6,7241.3,298.7,975.4,1801.3,449.6,346.0,720.9,1143.1,294.0,224.8,1475.3,18.2,10.0,101270.9,1287.1,2166.9,4322.3,2758.2,3515.1,972.5,140.5,102.8,3481.0,611.2,529.0,366.9,981.1,2536.5,26003.5,4709.6,1482.8,48.7,334.7,5355.0,1733.0,1197.2,643.8,19442.0,22657.8,4401.9,443.6,324.4,3594.5,673.2,519.2,85.6,95.4,1596.1,381.5,21.1,2782.6,81.5,1561.0,702.9,104.1,1290.6,212.2,73.7,167.8,375.4,3676.5,3171.9,1726.2,17325.0,35.0,7824.2,1922.9,605.7,18061.4,206.4,2155.4,4125.3,503.1,939.3,285.2,1001.9,3040.8,650.5
2011年,579.0941,4317.2959,18.0456,46938.678,8154.9332,2.5108,2912.5561,591.8756,2823.7946,3293.0566,566.9046,167.4543,1170.9525,3332.2596,21094.7416,170.5736,421.3974,14.0343,86.913,3207.6229,551.6269,1330.1926,2458.4032,79371.3645,9361.8804,647.256,2111.524,1813.7531,1519.383,308.8368,3426.7692,347240.5434,2782.8092,,74.8016,6663.0132,340.342,1312.5863,1879.3513,638.5799,390.7676,812.165,1253.8847,237.4715,343.6009,2186.4115,37.7536,19.2553,129728.7408,1958.829,2789.1849,5661.3481,2717.2707,4061.8883,1250.2993,201.2937,127.8616,4217.5383,1074.1377,639.807,362.2227,900.4424,2275.6432,26673.9167,4344.6544,1384.6928,126.3059,359.8844,6105.9781,2343.5517,1234.5207,542.2836,16890.3068,20618.5513,6891.8652,837.2748,428.74,4176.6208,917.3495,758.2483,113.2077,181.1624,1973.8196,561.6756,23.9796,3450.7488,109.598,1967.1347,977.0506,188.552,1067.9798,330.6514,163.7832,151.177,464.8857,4863.8383,4555.0703,2041.2834,17666.219,53.0409,9509.7577,2662.2679,718.2377,15859.9764,312.6934,2872.1632,5701.8739,646.5485,1439.6898,469.262,1131.4377,4714.8692,751.7096
