,房地产开发企业房屋建筑面积竣工率,房地产开发企业施工房屋面积,房地产开发企业竣工房屋价值,房地产开发企业竣工房屋造价,房地产开发企业竣工房屋面积
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,38.1,65896.9153,2859.3463,1138.96,25104.86
2001年,37.6,79411.6819,3369.4469,1128.14,29867.3633
2002年,37.2,94104.0052,4141.6949,1184.16,34975.7534
2003年,35.3,117525.9899,5279.9528,1273.38,41464.061
2004年,30.2,140451.3926,5952.482,1402.0,42464.8675
2005年,32.1686193275,166053.2563,7752.2369,1451.26665845,53417.0399
2006年,28.662633917,194786.4211,8729.3459,1563.53255286,55830.9188
2007年,25.6462139543,236318.241,10039.8923,1656.56525294,60606.6817
2008年,23.5,283266.2,11947.5659,1795.0,66544.8
2009年,22.7,320368.2,14689.3651,2021.0,72677.4
2010年,19.4,405356.4,17542.7347,2228.0,78743.9
2011年,18.2763270361,506775.4802,21975.9131,2372.69772872,92619.9441
2012年,17.33901652,573417.5193,24836.6202,2498.02671278,99424.9584
2013年,15.2402758842,665571.8884,26805.3771,2642.61637641,101434.992
2014年,14.7916941513,726482.338,30261.9873,2816.14145735,107459.0455
