,内资房地产开发企业平均从业人数,国有房地产开发企业平均从业人数,外商投资房地产开发企业平均从业人数,房地产开发企业平均从业人数,港、澳、台投资房地产开发企业平均从业人数,集体房地产开发企业平均从业人数
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,862245.0,292252.0,30631.0,971942.0,79066.0,116416.0
2001年,949580.0,257695.0,31071.0,1062319.0,81668.0,109826.0
2002年,1014254.0,208722.0,34306.0,1134009.0,85449.0,89739.0
2003年,1086923.0,179614.0,39035.0,1205355.0,79397.0,72400.0
2004年,1429291.0,163495.0,60491.0,1585428.0,95646.0,58514.0
2005年,1366743.0,140106.0,58733.0,1516150.0,90674.0,40978.0
2006年,1442158.0,132259.0,61084.0,1600930.0,97688.0,38367.0
2007年,1541336.0,121137.0,77932.0,1719666.0,100398.0,34498.0
2008年,1906029.0,127511.0,85087.0,2100362.0,109246.0,29602.0
2009年,1763867.0,123866.0,75463.0,1949295.0,109965.0,29049.0
2010年,1908969.0,155156.0,76332.0,2091147.0,105846.0,25428.0
2011年,2075474.0,135420.0,68500.0,2256964.0,112990.0,21237.0
2012年,2199815.0,123593.0,70108.0,2386772.0,116849.0,20398.0
2013年,2397762.0,66072.0,72245.0,2591814.0,121807.0,12976.0
2014年,2561817.0,61512.0,68966.0,2760070.0,129287.0,11414.0
