,专业技术服务业固定资产投资(不含农户)新开工项目,专用设备制造业固定资产投资(不含农户)新开工项目,中国共产党机关固定资产投资(不含农户)新开工项目,交通运输、仓储和邮政业固定资产投资(不含农户)新开工项目,交通运输设备制造业固定资产投资(不含农户)新开工项目,人民政协和民主党派固定资产投资(不含农户)新开工项目,仓储业固定资产投资(不含农户)新开工项目,仪器仪表文化办公用机械制造业固定资产投资(不含农户)新开工项目,住宿业固定资产投资(不含农户)新开工项目,住宿和餐饮业固定资产投资(不含农户)新开工项目,体育固定资产投资(不含农户)新开工项目,保险业固定资产投资(不含农户)新开工项目,信息传输、计算机服务和软件业固定资产投资(不含农户)新开工项目,公共管理和社会组织固定资产投资(不含农户)新开工项目,公共设施管理业固定资产投资(不含农户)新开工项目,其他建筑业固定资产投资(不含农户)新开工项目,其他服务业固定资产投资(不含农户)新开工项目,其他采矿业固定资产投资(不含农户)新开工项目,其他金融活动固定资产投资(不含农户)新开工项目,农、林、牧、渔业固定资产投资(不含农户)新开工项目,农、林、牧、渔服务业固定资产投资(不含农户)新开工项目,农业固定资产投资(不含农户)新开工项目,农副食品加工业固定资产投资(不含农户)新开工项目,制造业固定资产投资(不含农户)新开工项目,化学原料及化学制品制造业固定资产投资(不含农户)新开工项目,化学纤维制造业固定资产投资(不含农户)新开工项目,医药制造业固定资产投资(不含农户)新开工项目,卫生、社会保障和社会福利业固定资产投资(不含农户)新开工项目,卫生固定资产投资(不含农户)新开工项目,印刷业和记录媒介的复制固定资产投资(不含农户)新开工项目,商务服务业固定资产投资(不含农户)新开工项目,固定资产投资(不含农户)新开工项目,国家机构固定资产投资(不含农户)新开工项目,国际组织固定资产投资(不含农户)新开工项目,地质勘查业固定资产投资(不含农户)新开工项目,城市公共交通业固定资产投资(不含农户)新开工项目,基层群众自治组织固定资产投资(不含农户)新开工项目,塑料制品业固定资产投资(不含农户)新开工项目,娱乐业固定资产投资(不含农户)新开工项目,家具制造业固定资产投资(不含农户)新开工项目,居民服务业固定资产投资(不含农户)新开工项目,居民服务和其他服务业固定资产投资(不含农户)新开工项目,工艺品及其他制造业固定资产投资(不含农户)新开工项目,广播、电视、电影和音像业固定资产投资(不含农户)新开工项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)新开工项目,建筑业固定资产投资(不含农户)新开工项目,建筑安装业固定资产投资(不含农户)新开工项目,建筑装饰业固定资产投资(不含农户)新开工项目,房地产业固定资产投资(不含农户)新开工项目,房屋和土木工程建筑业固定资产投资(不含农户)新开工项目,批发业固定资产投资(不含农户)新开工项目,批发和零售业固定资产投资(不含农户)新开工项目,教育固定资产投资(不含农户)新开工项目,文化、体育和娱乐业固定资产投资(不含农户)新开工项目,文化艺术业固定资产投资(不含农户)新开工项目,文教体育用品制造业固定资产投资(不含农户)新开工项目,新闻出版业固定资产投资(不含农户)新开工项目,有色金属冶炼及压延加工业固定资产投资(不含农户)新开工项目,有色金属矿采选业固定资产投资(不含农户)新开工项目,木材加工及木竹藤棕草制品业固定资产投资(不含农户)新开工项目,林业固定资产投资(不含农户)新开工项目,橡胶制品业固定资产投资(不含农户)新开工项目,水上运输业固定资产投资(不含农户)新开工项目,水利、环境和公共设施管理业固定资产投资(不含农户)新开工项目,水利管理业固定资产投资(不含农户)新开工项目,水的生产和供应业固定资产投资(不含农户)新开工项目,渔业固定资产投资(不含农户)新开工项目,烟草制品业固定资产投资(不含农户)新开工项目,煤炭开采和洗选业固定资产投资(不含农户)新开工项目,燃气生产和供应业固定资产投资(不含农户)新开工项目,环境管理业固定资产投资(不含农户)新开工项目,电信和其他信息传输服务业固定资产投资(不含农户)新开工项目,电力、热力的生产和供应业固定资产投资(不含农户)新开工项目,电力、燃气及水的生产和供应业固定资产投资(不含农户)新开工项目,电气机械及器材制造业固定资产投资(不含农户)新开工项目,畜牧业固定资产投资(不含农户)新开工项目,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)新开工项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)新开工项目,石油和天然气开采业固定资产投资(不含农户)新开工项目,研究与试验发展固定资产投资(不含农户)新开工项目,社会保障业固定资产投资(不含农户)新开工项目,社会福利业固定资产投资(不含农户)新开工项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)新开工项目,科技交流和推广服务业固定资产投资(不含农户)新开工项目,租赁业固定资产投资(不含农户)新开工项目,租赁和商务服务业固定资产投资(不含农户)新开工项目,管道运输业固定资产投资(不含农户)新开工项目,纺织业固定资产投资(不含农户)新开工项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)新开工项目,群众团体、社会团体和宗教组织固定资产投资(不含农户)新开工项目,航空运输业固定资产投资(不含农户)新开工项目,装卸搬运和其他运输服务业固定资产投资(不含农户)新开工项目,计算机服务业固定资产投资(不含农户)新开工项目,证券业固定资产投资(不含农户)新开工项目,软件业固定资产投资(不含农户)新开工项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)新开工项目,通用设备制造业固定资产投资(不含农户)新开工项目,造纸及纸制品业固定资产投资(不含农户)新开工项目,道路运输业固定资产投资(不含农户)新开工项目,邮政业固定资产投资(不含农户)新开工项目,采矿业固定资产投资(不含农户)新开工项目,金属制品业固定资产投资(不含农户)新开工项目,金融业固定资产投资(不含农户)新开工项目,铁路运输业固定资产投资(不含农户)新开工项目,银行业固定资产投资(不含农户)新开工项目,零售业固定资产投资(不含农户)新开工项目,非金属矿物制品业固定资产投资(不含农户)新开工项目,非金属矿采选业固定资产投资(不含农户)新开工项目,食品制造业固定资产投资(不含农户)新开工项目,餐饮业固定资产投资(不含农户)新开工项目,饮料制造业固定资产投资(不含农户)新开工项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)新开工项目,黑色金属矿采选业固定资产投资(不含农户)新开工项目
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,386,2200,218,11299,2154,58,632,412,1231,2294,259,64,7975,14043,8428,130,161,19,36,6330,1771,1671,3106,50398,5014,220,2019,3014,2615,800,948,148042,12353,1,112,508,1154,1826,520,667,445,606,927,464,50,3407,107,101,1734,3069,2739,6128,10163,2007,694,448,70,1221,573,1326,1474,496,496,12676,3419,1592,234,211,2466,411,829,7835,6668,8671,1833,1180,655,1116,198,460,51,348,1134,176,35,983,18,3507,1483,260,84,184,50,6,90,1388,2599,1398,8095,303,4378,2312,801,979,695,3389,4875,755,1825,1063,1215,3095,367
2004年,372,2285,175,12210,2506,35,644,419,1305,2696,249,42,8325,12777,8621,128,248,22,30,6692,1915,1777,3588,52269,4995,227,1888,3745,3362,848,840,152363,11210,3,95,310,1091,1833,577,726,469,717,1090,360,83,3006,115,112,2675,2651,2727,6607,9568,1863,629,329,48,1468,716,1472,1494,482,635,12522,3026,1689,234,219,1973,510,875,8198,7394,9593,2181,1272,648,875,190,377,56,327,997,153,49,889,24,3076,1720,266,121,152,52,4,75,1307,3117,1320,9289,181,4617,2623,592,854,516,3880,4825,893,1919,1391,1197,3003,823
2005年,467,3214,371,15750,3462,50,809,592,1741,3721,279,53,5761,15095,11579,145,301,48,46,11105,5247,2160,4735,67686,5645,244,1983,3974,3490,1157,1169,190755,12800,0,169,363,1556,2630,775,1073,758,1059,1459,461,127,3728,156,98,3675,3329,4045,8898,12005,2372,789,533,68,1422,1042,2062,1664,726,444,16519,3616,1733,258,158,3291,535,1324,5577,6724,8992,3060,1776,1008,824,274,420,72,412,1283,227,99,1268,28,4065,2238,318,136,118,77,10,107,1763,5240,1648,12356,144,7287,3813,577,1352,468,4853,6305,1375,2498,1980,1568,2434,1257
2006年,470,3943,176,14356,3578,37,999,605,1985,4272,299,48,5189,15019,12093,255,400,40,43,8614,3125,2065,5502,77750,6286,243,1926,3792,3198,1313,1380,203963,12448,1,191,395,2062,3350,942,1319,944,1344,1635,415,194,3959,169,147,10365,3388,3791,9181,10381,2683,962,527,65,1499,1169,2906,1718,818,380,17128,3717,2026,229,168,2941,643,1318,4956,6630,9299,3500,1477,1129,801,364,369,93,501,1264,234,106,1486,35,4448,2542,296,162,138,128,12,105,1740,6145,1950,11590,144,7381,4544,499,513,396,5390,8519,1601,2678,2287,1843,2099,1266
2007年,537,4717,137,18126,4417,40,1361,665,2513,5246,355,55,8190,13501,14256,259,526,38,59,10092,3748,2042,6523,89590,6904,275,1904,3979,3185,1345,1395,231531,11190,0,176,322,1829,3633,1074,1580,962,1488,1629,354,286,3666,160,154,14260,3093,4001,9363,9290,2765,923,628,59,1957,1632,3539,1883,907,417,19859,4025,2325,277,166,3355,851,1578,7920,7188,10364,4197,2142,1285,893,241,332,93,701,1308,263,83,1478,49,4699,3023,305,132,172,159,12,111,1818,7490,2099,15092,82,8387,5198,579,499,453,5362,10456,1847,3083,2733,2089,2185,1274
2008年,565,4950,123,19727,4924,24,1546,727,2738,5851,374,58,7173,14628,17787,343,589,50,74,13472,4188,2474,6971,95669,7188,320,1922,4571,3570,1381,1769,257075,12153,0,181,456,2034,3840,1287,1799,1319,1908,1679,443,415,4633,175,215,15119,3900,4403,10533,9829,3405,1239,678,62,2093,1482,3667,2171,965,578,25878,5966,3107,440,206,3666,901,2125,6826,7394,11402,4365,4199,1343,864,216,442,132,869,1501,313,120,1889,48,4223,2725,294,104,251,212,17,135,2062,8261,2165,16001,107,9198,5769,689,636,540,6130,12394,2102,3248,3113,2010,2515,1682
2009年,846,6164,135,24894,6075,24,2395,903,3535,7856,580,63,6951,17429,24450,393,836,82,139,18723,6273,3775,9052,117443,8813,306,2635,10008,8292,1668,2612,339795,13779,0,219,468,2943,4440,1896,2360,1831,2667,1865,560,512,6043,297,1096,21156,4257,6408,14997,16436,5553,2449,760,68,2503,1864,4248,3042,1101,816,36210,8028,5027,516,281,4229,1570,3732,6424,9698,16295,6124,5117,1425,1081,238,600,369,1347,2245,580,143,2755,78,4963,3548,548,140,419,315,34,212,2404,9855,2785,19928,147,11010,7071,1124,503,888,8589,15171,2759,4083,4321,2798,2449,1838
2010年,991,6887,152,20678,7158,33,2501,1009,3392,7055,509,55,6913,16781,25631,547,809,117,163,17550,5797,3769,9596,124357,9022,369,3048,6190,4734,1778,2464,329321,12503,0,180,485,3610,4473,1598,2531,1413,2222,2106,493,587,6208,198,234,20077,5229,5274,13904,16139,4756,2093,800,63,2339,1948,5119,2808,1120,870,36054,7046,4101,639,195,4337,1256,3377,6364,7565,12922,6643,4537,1623,1008,379,441,382,1074,2095,483,146,2610,73,5111,4091,483,120,453,302,59,247,2818,10257,2532,15434,159,11872,6989,938,583,661,8630,15560,3246,4105,3663,2957,2526,1845
