,专业技术服务业固定资产投资(不含农户)国内贷款,专用设备制造业固定资产投资(不含农户)国内贷款,中国共产党机关固定资产投资(不含农户)国内贷款,交通运输、仓储和邮政业固定资产投资(不含农户)国内贷款,交通运输设备制造业固定资产投资(不含农户)国内贷款,人民政协和民主党派固定资产投资(不含农户)国内贷款,仓储业固定资产投资(不含农户)国内贷款,仪器仪表文化办公用机械制造业固定资产投资(不含农户)国内贷款,住宿业固定资产投资(不含农户)国内贷款,住宿和餐饮业固定资产投资(不含农户)国内贷款,体育固定资产投资(不含农户)国内贷款,保险业固定资产投资(不含农户)国内贷款,信息传输、计算机服务和软件业固定资产投资(不含农户)国内贷款,公共管理和社会组织固定资产投资(不含农户)国内贷款,公共设施管理业固定资产投资(不含农户)国内贷款,其他建筑业固定资产投资(不含农户)国内贷款,其他服务业固定资产投资(不含农户)国内贷款,其他采矿业固定资产投资(不含农户)国内贷款,其他金融活动固定资产投资(不含农户)国内贷款,农、林、牧、渔业固定资产投资(不含农户)国内贷款,农、林、牧、渔服务业固定资产投资(不含农户)国内贷款,农业固定资产投资(不含农户)国内贷款,农副食品加工业固定资产投资(不含农户)国内贷款,制造业固定资产投资(不含农户)国内贷款,化学原料及化学制品制造业固定资产投资(不含农户)国内贷款,化学纤维制造业固定资产投资(不含农户)国内贷款,医药制造业固定资产投资(不含农户)国内贷款,卫生、社会保障和社会福利业固定资产投资(不含农户)国内贷款,卫生固定资产投资(不含农户)国内贷款,印刷业和记录媒介的复制固定资产投资(不含农户)国内贷款,商务服务业固定资产投资(不含农户)国内贷款,固定资产投资(不含农户)国内贷款,国家机构固定资产投资(不含农户)国内贷款,国际组织固定资产投资(不含农户)国内贷款,地质勘查业固定资产投资(不含农户)国内贷款,城市公共交通业固定资产投资(不含农户)国内贷款,基层群众自治组织固定资产投资(不含农户)国内贷款,塑料制品业固定资产投资(不含农户)国内贷款,娱乐业固定资产投资(不含农户)国内贷款,家具制造业固定资产投资(不含农户)国内贷款,居民服务业固定资产投资(不含农户)国内贷款,居民服务和其他服务业固定资产投资(不含农户)国内贷款,工艺品及其他制造业固定资产投资(不含农户)国内贷款,广播、电视、电影和音像业固定资产投资(不含农户)国内贷款,废弃资源和废旧材料回收加工业固定资产投资(不含农户)国内贷款,建筑业固定资产投资(不含农户)国内贷款,建筑安装业固定资产投资(不含农户)国内贷款,建筑装饰业固定资产投资(不含农户)国内贷款,房地产业固定资产投资(不含农户)国内贷款,房屋和土木工程建筑业固定资产投资(不含农户)国内贷款,批发业固定资产投资(不含农户)国内贷款,批发和零售业固定资产投资(不含农户)国内贷款,教育固定资产投资(不含农户)国内贷款,文化、体育和娱乐业固定资产投资(不含农户)国内贷款,文化艺术业固定资产投资(不含农户)国内贷款,文教体育用品制造业固定资产投资(不含农户)国内贷款,新闻出版业固定资产投资(不含农户)国内贷款,有色金属冶炼及压延加工业固定资产投资(不含农户)国内贷款,有色金属矿采选业固定资产投资(不含农户)国内贷款,木材加工及木竹藤棕草制品业固定资产投资(不含农户)国内贷款,林业固定资产投资(不含农户)国内贷款,橡胶制品业固定资产投资(不含农户)国内贷款,水上运输业固定资产投资(不含农户)国内贷款,水利、环境和公共设施管理业固定资产投资(不含农户)国内贷款,水利管理业固定资产投资(不含农户)国内贷款,水的生产和供应业固定资产投资(不含农户)国内贷款,渔业固定资产投资(不含农户)国内贷款,烟草制品业固定资产投资(不含农户)国内贷款,煤炭开采和洗选业固定资产投资(不含农户)国内贷款,燃气生产和供应业固定资产投资(不含农户)国内贷款,环境管理业固定资产投资(不含农户)国内贷款,电信和其他信息传输服务业固定资产投资(不含农户)国内贷款,电力、热力的生产和供应业固定资产投资(不含农户)国内贷款,电力燃气水的生产供应业固定资产投资(不含农户)国内贷款,电气机械及器材制造业固定资产投资(不含农户)国内贷款,畜牧业固定资产投资(不含农户)国内贷款,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)国内贷款,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)国内贷款,石油和天然气开采业固定资产投资(不含农户)国内贷款,研究与试验发展固定资产投资(不含农户)国内贷款,社会保障业固定资产投资(不含农户)国内贷款,社会福利业固定资产投资(不含农户)国内贷款,科学研究、技术服务和地质勘查业固定资产投资(不含农户)国内贷款,科技交流和推广服务业固定资产投资(不含农户)国内贷款,租赁业固定资产投资(不含农户)国内贷款,租赁和商务服务业固定资产投资(不含农户)国内贷款,管道运输业固定资产投资(不含农户)国内贷款,纺织业固定资产投资(不含农户)国内贷款,纺织服装、鞋、帽制造业固定资产投资(不含农户)国内贷款,群众团体、社会团体和宗教组织固定资产投资(不含农户)国内贷款,航空运输业固定资产投资(不含农户)国内贷款,装卸搬运和其他运输服务业固定资产投资(不含农户)国内贷款,计算机服务业固定资产投资(不含农户)国内贷款,证券业固定资产投资(不含农户)国内贷款,软件业固定资产投资(不含农户)国内贷款,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)国内贷款,通用设备制造业固定资产投资(不含农户)国内贷款,造纸及纸制品业固定资产投资(不含农户)国内贷款,道路运输业固定资产投资(不含农户)国内贷款,邮政业固定资产投资(不含农户)国内贷款,采矿业固定资产投资(不含农户)国内贷款,金属制品业固定资产投资(不含农户)国内贷款,金融业固定资产投资(不含农户)国内贷款,铁路运输业固定资产投资(不含农户)国内贷款,银行业固定资产投资(不含农户)国内贷款,零售业固定资产投资(不含农户)国内贷款,非金属矿物制品业固定资产投资(不含农户)国内贷款,非金属矿采选业固定资产投资(不含农户)国内贷款,食品制造业固定资产投资(不含农户)国内贷款,餐饮业固定资产投资(不含农户)国内贷款,饮料制造业固定资产投资(不含农户)国内贷款,黑色金属冶炼及压延加工业固定资产投资(不含农户)国内贷款,黑色金属矿采选业固定资产投资(不含农户)国内贷款
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8167.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,13.8548,38.4081,0.5191,2029.2154,100.6107,0.068,22.4919,12.1667,35.4607,46.6108,14.6216,0.1596,143.4642,152.0313,953.9845,3.1388,1.585,0.24,0.0045,31.9526,6.2965,8.3093,62.1428,1892.3478,279.0525,34.224,99.0775,51.2456,50.4869,12.9409,57.3056,11223.89,144.8834,,0.2831,155.7852,4.494,40.5685,12.0524,8.7707,4.2193,5.8043,40.7556,12.7867,1.0864,82.8103,2.0374,0.4164,3204.3303,77.2177,34.7798,87.7698,355.1062,55.7893,12.4456,2.3325,3.883,105.2955,13.2688,13.3302,4.6661,30.3599,105.9011,1085.4799,79.8734,83.1029,1.1645,12.214,81.3567,38.8069,51.622,133.927,1552.6724,1674.5822,42.3428,11.5162,8.9455,65.9135,139.6344,10.4434,0.448,0.3107,26.6757,2.0944,0.2459,57.5515,86.3162,112.9609,18.8519,2.0668,27.9384,8.7922,1.4559,,8.0813,128.6135,44.45,46.0294,1418.8642,0.9658,239.2222,24.7782,1.9008,202.1604,1.7367,52.99,175.3294,2.5726,55.4421,11.1501,33.6209,241.7332,2.1497
2004年,4.86,46.48,2.35,2369.57,116.01,0.24,38.05,12.08,47.91,57.05,15.84,0.05,118.05,144.25,1024.46,3.2,1.58,0.12,0.6,49.38,8.02,10.7,67.93,2192.0,368.9,49.59,91.99,56.65,55.5,15.68,65.91,12842.9,133.87,0.04,0.48,152.88,6.51,41.67,15.34,7.11,5.01,6.6,57.54,11.73,0.32,46.56,0.87,0.55,112.83,41.94,34.62,101.55,389.65,57.59,12.13,2.21,2.55,95.37,11.45,22.3,4.99,33.34,168.3,1207.78,120.18,111.46,11.12,9.96,139.76,38.77,63.15,104.2,2222.36,2372.59,58.89,14.55,6.84,89.28,152.49,8.21,0.01,1.14,17.34,3.8,0.49,3224.81,49.65,120.48,21.3,1.28,62.96,12.7,3.06,,10.79,203.94,50.16,119.39,1706.15,0.36,317.12,28.47,1.49,178.52,0.85,66.93,164.42,4.85,41.37,9.14,24.81,224.2,8.45
2005年,7.4942,71.7864,0.2806,2759.4945,156.289,,44.8754,10.4019,45.9084,55.8485,25.5711,0.215,103.3623,86.8023,1219.0299,3.5822,1.9885,0.1,0.01,33.6843,8.782,7.2784,89.3738,2482.1969,402.7735,27.7536,80.8797,71.8597,69.9536,12.9899,66.8298,15363.8632,73.8557,,1.5889,178.9119,6.3758,39.0276,27.7901,10.3142,3.8287,5.8172,34.1945,10.2925,2.2433,82.1309,2.7874,0.221,4010.9245,75.5403,40.7756,96.4983,381.2132,85.5476,19.8129,4.3646,2.081,120.6006,14.9373,19.9813,3.3504,13.0025,226.4137,1411.9061,150.7821,102.4854,3.067,5.9204,201.7573,60.8103,42.0941,97.518,2966.7253,3130.021,63.5439,11.2065,7.2831,151.145,222.9179,10.4377,0.348,1.5581,27.3487,7.8279,0.228,67.0578,5.2285,107.5488,19.3326,6.2902,98.4997,7.0897,0.25,,5.5943,231.6909,82.0779,91.9478,1864.3587,0.3963,471.7692,43.5254,0.3802,333.7206,0.1552,55.7227,169.187,10.6657,46.0907,9.9401,30.6206,336.3064,21.391
2006年,4.514,80.153,0.123,3349.1306,192.5035,0.0,48.4736,24.0894,54.3682,65.3606,34.4932,0.0,83.9062,102.033,1467.5624,5.33,4.7567,0.222,0.55,51.916,11.1182,10.5632,97.2428,3027.4445,411.8252,40.4628,75.7679,85.4806,79.8327,19.9609,73.3036,18814.8227,87.5246,0.0,0.5926,361.6546,11.5554,66.2276,27.1876,14.2393,5.9432,10.6999,57.4833,11.7139,1.5889,53.2736,0.783,0.4873,5545.4562,46.6733,46.7084,106.052,372.913,99.1085,24.5628,4.4987,1.151,131.2212,15.8405,23.9252,10.5567,51.0718,274.6557,1666.9154,140.7354,132.177,2.258,4.9053,211.0029,54.9021,58.6176,61.2651,3386.6796,3573.7587,93.6014,17.4199,14.7714,157.6209,239.3897,17.3227,4.35,1.2979,30.0919,7.6626,0.32,73.6236,24.3057,144.5449,26.6887,2.83,148.469,8.383,0.5266,0.03,22.1145,342.0719,129.2899,102.3323,2149.4838,2.2535,516.6557,80.3526,1.0027,331.4517,0.4227,59.3436,184.2579,9.9214,62.8391,10.9924,44.564,347.3427,40.2792
2007年,6.7825,120.601,1.0069,3979.2906,242.1252,,82.1439,19.2733,102.6152,127.3047,16.5901,,52.7979,79.9552,1513.9266,10.628,2.6468,0.154,1.02,62.0552,14.5238,15.6305,124.9841,3674.7405,563.0652,93.2438,74.1044,87.6365,85.0618,25.8271,140.971,22136.0823,63.9808,,1.7001,538.0348,11.3718,52.9949,24.7063,17.0817,7.6162,10.263,78.3686,11.8097,4.266,83.6903,1.7015,0.16,7262.598,71.2008,67.3913,148.1215,288.1078,94.3747,38.4481,7.2019,2.8205,185.1714,22.8552,33.7062,6.4691,70.9052,270.3498,1737.807,163.2929,172.1545,2.6144,1.055,215.6261,35.299,60.5875,33.6251,3463.4498,3670.9033,111.785,22.8174,19.1982,208.3826,302.1423,20.3588,0.7219,1.8528,39.26,10.4186,1.0035,141.9745,10.8721,137.4629,41.6326,3.5957,158.1004,2.5908,2.4265,,16.7463,301.0573,166.79,143.3605,2272.5427,0.41,593.5736,88.2454,1.628,644.2461,0.608,80.7302,227.7393,19.6348,63.9643,24.6895,53.877,397.2704,33.1612
2008年,27.4168,134.1693,0.2166,5139.0746,259.4367,,77.9706,15.948,97.9736,115.6345,10.8897,0.05,71.8514,150.7513,1731.8846,3.1007,1.868,0.66,2.5816,100.0007,18.484,17.51,126.8583,4195.3978,709.9987,51.109,66.7699,78.4939,73.6701,18.5278,151.6555,25466.0119,120.8922,,0.81,716.7203,25.1418,53.2937,33.2729,21.2977,9.0121,10.8801,80.435,9.018,4.5764,55.1504,0.5213,2.9842,7943.7886,48.5442,107.3965,178.6809,277.8189,88.5224,31.399,8.4672,3.9428,277.5038,42.3417,34.7002,11.5501,53.7761,352.5874,1985.8706,195.8982,203.2012,7.22,2.55,260.5961,52.303,58.0878,50.6822,3874.2314,4129.7356,136.0107,45.2366,17.9939,317.666,370.5965,26.7596,3.6237,1.2001,69.2436,14.2572,2.89,154.5455,28.254,126.1554,38.2946,4.5007,231.9852,11.5329,1.217,5.0,19.9522,309.6361,170.3709,160.6951,2112.7009,0.08,712.3721,184.1873,8.199,1607.2433,0.5674,71.2844,321.0637,16.7719,66.5995,17.6609,52.732,374.5748,21.4059
2009年,12.8442,263.2939,0.6231,8071.7663,477.9873,0.77,186.3165,28.8995,142.322,174.9053,52.9385,,61.5998,189.9832,3114.4685,3.8715,11.3991,2.13,1.301,164.5057,25.6607,34.2749,219.9612,6137.6756,988.4467,35.7289,125.8549,149.184,137.5997,28.7532,373.1864,37634.138,167.7128,,3.5851,1027.7057,17.7188,100.6333,34.8052,33.0932,24.0293,35.4284,108.6904,8.3037,27.7771,105.447,3.5348,2.222,11948.1296,95.8187,158.8553,290.7696,404.5667,173.3058,73.0082,11.4177,4.2502,313.9069,40.7365,53.4561,26.1092,71.5258,419.1082,3651.3644,363.7006,334.4793,11.39,2.6334,370.2636,126.122,173.1953,42.7962,4298.4702,4759.0715,378.5128,67.0709,30.0166,352.885,376.327,17.4585,6.77,4.8143,53.7364,19.8486,4.3657,377.5521,7.9464,141.7913,72.1308,3.1585,224.2691,23.1176,5.6327,,13.1709,333.4113,325.509,213.2259,3270.6142,2.69,874.5157,209.9287,10.6309,2909.9986,9.3299,131.9143,625.5772,24.4211,126.6217,32.5833,82.9507,353.0551,60.6375
2010年,30.3,333.5,,10206.6,620.4,0.3,186.5,49.3,258.7,299.3,91.1,0.0,79.2,270.2,3868.9,16.7,61.3,1.8,5.4,205.7,31.3,55.5,288.0,8112.8,1089.9,120.6,191.3,192.4,180.8,39.9,342.7,45104.6986,247.5,,3.4,1230.2,19.6,141.7,60.6,55.1,15.4,76.7,169.2,12.4,21.1,172.6,2.3,2.1,13510.5,151.5,211.0,454.8,441.0,229.8,60.0,15.0,5.7,402.6,53.9,84.9,31.7,128.8,541.2,4477.4,429.9,247.9,21.8,3.8,437.7,141.5,178.6,45.5,4499.6,4889.1,496.9,65.3,43.3,379.3,389.0,40.9,2.5,9.1,92.0,17.4,8.9,351.6,4.7,202.5,105.4,2.9,365.1,35.0,9.0,8.0,24.6,666.6,474.7,214.1,4373.4,0.9,1018.2,306.2,24.9,3469.7,11.5,243.8,713.8,47.1,198.1,40.5,97.6,459.3,88.8
2011年,27.4474,482.083,0.1854,8967.5796,847.2602,,297.6291,64.1613,269.8205,300.846,39.8132,3.817,106.4663,259.6347,2969.0819,46.871,127.0026,1.667,49.9925,340.2607,53.866,117.7426,418.1883,9965.1665,1226.1978,122.3611,203.6507,219.4446,193.0186,53.5473,409.0092,46034.8321,228.8368,,6.4441,1140.1986,23.093,204.8226,119.2881,62.6454,66.5317,193.5343,196.5116,9.7991,35.8073,279.6483,6.1235,4.1767,14138.0581,222.4771,217.2813,466.9763,302.9775,252.0277,71.8622,18.21,11.2651,450.519,110.5987,106.9935,31.4351,163.9317,508.2723,3514.1927,356.3445,213.9746,25.7074,14.2638,533.1766,208.6306,188.7663,69.4465,4418.2951,4840.9003,747.0926,111.5096,55.9525,439.1765,454.8154,70.9079,13.33,13.096,151.6878,46.8884,8.5979,417.6071,37.894,294.2928,112.162,7.5195,149.1467,40.1527,8.3478,1.0538,28.672,731.1687,607.9914,238.4689,3974.7449,2.3849,1256.2557,420.4959,61.5679,2817.1564,6.7046,249.695,836.9004,70.385,194.8288,31.0255,118.8537,496.6277,85.613
