,专业技术服务业固定资产投资(不含农户)中央项目,专用设备制造业固定资产投资(不含农户)中央项目,中国共产党机关固定资产投资(不含农户)中央项目,交通运输、仓储和邮政业固定资产投资(不含农户)中央项目,交通运输设备制造业固定资产投资(不含农户)中央项目,人民政协和民主党派固定资产投资(不含农户)中央项目,仓储业固定资产投资(不含农户)中央项目,仪器仪表及文化、办公用机械制造业固定资产投资(不含农户)中央项目,住宿业固定资产投资(不含农户)中央项目,住宿和餐饮业固定资产投资(不含农户)中央项目,体育固定资产投资(不含农户)中央项目,保险业固定资产投资(不含农户)中央项目,信息传输、计算机服务和软件业固定资产投资(不含农户)中央项目,公共管理和社会组织固定资产投资(不含农户)中央项目,公共设施管理业固定资产投资(不含农户)中央项目,其他建筑业固定资产投资(不含农户)中央项目,其他服务业固定资产投资(不含农户)中央项目,其他采矿业固定资产投资(不含农户)中央项目,其他金融活动固定资产投资(不含农户)中央项目,农、林、牧、渔业固定资产投资(不含农户)中央项目,农、林、牧、渔服务业固定资产投资(不含农户)中央项目,农业固定资产投资(不含农户)中央项目,农副食品加工业固定资产投资(不含农户)中央项目,制造业固定资产投资(不含农户)中央项目,化学原料及化学制品制造业固定资产投资(不含农户)中央项目,化学纤维制造业固定资产投资(不含农户)中央项目,医药制造业固定资产投资(不含农户)中央项目,卫生、社会保障和社会福利业固定资产投资(不含农户)中央项目,卫生固定资产投资(不含农户)中央项目,印刷业和记录媒介的复制固定资产投资(不含农户)中央项目,商务服务业固定资产投资(不含农户)中央项目,固定资产投资(不含农户)中央项目,国家机构固定资产投资(不含农户)中央项目,国际组织固定资产投资(不含农户)中央项目,地质勘查业固定资产投资(不含农户)中央项目,城市公共交通业固定资产投资(不含农户)中央项目,基层群众自治组织固定资产投资(不含农户)中央项目,塑料制品业固定资产投资(不含农户)中央项目,娱乐业固定资产投资(不含农户)中央项目,家具制造业固定资产投资(不含农户)中央项目,居民服务业固定资产投资(不含农户)中央项目,居民服务和其他服务业固定资产投资(不含农户)中央项目,工艺品及其他制造业固定资产投资(不含农户)中央项目,广播、电视、电影和音像业固定资产投资(不含农户)中央项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)中央项目,建筑业固定资产投资(不含农户)中央项目,建筑安装业固定资产投资(不含农户)中央项目,建筑装饰业固定资产投资(不含农户)中央项目,房地产业固定资产投资(不含农户)中央项目,房屋和土木工程建筑业固定资产投资(不含农户)中央项目,批发业固定资产投资(不含农户)中央项目,批发和零售业固定资产投资(不含农户)中央项目,教育固定资产投资(不含农户)中央项目,文化、体育和娱乐业固定资产投资(不含农户)中央项目,文化艺术业固定资产投资(不含农户)中央项目,文教体育用品制造业固定资产投资(不含农户)中央项目,新闻出版业固定资产投资(不含农户)中央项目,有色金属冶炼及压延加工业固定资产投资(不含农户)中央项目,有色金属矿采选业固定资产投资(不含农户)中央项目,木材加工及木、竹、藤、棕、草制品业固定资产投资(不含农户)中央项目,林业固定资产投资(不含农户)中央项目,橡胶制品业固定资产投资(不含农户)中央项目,水上运输业固定资产投资(不含农户)中央项目,水利、环境和公共设施管理业固定资产投资(不含农户)中央项目,水利管理业固定资产投资(不含农户)中央项目,水的生产和供应业固定资产投资(不含农户)中央项目,渔业固定资产投资(不含农户)中央项目,烟草制品业固定资产投资(不含农户)中央项目,煤炭开采和洗选业固定资产投资(不含农户)中央项目,燃气生产和供应业固定资产投资(不含农户)中央项目,环境管理业固定资产投资(不含农户)中央项目,电信和其他信息传输服务业固定资产投资(不含农户)中央项目,电力、热力的生产和供应业固定资产投资(不含农户)中央项目,电力燃气水的生产供应业固定资产投资(不含农户)中央项目,电气机械及器材制造业固定资产投资(不含农户)中央项目,畜牧业固定资产投资(不含农户)中央项目,皮革、毛皮、羽毛(绒)及其制品业固定资产投资(不含农户)中央项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)中央项目,石油和天然气开采业固定资产投资(不含农户)中央项目,研究与试验发展固定资产投资(不含农户)中央项目,社会保障业固定资产投资(不含农户)中央项目,社会福利业固定资产投资(不含农户)中央项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)中央项目,科技交流和推广服务业固定资产投资(不含农户)中央项目,租赁业固定资产投资(不含农户)中央项目,租赁和商务服务业固定资产投资(不含农户)中央项目,管道运输业固定资产投资(不含农户)中央项目,纺织业固定资产投资(不含农户)中央项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)中央项目,群众团体、社会团体和宗教固定资产投资(不含农户)中央项目,航空运输业固定资产投资(不含农户)中央项目,装卸搬运和其他运输服务业固定资产投资(不含农户)中央项目,计算机服务业固定资产投资(不含农户)中央项目,证券业固定资产投资(不含农户)中央项目,软件业固定资产投资(不含农户)中央项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)中央项目,通用设备制造业固定资产投资(不含农户)中央项目,造纸及纸制品业固定资产投资(不含农户)中央项目,道路运输业固定资产投资(不含农户)中央项目,邮政业固定资产投资(不含农户)中央项目,采矿业固定资产投资(不含农户)中央项目,金属制品业固定资产投资(不含农户)中央项目,金融业固定资产投资(不含农户)中央项目,铁路运输业固定资产投资(不含农户)中央项目,银行业固定资产投资(不含农户)中央项目,零售业固定资产投资(不含农户)中央项目,非金属矿物制品业固定资产投资(不含农户)中央项目,非金属矿采选业固定资产投资(不含农户)中央项目,食品制造业固定资产投资(不含农户)中央项目,餐饮业固定资产投资(不含农户)中央项目,饮料制造业固定资产投资(不含农户)中央项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)中央项目,黑色金属矿采选业固定资产投资(不含农户)中央项目
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6586.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,18.6402,43.7722,8.1625,1190.1937,177.5848,0.1991,17.55,6.4625,16.727,16.9056,4.3742,3.3293,858.5463,80.6189,13.798,0.3092,0.1977,,0.1224,43.8663,11.0182,18.6567,1.4226,1060.9563,292.5811,12.9181,4.7624,19.6643,18.6429,8.2689,7.6566,6113.57,70.5947,,15.69,0.7146,0.4161,2.5406,2.3362,0.0038,0.4365,0.6342,0.4191,10.7963,0.1121,36.1167,3.8983,,149.0627,31.9092,14.6195,21.0957,186.0181,27.4005,6.7075,,3.1863,57.585,2.0762,0.4441,10.5645,0.3112,89.9967,107.2018,91.3933,1.7015,0.5303,53.1764,40.3139,9.9564,2.0105,851.7338,1402.0796,1413.7375,6.1826,3.0966,0.0495,120.5602,849.4627,51.7147,,1.0214,90.2141,4.1692,,7.6566,134.9335,4.2916,0.2052,1.2465,133.926,0.0816,1.0803,0.3599,5.7322,17.0144,17.2126,1.0881,144.0112,19.5619,896.4511,2.7538,53.5143,649.4182,49.7027,6.4762,10.398,0.1131,9.0023,0.1786,14.7074,195.1257,4.4852
2004年,13.36,47.26,7.18,1371.5,254.63,,37.29,5.38,5.52,5.7,8.33,3.39,776.16,303.39,13.93,0.031,1.2,,0.05,42.99,15.47,17.53,5.58,1431.95,461.02,24.92,3.0,25.24,24.86,10.57,3.52,7524.5577,295.16,,14.34,0.19,0.19,3.03,2.64,,0.39,1.59,0.93,3.38,,37.57,3.4,,9.11,34.14,23.53,30.56,213.3,25.93,9.84,,1.74,92.24,1.56,0.09,5.4,0.36,106.58,109.96,92.41,1.93,0.52,64.38,66.99,32.0,3.63,770.41,1699.09,1733.02,6.4,4.07,0.37,182.73,980.14,73.32,0.07,0.31,102.64,1.62,,3.52,88.16,1.91,0.06,0.85,166.61,0.1,1.66,0.08,4.08,14.35,20.43,1.55,200.69,19.16,1061.5,5.5,54.02,752.73,50.5,7.03,11.38,0.77,4.4,0.18,1.43,208.06,12.04
2005年,24.0818,70.0173,7.5594,1778.6021,258.658,0.9578,38.1938,3.2922,10.9494,11.1971,15.3773,4.4867,753.9041,321.6535,26.7818,0.2528,0.3766,,0.2745,47.3851,15.4616,21.2216,6.0707,1609.4844,311.838,18.9691,4.8822,38.5737,35.8386,7.198,10.6582,9110.9788,309.2256,,34.1515,6.4772,0.11,4.3039,2.311,,0.2247,0.6013,2.4752,11.5793,,45.3478,5.3276,,207.8605,39.7674,35.882,45.4234,224.4143,41.1664,10.1006,,1.7982,80.0278,5.3469,0.0109,7.5011,0.2567,99.9805,113.9431,83.3489,3.6455,0.2325,66.072,80.8219,39.1624,3.8124,750.1573,2194.2646,2237.0725,6.3746,2.9683,0.1541,357.555,1310.984,77.4272,2.405,0.3301,136.9266,1.2661,,10.6582,62.6021,6.9952,0.7099,3.8007,152.7494,2.4704,2.96,3.29,0.7868,20.2222,43.3946,0.9126,284.3711,9.9668,1443.8228,13.2566,42.9419,1121.7908,34.8907,9.5414,10.4372,9.8917,4.1964,0.2477,1.6518,309.5522,36.7783
2006年,33.4531,73.0871,6.4741,2339.2587,307.1759,0.9817,57.8909,6.8868,23.3826,24.9946,22.8743,1.2444,854.2943,291.2437,42.3758,0.1713,4.7261,,0.6642,47.3263,29.2327,9.9689,3.4807,1680.2208,189.7163,37.9401,4.0848,44.0137,43.0052,7.4777,18.2109,10856.4703,282.9018,,25.7873,2.5106,0.1296,7.5009,4.5834,0.007,0.7562,5.4823,5.8393,18.3313,0.8,61.8519,2.9328,,279.531,58.7478,20.9966,28.229,246.9025,60.9553,12.4733,,2.693,80.0697,6.8106,0.3693,6.4907,0.8887,142.7972,184.187,135.6611,12.5271,0.2441,66.2051,143.7339,50.6972,6.1501,841.1212,2661.841,2725.0653,12.7417,1.3899,1.995,468.0776,1579.185,89.6916,0.0658,0.9427,152.7476,3.8156,,18.2109,20.497,5.271,0.5178,0.7565,173.7898,2.188,6.1407,0.0629,7.0324,14.1668,43.8042,0.1136,163.9925,10.1406,1768.2872,12.9138,43.6682,1765.4521,41.6967,7.2324,15.1119,8.5285,2.3246,1.612,6.7023,304.9511,30.0292
2007年,21.3907,116.7258,6.7044,3094.1766,431.6081,0.435,63.9337,14.841,36.0458,36.5122,29.1279,3.8602,866.9454,279.7997,57.0578,0.5546,11.5782,,0.4668,51.2043,27.6338,12.0468,9.2863,2332.6801,245.099,22.9617,6.0103,40.4149,39.0534,9.1915,45.5455,13165.3038,270.1705,,27.5087,7.3415,0.3931,4.2527,2.912,,0.4083,11.9865,4.7138,31.1076,0.3264,93.1864,4.0956,0.0603,424.3851,88.4759,24.5666,31.2882,225.5136,87.4299,21.7669,0.44,2.5155,107.9877,8.7941,1.5138,9.2382,3.4733,175.6562,179.6458,116.8686,8.584,0.471,55.1356,196.8421,43.0126,5.7194,862.2001,3051.0638,3102.6604,17.7402,1.8145,0.771,625.306,1818.9458,85.6639,1.0441,0.3174,134.6063,0.043,0.5477,46.0932,16.5901,6.0003,0.1367,2.0967,251.7707,22.1323,1.5228,0.1131,3.2225,48.55,59.4767,1.221,310.9634,6.2719,2075.0095,22.2309,51.7657,2239.5168,47.3256,6.7216,20.0481,14.6028,4.694,0.4664,4.2859,488.6523,35.8247
2008年,27.0254,114.4243,5.12,4543.9871,562.2198,0.0565,63.0862,24.1275,29.1529,31.5858,14.6518,1.329,986.3901,207.632,80.9211,1.2749,2.3166,,0.1583,28.7939,14.9039,3.4653,7.012,3154.9548,265.6084,21.4379,6.3996,61.6495,60.2125,9.1062,65.8454,17172.5344,201.8086,,22.0016,20.7344,0.3269,3.9738,5.4934,0.044,1.2272,3.5438,6.7163,37.5312,0.5662,133.6158,2.0934,,709.6685,130.2475,36.8302,49.1376,178.4622,76.7375,18.1362,0.13,0.9249,185.4083,45.7677,1.5114,9.0913,4.3687,164.4704,195.5315,102.9905,7.0674,0.2665,67.0137,250.4692,42.6928,11.6199,983.3817,3909.9248,3959.685,29.7794,1.0669,0.3591,644.0196,2236.6528,94.7651,0.21,1.227,146.1466,2.3545,0.2,66.0454,47.0738,4.4478,0.5863,0.32,233.2839,3.6429,1.3192,0.2,1.6892,37.1765,115.1331,1.7538,311.3385,5.5386,2568.8014,34.8008,70.1659,3694.8184,68.4786,12.3074,40.5003,15.7051,2.0283,2.4329,4.7313,959.5704,20.2066
2009年,33.6264,121.425,4.4344,6803.0437,689.5482,0.0817,75.3131,14.2914,37.0429,40.2072,3.2494,5.9865,1311.2824,105.4092,175.5556,2.3382,1.577,0.0598,0.316,36.9643,14.5287,10.1366,15.2063,3104.672,354.7208,14.279,8.3098,67.909,62.5057,9.6855,32.8912,20697.3896,98.2857,,60.7998,29.8726,0.5537,2.4181,18.6697,,3.2851,4.8621,12.9485,15.059,1.7278,132.5791,2.0322,0.2658,796.1425,127.9429,54.9102,61.6736,178.0967,62.9259,25.2164,,0.7314,125.3229,23.3434,1.0958,7.4886,7.4353,306.5119,419.9368,225.4933,19.0047,0.3866,106.6641,289.5578,54.2432,18.8879,1308.5099,4516.8358,4590.0837,41.6472,4.4238,1.3156,562.2706,2280.8921,139.2289,1.3466,4.0567,238.9901,5.335,1.2337,34.1249,20.5187,4.0529,2.1434,2.0537,106.8074,2.6597,0.9397,0.7798,1.8328,62.3986,147.3572,2.1995,189.2078,12.9743,2627.2246,41.902,81.2618,6059.1782,74.1795,6.7634,112.4833,9.5727,9.9293,3.1643,5.3843,626.5096,23.7988
2010年,42.2,125.6,3.0,7901.7,817.6,0.1,128.7,37.5,37.3,38.2,5.2,7.8,1101.0,241.4,129.7,2.7,9.0,1.3,0.5,40.8,16.8,7.8,18.7,3394.7,362.6,30.6,18.5,78.9,76.1,14.3,32.7,22790.6457,233.9,,22.1,47.6,3.0,6.0,10.3,,3.7,12.6,22.1,25.0,6.4,147.9,3.8,0.0,1164.8,141.4,27.0,52.3,189.2,62.2,20.4,4.7,1.4,152.1,31.9,0.7,10.9,8.5,366.4,619.9,476.0,20.4,0.1,92.0,307.0,145.5,14.2,1075.5,4478.0,4643.9,98.3,5.2,0.1,562.2,2387.2,131.0,0.4,2.4,206.3,11.1,2.2,35.0,22.4,6.8,0.5,1.4,347.6,3.5,22.9,0.7,2.6,255.2,134.8,2.7,353.4,8.9,2766.8,53.9,93.1,6623.2,84.1,25.3,109.0,13.1,5.9,0.8,4.4,443.2,26.2
2011年,37.3601,151.3787,8.0782,6280.9173,745.3165,,103.8363,44.3364,48.3755,49.16,6.6152,10.8688,850.642,315.0345,201.7004,3.3329,9.9553,,1.5308,66.2292,25.6939,17.4964,29.1438,3369.5226,341.6022,23.27,34.8921,95.9277,87.6214,19.0409,43.7412,21797.2482,302.0601,,37.8552,42.1099,0.9647,4.9805,17.5865,,2.5898,12.5451,22.0582,14.8194,12.7379,147.2976,4.1544,,1696.8028,139.8103,62.9797,86.4933,192.4605,61.0534,16.9289,8.5161,5.1034,61.9151,58.7675,1.271,15.8472,5.0624,268.3513,784.6799,539.4416,22.6206,0.19,84.4063,385.3214,140.4185,43.5379,830.0844,4311.7214,4474.7605,137.1645,7.0017,0.44,670.014,2429.6859,159.1001,1.3929,6.9134,243.5723,9.2569,2.0154,45.7566,33.9857,9.3299,3.5966,3.9315,292.2428,8.9804,15.8606,1.5581,4.697,283.3597,128.9998,2.0404,479.6407,6.5645,2924.6561,39.689,99.7368,5045.2057,85.7791,23.5136,88.397,9.2517,3.6605,0.7845,3.3178,409.5853,41.6296
2012年,103.3522,181.8253,2.3201,6802.5315,,0.25,120.029,20.7068,51.8587,53.2745,6.0705,40.7995,886.3256,372.8062,411.1133,,,,2.3935,70.3003,36.0758,21.864,35.1748,3108.0472,494.0426,11.4395,43.52,105.9216,97.9989,19.4243,55.7028,23763.7749,354.5167,,65.7894,29.2657,0.8415,12.1876,30.3745,,27.5804,27.6594,,10.467,14.9355,193.0097,10.7946,0.1328,2335.2555,,48.9615,113.8734,234.9907,76.5153,22.7247,5.7083,6.8786,105.3963,48.9541,0.949,7.4037,6.4008,226.5917,1196.2535,771.971,24.1895,0.01,73.5104,400.7358,194.4222,13.1692,796.8649,4371.8196,4590.4313,94.0546,4.9468,0.51,568.7354,2447.0089,213.1451,2.3741,7.9227,352.2287,35.7314,,55.7028,48.1573,4.5688,,12.5038,519.7012,6.2791,,18.2313,,74.0748,108.2176,1.2488,571.1965,7.3957,3018.2458,22.9224,170.4019,5303.181,,64.9119,80.5719,7.8326,11.0933,1.4158,,295.1236,36.3498
