,房地产开发住宅投资额,房地产开发其他投资额,房地产开发别墅、高档公寓投资额,房地产开发办公楼投资额,房地产开发商业营业用房投资额,房地产开发投资额
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0
2000年,3311.9839,794.2252,270.0142,297.8511,579.9927,4984.0529
2001年,4216.676,1064.1859,369.9241,307.947,755.3018,6344.11
2002年,5227.756,1248.5538,516.9632,381.0018,933.6107,7790.92
2003年,6776.6861,1566.4303,632.9872,508.3372,1302.3473,10153.8
2004年,8836.9532,1945.3829,1073.6486,652.1963,1723.7192,13158.25
2005年,10860.9322,2245.7185,1049.4059,763.0681,2039.5282,15909.2471
2006年,13638.4071,2502.5729,1444.9996,928.0564,2353.881,19422.9174
2007年,18005.4184,3462.7286,1807.123,1035.0409,2785.6494,25288.8373
2008年,22440.8742,4240.6706,2032.3107,1167.1709,3354.4785,31203.1942
2009年,25613.6938,5070.246,2073.3449,1377.2061,4180.6621,36241.808
2010年,34026.2276,6777.3926,2829.8096,1807.3828,5648.4,48259.403
2011年,44319.5018,7494.5455,3424.1615,2558.7934,7424.0451,61796.8858
2012年,49374.2137,9750.9591,3448.3745,3366.6129,9312.0012,71803.7869
2013年,58950.7627,10465.3421,3637.9004,4652.447,11944.8308,86013.3826
2014年,64352.1513,10696.0224,3844.718,5641.189,14346.2517,95035.6144
