,专业技术服务业集体控股固定资产投资(不含农户),专用设备制造业集体控股固定资产投资(不含农户),中国共产党机关集体控股固定资产投资(不含农户),交通运输、仓储和邮政业集体控股固定资产投资(不含农户),交通运输设备制造业集体控股固定资产投资(不含农户),人民政协和民主党派集体控股固定资产投资(不含农户),仓储业集体控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业集体控股固定资产投资(不含农户),住宿业集体控股固定资产投资(不含农户),住宿和餐饮业集体控股固定资产投资(不含农户),体育集体控股固定资产投资(不含农户),保险业集体控股固定资产投资(不含农户),信息传输、计算机服务和软件业集体控股固定资产投资(不含农户),公共管理和社会组织集体控股固定资产投资(不含农户),公共设施管理业集体控股固定资产投资(不含农户),其他建筑业集体控股固定资产投资(不含农户),其他服务业集体控股固定资产投资(不含农户),其他采矿业集体控股固定资产投资(不含农户),其他金融活动集体控股固定资产投资(不含农户),农、林、牧、渔业集体控股固定资产投资(不含农户),农、林、牧、渔服务业集体控股固定资产投资(不含农户),农业集体控股固定资产投资(不含农户),农副食品加工业集体控股固定资产投资(不含农户),制造业集体控股固定资产投资(不含农户),化学原料及化学制品制造业集体控股固定资产投资(不含农户),化学纤维制造业集体控股固定资产投资(不含农户),医药制造业集体控股固定资产投资(不含农户),卫生、社会保障和社会福利业集体控股固定资产投资(不含农户),卫生集体控股固定资产投资(不含农户),印刷业和记录媒介的复制集体控股固定资产投资(不含农户),商务服务业集体控股固定资产投资(不含农户),国家机构集体控股固定资产投资(不含农户),国际组织集体控股固定资产投资(不含农户),地质勘查业集体控股固定资产投资(不含农户),城市公共交通业集体控股固定资产投资(不含农户),基层群众自治组织集体控股固定资产投资(不含农户),塑料制品业集体控股固定资产投资(不含农户),娱乐业集体控股固定资产投资(不含农户),家具制造业集体控股固定资产投资(不含农户),居民服务业集体控股固定资产投资(不含农户),居民服务和其他服务业集体控股固定资产投资(不含农户),工艺品及其他制造业集体控股固定资产投资(不含农户),广播、电视、电影和音像业集体控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业集体控股固定资产投资(不含农户),建筑业集体控股固定资产投资(不含农户),建筑安装业集体控股固定资产投资(不含农户),建筑装饰业集体控股固定资产投资(不含农户),房地产业集体控股固定资产投资(不含农户),房屋和土木工程建筑业集体控股固定资产投资(不含农户),批发业集体控股固定资产投资(不含农户),批发和零售业集体控股固定资产投资(不含农户),教育集体控股固定资产投资(不含农户),文化、体育和娱乐业集体控股固定资产投资(不含农户),文化艺术业集体控股固定资产投资(不含农户),文教体育用品制造业集体控股固定资产投资(不含农户),新闻出版业集体控股固定资产投资(不含农户),有色金属冶炼及压延加工业集体控股固定资产投资(不含农户),有色金属矿采选业集体控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业集体控股固定资产投资(不含农户),林业集体控股固定资产投资(不含农户),橡胶制品业集体控股固定资产投资(不含农户),水上运输业集体控股固定资产投资(不含农户),水利、环境和公共设施管理业集体控股固定资产投资(不含农户),水利管理业集体控股固定资产投资(不含农户),水的生产和供应业集体控股固定资产投资(不含农户),渔业集体控股固定资产投资(不含农户),烟草制品业集体控股固定资产投资(不含农户),煤炭开采和洗选业集体控股固定资产投资(不含农户),燃气生产和供应业集体控股固定资产投资(不含农户),环境管理业集体控股固定资产投资(不含农户),电信和其他信息传输服务业集体控股固定资产投资(不含农户),电力、热力的生产和供应业集体控股固定资产投资(不含农户),电力燃气水的生产供应业集体控股固定资产投资(不含农户),电气机械及器材制造业集体控股固定资产投资(不含农户),畜牧业集体控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业集体控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业集体控股固定资产投资(不含农户),石油和天然气开采业集体控股固定资产投资(不含农户),研究与试验发展集体控股固定资产投资(不含农户),社会保障业集体控股固定资产投资(不含农户),社会福利业集体控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业集体控股固定资产投资(不含农户),科技交流和推广服务业集体控股固定资产投资(不含农户),租赁业集体控股固定资产投资(不含农户),租赁和商务服务业集体控股固定资产投资(不含农户),管道运输业集体控股固定资产投资(不含农户),纺织业集体控股固定资产投资(不含农户),纺织服装、鞋、帽制造业集体控股固定资产投资(不含农户),群众团体、社会团体和宗教集体控股固定资产投资(不含农户),航空运输业集体控股固定资产投资(不含农户),装卸搬运和其他运输服务业集体控股固定资产投资(不含农户),计算机服务业集体控股固定资产投资(不含农户),证券业集体控股固定资产投资(不含农户),软件业集体控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业集体控股固定资产投资(不含农户),通用设备制造业集体控股固定资产投资(不含农户),造纸及纸制品业集体控股固定资产投资(不含农户),道路运输业集体控股固定资产投资(不含农户),邮政业集体控股固定资产投资(不含农户),采矿业集体控股固定资产投资(不含农户),金属制品业集体控股固定资产投资(不含农户),金融业集体控股固定资产投资(不含农户),铁路运输业集体控股固定资产投资(不含农户),银行业集体控股固定资产投资(不含农户),集体控股固定资产投资(不含农户),零售业集体控股固定资产投资(不含农户),非金属矿物制品业集体控股固定资产投资(不含农户),非金属矿采选业集体控股固定资产投资(不含农户),食品制造业集体控股固定资产投资(不含农户),餐饮业集体控股固定资产投资(不含农户),饮料制造业集体控股固定资产投资(不含农户),黑色金属冶炼及压延加工业集体控股固定资产投资(不含农户),黑色金属矿采选业集体控股固定资产投资(不含农户)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,15.4663,148.2109,0.14,396.4338,190.4349,0.088,66.0074,13.9883,84.6947,125.4175,4.9679,2.4889,191.0914,589.8298,548.8616,12.8524,18.9162,1.9915,1.367,203.6487,56.9041,51.3866,126.6597,2492.5761,347.3866,8.5582,63.0666,66.6312,50.3533,23.846,143.2731,92.6368,0.0,5.737,14.3265,480.5199,27.0962,47.3254,14.9464,31.0753,49.9915,72.6448,6.5224,9.0821,136.2822,4.2312,0.8802,2674.026,118.3184,162.1539,426.7915,120.1895,100.2195,37.6706,4.0093,3.7332,165.1228,70.3168,27.1842,25.5807,33.838,42.2097,672.6431,72.8427,76.7198,29.4686,1.6425,247.521,27.1978,50.9388,179.966,435.3324,539.25,95.8939,40.3087,12.3749,98.556,11.4223,17.4216,0.6514,15.6265,48.9711,10.3462,4.0466,147.3197,2.421,91.5213,37.4941,16.4451,3.3679,8.8964,0.679,3.1688,10.4464,61.7181,184.8957,62.5814,236.0368,0.2816,397.881,128.6897,41.1196,22.8865,34.0949,9420.3132,264.6376,226.6715,22.0906,63.5559,40.7228,47.7935,103.1126,44.5388
2009年,23.2383,163.9943,0.0,591.2559,261.6494,0.4511,113.4853,15.3605,99.3968,157.8685,15.9972,1.5366,46.9843,660.4491,913.5529,22.9488,23.1829,2.3811,1.1614,278.7017,76.187,90.0584,139.7954,2870.8468,418.8491,11.8925,97.9086,108.7361,83.9567,26.0925,203.722,119.4099,0.0,14.3668,10.3678,522.1844,31.6678,86.0933,15.1201,56.4438,79.6267,89.9654,8.0626,11.6637,182.3689,6.044,4.8626,3339.8507,148.5135,192.5627,537.9213,157.6647,184.7619,73.4795,4.631,1.1293,142.7538,116.5449,41.6278,35.4416,52.4804,77.6307,1107.6608,112.8576,103.3166,21.5162,1.5748,274.5532,37.9949,81.2503,24.5259,464.1074,605.4189,147.9912,55.4985,13.0581,83.3479,4.2087,12.1954,8.0368,16.7426,65.874,16.0735,3.6923,207.4143,7.2265,67.7481,36.794,18.4037,18.5958,16.3859,0.992,0.6306,21.4664,81.341,187.7084,53.1753,281.8263,0.2265,487.0373,133.0401,48.8117,65.5111,45.4831,11719.2536,345.3586,298.5831,44.5302,75.9472,58.4717,40.6761,124.4092,44.8192
2010年,22.8,194.2,0.1,766.4,275.1,0.0,148.1,15.7,145.5,201.6,10.8,3.2,54.1,671.0,1018.9,44.7,42.0,2.0,2.8,345.6,99.0,120.1,151.7,3321.8,350.0,10.9,102.7,118.2,84.5,21.6,263.1,223.3,0.0,11.4,59.4,415.9,36.6,85.4,13.0,69.6,111.6,70.5,10.2,25.9,172.8,3.6,1.3,4070.9,123.1,170.6,562.1,158.1,196.7,88.2,3.5,2.2,222.4,97.3,36.9,35.6,75.6,101.4,1224.8,114.3,114.6,27.7,2.5,289.9,28.4,91.6,24.4,506.6,649.5,237.3,63.3,13.2,113.5,16.3,11.8,13.7,20.0,64.0,17.9,8.8,271.9,14.3,61.1,46.3,31.6,16.8,24.3,8.5,0.8,21.2,152.0,214.3,50.5,325.7,0.8,494.9,189.8,56.0,75.4,49.2,13512.0,391.6,341.5,49.1,73.6,56.2,54.8,165.0,40.2
2011年,56.7802,280.6159,0.275,840.1336,354.2155,0.3221,163.5865,32.9835,152.679,212.8357,30.7901,3.7328,59.2971,916.2579,1500.795,58.7729,57.8561,2.5823,3.4522,807.661,211.1596,320.6077,188.3802,3745.4934,331.8847,15.9984,87.0015,201.0741,127.0524,21.4734,377.482,326.6396,0.0,21.6991,29.082,550.8467,47.4865,86.2916,16.5947,167.8018,225.6579,109.3485,9.9402,11.5975,277.0674,9.6904,4.7597,5834.3307,203.8444,276.6819,719.1195,269.8008,284.4606,151.0692,9.7088,6.3695,158.0463,124.2223,35.3635,105.8767,102.928,68.3909,1891.9279,238.5911,165.8158,57.2898,3.1667,392.2303,41.7266,152.5418,27.5356,459.2061,666.7485,336.1305,112.7272,21.1132,106.1128,15.3637,40.6287,38.3264,35.6953,162.7402,43.6322,5.033,382.515,5.8936,76.2445,72.5722,38.1745,59.8843,25.3349,14.4171,0.707,17.3444,184.7585,261.8779,42.3231,455.9643,5.5844,632.7658,194.4603,85.0886,26.4127,77.1966,18214.9757,442.4376,319.5343,52.1147,63.8157,60.1567,56.3338,203.423,46.2525
