,专业技术服务业固定资产投资(不含农户)在建总规模,专用设备制造业固定资产投资(不含农户)在建总规模,中国共产党机关固定资产投资(不含农户)在建总规模,交通运输、仓储和邮政业固定资产投资(不含农户)在建总规模,交通运输设备制造业固定资产投资(不含农户)在建总规模,人民政协和民主党派固定资产投资(不含农户)在建总规模,仓储业固定资产投资(不含农户)在建总规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)在建总规模,住宿业固定资产投资(不含农户)在建总规模,住宿和餐饮业固定资产投资(不含农户)在建总规模,体育固定资产投资(不含农户)在建总规模,保险业固定资产投资(不含农户)在建总规模,信息传输、计算机服务和软件业固定资产投资(不含农户)在建总规模,公共管理和社会组织固定资产投资(不含农户)在建总规模,公共设施管理业固定资产投资(不含农户)在建总规模,其他建筑业固定资产投资(不含农户)在建总规模,其他服务业固定资产投资(不含农户)在建总规模,其他采矿业固定资产投资(不含农户)在建总规模,其他金融活动固定资产投资(不含农户)在建总规模,农、林、牧、渔业固定资产投资(不含农户)在建总规模,农、林、牧、渔服务业固定资产投资(不含农户)在建总规模,农业固定资产投资(不含农户)在建总规模,农副食品加工业固定资产投资(不含农户)在建总规模,制造业固定资产投资(不含农户)在建总规模,化学原料及化学制品制造业固定资产投资(不含农户)在建总规模,化学纤维制造业固定资产投资(不含农户)在建总规模,医药制造业固定资产投资(不含农户)在建总规模,卫生、社会保障和社会福利业固定资产投资(不含农户)在建总规模,卫生固定资产投资(不含农户)在建总规模,印刷业和记录媒介的复制固定资产投资(不含农户)在建总规模,商务服务业固定资产投资(不含农户)在建总规模,固定资产投资(不含农户)在建总规模,国家机构固定资产投资(不含农户)在建总规模,国际组织固定资产投资(不含农户)在建总规模,地质勘查业固定资产投资(不含农户)在建总规模,城市公共交通业固定资产投资(不含农户)在建总规模,基层群众自治组织固定资产投资(不含农户)在建总规模,塑料制品业固定资产投资(不含农户)在建总规模,娱乐业固定资产投资(不含农户)在建总规模,家具制造业固定资产投资(不含农户)在建总规模,居民服务业固定资产投资(不含农户)在建总规模,居民服务和其他服务业固定资产投资(不含农户)在建总规模,工艺品及其他制造业固定资产投资(不含农户)在建总规模,广播、电视、电影和音像业固定资产投资(不含农户)在建总规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)在建总规模,建筑业固定资产投资(不含农户)在建总规模,建筑安装工程业固定资产投资(不含农户)在建总规模,建筑装饰业固定资产投资(不含农户)在建总规模,房地产业固定资产投资(不含农户)在建总规模,房屋和土木工程建筑业固定资产投资(不含农户)在建总规模,批发业固定资产投资(不含农户)在建总规模,批发和零售业固定资产投资(不含农户)在建总规模,教育固定资产投资(不含农户)在建总规模,文化、体育和娱乐业固定资产投资(不含农户)在建总规模,文化艺术业固定资产投资(不含农户)在建总规模,文教体育用品制造业固定资产投资(不含农户)在建总规模,新闻出版业固定资产投资(不含农户)在建总规模,有色金属冶炼及压延加工业固定资产投资(不含农户)在建总规模,有色金属矿采选业固定资产投资(不含农户)在建总规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)在建总规模,林业固定资产投资(不含农户)在建总规模,橡胶制品业固定资产投资(不含农户)在建总规模,水上运输业固定资产投资(不含农户)在建总规模,水利、环境和公共设施管理业固定资产投资(不含农户)在建总规模,水利管理业固定资产投资(不含农户)在建总规模,水的生产和供应业固定资产投资(不含农户)在建总规模,渔业固定资产投资(不含农户)在建总规模,烟草制品业固定资产投资(不含农户)在建总规模,煤炭开采和洗选业固定资产投资(不含农户)在建总规模,燃气生产和供应业固定资产投资(不含农户)在建总规模,环境管理业固定资产投资(不含农户)在建总规模,电信和其他信息传输服务业固定资产投资(不含农户)在建总规模,电力、热力的生产和供应业固定资产投资(不含农户)在建总规模,电力燃气水的生产供应业固定资产投资(不含农户)在建总规模,电气机械及器材制造业固定资产投资(不含农户)在建总规模,畜牧业固定资产投资(不含农户)在建总规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)在建总规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)在建总规模,石油和天然气开采业固定资产投资(不含农户)在建总规模,研究与试验发展固定资产投资(不含农户)在建总规模,社会保障业固定资产投资(不含农户)在建总规模,社会福利业固定资产投资(不含农户)在建总规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)在建总规模,科技交流和推广服务业固定资产投资(不含农户)在建总规模,租赁业固定资产投资(不含农户)在建总规模,租赁和商务服务业固定资产投资(不含农户)在建总规模,管道运输业固定资产投资(不含农户)在建总规模,纺织业固定资产投资(不含农户)在建总规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)在建总规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)在建总规模,航空运输业固定资产投资(不含农户)在建总规模,装卸搬运和其他运输服务业固定资产投资(不含农户)在建总规模,计算机服务业固定资产投资(不含农户)在建总规模,证券业固定资产投资(不含农户)在建总规模,软件业固定资产投资(不含农户)在建总规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)在建总规模,通用设备制造业固定资产投资(不含农户)在建总规模,造纸及纸制品业固定资产投资(不含农户)在建总规模,道路运输业固定资产投资(不含农户)在建总规模,邮政业固定资产投资(不含农户)在建总规模,采矿业固定资产投资(不含农户)在建总规模,金属制品业固定资产投资(不含农户)在建总规模,金融业固定资产投资(不含农户)在建总规模,铁路运输业固定资产投资(不含农户)在建总规模,银行业固定资产投资(不含农户)在建总规模,零售业固定资产投资(不含农户)在建总规模,非金属矿物制品业固定资产投资(不含农户)在建总规模,非金属矿采选业固定资产投资(不含农户)在建总规模,食品制造业固定资产投资(不含农户)在建总规模,餐饮业固定资产投资(不含农户)在建总规模,饮料制造业固定资产投资(不含农户)在建总规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)在建总规模,黑色金属矿采选业固定资产投资(不含农户)在建总规模
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47651.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56584.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61379.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68223.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70997.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73255.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88031.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100672.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121978.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,194.81,931.07,50.77,24408.54,2886.59,3.67,554.26,281.95,761.34,948.91,441.62,9.21,2403.78,3694.97,10775.45,71.3,40.41,3.21,11.21,1176.56,291.27,299.71,1018.39,32733.55,3710.39,333.0,1200.0,762.62,720.54,246.33,973.24,167566.02,3308.39,1.53,34.8,3075.03,261.52,602.72,500.36,197.89,220.03,260.43,488.86,279.44,32.45,858.61,21.38,10.26,48081.0,755.67,790.56,1913.91,3763.49,1709.15,451.42,107.93,36.3,1863.2,231.7,296.96,341.93,388.41,1780.5,14830.48,3193.49,1741.17,55.81,210.59,1847.34,821.49,861.53,2214.53,22160.68,24723.34,1032.24,187.84,235.49,1885.89,985.12,425.16,9.48,32.6,768.51,113.74,3.17,976.41,554.11,1503.44,485.87,70.63,594.87,117.06,39.99,1.02,149.26,2288.06,1030.17,982.58,13927.53,36.16,3446.64,705.08,103.55,3769.03,82.12,1123.35,2039.59,102.46,675.54,187.58,451.42,4621.45,276.81
2005年,275.3846,1104.3329,40.9613,30531.7437,3986.1255,13.1005,748.404,251.8217,1121.2183,1318.3287,521.8089,4.1032,1956.656,4158.3793,13254.6692,82.0134,48.4217,5.0403,15.622,1211.3561,267.7006,288.0133,1249.6425,39148.078,4577.3758,485.4329,1154.8077,1023.3204,982.8156,291.4228,1251.8853,205611.816,3639.4081,0.0,144.0215,3789.4244,341.0108,742.7071,538.2896,308.8217,255.9088,304.3305,550.1356,278.9268,26.4461,908.5305,23.2933,7.599,59799.1682,795.6248,1003.7594,2155.2004,4355.4851,1965.4583,580.64,163.6672,45.793,1835.9912,322.073,347.486,400.9166,443.4705,2758.1164,19775.8646,5538.7238,1578.4499,59.9473,233.9975,2665.003,979.6944,982.4716,1770.9408,26970.4723,29528.6166,1257.7843,194.7783,318.9776,2653.6305,1396.2549,480.376,8.7792,31.7256,1096.5804,196.7983,4.0083,1255.8936,98.6456,1639.0931,586.2462,123.8986,872.4157,92.0979,38.1979,31.4311,147.5173,2618.0345,1367.6508,1106.5132,16644.9045,32.7507,4978.1762,920.1593,140.6494,5494.9845,89.4931,1151.441,2029.1426,210.9261,803.4009,197.1104,588.4738,5505.2865,378.8789
2006年,198.564,1700.6472,39.8794,34771.7989,4663.57,11.9077,855.3814,359.1864,1339.2554,1586.6861,510.9895,14.1636,1966.1192,4021.5988,16185.3788,125.2828,52.9408,14.458,8.2051,1425.239,321.9775,322.9234,1688.2504,48160.3249,5437.786,764.289,1289.2393,1249.2825,1178.2931,344.353,1418.5187,241300.0223,3555.8978,0.135,114.8491,5039.7894,318.6231,1066.9676,630.9171,350.6606,179.123,232.0638,772.5369,348.4577,92.5452,1089.682,29.4932,12.0858,75103.6351,922.8202,1380.2301,2728.82,4549.5309,2291.2999,742.8933,174.6192,58.0423,2270.2828,417.6208,448.1281,461.2186,544.8436,2956.7735,22098.6972,4716.2493,1937.0505,54.0863,291.9338,3903.9975,1326.9124,1197.0691,1716.2506,28049.3613,31313.3242,1659.9874,265.0332,438.375,3131.1431,922.1476,497.5586,20.0296,50.9598,1001.5107,190.539,13.5628,1432.0815,208.5691,1817.2184,739.0122,95.2908,972.5431,118.2711,62.5451,84.152,187.3235,3300.0641,2163.1617,1242.3832,18763.4008,26.9658,6075.1547,1324.1469,203.0379,5830.1047,96.5172,1348.5899,2450.9734,266.287,1083.7141,247.4307,768.6912,5781.6151,550.6438
2007年,275.4808,2462.4035,42.7232,42991.1598,6372.2738,11.5193,1367.2507,447.4996,2087.9527,2378.284,716.5477,5.8292,2008.0936,3878.334,19539.8476,134.9714,67.2782,22.7489,25.5401,1580.6729,347.5151,421.8145,1970.848,63169.1551,7791.7686,776.0806,1431.4428,1446.3776,1350.7187,400.4872,2186.0101,296935.3536,3308.534,0.0,76.1872,6497.3069,418.8533,1161.4187,798.3696,451.8452,226.6253,293.9035,1048.9306,431.4962,172.5088,1337.989,22.7655,11.1141,97572.0481,1169.138,1511.5844,3294.5125,4742.8927,3021.0834,950.7322,223.1292,123.9377,3123.4117,632.0536,607.6597,441.7467,659.8851,3506.7382,25859.7121,4898.7396,2104.5411,57.6271,337.0072,3847.5511,1088.4897,1421.1249,1709.4248,29631.9405,32824.9713,2529.9939,311.9695,532.9538,4270.3545,1586.5868,522.3904,24.5633,71.0956,1069.2833,195.2249,16.4758,2202.4859,162.1548,2083.6771,1030.3447,96.7042,1319.5196,144.3227,57.5333,34.17,241.1355,4397.3642,3002.7236,1776.9233,19015.5415,18.9387,7097.5783,2049.4064,166.8165,10959.3867,101.2772,1782.9281,3455.7144,288.2062,1121.5834,290.3313,942.3929,6537.1226,720.4317
2008年,702.7745,3020.0577,39.0198,55050.9173,8447.5418,10.9505,1829.7119,606.559,2416.8739,2796.6118,746.1737,6.5324,2608.7136,3884.4186,23294.3678,99.1976,106.2393,16.8709,21.1603,2070.6454,543.579,429.7921,2240.9799,77304.8645,9878.662,542.616,1668.0969,1863.5697,1692.0599,436.596,2802.8696,372392.6106,3133.2723,0.0,91.3599,7039.0304,593.6747,1258.9906,1013.4394,458.7309,202.6589,308.8982,1414.5788,469.9034,209.8259,1239.3525,27.0943,17.8262,130898.7794,1095.2344,1988.351,3856.2313,5009.5062,3455.7799,1081.0487,228.9238,145.2147,4313.5008,935.7821,590.9992,590.4156,778.9067,3204.7033,30143.3442,5429.4695,2561.6755,59.0687,382.1774,5306.6586,1439.0889,1419.5069,2138.2772,33258.4631,37259.2275,3460.2182,447.79,544.8343,5340.7375,2042.2088,681.8542,49.7069,121.8029,1707.7015,231.7129,15.9956,2818.8652,263.4616,2026.5451,1086.3083,107.5013,1419.2669,195.2245,76.105,241.0969,394.3314,5107.1126,3960.4827,1902.2113,21987.2633,25.2771,9658.6254,2651.1968,456.5584,19086.9783,187.7688,1867.8803,4977.6976,426.7107,1301.4148,379.7379,998.4174,7469.9445,930.3943
2009年,701.1793,4313.8147,39.0718,77155.689,10546.671,4.4223,2730.0516,747.6478,3154.8251,3686.3682,1048.5452,76.6617,2676.864,4503.6691,32806.2724,107.6426,257.6285,33.3085,41.0805,3044.874,736.7039,770.4435,2922.8917,95335.2119,11937.168,484.8138,2084.454,2819.2011,2510.5092,522.4764,4070.0342,479245.9909,3676.0461,0.0,141.4972,10064.5324,652.6775,1489.831,1539.7362,544.3864,411.7114,669.3399,1621.2266,528.7161,482.9332,1878.2585,40.0567,27.0052,161782.3826,1703.554,2639.8015,5102.5316,5907.5112,4858.724,1598.6267,219.792,143.0998,5309.2061,1327.6131,734.2377,645.6437,1160.6268,4527.8784,43046.6493,7890.3184,3436.4714,85.0034,574.134,8286.5819,1956.4504,2350.0585,2125.2783,39969.6223,45362.5441,5408.7075,807.0795,664.2725,5568.9734,3174.1611,800.0098,144.9694,163.7225,2000.6384,357.9521,14.5744,4084.6086,125.4234,2300.3934,1140.8851,131.4514,2015.6308,317.0807,56.3733,241.4891,495.2124,5858.3256,5146.5443,2326.4697,30106.5682,30.013,14670.8971,3316.6681,660.0283,27238.5105,300.797,2462.7301,7084.6965,503.3763,1612.3801,531.5431,1368.7371,7841.8474,1345.8562
