,专业技术服务业扩建固定资产投资(不含农户),专用设备制造业扩建固定资产投资(不含农户),中国共产党机关扩建固定资产投资(不含农户),交通运输、仓储和邮政业扩建固定资产投资(不含农户),交通运输设备制造业扩建固定资产投资(不含农户),人民政协和民主党派扩建固定资产投资(不含农户),仓储业扩建固定资产投资(不含农户),仪器仪表文化办公用机械制造业扩建固定资产投资(不含农户),住宿业扩建固定资产投资(不含农户),住宿和餐饮业扩建固定资产投资(不含农户),体育扩建固定资产投资(不含农户),保险业扩建固定资产投资(不含农户),信息传输、计算机服务和软件业扩建固定资产投资(不含农户),公共管理和社会组织扩建固定资产投资(不含农户),公共设施管理业扩建固定资产投资(不含农户),其他建筑业扩建固定资产投资(不含农户),其他服务业扩建固定资产投资(不含农户),其他采矿业扩建固定资产投资(不含农户),其他金融活动扩建固定资产投资(不含农户),农、林、牧、渔业扩建固定资产投资(不含农户),农、林、牧、渔服务业扩建固定资产投资(不含农户),农业扩建固定资产投资(不含农户),农副食品加工业扩建固定资产投资(不含农户),制造业扩建固定资产投资(不含农户),化学原料及化学制品制造业扩建固定资产投资(不含农户),化学纤维制造业扩建固定资产投资(不含农户),医药制造业扩建固定资产投资(不含农户),卫生、社会保障和社会福利业扩建固定资产投资(不含农户),卫生扩建固定资产投资(不含农户),印刷业和记录媒介的复制扩建固定资产投资(不含农户),商务服务业扩建固定资产投资(不含农户),国家机构扩建固定资产投资(不含农户),国际组织扩建固定资产投资(不含农户),地质勘查业扩建固定资产投资(不含农户),城市公共交通业扩建固定资产投资(不含农户),基层群众自治组织扩建固定资产投资(不含农户),塑料制品业扩建固定资产投资(不含农户),娱乐业扩建固定资产投资(不含农户),家具制造业扩建固定资产投资(不含农户),居民服务业扩建固定资产投资(不含农户),居民服务和其他服务业扩建固定资产投资(不含农户),工艺品及其他制造业扩建固定资产投资(不含农户),广播、电视、电影和音像业扩建固定资产投资(不含农户),废弃资源和废旧材料回收加工业扩建固定资产投资(不含农户),建筑业扩建固定资产投资(不含农户),建筑安装工程业扩建固定资产投资(不含农户),建筑装饰业扩建固定资产投资(不含农户),房地产业扩建固定资产投资(不含农户),房屋和土木工程建筑业扩建固定资产投资(不含农户),扩建固定资产投资(不含农户),批发业扩建固定资产投资(不含农户),批发和零售业扩建固定资产投资(不含农户),教育扩建固定资产投资(不含农户),文化、体育和娱乐业扩建固定资产投资(不含农户),文化艺术业扩建固定资产投资(不含农户),文教体育用品制造业扩建固定资产投资(不含农户),新闻出版业扩建固定资产投资(不含农户),有色金属冶炼及压延加工业扩建固定资产投资(不含农户),有色金属矿采选业扩建固定资产投资(不含农户),木材加工及木竹藤棕草制品业扩建固定资产投资(不含农户),林业扩建固定资产投资(不含农户),橡胶制品业扩建固定资产投资(不含农户),水上运输业扩建固定资产投资(不含农户),水利、环境和公共设施管理业扩建固定资产投资(不含农户),水利管理业扩建固定资产投资(不含农户),水的生产和供应业扩建固定资产投资(不含农户),渔业扩建固定资产投资(不含农户),烟草制品业扩建固定资产投资(不含农户),煤炭开采和洗选业扩建固定资产投资(不含农户),燃气生产和供应业扩建固定资产投资(不含农户),环境管理业扩建固定资产投资(不含农户),电信和其他信息传输服务业扩建固定资产投资(不含农户),电力、热力的生产和供应业扩建固定资产投资(不含农户),电力燃气水的生产供应业扩建固定资产投资(不含农户),电气机械及器材制造业扩建固定资产投资(不含农户),畜牧业扩建固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业扩建固定资产投资(不含农户),石油加工、炼焦及核燃料加工业扩建固定资产投资(不含农户),石油和天然气开采业扩建固定资产投资(不含农户),研究与试验发展扩建固定资产投资(不含农户),社会保障业扩建固定资产投资(不含农户),社会福利业扩建固定资产投资(不含农户),科学研究、技术服务和地质勘查业扩建固定资产投资(不含农户),科技交流和推广服务业扩建固定资产投资(不含农户),租赁业扩建固定资产投资(不含农户),租赁和商务服务业扩建固定资产投资(不含农户),管道运输业扩建固定资产投资(不含农户),纺织业扩建固定资产投资(不含农户),纺织服装、鞋、帽制造业扩建固定资产投资(不含农户),群众团体、社会团体和宗教组织扩建固定资产投资(不含农户),航空运输业扩建固定资产投资(不含农户),装卸搬运和其他运输服务业扩建固定资产投资(不含农户),计算机服务业扩建固定资产投资(不含农户),证券业扩建固定资产投资(不含农户),软件业扩建固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业扩建固定资产投资(不含农户),通用设备制造业扩建固定资产投资(不含农户),造纸及纸制品业扩建固定资产投资(不含农户),道路运输业扩建固定资产投资(不含农户),邮政业扩建固定资产投资(不含农户),采矿业扩建固定资产投资(不含农户),金属制品业扩建固定资产投资(不含农户),金融业扩建固定资产投资(不含农户),铁路运输业扩建固定资产投资(不含农户),银行业扩建固定资产投资(不含农户),零售业扩建固定资产投资(不含农户),非金属矿物制品业扩建固定资产投资(不含农户),非金属矿采选业扩建固定资产投资(不含农户),食品制造业扩建固定资产投资(不含农户),餐饮业扩建固定资产投资(不含农户),饮料制造业扩建固定资产投资(不含农户),黑色金属冶炼及压延加工业扩建固定资产投资(不含农户),黑色金属矿采选业扩建固定资产投资(不含农户)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4488.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5173.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5528.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6083.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5992.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6390.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7410.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7936.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,18.5342,95.1763,11.1241,905.2839,292.6587,1.4552,25.5548,26.8723,53.6827,79.6804,10.9481,1.6046,984.8585,411.8078,677.7951,2.461,1.4919,0.186,0.2146,140.6796,27.5805,24.4663,150.6802,3808.7999,381.5209,63.5419,162.8363,140.6988,136.9487,36.7613,65.2399,355.6125,0.0,3.8529,28.3293,32.3583,72.5608,12.1778,17.4498,6.506,7.9979,47.5282,19.4883,1.5104,105.5864,4.0993,3.426,39.7147,95.6001,10249.87,75.812,180.4242,558.4421,64.9175,16.4787,14.7173,5.8246,184.993,33.6267,25.6492,57.4774,82.275,145.4972,872.2845,131.7785,97.6741,5.8766,37.9042,112.1164,28.1581,62.7109,973.3039,878.5095,1004.3417,104.3867,25.2788,23.1017,132.8387,602.9421,49.656,0.3682,3.3819,82.3039,10.2608,0.1933,65.4332,118.7997,231.1431,65.2967,11.2577,63.706,5.3358,1.4584,0.105,10.0962,170.8249,127.0129,142.2667,395.6975,11.1573,779.9632,74.6522,16.6475,111.2063,14.7233,104.6122,285.6063,14.1152,109.7074,25.9977,89.7295,557.5973,16.9768
2004年,14.82,112.24,9.45,1130.72,419.49,0.71,29.73,35.14,48.27,72.01,14.88,0.36,1015.59,584.48,776.1,2.16,4.25,0.11,0.09,171.37,36.49,27.07,167.64,4519.3,422.79,61.94,175.68,143.14,137.98,44.0,58.81,519.22,0.0,2.77,18.99,46.42,77.36,18.93,20.62,17.4,21.65,31.65,17.85,5.68,75.15,3.85,0.99,56.32,68.15,12274.19,78.11,183.51,671.07,79.08,19.96,16.48,7.46,214.09,53.83,45.21,52.91,104.02,204.11,954.1,126.43,115.56,9.19,42.43,160.35,27.93,51.57,1007.14,1302.7,1446.19,138.35,45.71,29.09,211.66,724.89,42.17,0.27,4.88,69.68,9.92,0.76,59.57,68.68,253.73,69.73,8.69,77.83,21.48,3.54,0.15,4.92,179.58,157.47,158.33,531.03,8.59,1002.91,93.44,18.33,170.28,17.73,105.39,303.66,19.91,113.32,23.75,91.41,723.07,43.81
2005年,13.48,150.2,9.76,1488.54,358.22,0.6,34.05,31.33,80.61,120.35,21.95,1.51,775.57,362.7,1094.07,5.98,3.09,1.17,0.66,193.44,46.37,39.46,194.31,4761.94,460.17,60.58,153.47,173.06,166.36,40.16,63.86,322.93,0.0,25.14,21.17,20.12,76.59,20.45,33.51,25.23,28.33,41.76,20.41,2.89,129.29,5.94,1.88,83.07,115.49,13154.5017,94.29,239.32,558.87,87.97,21.5,17.27,3.67,199.65,37.37,59.51,54.27,59.3,278.33,1341.39,189.43,119.71,6.23,19.76,225.72,49.45,57.89,763.65,1653.88,1823.04,129.47,47.11,38.06,229.71,451.23,39.85,1.55,5.14,90.14,11.68,1.28,65.14,44.22,291.93,72.07,9.3,76.67,12.47,3.14,0.28,8.78,193.67,222.09,175.79,810.14,4.72,816.34,140.7,16.02,206.76,13.58,145.03,318.63,28.34,136.99,39.74,89.56,764.59,72.51
2006年,18.1906,228.3608,3.5986,1921.385,525.7214,1.0622,67.2481,38.9835,106.4928,161.6471,43.1388,0.4836,870.274,433.6561,1369.944,10.8358,7.3846,0.7907,0.5981,305.2354,70.0444,58.15,312.4885,6288.9823,565.275,86.4937,158.3326,212.982,199.058,58.2355,99.8648,364.7665,0.0,29.8332,23.9481,52.8986,151.1582,39.5209,61.0723,28.827,36.2116,90.5432,20.1557,4.1079,126.1901,5.4339,2.695,190.9283,107.2254,16761.2866,172.4525,356.4346,674.9913,138.6784,31.1698,23.0691,4.6932,244.9109,68.9168,78.2059,91.8372,128.4595,253.7038,1625.2709,168.0653,149.5677,11.3115,19.376,290.0091,72.4704,87.2616,859.2185,1897.8303,2119.8684,201.1076,73.8923,59.4584,275.8351,550.2808,52.1368,7.0442,6.8798,113.5873,13.4267,4.2533,104.1181,18.3946,366.4433,113.8121,11.3302,143.4532,10.4922,3.5538,0.03,7.5017,253.9085,370.254,202.7566,1076.7442,3.2052,1069.156,256.2882,11.6897,324.1956,10.578,183.9821,459.5335,50.0116,200.2199,55.1543,151.6034,602.9677,109.147
2007年,15.9709,362.5302,5.1016,1856.8966,638.0564,5.1437,111.672,47.4673,173.9934,242.8052,47.0878,0.6411,836.3105,432.4408,1739.4533,6.1376,13.4632,0.712,1.4093,350.4726,92.4037,66.8387,435.9831,8159.2134,834.5828,105.2387,188.145,196.6658,181.9791,72.822,144.5444,348.9288,0.0,37.648,22.7547,55.7381,205.8023,46.7883,101.9625,23.3195,36.7827,145.5965,20.7675,16.1385,173.1019,7.6558,5.2846,316.5311,154.0239,19705.4045,233.9322,449.1407,641.7879,157.8791,38.2524,46.7056,4.9831,299.9226,124.1511,136.2778,87.365,134.9309,212.7576,2068.8171,216.8548,218.7332,16.77,8.4627,360.2582,75.2468,112.509,818.4896,1831.0108,2124.9908,305.9645,87.0952,84.4993,330.2505,697.383,37.0718,0.8104,13.8763,103.7227,13.032,6.6832,151.2276,22.9404,428.7965,168.8794,17.5286,146.8481,8.357,4.74,0.6035,13.0809,292.9575,564.499,202.3678,955.6678,2.7292,1390.9862,333.0908,15.6318,373.1698,12.9779,215.2085,715.217,83.1577,251.3028,68.8118,187.775,512.9884,125.3242
2008年,26.3357,536.4449,2.4195,2079.3955,785.6307,2.1166,147.0895,76.7915,215.7446,301.5257,37.7335,1.3898,954.2782,587.5594,2231.1316,9.3222,13.3572,0.5184,2.0976,507.4751,132.0061,90.081,516.3659,10415.9316,1085.3122,137.2662,239.9027,279.8006,258.1336,88.7546,189.3812,472.0045,0.0,37.2786,42.7453,87.1101,269.6787,81.041,123.5572,41.6731,55.0303,138.3439,60.7985,21.4856,164.4996,6.1712,8.2918,473.1923,140.7144,24371.0439,337.0003,632.671,660.8836,249.6037,63.7452,45.7335,6.2855,390.3088,160.7564,201.7727,109.1602,158.2806,191.41,2649.0849,266.121,255.4751,33.6903,19.3424,451.5403,96.5616,151.8323,935.3184,1910.7047,2262.7414,537.1157,142.5375,92.5054,285.867,837.5347,58.2987,2.1233,19.5437,147.684,25.771,4.4231,193.8043,27.1048,430.2384,203.4929,23.9087,116.1445,17.0927,4.646,0.7779,14.3138,381.0303,753.0577,295.8901,1119.4083,3.8734,1734.1307,456.5094,21.752,414.527,17.4867,295.6707,951.618,105.7506,284.0536,85.7811,207.5115,702.0695,178.0303
2009年,39.2773,658.8055,4.1992,2928.6043,1003.6235,0.7199,231.0015,98.6414,213.6061,360.331,41.5742,2.2588,925.8942,659.0735,2885.2948,21.3492,40.1821,3.809,5.5149,691.1076,172.7363,119.3777,717.9139,12794.2144,1239.2964,97.7038,310.3464,403.6363,366.4153,118.8351,216.0259,505.755,0.0,52.3013,88.3156,124.7792,352.7397,114.0977,150.0225,58.1281,98.3102,161.4086,31.4122,35.5638,185.398,10.7852,7.4703,685.6637,145.7933,30303.7533,458.2143,869.368,785.2552,297.697,103.7445,59.1512,6.8684,439.1764,218.0012,283.8566,162.4165,162.1357,204.1846,3493.8604,402.5316,396.0924,28.0715,27.2629,537.6228,100.259,206.034,902.1739,2232.2454,2728.5968,706.1038,208.5056,105.1164,351.6466,780.9023,72.1058,7.7455,29.4755,198.5378,34.8534,7.2796,223.3055,16.7676,476.8092,242.214,23.6202,169.8741,34.1315,9.6622,2.056,14.0581,450.0834,1071.0578,341.7967,1561.5389,3.6929,1930.64,651.9936,44.2594,619.0976,34.4297,411.1537,1195.7299,151.1414,385.0601,146.7249,243.3427,656.7768,239.1633
2010年,33.0,707.0,3.9,3148.4,1397.1,0.6,338.1,110.3,247.0,394.2,44.9,2.7,697.3,812.5,3209.4,48.8,57.5,6.0,6.4,780.9,169.8,174.1,830.1,15010.6,1253.9,163.4,395.5,433.1,401.1,123.3,261.1,634.0,0.0,43.1,73.7,134.0,427.9,110.3,176.2,76.5,134.1,211.6,41.6,75.3,264.0,10.4,7.3,858.0,197.5,33694.9347,418.1,856.5,817.7,375.5,174.9,62.1,3.8,509.2,180.1,318.0,168.5,190.8,316.9,3847.2,435.7,333.6,37.4,35.0,693.1,127.4,202.1,674.6,2138.5,2599.5,919.4,231.0,125.3,305.2,744.5,69.0,4.5,27.5,176.3,31.2,12.0,273.0,27.2,591.5,273.1,40.1,172.2,65.7,11.7,3.5,11.0,537.8,1229.7,338.1,1683.9,3.3,2164.6,739.2,51.7,467.4,39.1,438.4,1396.6,233.6,484.4,147.3,306.9,776.7,307.3
