,专业技术服务业固定资产投资(不含农户)施工项目,专用设备制造业固定资产投资(不含农户)施工项目,中国共产党机关固定资产投资(不含农户)施工项目,交通运输、仓储和邮政业固定资产投资(不含农户)施工项目,交通运输设备制造业固定资产投资(不含农户)施工项目,人民政协和民主党派固定资产投资(不含农户)施工项目,仓储业固定资产投资(不含农户)施工项目,仪器仪表文化办公用机械制造业固定资产投资(不含农户)施工项目,住宿业固定资产投资(不含农户)施工项目,住宿和餐饮业固定资产投资(不含农户)施工项目,体育固定资产投资(不含农户)施工项目,保险业固定资产投资(不含农户)施工项目,信息传输、计算机服务和软件业固定资产投资(不含农户)施工项目,公共管理和社会组织固定资产投资(不含农户)施工项目,公共设施管理业固定资产投资(不含农户)施工项目,其他建筑业固定资产投资(不含农户)施工项目,其他服务业固定资产投资(不含农户)施工项目,其他采矿业固定资产投资(不含农户)施工项目,其他金融活动固定资产投资(不含农户)施工项目,农、林、牧、渔业固定资产投资(不含农户)施工项目,农、林、牧、渔服务业固定资产投资(不含农户)施工项目,农业固定资产投资(不含农户)施工项目,农副食品加工业固定资产投资(不含农户)施工项目,制造业固定资产投资(不含农户)施工项目,化学原料及化学制品制造业固定资产投资(不含农户)施工项目,化学纤维制造业固定资产投资(不含农户)施工项目,医药制造业固定资产投资(不含农户)施工项目,卫生、社会保障和社会福利业固定资产投资(不含农户)施工项目,卫生固定资产投资(不含农户)施工项目,印刷业和记录媒介的复制固定资产投资(不含农户)施工项目,商务服务业固定资产投资(不含农户)施工项目,固定资产投资(不含农户)施工项目,国家机构固定资产投资(不含农户)施工项目,国际组织固定资产投资(不含农户)施工项目,地质勘查业固定资产投资(不含农户)施工项目,城市公共交通业固定资产投资(不含农户)施工项目,基层群众自治组织固定资产投资(不含农户)施工项目,塑料制品业固定资产投资(不含农户)施工项目,娱乐业固定资产投资(不含农户)施工项目,家具制造业固定资产投资(不含农户)施工项目,居民服务业固定资产投资(不含农户)施工项目,居民服务和其他服务业固定资产投资(不含农户)施工项目,工艺品及其他制造业固定资产投资(不含农户)施工项目,广播、电视、电影和音像业固定资产投资(不含农户)施工项目,废弃资源和废旧材料回收加工业固定资产投资(不含农户)施工项目,建筑业固定资产投资(不含农户)施工项目,建筑安装业固定资产投资(不含农户)施工项目,建筑装饰业固定资产投资(不含农户)施工项目,房地产业固定资产投资(不含农户)施工项目,房屋和土木工程建筑业固定资产投资(不含农户)施工项目,批发业固定资产投资(不含农户)施工项目,批发和零售业固定资产投资(不含农户)施工项目,教育固定资产投资(不含农户)施工项目,文化、体育和娱乐业固定资产投资(不含农户)施工项目,文化艺术业固定资产投资(不含农户)施工项目,文教体育用品制造业固定资产投资(不含农户)施工项目,新闻出版业固定资产投资(不含农户)施工项目,有色金属冶炼及压延加工业固定资产投资(不含农户)施工项目,有色金属矿采选业固定资产投资(不含农户)施工项目,木材加工及木竹藤棕草制品业固定资产投资(不含农户)施工项目,林业固定资产投资(不含农户)施工项目,橡胶制品业固定资产投资(不含农户)施工项目,水上运输业固定资产投资(不含农户)施工项目,水利、环境和公共设施管理业固定资产投资(不含农户)施工项目,水利管理业固定资产投资(不含农户)施工项目,水的生产和供应业固定资产投资(不含农户)施工项目,渔业固定资产投资(不含农户)施工项目,烟草制品业固定资产投资(不含农户)施工项目,煤炭开采和洗选业固定资产投资(不含农户)施工项目,燃气生产和供应业固定资产投资(不含农户)施工项目,环境管理业固定资产投资(不含农户)施工项目,电信和其他信息传输服务业固定资产投资(不含农户)施工项目,电力、热力的生产和供应业固定资产投资(不含农户)施工项目,电力、燃气及水的生产和供应业固定资产投资(不含农户)施工项目,电气机械及器材制造业固定资产投资(不含农户)施工项目,畜牧业固定资产投资(不含农户)施工项目,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)施工项目,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)施工项目,石油和天然气开采业固定资产投资(不含农户)施工项目,研究与试验发展固定资产投资(不含农户)施工项目,社会保障业固定资产投资(不含农户)施工项目,社会福利业固定资产投资(不含农户)施工项目,科学研究、技术服务和地质勘查业固定资产投资(不含农户)施工项目,科技交流和推广服务业固定资产投资(不含农户)施工项目,租赁业固定资产投资(不含农户)施工项目,租赁和商务服务业固定资产投资(不含农户)施工项目,管道运输业固定资产投资(不含农户)施工项目,纺织业固定资产投资(不含农户)施工项目,纺织服装、鞋、帽制造业固定资产投资(不含农户)施工项目,群众团体、社会团体和宗教组织固定资产投资(不含农户)施工项目,航空运输业固定资产投资(不含农户)施工项目,装卸搬运和其他运输服务业固定资产投资(不含农户)施工项目,计算机服务业固定资产投资(不含农户)施工项目,证券业固定资产投资(不含农户)施工项目,软件业固定资产投资(不含农户)施工项目,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)施工项目,通用设备制造业固定资产投资(不含农户)施工项目,造纸及纸制品业固定资产投资(不含农户)施工项目,道路运输业固定资产投资(不含农户)施工项目,邮政业固定资产投资(不含农户)施工项目,采矿业固定资产投资(不含农户)施工项目,金属制品业固定资产投资(不含农户)施工项目,金融业固定资产投资(不含农户)施工项目,铁路运输业固定资产投资(不含农户)施工项目,银行业固定资产投资(不含农户)施工项目,零售业固定资产投资(不含农户)施工项目,非金属矿物制品业固定资产投资(不含农户)施工项目,非金属矿采选业固定资产投资(不含农户)施工项目,食品制造业固定资产投资(不含农户)施工项目,餐饮业固定资产投资(不含农户)施工项目,饮料制造业固定资产投资(不含农户)施工项目,黑色金属冶炼及压延加工业固定资产投资(不含农户)施工项目,黑色金属矿采选业固定资产投资(不含农户)施工项目
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,615,2896,365,16154,3278,90,935,685,1756,3047,468,114,10245,19821,11828,153,197,21,39,7803,2192,2065,3681,66598,6446,317,3171,4458,3892,1043,1390,203215,17565,2,163,823,1400,2354,686,833,617,814,1359,778,63,4384,145,131,2420,3955,3605,7973,14416,3131,1085,597,114,1731,736,1520,1850,634,873,18564,5377,2645,286,456,2989,686,1359,10015,10239,13570,2616,1410,859,1538,270,859,96,470,1877,240,41,1431,33,4355,1996,401,182,240,84,11,146,2281,3373,1744,11143,564,5318,2894,1189,1361,1025,4368,5886,859,2296,1291,1593,4103,443
2004年,618,3229,304,17822,3924,61,933,682,1906,3534,461,70,10697,18724,13387,165,287,28,41,8318,2413,2195,4481,72293,6588,339,3222,5408,4877,1170,1297,215440,16656,5,153,509,1297,2376,804,966,640,927,1432,627,109,3938,149,129,3787,3495,3592,8498,13813,3099,1108,488,99,2085,882,1794,1879,673,1018,19821,4931,2928,274,417,2782,850,1503,10472,11064,14842,3120,1557,887,1412,266,767,72,459,1802,264,53,1350,38,4166,2300,406,229,217,89,6,136,2144,4139,1751,13387,324,5996,3383,934,1167,817,4906,6207,1027,2573,1628,1600,4636,1011
2005年,730,4311,464,21795,4932,68,1077,888,2431,4701,498,69,7740,20626,17060,239,376,52,56,12772,5731,2572,5850,90627,7438,394,3201,6118,5458,1531,1653,261535,17836,0,224,576,1793,3299,1043,1356,896,1272,1982,712,163,6393,195,131,5107,5828,4980,11021,16598,3625,1270,712,102,2154,1259,2480,2054,938,822,24477,5454,3239,320,310,4242,879,1963,7460,10907,15025,4302,2095,1345,1282,330,777,90,570,2060,329,110,1763,53,5310,2946,465,213,173,106,13,174,2774,6683,2220,17094,216,8958,4860,857,1571,719,6041,7888,1578,3244,2270,2067,3767,1497
2006年,687,5361,259,21288,5597,64,1378,917,2873,5529,610,64,6638,20871,18616,319,482,52,55,10681,3775,2555,7089,106930,8595,388,3291,5664,4902,1769,1978,283920,17706,1,262,651,2403,4217,1242,1708,1142,1624,2322,675,252,5049,212,172,12344,4346,4776,11423,15112,4137,1491,769,119,2397,1607,3546,2151,1098,781,26297,5633,3440,300,274,4120,1018,2048,6299,11207,15665,4998,1900,1595,1273,437,742,118,644,2048,357,124,2102,54,6132,3444,439,271,193,156,16,183,2963,8246,2562,16874,204,9776,5942,741,882,606,6647,10612,1893,3667,2656,2465,3441,1667
2007年,786,6669,208,24783,6751,60,1898,1084,3571,6707,670,70,12994,19196,21882,322,612,51,75,12317,4523,2559,8618,126112,9598,440,3183,5965,4965,1892,2089,326204,16157,0,301,537,2309,4856,1427,2095,1164,1776,2618,609,362,4769,205,192,17514,4050,5241,12139,13720,4348,1519,926,123,2984,2213,4341,2305,1275,875,30847,6450,3926,356,316,4642,1286,2515,12609,11438,16650,6110,2574,1930,1507,310,736,123,877,2195,372,114,2203,74,6698,4287,462,272,229,184,15,201,3173,10837,2827,20086,129,11157,7211,812,683,652,6898,12948,2251,4284,3136,2832,3460,1690
2008年,874,7412,185,28071,8024,42,2220,1209,3866,7406,696,72,9926,19989,26500,424,698,66,91,16041,5054,3052,9415,137959,10351,495,3286,6539,5268,1998,2585,359213,16659,0,265,712,2642,5209,1720,2414,1520,2218,2607,655,530,5737,208,250,19442,4855,5698,13265,13749,5105,1915,1016,119,3253,2127,4655,2637,1381,1115,37565,7966,4729,522,323,5042,1371,3099,9457,11847,17947,6964,4776,2121,1426,336,785,170,1101,2374,450,139,2724,77,6283,4146,461,241,342,243,21,226,3693,11822,2961,22326,136,12256,8165,900,902,716,7567,15581,2573,4639,3540,2908,3672,2112
2009年,1143,8600,182,33416,9210,35,3210,1413,4718,9482,878,76,13853,22515,34639,485,932,103,157,21845,7245,4419,11412,159150,11940,487,3922,12299,10213,2241,3505,451262,18143,0,354,768,3472,5723,2331,2936,2098,3030,2745,765,661,7155,332,1121,26238,5217,7584,17748,20797,7360,3274,1063,112,3774,2530,5146,3565,1523,1350,50187,10664,7010,625,422,5844,2203,4884,13162,14218,23431,8723,5991,2138,1811,377,985,441,1645,3236,754,160,3665,120,6734,4805,683,290,552,357,38,334,4007,13378,3522,26072,190,14474,9434,1381,864,1110,10164,18683,3324,5375,4764,3662,3660,2296
2010年,1381,9550,219,33447,10551,45,3589,1513,4831,9111,901,72,14096,22640,37884,686,982,148,184,21712,6998,4659,12430,170500,12538,544,4535,10094,7940,2358,3589,463608,17471,0,281,892,4235,5959,2203,3223,1768,2750,3024,713,796,7567,250,265,26848,6366,6716,17196,22096,7293,3360,1111,116,3714,2678,6104,3435,1574,1409,53638,10609,6605,795,327,6020,1952,5145,13275,12283,20840,9784,5825,2244,1571,522,822,488,1666,3173,689,180,3769,113,7090,5369,670,271,622,400,65,421,4455,14012,3380,25411,201,15549,9589,1289,939,968,10480,19787,3830,5598,4280,4012,3758,2351
