,全社会固定资产投资,城镇固定资产投资
1978年,0.0,0.0
1979年,0.0,0.0
1980年,910.9,0.0
1981年,961.0,711.1
1982年,1230.4,900.5
1983年,1430.1,1014.4
1984年,1832.9,1279.0
1985年,2543.2,1865.5
1986年,3120.6,2300.4
1987年,3791.7,2730.6
1988年,4753.8,3431.9
1989年,4410.4,3134.0
1990年,4517.0,3274.4
1991年,5594.5,4057.9
1992年,8080.1,6079.7
1993年,13072.3,10303.4
1994年,17042.1,13534.3
1995年,20019.3,15643.7
1996年,22913.5,17567.2
1997年,24941.1,19194.2
1998年,28406.2,22491.4
1999年,29854.7,23732.0
2000年,32917.73,26221.8
2001年,37213.49,30001.24
2002年,43499.91,35488.76
2003年,55566.61,45811.6959
2004年,70477.43,59028.19
2005年,88773.6129,75095.1003
2006年,109998.1624,93368.6812
2007年,137323.9381,117464.4688
2008年,172828.3998,148738.3048
2009年,224598.7679,193920.3894
2010年,251683.7688,243797.7939
2011年,311485.1254,302396.0592
2012年,374694.7355,364854.1459
2013年,446294.0902,435747.4256
2014年,512020.6528,501264.8747
