,成人专科招生数,成人高等学校办交通运输大类成人专科招生数,成人高等学校办公共事业大类成人专科招生数,成人高等学校办公安大类成人专科招生数,成人高等学校办农林牧渔大类成人专科招生数,成人高等学校办制造大类成人专科招生数,成人高等学校办医药卫生大类成人专科招生数,成人高等学校办土建大类成人专科招生数,成人高等学校办师范成人专科招生数,成人高等学校办成人专科招生数,成人高等学校办文化教育大类成人专科招生数,成人高等学校办旅游大类成人专科招生数,成人高等学校办材料与能源大类成人专科招生数,成人高等学校办水利大类成人专科招生数,成人高等学校办法律大类成人专科招生数,成人高等学校办环保、气象与安全大类成人专科招生数,成人高等学校办生化与药品大类成人专科招生数,成人高等学校办电子信息大类成人专科招生数,成人高等学校办艺术设计传媒大类成人专科招生数,成人高等学校办财经大类成人专科招生数,成人高等学校办资源开发与测绘大类成人专科招生数,成人高等学校办轻纺食品大类成人专科招生数,普通高等学校办交通运输大类成人专科招生数,普通高等学校办公共事业大类成人专科招生数,普通高等学校办公安大类成人专科招生数,普通高等学校办农林牧渔大类成人专科招生数,普通高等学校办制造大类成人专科招生数,普通高等学校办医药卫生大类成人专科招生数,普通高等学校办土建大类成人专科招生数,普通高等学校办师范成人专科招生数,普通高等学校办成人专科招生数,普通高等学校办文化教育大类成人专科招生数,普通高等学校办旅游大类成人专科招生数,普通高等学校办材料与能源大类成人专科招生数,普通高等学校办水利大类成人专科招生数,普通高等学校办法律大类成人专科招生数,普通高等学校办环保、气象与安全大类成人专科招生数,普通高等学校办生化与药品大类成人专科招生数,普通高等学校办电子信息大类成人专科招生数,普通高等学校办艺术设计传媒大类成人专科招生数,普通高等学校办财经大类成人专科招生数,普通高等学校办资源开发与测绘大类成人专科招生数,普通高等学校办轻纺食品大类成人专科招生数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
