,成人专科招生数,成人高等学校办交通运输大类成人专科招生数,成人高等学校办公共事业大类成人专科招生数,成人高等学校办公安大类成人专科招生数,成人高等学校办农林牧渔大类成人专科招生数,成人高等学校办制造大类成人专科招生数,成人高等学校办医药卫生大类成人专科招生数,成人高等学校办土建大类成人专科招生数,成人高等学校办师范成人专科招生数,成人高等学校办成人专科招生数,成人高等学校办文化教育大类成人专科招生数,成人高等学校办旅游大类成人专科招生数,成人高等学校办材料与能源大类成人专科招生数,成人高等学校办水利大类成人专科招生数,成人高等学校办法律大类成人专科招生数,成人高等学校办环保、气象与安全大类成人专科招生数,成人高等学校办生化与药品大类成人专科招生数,成人高等学校办电子信息大类成人专科招生数,成人高等学校办艺术设计传媒大类成人专科招生数,成人高等学校办财经大类成人专科招生数,成人高等学校办资源开发与测绘大类成人专科招生数,成人高等学校办轻纺食品大类成人专科招生数,普通高等学校办交通运输大类成人专科招生数,普通高等学校办公共事业大类成人专科招生数,普通高等学校办公安大类成人专科招生数,普通高等学校办农林牧渔大类成人专科招生数,普通高等学校办制造大类成人专科招生数,普通高等学校办医药卫生大类成人专科招生数,普通高等学校办土建大类成人专科招生数,普通高等学校办师范成人专科招生数,普通高等学校办成人专科招生数,普通高等学校办文化教育大类成人专科招生数,普通高等学校办旅游大类成人专科招生数,普通高等学校办材料与能源大类成人专科招生数,普通高等学校办水利大类成人专科招生数,普通高等学校办法律大类成人专科招生数,普通高等学校办环保、气象与安全大类成人专科招生数,普通高等学校办生化与药品大类成人专科招生数,普通高等学校办电子信息大类成人专科招生数,普通高等学校办艺术设计传媒大类成人专科招生数,普通高等学校办财经大类成人专科招生数,普通高等学校办资源开发与测绘大类成人专科招生数,普通高等学校办轻纺食品大类成人专科招生数
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,145.2146,,,,,,,,,36.6855,,,,,,,,,,,,,,,,,,,,,108.5291,,,,,,,,,,,,
2005年,118.3054,,,,,,,,,24.2657,,,,,,,,,,,,,,,,,,,,,94.0397,,,,,,,,,,,,
2006年,106.6754,,,,,,,,,19.7148,,,,,,,,,,,,,,,,,,,,,86.9606,,,,,,,,,,,,
2007年,109.0274,,,,,,,,,19.4865,,,,,,,,,,,,,,,,,,,,,89.5409,,,,,,,,,,,,
2008年,119.419,,,,,,,,,18.7789,,,,,,,,,,,,,,,,,,,,,100.6401,,,,,,,,,,,,
2009年,119.8981,,,,,,,,,18.5372,,,,,,,,,,,,,,,,,,,,,101.3609,,,,,,,,,,,,
2010年,123.094,,,,,,,,,16.2952,,,,,,,,,,,,,,,,,,,,,106.7988,,,,,,,,,,,,
2011年,128.79,0.4869,0.5937,0.0012,0.0756,1.9724,1.5797,0.84,1.0255,15.5375,2.3624,0.308,0.1673,0.072,0.2364,0.066,0.0899,1.0868,0.5995,4.4926,0.4552,0.0519,3.9589,3.1513,0.1248,2.5288,13.9845,17.3913,8.4319,6.7062,113.2525,11.2944,1.9121,1.0875,0.5424,1.311,0.2167,1.3014,8.5517,2.7154,30.685,3.3081,0.7553
2012年,145.4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,152.6776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,155.3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
