,成人专科毕业生数,成人高等学校办交通运输大类成人专科毕业生数,成人高等学校办公共事业大类成人专科毕业生数,成人高等学校办公安大类成人专科毕业生数,成人高等学校办农林牧渔大类成人专科毕业生数,成人高等学校办制造大类成人专科毕业生数,成人高等学校办医药卫生大类成人专科毕业生数,成人高等学校办土建大类成人专科毕业生数,成人高等学校办师范成人专科毕业生数,成人高等学校办成人专科毕业生数,成人高等学校办文化教育大类成人专科毕业生数,成人高等学校办旅游大类成人专科毕业生数,成人高等学校办材料与能源大类成人专科毕业生数,成人高等学校办水利大类成人专科毕业生数,成人高等学校办法律大类成人专科毕业生数,成人高等学校办环保、气象与安全大类成人专科毕业生数,成人高等学校办生化与药品大类成人专科毕业生数,成人高等学校办电子信息大类成人专科毕业生数,成人高等学校办艺术设计传媒大类成人专科毕业生数,成人高等学校办财经大类成人专科毕业生数,成人高等学校办资源开发与测绘大类成人专科毕业生数,成人高等学校办轻纺食品大类成人专科毕业生数,普通高等学校办交通运输大类成人专科毕业生数,普通高等学校办公共事业大类成人专科毕业生数,普通高等学校办公安大类成人专科毕业生数,普通高等学校办农林牧渔大类成人专科毕业生数,普通高等学校办制造大类成人专科毕业生数,普通高等学校办医药卫生大类成人专科毕业生数,普通高等学校办土建大类成人专科毕业生数,普通高等学校办师范成人专科毕业生数,普通高等学校办成人专科毕业生数,普通高等学校办文化教育大类成人专科毕业生数,普通高等学校办旅游大类成人专科毕业生数,普通高等学校办材料与能源大类成人专科毕业生数,普通高等学校办水利大类成人专科毕业生数,普通高等学校办法律大类成人专科毕业生数,普通高等学校办环保、气象与安全大类成人专科毕业生数,普通高等学校办生化与药品大类成人专科毕业生数,普通高等学校办电子信息大类成人专科毕业生数,普通高等学校办艺术设计传媒大类成人专科毕业生数,普通高等学校办财经大类成人专科毕业生数,普通高等学校办资源开发与测绘大类成人专科毕业生数,普通高等学校办轻纺食品大类成人专科毕业生数
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,135.5796,,,,,,,,,36.8896,,,,,,,,,,,,,,,,,,,,,98.69,,,,,,,,,,,,
2005年,111.209,,,,,,,,,23.0001,,,,,,,,,,,,,,,,,,,,,88.2089,,,,,,,,,,,,
2006年,59.686,,,,,,,,,15.8085,,,,,,,,,,,,,,,,,,,,,43.8775,,,,,,,,,,,,
2007年,108.951,,,,,,,,,20.5519,,,,,,,,,,,,,,,,,,,,,88.3991,,,,,,,,,,,,
2008年,100.6438,,,,,,,,,17.83,,,,,,,,,,,,,,,,,,,,,82.8138,,,,,,,,,,,,
2009年,107.8472,,,,,,,,,17.8132,,,,,,,,,,,,,,,,,,,,,90.034,,,,,,,,,,,,
2010年,116.8958,,,,,,,,,16.9343,,,,,,,,,,,,,,,,,,,,,99.9615,,,,,,,,,,,,
2011年,115.1238,0.7069,0.6581,0.0164,0.0705,2.7392,1.3497,0.6675,0.876,17.1072,2.0558,0.2709,0.1933,0.0856,0.4634,0.0183,0.1328,1.2922,0.6004,5.5174,0.2306,0.0382,2.8819,2.5938,0.2577,1.7202,12.8202,12.4502,5.4006,5.2617,98.0166,9.484,1.4275,1.8062,0.4205,1.3638,0.1833,1.2526,8.5866,1.9322,29.6122,3.2235,0.5996
2012年,115.3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,118.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,131.3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
